Date,Open,High,Low,Close,Volume
7-Oct-16,0.41,0.42,0.41,0.41,629800
6-Oct-16,0.42,0.42,0.40,0.41,1512600
5-Oct-16,0.42,0.42,0.40,0.42,1403300
4-Oct-16,0.42,0.43,0.42,0.42,722000
30-Sep-16,0.43,0.43,0.42,0.42,1776800
29-Sep-16,0.43,0.44,0.42,0.43,1568800
28-Sep-16,0.43,0.43,0.42,0.42,1390900
27-Sep-16,0.44,0.44,0.42,0.43,1238100
26-Sep-16,0.43,0.44,0.42,0.43,1454100
23-Sep-16,0.44,0.44,0.43,0.43,1111600
22-Sep-16,0.44,0.44,0.43,0.44,5559900
21-Sep-16,0.42,0.44,0.42,0.44,8319600
20-Sep-16,0.40,0.42,0.40,0.42,4109000
19-Sep-16,0.40,0.42,0.40,0.40,1705900
15-Sep-16,0.41,0.42,0.40,0.41,1939900
14-Sep-16,0.42,0.42,0.40,0.41,1200600
13-Sep-16,0.42,0.42,0.41,0.42,1279200
9-Sep-16,0.42,0.42,0.42,0.42,1358200
8-Sep-16,0.42,0.44,0.42,0.42,2471700
7-Sep-16,0.42,0.42,0.42,0.42,1655900
6-Sep-16,0.42,0.43,0.42,0.42,1061800
5-Sep-16,0.42,0.43,0.42,0.42,2264400
2-Sep-16,0.41,0.42,0.41,0.42,3005200
1-Sep-16,0.42,0.42,0.40,0.42,945100
30-Aug-16,0.40,0.42,0.40,0.42,4880300
29-Aug-16,0.42,0.42,0.40,0.40,1891100
26-Aug-16,0.40,0.42,0.40,0.42,2107700
25-Aug-16,0.42,0.42,0.40,0.40,2821800
24-Aug-16,0.43,0.44,0.42,0.43,1599500
23-Aug-16,0.44,0.44,0.43,0.43,1365800
22-Aug-16,0.44,0.45,0.44,0.44,1398400
19-Aug-16,0.46,0.46,0.44,0.44,3103000
18-Aug-16,0.43,0.46,0.43,0.46,5042300
17-Aug-16,0.44,0.44,0.43,0.43,2617600
16-Aug-16,0.45,0.46,0.44,0.44,4167300
15-Aug-16,0.44,0.46,0.44,0.45,7370500
12-Aug-16,0.43,0.44,0.42,0.43,6265400
11-Aug-16,0.43,0.44,0.42,0.42,4547500
10-Aug-16,0.44,0.44,0.42,0.42,3307000
9-Aug-16,0.44,0.45,0.43,0.44,3549600
8-Aug-16,0.43,0.45,0.43,0.44,10960200
5-Aug-16,0.41,0.42,0.40,0.42,7051900
4-Aug-16,0.40,0.42,0.40,0.41,4229300
3-Aug-16,0.40,0.40,0.39,0.40,740500
2-Aug-16,0.40,0.40,0.40,0.40,651000
1-Aug-16,0.39,0.40,0.39,0.40,2026900
29-Jul-16,0.40,0.40,0.39,0.39,1202300
28-Jul-16,0.40,0.40,0.39,0.40,848200
27-Jul-16,0.40,0.40,0.39,0.40,1133900
26-Jul-16,0.40,0.41,0.39,0.40,2033700
25-Jul-16,0.40,0.41,0.40,0.40,8419200
22-Jul-16,0.40,0.40,0.38,0.40,1130500
21-Jul-16,0.40,0.41,0.40,0.40,1257000
20-Jul-16,0.41,0.42,0.40,0.40,5610100
19-Jul-16,0.38,0.41,0.38,0.40,7825300
18-Jul-16,0.39,0.39,0.38,0.38,1036000
15-Jul-16,0.39,0.39,0.38,0.39,548400
14-Jul-16,0.39,0.39,0.38,0.39,1350700
13-Jul-16,0.38,0.39,0.38,0.38,2825700
12-Jul-16,0.36,0.38,0.36,0.38,2982100
11-Jul-16,0.36,0.37,0.36,0.36,636800
8-Jul-16,0.36,0.36,0.36,0.36,178600
5-Jul-16,0.36,0.36,0.36,0.36,1323700
4-Jul-16,0.36,0.37,0.36,0.36,796200
1-Jul-16,0.37,0.37,0.36,0.36,930900
30-Jun-16,0.37,0.38,0.36,0.37,1360200
29-Jun-16,0.37,0.38,0.37,0.37,3052100
28-Jun-16,0.34,0.37,0.34,0.37,3335000
27-Jun-16,0.34,0.36,0.34,0.34,1986100
24-Jun-16,0.35,0.36,0.34,0.35,2316200
23-Jun-16,0.36,0.36,0.36,0.36,1221900
21-Jun-16,0.38,0.38,0.36,0.36,776600
20-Jun-16,0.38,0.38,0.36,0.38,1976300
17-Jun-16,0.38,0.38,0.37,0.38,1539700
16-Jun-16,0.38,0.38,0.37,0.38,1830500
15-Jun-16,0.37,0.38,0.37,0.38,1927300
14-Jun-16,0.37,0.38,0.36,0.38,1811000
13-Jun-16,0.38,0.40,0.36,0.38,6613300
10-Jun-16,0.38,0.39,0.38,0.38,1768700
9-Jun-16,0.38,0.40,0.38,0.38,3935300
8-Jun-16,0.40,0.40,0.38,0.38,4483700
7-Jun-16,0.37,0.41,0.36,0.39,16032300
6-Jun-16,0.36,0.38,0.36,0.37,2574700
3-Jun-16,0.37,0.38,0.36,0.36,1077000
2-Jun-16,0.34,0.38,0.34,0.37,7131100
1-Jun-16,0.35,0.36,0.34,0.34,1498300
31-May-16,0.36,0.36,0.35,0.36,1559300
30-May-16,0.38,0.38,0.36,0.37,1569700
27-May-16,0.36,0.40,0.34,0.38,16395900
26-May-16,0.32,0.37,0.32,0.36,17177600
25-May-16,0.32,0.32,0.32,0.32,2978600
24-May-16,0.32,0.34,0.32,0.32,6670500
23-May-16,0.30,0.32,0.30,0.32,6204400
20-May-16,0.30,0.30,0.30,0.30,664000
19-May-16,0.30,0.30,0.30,0.30,479000
18-May-16,0.30,0.30,0.29,0.30,994100
17-May-16,0.30,0.31,0.30,0.30,1888600
16-May-16,0.30,0.32,0.30,0.30,1306700
13-May-16,0.32,0.32,0.31,0.31,2280100
12-May-16,0.33,0.33,0.32,0.32,1547300
11-May-16,0.32,0.34,0.32,0.33,7742100
10-May-16,0.31,0.32,0.30,0.32,5715800
9-May-16,0.30,0.31,0.29,0.30,2936300
6-May-16,0.28,0.30,0.28,0.29,1806500
5-May-16,0.28,0.28,0.28,0.28,473400
4-May-16,0.28,0.28,0.28,0.28,76300
3-May-16,0.28,0.28,0.28,0.28,588200
29-Apr-16,0.28,0.28,0.28,0.28,207100
28-Apr-16,0.28,0.28,0.27,0.28,392600
27-Apr-16,0.28,0.28,0.28,0.28,138800
26-Apr-16,0.28,0.28,0.28,0.28,575800
25-Apr-16,0.28,0.28,0.28,0.28,391900
22-Apr-16,0.28,0.29,0.28,0.28,331700
21-Apr-16,0.28,0.28,0.28,0.28,442900
20-Apr-16,0.28,0.29,0.28,0.28,21000
19-Apr-16,0.29,0.29,0.28,0.28,166300
18-Apr-16,0.29,0.29,0.28,0.28,324000
15-Apr-16,0.30,0.30,0.28,0.30,174000
14-Apr-16,0.30,0.30,0.29,0.30,626600
13-Apr-16,0.30,0.30,0.29,0.30,366500
12-Apr-16,0.28,0.30,0.28,0.29,477900
11-Apr-16,0.28,0.28,0.28,0.28,505400
8-Apr-16,0.28,0.28,0.28,0.28,318000
7-Apr-16,0.28,0.29,0.28,0.28,367000
6-Apr-16,0.29,0.29,0.28,0.28,357900
5-Apr-16,0.29,0.30,0.29,0.29,411100
4-Apr-16,0.28,0.28,0.28,0.28,273700
1-Apr-16,0.28,0.29,0.28,0.28,976700
31-Mar-16,0.29,0.29,0.28,0.28,572000
30-Mar-16,0.29,0.29,0.28,0.28,462700
29-Mar-16,0.29,0.29,0.28,0.29,439200
28-Mar-16,0.28,0.30,0.28,0.29,638000
25-Mar-16,0.28,0.28,0.27,0.28,500000
24-Mar-16,0.30,0.30,0.28,0.28,1545200
23-Mar-16,0.30,0.30,0.29,0.30,629100
22-Mar-16,0.30,0.30,0.30,0.30,2252100
21-Mar-16,0.29,0.30,0.29,0.29,1587900
18-Mar-16,0.27,0.28,0.27,0.28,1254600
17-Mar-16,0.26,0.28,0.26,0.27,292200
16-Mar-16,0.26,0.27,0.26,0.26,176500
15-Mar-16,0.26,0.26,0.26,0.26,112500
14-Mar-16,0.26,0.26,0.26,0.26,10000
