Date,Open,High,Low,Close,Volume
3-Aug-16,-,-,-,4.06,0
2-Aug-16,-,-,-,4.06,0
1-Aug-16,-,-,-,4.06,0
29-Jul-16,-,-,-,4.06,0
28-Jul-16,-,-,-,4.06,0
27-Jul-16,-,-,-,4.06,0
26-Jul-16,-,-,-,4.06,0
25-Jul-16,-,-,-,4.06,0
22-Jul-16,-,-,-,4.06,0
21-Jul-16,-,-,-,4.06,0
20-Jul-16,-,-,-,4.06,0
19-Jul-16,-,-,-,4.06,0
18-Jul-16,-,-,-,4.06,0
15-Jul-16,-,-,-,4.06,0
14-Jul-16,-,-,-,4.06,0
13-Jul-16,-,-,-,4.06,0
12-Jul-16,-,-,-,4.06,0
11-Jul-16,-,-,-,4.06,0
8-Jul-16,-,-,-,4.06,0
5-Jul-16,-,-,-,4.06,0
4-Jul-16,-,-,-,4.06,0
1-Jul-16,-,-,-,4.06,0
30-Jun-16,-,-,-,4.06,0
29-Jun-16,-,-,-,4.06,0
28-Jun-16,-,-,-,4.06,0
27-Jun-16,-,-,-,4.06,0
24-Jun-16,-,-,-,4.06,0
23-Jun-16,-,-,-,4.06,0
21-Jun-16,-,-,-,4.06,0
20-Jun-16,-,-,-,4.06,0
17-Jun-16,4.07,4.08,4.06,4.06,6586000
16-Jun-16,4.07,4.08,4.06,4.07,4106700
15-Jun-16,4.07,4.08,4.07,4.08,3769500
14-Jun-16,4.07,4.08,4.07,4.07,3471600
13-Jun-16,4.08,4.08,4.07,4.08,3722000
10-Jun-16,4.07,4.08,4.07,4.08,1632200
9-Jun-16,4.06,4.07,4.06,4.07,1011600
8-Jun-16,4.06,4.06,4.06,4.06,1990200
7-Jun-16,4.06,4.07,4.06,4.07,229500
6-Jun-16,4.05,4.07,4.05,4.06,661900
3-Jun-16,4.05,4.07,4.05,4.05,2587200
2-Jun-16,4.03,4.04,4.03,4.03,200600
1-Jun-16,4.04,4.04,4.02,4.04,200400
31-May-16,4.02,4.04,4.02,4.03,7358300
30-May-16,4.02,4.03,4.02,4.02,725300
27-May-16,4.02,4.03,4.01,4.02,2277100
26-May-16,4.01,4.02,4.01,4.01,950900
25-May-16,4.01,4.02,4.01,4.02,1304200
24-May-16,4.01,4.02,4.01,4.02,1141200
23-May-16,4.01,4.02,4.01,4.02,414100
20-May-16,4.01,4.02,4.01,4.01,260900
19-May-16,4.01,4.02,4.01,4.01,476600
18-May-16,4.01,4.02,4.01,4.01,1145900
17-May-16,4.01,4.02,4.01,4.01,453600
16-May-16,4.01,4.02,4.01,4.02,438400
13-May-16,4.01,4.02,4.01,4.01,935300
12-May-16,4.01,4.02,4.00,4.02,1404400
11-May-16,4.01,4.01,4.00,4.00,1731500
10-May-16,4.00,4.01,4.00,4.00,621800
9-May-16,4.01,4.01,4.00,4.00,2580400
6-May-16,4.00,4.01,4.00,4.00,1268600
5-May-16,4.00,4.01,3.99,4.01,1494400
4-May-16,4.01,4.04,4.00,4.00,10011000
3-May-16,3.96,3.98,3.96,3.97,4170500
29-Apr-16,3.96,3.97,3.95,3.96,765700
28-Apr-16,3.97,3.97,3.95,3.95,1916400
27-Apr-16,3.96,3.98,3.96,3.97,936600
26-Apr-16,3.96,3.98,3.96,3.96,1530100
25-Apr-16,3.99,3.99,3.96,3.96,1447800
22-Apr-16,3.97,4.00,3.97,3.99,2091400
21-Apr-16,3.96,3.97,3.96,3.97,828900
20-Apr-16,3.95,3.97,3.95,3.96,2054700
19-Apr-16,3.94,3.96,3.94,3.96,2798700
18-Apr-16,3.94,3.95,3.93,3.94,718600
15-Apr-16,3.94,3.95,3.93,3.93,1746400
14-Apr-16,3.95,3.95,3.94,3.95,390700
13-Apr-16,3.93,3.95,3.93,3.95,1337200
12-Apr-16,3.92,3.94,3.92,3.94,1330300
11-Apr-16,3.90,3.93,3.89,3.92,1140400
