Date,Open,High,Low,Close,Volume
7-Oct-16,4.66,4.67,4.64,4.67,11000
6-Oct-16,4.68,4.68,4.64,4.67,38900
5-Oct-16,4.69,4.69,4.67,4.67,62500
4-Oct-16,4.68,4.70,4.66,4.70,10600
30-Sep-16,4.66,4.70,4.66,4.69,25200
29-Sep-16,4.66,4.70,4.66,4.70,33300
28-Sep-16,4.72,4.72,4.65,4.66,102300
27-Sep-16,4.62,4.68,4.62,4.64,22600
26-Sep-16,-,-,-,4.69,0
23-Sep-16,4.65,4.69,4.62,4.69,26500
22-Sep-16,4.70,4.70,4.66,4.70,9300
21-Sep-16,4.65,4.70,4.63,4.70,49600
20-Sep-16,4.68,4.68,4.64,4.64,31200
19-Sep-16,4.66,4.72,4.64,4.64,33700
15-Sep-16,4.69,4.69,4.64,4.64,5000
14-Sep-16,4.75,4.75,4.62,4.73,33600
13-Sep-16,4.80,4.80,4.68,4.78,11900
9-Sep-16,4.80,4.83,4.77,4.80,86000
8-Sep-16,4.67,4.85,4.67,4.79,183700
7-Sep-16,4.65,4.67,4.62,4.65,41800
6-Sep-16,4.66,4.68,4.63,4.64,90000
5-Sep-16,4.72,4.79,4.68,4.70,73800
2-Sep-16,4.75,4.80,4.74,4.74,21300
1-Sep-16,4.80,4.80,4.70,4.80,60800
30-Aug-16,4.94,4.94,4.75,4.80,360000
29-Aug-16,5.05,5.10,5.00,5.10,41700
26-Aug-16,5.11,5.11,5.05,5.05,37500
25-Aug-16,5.05,5.15,5.05,5.11,42000
24-Aug-16,5.15,5.15,5.07,5.10,9600
23-Aug-16,5.14,5.15,5.09,5.15,23100
22-Aug-16,5.18,5.18,5.14,5.14,37700
19-Aug-16,5.15,5.15,5.13,5.15,12300
18-Aug-16,5.19,5.19,5.13,5.15,11200
17-Aug-16,5.16,5.16,5.12,5.14,126800
16-Aug-16,5.16,5.21,5.16,5.19,28600
15-Aug-16,5.17,5.19,5.15,5.17,50800
12-Aug-16,5.20,5.20,5.18,5.20,75000
11-Aug-16,-,-,-,5.25,0
10-Aug-16,5.15,5.25,5.15,5.25,23500
9-Aug-16,5.20,5.25,5.20,5.25,23900
8-Aug-16,5.25,5.25,5.20,5.24,12400
5-Aug-16,5.20,5.24,5.20,5.24,9100
4-Aug-16,5.20,5.23,5.20,5.23,12100
3-Aug-16,5.18,5.24,5.18,5.24,10000
2-Aug-16,5.20,5.24,5.19,5.24,10700
1-Aug-16,5.25,5.25,5.23,5.25,15200
29-Jul-16,5.25,5.25,5.19,5.25,13500
28-Jul-16,5.20,5.25,5.19,5.25,11900
27-Jul-16,5.21,5.25,5.21,5.25,21500
26-Jul-16,5.21,5.25,5.21,5.25,10500
25-Jul-16,5.25,5.30,5.21,5.30,17900
22-Jul-16,5.18,5.27,5.18,5.27,9300
21-Jul-16,5.30,5.30,5.28,5.28,2600
20-Jul-16,5.29,5.30,5.29,5.30,4000
19-Jul-16,5.30,5.30,5.29,5.30,16000
18-Jul-16,5.20,5.40,5.19,5.40,29700
15-Jul-16,5.14,5.23,5.12,5.23,8500
14-Jul-16,5.30,5.30,5.28,5.28,1500
13-Jul-16,5.15,5.35,5.08,5.35,48300
12-Jul-16,5.16,5.16,5.13,5.15,23700
11-Jul-16,5.20,5.20,5.15,5.15,15400
8-Jul-16,5.17,5.17,5.17,5.17,13600
5-Jul-16,5.22,5.23,5.17,5.23,21200
4-Jul-16,5.23,5.24,5.23,5.23,42400
1-Jul-16,5.26,5.26,5.23,5.23,32000
30-Jun-16,5.24,5.28,5.24,5.28,16000
29-Jun-16,5.20,5.25,5.20,5.24,29200
28-Jun-16,5.10,5.22,5.10,5.22,15500
27-Jun-16,5.00,5.15,5.00,5.15,17600
24-Jun-16,5.06,5.08,4.95,5.05,68600
23-Jun-16,5.11,5.11,5.08,5.10,28300
21-Jun-16,5.08,5.11,5.08,5.11,13300
