Date,Open,High,Low,Close,Volume
7-Oct-16,10.90,10.94,10.84,10.90,124300
6-Oct-16,11.08,11.08,10.90,10.90,45400
5-Oct-16,11.00,11.06,10.98,11.04,200600
4-Oct-16,10.70,11.00,10.70,10.96,256100
30-Sep-16,10.50,10.68,10.50,10.54,107100
29-Sep-16,9.99,10.30,9.99,10.24,62800
28-Sep-16,9.95,9.99,9.90,9.90,12800
27-Sep-16,9.94,9.95,9.85,9.85,9000
26-Sep-16,9.95,9.95,9.88,9.88,12400
23-Sep-16,9.85,9.90,9.85,9.86,5300
22-Sep-16,9.70,9.93,9.70,9.85,45200
21-Sep-16,9.72,9.80,9.60,9.78,17000
20-Sep-16,9.86,9.87,9.85,9.87,7300
19-Sep-16,9.96,10.00,9.85,9.85,14500
15-Sep-16,10.00,10.00,9.91,9.95,90200
14-Sep-16,9.97,9.99,9.86,9.99,21500
13-Sep-16,9.97,9.97,9.88,9.88,3500
9-Sep-16,9.95,9.99,9.94,9.97,10100
8-Sep-16,9.92,9.93,9.90,9.93,12600
7-Sep-16,9.90,9.90,9.80,9.81,5500
6-Sep-16,9.70,9.80,9.63,9.64,4100
5-Sep-16,9.60,9.60,9.50,9.50,1000
2-Sep-16,9.60,9.60,9.60,9.60,2800
1-Sep-16,9.60,9.60,9.60,9.60,1000
30-Aug-16,9.50,9.50,9.36,9.50,14700
29-Aug-16,9.80,9.80,9.75,9.75,2000
26-Aug-16,9.89,10.00,9.80,9.80,11700
25-Aug-16,9.80,9.80,9.80,9.80,1000
24-Aug-16,9.80,9.80,9.80,9.80,1200
23-Aug-16,9.80,10.00,9.80,10.00,26500
22-Aug-16,9.60,10.10,9.45,10.10,68000
19-Aug-16,9.38,9.38,9.35,9.35,2400
18-Aug-16,9.31,9.45,9.31,9.45,2200
17-Aug-16,-,-,-,9.40,0
16-Aug-16,9.49,9.50,9.40,9.40,6500
15-Aug-16,9.27,9.49,9.27,9.49,2500
12-Aug-16,9.38,9.38,9.30,9.31,13000
11-Aug-16,9.35,9.50,9.33,9.50,10500
10-Aug-16,9.45,9.50,9.45,9.50,6700
9-Aug-16,9.55,9.55,9.55,9.55,100
8-Aug-16,9.50,9.68,9.50,9.60,7100
5-Aug-16,9.54,9.75,9.54,9.66,48900
4-Aug-16,8.90,9.50,8.90,9.50,90400
3-Aug-16,8.65,8.65,8.65,8.65,2100
2-Aug-16,8.52,8.60,8.50,8.60,3700
1-Aug-16,-,-,-,8.80,0
29-Jul-16,8.82,8.82,8.80,8.80,2000
28-Jul-16,8.92,8.92,8.86,8.86,5800
27-Jul-16,8.92,8.92,8.92,8.92,2000
26-Jul-16,8.81,8.90,8.81,8.90,10100
25-Jul-16,8.86,8.90,8.84,8.89,30200
22-Jul-16,8.70,8.82,8.68,8.82,13500
21-Jul-16,8.65,8.66,8.60,8.66,6200
20-Jul-16,8.66,8.66,8.65,8.65,1600
19-Jul-16,8.52,8.61,8.52,8.53,2600
18-Jul-16,8.53,8.66,8.53,8.60,4000
15-Jul-16,8.67,8.67,8.67,8.67,2000
14-Jul-16,8.56,8.67,8.52,8.67,13200
13-Jul-16,8.53,8.67,8.52,8.67,7500
12-Jul-16,8.56,8.70,8.55,8.70,3400
11-Jul-16,8.62,8.76,8.62,8.76,6400
8-Jul-16,8.60,8.76,8.60,8.76,5000
5-Jul-16,8.60,8.60,8.60,8.60,1000
4-Jul-16,-,-,-,8.80,0
1-Jul-16,8.64,8.80,8.64,8.80,2700
30-Jun-16,8.66,8.71,8.60,8.71,8000
29-Jun-16,8.60,8.72,8.60,8.72,19000
28-Jun-16,8.71,8.80,8.71,8.71,4300
27-Jun-16,-,-,-,8.92,0
24-Jun-16,8.75,8.92,8.75,8.92,2000
23-Jun-16,8.95,8.95,8.95,8.95,8800
21-Jun-16,-,-,-,8.95,0
20-Jun-16,8.95,8.95,8.93,8.95,24000
17-Jun-16,8.71,8.95,8.71,8.95,7400
16-Jun-16,8.85,8.95,8.70,8.95,4700
15-Jun-16,-,-,-,9.00,0
14-Jun-16,-,-,-,9.00,0
13-Jun-16,-,-,-,9.00,0
10-Jun-16,8.90,9.00,8.90,9.00,1500
