Date,Open,High,Low,Close,Volume
7-Oct-16,1.24,1.24,1.23,1.23,30000
6-Oct-16,1.24,1.24,1.23,1.23,10400
5-Oct-16,1.24,1.24,1.24,1.24,10200
4-Oct-16,1.26,1.26,1.24,1.24,12500
30-Sep-16,1.23,1.24,1.23,1.23,19500
29-Sep-16,1.25,1.25,1.23,1.23,89800
28-Sep-16,1.27,1.27,1.26,1.26,30000
27-Sep-16,-,-,-,1.27,0
26-Sep-16,1.25,1.27,1.25,1.27,11400
23-Sep-16,1.24,1.27,1.24,1.27,8100
22-Sep-16,1.25,1.25,1.24,1.24,25500
21-Sep-16,1.26,1.27,1.26,1.27,10100
20-Sep-16,1.27,1.27,1.26,1.27,114400
19-Sep-16,1.26,1.26,1.26,1.26,106900
15-Sep-16,1.25,1.25,1.24,1.25,8500
14-Sep-16,1.30,1.30,1.25,1.26,124000
13-Sep-16,1.33,1.33,1.30,1.30,59400
9-Sep-16,-,-,-,1.40,0
8-Sep-16,1.42,1.42,1.40,1.40,260900
7-Sep-16,1.41,1.42,1.41,1.42,74100
6-Sep-16,1.41,1.42,1.41,1.41,51000
5-Sep-16,1.40,1.41,1.40,1.41,54100
2-Sep-16,1.40,1.40,1.40,1.40,45800
1-Sep-16,1.41,1.41,1.40,1.40,20000
30-Aug-16,1.40,1.42,1.40,1.42,71100
29-Aug-16,1.38,1.44,1.38,1.44,488000
26-Aug-16,1.36,1.39,1.33,1.37,155900
25-Aug-16,1.37,1.37,1.37,1.37,4400
24-Aug-16,-,-,-,1.35,0
23-Aug-16,-,-,-,1.35,0
22-Aug-16,1.35,1.35,1.35,1.35,15400
19-Aug-16,1.37,1.40,1.37,1.40,5400
18-Aug-16,1.38,1.38,1.38,1.38,5000
17-Aug-16,1.38,1.38,1.38,1.38,2900
16-Aug-16,1.35,1.38,1.35,1.38,5700
15-Aug-16,1.36,1.36,1.36,1.36,12000
12-Aug-16,1.37,1.37,1.35,1.36,11300
11-Aug-16,1.35,1.38,1.35,1.38,2700
10-Aug-16,1.36,1.36,1.36,1.36,10000
9-Aug-16,1.35,1.35,1.35,1.35,9300
8-Aug-16,1.35,1.35,1.35,1.35,101000
5-Aug-16,1.38,1.38,1.35,1.38,3000
4-Aug-16,1.35,1.35,1.35,1.35,4900
3-Aug-16,1.32,1.32,1.32,1.32,3300
2-Aug-16,1.32,1.32,1.32,1.32,5000
1-Aug-16,1.35,1.35,1.33,1.33,58600
29-Jul-16,1.36,1.37,1.35,1.37,12000
28-Jul-16,1.35,1.37,1.35,1.37,2200
27-Jul-16,1.37,1.37,1.36,1.36,9000
26-Jul-16,-,-,-,1.37,0
25-Jul-16,1.35,1.37,1.35,1.37,6100
22-Jul-16,1.36,1.37,1.36,1.37,7000
21-Jul-16,-,-,-,1.37,0
20-Jul-16,1.37,1.37,1.35,1.37,14400
19-Jul-16,-,-,-,1.38,0
18-Jul-16,-,-,-,1.38,0
15-Jul-16,1.35,1.38,1.35,1.38,2000
14-Jul-16,1.38,1.39,1.38,1.38,57100
13-Jul-16,1.38,1.39,1.38,1.39,83700
12-Jul-16,1.38,1.39,1.38,1.39,42000
11-Jul-16,1.36,1.38,1.36,1.38,3000
8-Jul-16,-,-,-,1.39,0
5-Jul-16,-,-,-,1.39,0
4-Jul-16,1.38,1.39,1.38,1.39,25000
1-Jul-16,1.38,1.39,1.37,1.39,52200
30-Jun-16,1.36,1.38,1.36,1.38,58800
