Date,Open,High,Low,Close,Volume
7-Oct-16,0.53,0.54,0.52,0.54,282000
6-Oct-16,0.54,0.54,0.53,0.53,285500
5-Oct-16,0.54,0.54,0.54,0.54,219900
4-Oct-16,0.54,0.54,0.54,0.54,100000
30-Sep-16,0.55,0.55,0.54,0.54,596300
29-Sep-16,0.56,0.56,0.55,0.56,223600
28-Sep-16,0.56,0.56,0.56,0.56,61000
27-Sep-16,0.56,0.56,0.56,0.56,101300
26-Sep-16,0.56,0.56,0.55,0.56,113800
23-Sep-16,0.56,0.57,0.56,0.56,298500
22-Sep-16,0.57,0.57,0.56,0.56,23000
21-Sep-16,0.56,0.57,0.56,0.57,124000
20-Sep-16,0.55,0.56,0.55,0.56,71500
19-Sep-16,0.54,0.56,0.54,0.56,84000
15-Sep-16,0.56,0.56,0.54,0.54,126600
14-Sep-16,0.55,0.55,0.55,0.55,167500
13-Sep-16,0.56,0.56,0.55,0.56,315000
9-Sep-16,0.56,0.57,0.56,0.57,96400
8-Sep-16,0.57,0.58,0.57,0.57,73000
7-Sep-16,0.56,0.58,0.56,0.58,562000
6-Sep-16,0.56,0.56,0.56,0.56,247000
5-Sep-16,0.55,0.56,0.55,0.56,335200
2-Sep-16,0.54,0.56,0.54,0.55,580700
1-Sep-16,0.54,0.54,0.54,0.54,261700
30-Aug-16,0.56,0.56,0.54,0.54,148900
29-Aug-16,0.56,0.56,0.55,0.55,93500
26-Aug-16,0.55,0.56,0.55,0.56,38000
25-Aug-16,0.56,0.56,0.54,0.54,452300
24-Aug-16,0.56,0.57,0.56,0.56,335600
23-Aug-16,0.56,0.57,0.56,0.56,255500
22-Aug-16,0.57,0.58,0.56,0.56,278000
19-Aug-16,0.58,0.58,0.57,0.57,527100
18-Aug-16,0.58,0.58,0.57,0.58,719400
17-Aug-16,0.58,0.58,0.58,0.58,450600
16-Aug-16,0.58,0.58,0.58,0.58,947800
15-Aug-16,0.61,0.61,0.58,0.59,2646300
12-Aug-16,0.62,0.63,0.62,0.62,1639700
11-Aug-16,0.60,0.61,0.60,0.61,381500
10-Aug-16,0.61,0.61,0.60,0.60,350500
9-Aug-16,0.61,0.61,0.60,0.61,333300
8-Aug-16,0.61,0.61,0.60,0.60,536200
5-Aug-16,0.60,0.62,0.59,0.60,753900
4-Aug-16,0.59,0.59,0.59,0.59,92000
3-Aug-16,0.58,0.59,0.58,0.58,133500
2-Aug-16,0.60,0.60,0.58,0.59,415800
1-Aug-16,0.59,0.60,0.58,0.60,297500
29-Jul-16,0.58,0.59,0.58,0.59,179100
28-Jul-16,0.60,0.60,0.58,0.58,285500
27-Jul-16,0.60,0.60,0.59,0.60,253100
26-Jul-16,0.60,0.60,0.59,0.60,121500
25-Jul-16,0.60,0.60,0.60,0.60,142500
22-Jul-16,0.60,0.60,0.58,0.60,503500
21-Jul-16,0.61,0.61,0.60,0.60,507200
20-Jul-16,0.60,0.62,0.60,0.62,335600
19-Jul-16,0.62,0.62,0.60,0.60,284200
18-Jul-16,0.60,0.63,0.60,0.62,1259000
15-Jul-16,0.61,0.62,0.60,0.61,369100
14-Jul-16,0.59,0.62,0.58,0.62,1134200
13-Jul-16,0.60,0.60,0.58,0.60,317900
12-Jul-16,0.60,0.62,0.60,0.60,835400
11-Jul-16,0.58,0.60,0.58,0.60,876800
8-Jul-16,0.57,0.58,0.57,0.58,169300
5-Jul-16,0.57,0.58,0.57,0.57,192000
4-Jul-16,0.57,0.58,0.57,0.58,186000
1-Jul-16,0.58,0.58,0.57,0.58,77000
30-Jun-16,0.58,0.58,0.58,0.58,140800
29-Jun-16,0.58,0.58,0.58,0.58,97000
28-Jun-16,0.57,0.58,0.57,0.58,165300
27-Jun-16,0.57,0.57,0.57,0.57,6000
24-Jun-16,0.56,0.56,0.55,0.56,388800
23-Jun-16,0.58,0.58,0.56,0.57,250500
21-Jun-16,0.57,0.58,0.57,0.58,155000
20-Jun-16,0.57,0.58,0.57,0.58,111900
17-Jun-16,0.58,0.58,0.57,0.58,161000
16-Jun-16,0.58,0.58,0.57,0.57,248000
15-Jun-16,0.57,0.59,0.57,0.58,504200
14-Jun-16,0.58,0.58,0.57,0.58,330000
13-Jun-16,0.58,0.58,0.58,0.58,128000
10-Jun-16,0.60,0.60,0.59,0.60,372500
9-Jun-16,0.58,0.61,0.58,0.61,1530300
8-Jun-16,0.58,0.58,0.58,0.58,283600
7-Jun-16,0.58,0.59,0.58,0.58,196100
6-Jun-16,0.58,0.59,0.58,0.58,174000
3-Jun-16,0.60,0.60,0.58,0.59,533400
2-Jun-16,0.57,0.60,0.57,0.58,2425200
1-Jun-16,0.54,0.57,0.54,0.56,974400
31-May-16,0.54,0.55,0.54,0.54,846100
30-May-16,0.56,0.56,0.54,0.55,1629900
27-May-16,0.56,0.56,0.56,0.56,579500
26-May-16,0.57,0.58,0.56,0.56,1188400
25-May-16,0.59,0.60,0.56,0.57,2392200
24-May-16,0.61,0.61,0.59,0.60,1256400
23-May-16,0.60,0.62,0.60,0.60,1589500
20-May-16,0.60,0.62,0.60,0.60,2590600
19-May-16,0.62,0.62,0.60,0.60,1789100
18-May-16,0.60,0.62,0.60,0.62,2960600
17-May-16,0.62,0.62,0.60,0.61,1934300
16-May-16,0.63,0.63,0.58,0.62,6603700
13-May-16,0.69,0.70,0.67,0.67,954000
12-May-16,0.69,0.72,0.68,0.68,7941200
11-May-16,0.66,0.68,0.66,0.68,1660700
10-May-16,0.66,0.66,0.65,0.66,414300
9-May-16,0.66,0.66,0.66,0.66,270600
6-May-16,0.66,0.68,0.66,0.66,165000
5-May-16,0.64,0.68,0.64,0.66,554300
4-May-16,0.63,0.66,0.62,0.66,895800
