Date,Open,High,Low,Close,Volume
7-Oct-16,0.10,0.11,0.10,0.11,51000
6-Oct-16,0.10,0.11,0.10,0.11,121000
5-Oct-16,0.10,0.10,0.10,0.10,68000
4-Oct-16,0.10,0.10,0.10,0.10,422500
30-Sep-16,0.11,0.11,0.10,0.10,115000
29-Sep-16,0.11,0.12,0.11,0.12,81000
28-Sep-16,0.11,0.12,0.11,0.12,35500
27-Sep-16,0.11,0.12,0.11,0.12,141600
26-Sep-16,0.11,0.12,0.11,0.12,72500
23-Sep-16,-,-,-,0.12,0
22-Sep-16,0.10,0.12,0.10,0.12,1500
21-Sep-16,0.11,0.12,0.10,0.12,128200
20-Sep-16,0.11,0.11,0.11,0.11,50000
19-Sep-16,-,-,-,0.12,0
15-Sep-16,0.11,0.12,0.11,0.12,67600
14-Sep-16,0.11,0.12,0.11,0.12,117600
13-Sep-16,-,-,-,0.12,0
9-Sep-16,0.10,0.12,0.10,0.12,256600
8-Sep-16,0.10,0.12,0.10,0.12,465800
7-Sep-16,0.11,0.11,0.11,0.11,150000
6-Sep-16,0.10,0.11,0.10,0.11,804900
5-Sep-16,0.10,0.10,0.10,0.10,58200
2-Sep-16,0.10,0.10,0.10,0.10,101000
1-Sep-16,0.10,0.10,0.10,0.10,189000
30-Aug-16,0.10,0.11,0.10,0.11,124300
29-Aug-16,-,-,-,0.11,0
26-Aug-16,0.12,0.12,0.10,0.11,1270900
25-Aug-16,0.12,0.12,0.12,0.12,70100
24-Aug-16,0.12,0.12,0.12,0.12,353000
23-Aug-16,0.12,0.12,0.12,0.12,51600
22-Aug-16,0.12,0.12,0.12,0.12,80000
19-Aug-16,0.12,0.12,0.12,0.12,128700
18-Aug-16,0.12,0.13,0.12,0.12,1203300
17-Aug-16,0.12,0.12,0.12,0.12,107000
16-Aug-16,-,-,-,0.12,0
15-Aug-16,0.12,0.12,0.12,0.12,549100
12-Aug-16,0.12,0.12,0.12,0.12,318400
11-Aug-16,0.12,0.12,0.12,0.12,160000
10-Aug-16,-,-,-,0.12,0
9-Aug-16,0.12,0.12,0.12,0.12,697100
8-Aug-16,0.12,0.12,0.12,0.12,59000
5-Aug-16,0.12,0.12,0.12,0.12,100000
4-Aug-16,0.11,0.12,0.11,0.12,216000
3-Aug-16,0.12,0.12,0.12,0.12,105200
2-Aug-16,0.11,0.12,0.11,0.12,109400
1-Aug-16,0.11,0.12,0.11,0.12,218200
29-Jul-16,-,-,-,0.12,0
28-Jul-16,0.12,0.12,0.12,0.12,201200
27-Jul-16,0.12,0.12,0.12,0.12,60300
26-Jul-16,0.12,0.12,0.12,0.12,112000
25-Jul-16,0.12,0.12,0.12,0.12,136300
22-Jul-16,0.11,0.11,0.11,0.11,24300
21-Jul-16,0.12,0.12,0.12,0.12,160000
20-Jul-16,0.12,0.12,0.12,0.12,272000
19-Jul-16,0.12,0.12,0.12,0.12,26000
18-Jul-16,-,-,-,0.12,0
15-Jul-16,0.12,0.12,0.12,0.12,60700
14-Jul-16,0.12,0.12,0.12,0.12,107000
13-Jul-16,-,-,-,0.12,0
12-Jul-16,0.12,0.12,0.12,0.12,13000
11-Jul-16,0.12,0.12,0.12,0.12,75000
8-Jul-16,-,-,-,0.12,0
5-Jul-16,0.12,0.12,0.12,0.12,23000
4-Jul-16,0.12,0.12,0.12,0.12,50000
1-Jul-16,0.12,0.12,0.12,0.12,385000
30-Jun-16,-,-,-,0.12,0
29-Jun-16,0.12,0.12,0.12,0.12,166400
28-Jun-16,-,-,-,0.12,0
27-Jun-16,0.12,0.12,0.12,0.12,99600
24-Jun-16,0.12,0.12,0.12,0.12,96000
23-Jun-16,0.12,0.12,0.12,0.12,130000
21-Jun-16,0.12,0.12,0.12,0.12,93700
20-Jun-16,0.12,0.12,0.12,0.12,50000
17-Jun-16,0.12,0.12,0.12,0.12,145100
16-Jun-16,0.12,0.12,0.12,0.12,95000
15-Jun-16,-,-,-,0.12,0
14-Jun-16,0.12,0.12,0.12,0.12,60000
13-Jun-16,0.12,0.12,0.12,0.12,130000
10-Jun-16,0.12,0.12,0.12,0.12,34800
9-Jun-16,0.12,0.12,0.12,0.12,104000
8-Jun-16,0.12,0.12,0.12,0.12,151500
7-Jun-16,0.12,0.12,0.12,0.12,110600
6-Jun-16,0.12,0.12,0.12,0.12,15500
3-Jun-16,0.12,0.12,0.12,0.12,145800
2-Jun-16,0.12,0.12,0.12,0.12,130000
1-Jun-16,0.12,0.12,0.12,0.12,36600
31-May-16,0.12,0.12,0.12,0.12,286400
30-May-16,0.12,0.12,0.12,0.12,39900
27-May-16,0.12,0.12,0.12,0.12,52800
26-May-16,0.12,0.12,0.12,0.12,300900
25-May-16,0.12,0.12,0.12,0.12,281900
24-May-16,0.12,0.12,0.12,0.12,96600
23-May-16,0.12,0.12,0.12,0.12,113200
20-May-16,0.12,0.12,0.12,0.12,4200
19-May-16,0.12,0.12,0.12,0.12,28000
18-May-16,0.12,0.13,0.12,0.13,313100
17-May-16,0.12,0.13,0.12,0.12,226500
16-May-16,0.12,0.12,0.12,0.12,140000
13-May-16,0.12,0.12,0.12,0.12,13000
12-May-16,0.13,0.14,0.13,0.13,1460500
11-May-16,0.12,0.13,0.12,0.13,449900
10-May-16,0.12,0.12,0.12,0.12,902000
9-May-16,0.12,0.12,0.12,0.12,155000
6-May-16,0.12,0.12,0.12,0.12,790500
5-May-16,0.12,0.12,0.12,0.12,31000
4-May-16,0.13,0.13,0.12,0.12,700200
3-May-16,-,-,-,0.12,0
29-Apr-16,0.12,0.12,0.12,0.12,20000
28-Apr-16,0.13,0.13,0.13,0.13,77300
27-Apr-16,0.13,0.13,0.13,0.13,47500
26-Apr-16,0.13,0.13,0.13,0.13,160000
25-Apr-16,0.13,0.13,0.13,0.13,85000
22-Apr-16,0.13,0.13,0.13,0.13,290000
21-Apr-16,0.13,0.13,0.13,0.13,375200
20-Apr-16,0.13,0.13,0.13,0.13,54100
19-Apr-16,0.13,0.14,0.13,0.14,400000
18-Apr-16,-,-,-,0.14,0
15-Apr-16,0.13,0.14,0.13,0.14,144300
14-Apr-16,0.14,0.14,0.14,0.14,7000
13-Apr-16,0.13,0.14,0.13,0.14,155600
12-Apr-16,0.13,0.13,0.13,0.13,150000
11-Apr-16,0.12,0.13,0.12,0.13,132100
8-Apr-16,0.12,0.12,0.12,0.12,10000
7-Apr-16,0.12,0.13,0.12,0.12,473200
6-Apr-16,-,-,-,0.12,0
5-Apr-16,0.12,0.12,0.12,0.12,200700
4-Apr-16,-,-,-,0.12,0
1-Apr-16,0.13,0.13,0.12,0.12,40000
31-Mar-16,0.13,0.13,0.13,0.13,352500
30-Mar-16,0.13,0.13,0.13,0.13,298600
29-Mar-16,0.13,0.13,0.13,0.13,287300
28-Mar-16,0.13,0.13,0.13,0.13,270000
25-Mar-16,-,-,-,0.13,0
24-Mar-16,0.14,0.14,0.13,0.13,300500
23-Mar-16,0.14,0.14,0.13,0.13,140000
