Date,Open,High,Low,Close,Volume
7-Oct-16,0.28,0.28,0.27,0.27,66400
6-Oct-16,0.26,0.29,0.26,0.28,1476500
5-Oct-16,0.26,0.26,0.26,0.26,29000
4-Oct-16,0.28,0.28,0.26,0.26,890100
30-Sep-16,0.28,0.28,0.26,0.26,329200
29-Sep-16,0.27,0.28,0.27,0.28,188600
28-Sep-16,0.28,0.28,0.27,0.28,175000
27-Sep-16,0.29,0.29,0.27,0.28,1080100
26-Sep-16,0.28,0.29,0.28,0.29,239500
23-Sep-16,0.28,0.29,0.28,0.29,124700
22-Sep-16,-,-,-,0.30,0
21-Sep-16,-,-,-,0.30,0
20-Sep-16,0.28,0.30,0.28,0.30,125000
19-Sep-16,0.29,0.29,0.29,0.29,100000
15-Sep-16,0.29,0.29,0.29,0.29,100000
14-Sep-16,0.29,0.29,0.29,0.29,322000
13-Sep-16,0.30,0.30,0.29,0.29,236300
9-Sep-16,0.30,0.30,0.29,0.30,79700
8-Sep-16,0.29,0.30,0.29,0.30,2300
7-Sep-16,0.30,0.31,0.30,0.30,62000
6-Sep-16,0.31,0.31,0.30,0.30,832200
5-Sep-16,0.30,0.30,0.30,0.30,90000
2-Sep-16,0.31,0.31,0.29,0.30,20000
1-Sep-16,0.30,0.30,0.30,0.30,1000
30-Aug-16,0.32,0.32,0.29,0.29,57000
29-Aug-16,0.29,0.29,0.29,0.29,59000
26-Aug-16,0.30,0.30,0.29,0.29,96000
25-Aug-16,0.30,0.30,0.30,0.30,213100
24-Aug-16,0.31,0.32,0.30,0.31,70700
23-Aug-16,0.30,0.31,0.30,0.30,246000
22-Aug-16,0.30,0.30,0.29,0.29,81000
19-Aug-16,0.29,0.30,0.29,0.30,80000
18-Aug-16,0.29,0.30,0.29,0.30,13200
17-Aug-16,0.30,0.30,0.29,0.29,150000
16-Aug-16,0.30,0.31,0.30,0.30,1183700
15-Aug-16,0.28,0.30,0.28,0.30,117600
12-Aug-16,0.30,0.30,0.29,0.29,40000
11-Aug-16,0.28,0.30,0.28,0.30,210200
10-Aug-16,0.28,0.28,0.28,0.28,35000
9-Aug-16,-,-,-,0.28,0
8-Aug-16,0.28,0.28,0.28,0.28,8000
5-Aug-16,0.27,0.28,0.27,0.28,31000
4-Aug-16,0.27,0.27,0.27,0.27,19800
3-Aug-16,0.27,0.27,0.27,0.27,48000
2-Aug-16,0.28,0.28,0.26,0.26,612100
1-Aug-16,0.29,0.29,0.28,0.28,230500
29-Jul-16,-,-,-,0.30,0
28-Jul-16,0.30,0.30,0.30,0.30,20000
27-Jul-16,0.29,0.30,0.29,0.30,143000
26-Jul-16,0.29,0.30,0.28,0.28,123000
25-Jul-16,0.30,0.30,0.30,0.30,1000
22-Jul-16,-,-,-,0.30,0
21-Jul-16,0.28,0.30,0.28,0.30,31000
20-Jul-16,0.28,0.30,0.28,0.30,22000
19-Jul-16,-,-,-,0.28,0
18-Jul-16,0.28,0.28,0.28,0.28,50000
15-Jul-16,0.29,0.29,0.29,0.29,10000
14-Jul-16,0.28,0.28,0.28,0.28,55000
13-Jul-16,-,-,-,0.28,0
12-Jul-16,-,-,-,0.28,0
11-Jul-16,0.28,0.28,0.28,0.28,40000
8-Jul-16,0.28,0.28,0.28,0.28,16000
5-Jul-16,0.29,0.30,0.28,0.30,61100
4-Jul-16,0.28,0.29,0.28,0.29,115000
1-Jul-16,0.30,0.30,0.29,0.29,55000
30-Jun-16,0.30,0.30,0.30,0.30,65000
29-Jun-16,0.30,0.31,0.30,0.30,411600
28-Jun-16,0.29,0.30,0.29,0.29,372900
27-Jun-16,-,-,-,0.28,0
24-Jun-16,0.27,0.28,0.27,0.28,120000
23-Jun-16,0.27,0.27,0.27,0.27,5000
21-Jun-16,0.28,0.28,0.27,0.27,240000
20-Jun-16,-,-,-,0.29,0
17-Jun-16,-,-,-,0.29,0
16-Jun-16,-,-,-,0.29,0
15-Jun-16,0.28,0.29,0.28,0.29,110200
14-Jun-16,-,-,-,0.28,0
13-Jun-16,-,-,-,0.28,0
10-Jun-16,0.28,0.28,0.28,0.28,26000
9-Jun-16,0.28,0.28,0.28,0.28,5800
8-Jun-16,0.28,0.28,0.28,0.28,95000
7-Jun-16,-,-,-,0.28,0
6-Jun-16,0.28,0.28,0.28,0.28,33300
3-Jun-16,-,-,-,0.28,0
2-Jun-16,0.28,0.28,0.28,0.28,10000
1-Jun-16,0.28,0.28,0.28,0.28,100000
31-May-16,0.28,0.29,0.28,0.28,37600
30-May-16,-,-,-,0.29,0
27-May-16,-,-,-,0.29,0
26-May-16,0.29,0.29,0.28,0.29,210400
25-May-16,0.29,0.29,0.29,0.29,20000
24-May-16,0.29,0.29,0.29,0.29,60000
23-May-16,-,-,-,0.30,0
20-May-16,0.31,0.32,0.30,0.30,227000
19-May-16,0.29,0.32,0.28,0.31,473900
18-May-16,0.29,0.30,0.28,0.28,40100
17-May-16,-,-,-,0.30,0
16-May-16,0.30,0.30,0.30,0.30,20300
13-May-16,-,-,-,0.30,0
12-May-16,0.28,0.30,0.28,0.30,405600
11-May-16,-,-,-,0.30,0
10-May-16,-,-,-,0.30,0
9-May-16,0.28,0.30,0.28,0.30,15900
6-May-16,-,-,-,0.27,0
5-May-16,0.27,0.27,0.27,0.27,200000
4-May-16,-,-,-,0.30,0
3-May-16,0.28,0.30,0.27,0.30,25700
29-Apr-16,0.28,0.28,0.28,0.28,37300
28-Apr-16,0.27,0.29,0.27,0.27,31000
27-Apr-16,0.27,0.27,0.27,0.27,10000
26-Apr-16,0.28,0.28,0.27,0.27,50000
25-Apr-16,-,-,-,0.28,0
22-Apr-16,0.27,0.28,0.27,0.28,46800
21-Apr-16,-,-,-,0.28,0
20-Apr-16,0.27,0.28,0.27,0.28,30200
19-Apr-16,0.28,0.28,0.27,0.28,332000
