Date,Open,High,Low,Close,Volume
7-Oct-16,0.49,0.50,0.48,0.48,82000
6-Oct-16,0.48,0.50,0.48,0.49,90100
5-Oct-16,0.50,0.50,0.48,0.50,103400
4-Oct-16,0.51,0.52,0.50,0.50,215500
30-Sep-16,0.56,0.56,0.52,0.52,111100
29-Sep-16,0.57,0.58,0.56,0.56,178000
28-Sep-16,0.57,0.57,0.55,0.56,53000
27-Sep-16,0.55,0.58,0.55,0.57,83000
26-Sep-16,0.56,0.61,0.56,0.59,1255300
23-Sep-16,0.48,0.53,0.48,0.53,522200
22-Sep-16,0.48,0.48,0.48,0.48,18000
21-Sep-16,0.48,0.48,0.47,0.48,18000
20-Sep-16,0.48,0.48,0.47,0.48,122500
19-Sep-16,0.48,0.48,0.47,0.48,15800
15-Sep-16,0.49,0.50,0.49,0.50,18000
14-Sep-16,0.47,0.50,0.47,0.48,24200
13-Sep-16,0.48,0.50,0.47,0.47,33000
9-Sep-16,0.47,0.48,0.47,0.48,82000
8-Sep-16,0.48,0.48,0.47,0.47,32000
7-Sep-16,-,-,-,0.48,0
6-Sep-16,0.47,0.48,0.47,0.48,70700
5-Sep-16,0.48,0.50,0.47,0.48,103000
2-Sep-16,0.50,0.50,0.49,0.49,25000
1-Sep-16,-,-,-,0.51,0
30-Aug-16,0.50,0.51,0.50,0.51,53900
29-Aug-16,0.50,0.52,0.48,0.51,134100
26-Aug-16,0.52,0.52,0.52,0.52,20100
25-Aug-16,0.50,0.52,0.49,0.49,271100
24-Aug-16,-,-,-,0.52,0
23-Aug-16,0.55,0.55,0.50,0.52,598400
22-Aug-16,0.56,0.56,0.55,0.56,86100
19-Aug-16,0.56,0.56,0.56,0.56,44100
18-Aug-16,0.55,0.56,0.55,0.56,7000
17-Aug-16,0.55,0.56,0.55,0.56,11000
16-Aug-16,0.56,0.56,0.56,0.56,184200
15-Aug-16,0.54,0.56,0.54,0.55,8000
12-Aug-16,0.53,0.54,0.52,0.54,32000
11-Aug-16,0.54,0.54,0.54,0.54,10000
10-Aug-16,-,-,-,0.56,0
9-Aug-16,0.54,0.57,0.54,0.56,17100
8-Aug-16,-,-,-,0.57,0
5-Aug-16,0.54,0.58,0.54,0.57,78500
4-Aug-16,0.52,0.55,0.51,0.54,60400
3-Aug-16,0.54,0.54,0.54,0.54,3000
2-Aug-16,0.54,0.54,0.54,0.54,20000
1-Aug-16,0.56,0.58,0.56,0.56,32000
29-Jul-16,0.54,0.56,0.54,0.56,70000
28-Jul-16,0.54,0.56,0.54,0.56,62100
