Date,Open,High,Low,Close,Volume
7-Oct-16,0.13,0.13,0.13,0.13,100000
6-Oct-16,-,-,-,0.13,0
5-Oct-16,0.13,0.13,0.13,0.13,25000
4-Oct-16,0.13,0.13,0.13,0.13,30000
30-Sep-16,0.13,0.13,0.12,0.13,200000
29-Sep-16,-,-,-,0.13,0
28-Sep-16,0.13,0.13,0.13,0.13,11000
27-Sep-16,0.13,0.14,0.13,0.14,28000
26-Sep-16,-,-,-,0.14,0
23-Sep-16,0.13,0.14,0.13,0.14,10000
22-Sep-16,0.13,0.13,0.13,0.13,10000
21-Sep-16,0.13,0.13,0.13,0.13,100
20-Sep-16,0.13,0.13,0.13,0.13,250000
19-Sep-16,0.13,0.14,0.13,0.13,252000
15-Sep-16,0.13,0.13,0.13,0.13,60400
14-Sep-16,0.13,0.13,0.12,0.13,101000
13-Sep-16,0.13,0.13,0.13,0.13,125200
9-Sep-16,0.13,0.14,0.13,0.14,819100
8-Sep-16,0.13,0.14,0.13,0.14,250100
7-Sep-16,0.14,0.14,0.13,0.13,370000
6-Sep-16,0.14,0.14,0.14,0.14,38000
5-Sep-16,0.14,0.14,0.14,0.14,67900
2-Sep-16,0.13,0.14,0.13,0.14,584900
1-Sep-16,0.14,0.14,0.14,0.14,412000
30-Aug-16,0.14,0.14,0.14,0.14,494100
29-Aug-16,0.14,0.14,0.14,0.14,530100
26-Aug-16,0.14,0.14,0.14,0.14,95500
25-Aug-16,0.14,0.14,0.14,0.14,114100
24-Aug-16,0.14,0.14,0.14,0.14,533000
23-Aug-16,0.14,0.15,0.14,0.15,990900
22-Aug-16,0.14,0.14,0.14,0.14,70200
19-Aug-16,0.14,0.14,0.14,0.14,100000
18-Aug-16,0.14,0.14,0.14,0.14,100000
17-Aug-16,0.14,0.14,0.14,0.14,107000
16-Aug-16,0.14,0.14,0.14,0.14,180900
15-Aug-16,0.14,0.14,0.14,0.14,324200
12-Aug-16,0.14,0.14,0.14,0.14,71800
11-Aug-16,0.14,0.14,0.14,0.14,546600
10-Aug-16,0.14,0.14,0.14,0.14,335000
