Date,Open,High,Low,Close,Volume
7-Oct-16,16.60,16.78,16.50,16.56,77500
6-Oct-16,16.68,16.68,16.50,16.50,50300
5-Oct-16,16.72,16.72,16.50,16.60,42500
4-Oct-16,16.72,16.72,16.58,16.72,7800
30-Sep-16,16.72,16.72,16.58,16.58,18800
29-Sep-16,16.82,16.82,16.74,16.76,23300
28-Sep-16,16.76,16.80,16.74,16.80,15200
27-Sep-16,16.80,16.80,16.72,16.78,18700
26-Sep-16,16.70,16.80,16.70,16.80,6400
23-Sep-16,16.84,16.84,16.76,16.76,1200
22-Sep-16,16.88,16.88,16.72,16.80,11700
21-Sep-16,16.88,16.94,16.76,16.76,33300
20-Sep-16,16.84,17.00,16.80,16.80,141700
19-Sep-16,16.26,16.82,16.26,16.82,83200
15-Sep-16,16.62,16.62,16.62,16.62,167400
14-Sep-16,15.98,16.20,15.98,16.14,92500
13-Sep-16,16.00,16.00,15.98,16.00,32600
9-Sep-16,15.98,16.00,15.98,16.00,59300
8-Sep-16,15.98,16.00,15.98,15.98,18000
7-Sep-16,15.96,16.00,15.96,15.98,31100
6-Sep-16,15.98,15.98,15.96,15.98,12000
5-Sep-16,15.98,15.98,15.96,15.98,43800
2-Sep-16,16.00,16.02,15.96,15.96,136100
1-Sep-16,15.98,15.98,15.94,15.98,188400
30-Aug-16,15.96,16.00,15.92,15.98,137400
29-Aug-16,15.98,15.98,15.92,15.96,40400
26-Aug-16,15.98,15.98,15.94,15.98,36400
25-Aug-16,15.94,16.00,15.94,15.96,9900
24-Aug-16,15.92,16.00,15.90,15.98,7700
23-Aug-16,15.92,15.96,15.92,15.92,23200
22-Aug-16,15.96,16.00,15.94,15.96,27800
19-Aug-16,15.98,15.98,15.96,15.96,66700
18-Aug-16,16.00,16.00,15.96,15.96,59100
17-Aug-16,15.98,16.00,15.98,15.98,11000
16-Aug-16,16.00,16.00,15.98,16.00,58200
15-Aug-16,16.02,16.02,15.98,16.00,29500
12-Aug-16,15.96,16.04,15.96,16.04,59200
11-Aug-16,15.96,15.98,15.96,15.96,109200
10-Aug-16,15.96,16.00,15.96,15.98,40000
9-Aug-16,16.00,16.00,15.96,15.96,57500
8-Aug-16,16.00,16.00,16.00,16.00,103700
5-Aug-16,16.00,16.00,15.96,15.96,41700
4-Aug-16,16.00,16.00,15.98,16.00,95100
3-Aug-16,16.00,16.08,16.00,16.00,176000
2-Aug-16,16.00,16.02,16.00,16.00,902300
1-Aug-16,16.10,16.10,15.98,16.00,36200
29-Jul-16,16.08,16.08,16.00,16.06,17200
28-Jul-16,16.10,16.10,16.00,16.10,24700
27-Jul-16,16.20,16.20,16.00,16.10,35400
26-Jul-16,16.00,16.16,15.98,16.14,43600
25-Jul-16,15.96,16.00,15.90,16.00,21700
22-Jul-16,15.98,16.00,15.82,15.98,14400
21-Jul-16,16.06,16.06,16.06,16.06,92800
20-Jul-16,16.10,16.10,16.00,16.04,97400
19-Jul-16,16.10,16.20,16.04,16.08,59300
18-Jul-16,16.10,16.12,16.00,16.00,69100
15-Jul-16,16.10,16.16,16.10,16.16,4800
14-Jul-16,16.14,16.18,16.12,16.12,30000
13-Jul-16,16.20,16.20,16.10,16.14,736200
12-Jul-16,16.20,16.20,16.06,16.10,173700
11-Jul-16,16.18,16.18,16.10,16.14,92900
8-Jul-16,16.20,16.24,16.04,16.18,12200
5-Jul-16,16.08,16.16,16.08,16.16,3700
4-Jul-16,15.94,16.08,15.88,16.08,25900
1-Jul-16,15.84,15.94,15.84,15.94,8200
30-Jun-16,15.80,15.90,15.80,15.86,7800
29-Jun-16,15.76,15.88,15.70,15.88,4300
28-Jun-16,15.70,15.86,15.60,15.82,18000
27-Jun-16,15.52,15.70,15.52,15.70,2400
24-Jun-16,15.60,15.62,15.50,15.60,15400
23-Jun-16,15.62,15.64,15.60,15.60,33400
21-Jun-16,15.66,15.66,15.60,15.66,17300
20-Jun-16,15.72,15.72,15.64,15.64,24000
17-Jun-16,15.62,15.74,15.62,15.66,1900
16-Jun-16,15.64,15.76,15.62,15.76,3400
15-Jun-16,15.60,15.78,15.60,15.78,4100
14-Jun-16,15.60,15.70,15.60,15.60,36400
13-Jun-16,15.52,15.68,15.50,15.66,12500
10-Jun-16,15.58,15.68,15.52,15.68,1500
9-Jun-16,15.76,15.76,15.58,15.60,19800
8-Jun-16,15.60,15.76,15.60,15.76,8300
7-Jun-16,15.70,15.80,15.64,15.76,16300
6-Jun-16,15.76,15.80,15.62,15.70,37400
3-Jun-16,15.70,15.98,15.70,15.80,40400
2-Jun-16,15.60,15.70,15.50,15.68,36600
1-Jun-16,15.50,15.60,15.40,15.60,14200
31-May-16,15.56,15.56,15.48,15.54,10900
30-May-16,-,-,-,15.48,0
27-May-16,15.38,15.56,15.38,15.48,64000
26-May-16,15.36,15.48,15.26,15.38,33400
25-May-16,15.40,15.40,15.40,15.40,28200
24-May-16,15.38,15.50,15.36,15.40,39800
23-May-16,15.40,15.40,15.36,15.38,57200
20-May-16,15.34,15.48,15.34,15.48,48100
19-May-16,15.36,15.50,15.34,15.38,12200
18-May-16,15.30,15.40,15.30,15.40,33500
17-May-16,15.30,15.38,15.30,15.38,13300
16-May-16,15.40,15.40,15.30,15.30,24500
13-May-16,15.38,15.40,15.30,15.40,504800
12-May-16,15.50,15.50,15.40,15.40,59200
11-May-16,15.38,15.50,15.36,15.50,49200
10-May-16,15.38,15.40,15.32,15.38,56200
9-May-16,15.40,15.74,15.36,15.60,19700
6-May-16,15.30,15.42,15.30,15.40,37800
5-May-16,15.30,15.30,15.28,15.30,54600
4-May-16,15.38,15.38,15.24,15.30,400200
3-May-16,15.36,15.50,15.22,15.36,13200
29-Apr-16,15.50,15.50,15.32,15.32,25100
28-Apr-16,15.56,15.56,15.42,15.50,9700
27-Apr-16,15.50,15.70,15.42,15.56,19200
26-Apr-16,15.78,15.78,15.56,15.56,19600
25-Apr-16,15.70,15.78,15.68,15.76,8100
22-Apr-16,15.70,15.78,15.70,15.74,16300
21-Apr-16,15.60,15.70,15.52,15.70,6000
20-Apr-16,15.54,15.66,15.46,15.62,1900
19-Apr-16,15.56,15.58,15.32,15.58,20100
18-Apr-16,15.56,15.56,15.48,15.56,6700
15-Apr-16,15.52,15.60,15.50,15.58,4300
14-Apr-16,15.56,15.60,15.50,15.52,64800
13-Apr-16,15.60,15.62,15.54,15.54,31200
12-Apr-16,15.56,15.64,15.56,15.62,17300
11-Apr-16,15.70,15.70,15.56,15.64,20900
8-Apr-16,15.48,15.72,15.48,15.72,80400
7-Apr-16,15.38,15.60,15.38,15.58,37300
6-Apr-16,15.40,15.46,15.38,15.38,25100
5-Apr-16,15.40,15.44,15.40,15.40,48100
4-Apr-16,15.42,15.42,14.88,15.42,36000
1-Apr-16,15.36,15.46,15.22,15.42,41000
31-Mar-16,15.26,15.36,15.26,15.36,16700
30-Mar-16,15.18,15.26,15.16,15.24,26000
29-Mar-16,15.06,15.18,15.06,15.14,19100
28-Mar-16,15.02,15.06,15.00,15.02,8500
25-Mar-16,15.00,15.04,14.98,15.00,176500
24-Mar-16,14.96,15.00,14.96,14.96,201800
23-Mar-16,15.00,15.00,14.96,14.96,22100
22-Mar-16,15.00,15.04,14.92,15.00,58500
21-Mar-16,15.04,15.04,14.96,15.00,76500
18-Mar-16,15.04,15.06,15.04,15.04,69300
17-Mar-16,15.02,15.06,14.98,15.00,168600
16-Mar-16,14.98,14.98,14.98,14.98,2900
15-Mar-16,14.98,14.98,14.90,14.98,236800
14-Mar-16,14.98,14.98,14.98,14.98,316100
11-Mar-16,14.98,14.98,14.96,14.98,238500
10-Mar-16,15.02,15.02,15.00,15.02,18700
9-Mar-16,14.94,15.02,14.92,15.02,219600
8-Mar-16,14.88,14.94,14.86,14.94,72300
7-Mar-16,14.94,14.94,14.88,14.92,513400
4-Mar-16,14.90,14.96,14.90,14.94,67000
3-Mar-16,14.82,14.92,14.82,14.88,17200
2-Mar-16,14.92,14.92,14.84,14.86,18600
1-Mar-16,14.80,14.84,14.78,14.84,516800
29-Feb-16,14.82,14.84,14.78,14.80,72000
26-Feb-16,14.98,14.98,14.86,14.90,143300
25-Feb-16,15.00,15.04,14.90,14.98,161000
24-Feb-16,15.04,15.04,15.00,15.00,180200
23-Feb-16,15.06,15.08,15.02,15.04,135900
22-Feb-16,14.94,15.06,14.92,15.06,23300
19-Feb-16,15.10,15.10,14.98,14.98,26800
18-Feb-16,15.10,15.12,15.06,15.10,209100
17-Feb-16,15.10,15.30,15.10,15.16,4200
16-Feb-16,15.26,15.30,15.20,15.30,237800
15-Feb-16,15.36,15.36,15.20,15.32,217600
12-Feb-16,15.40,15.40,15.28,15.30,236400
11-Feb-16,15.84,15.86,15.76,15.80,69200
10-Feb-16,15.74,15.84,15.74,15.84,22600
5-Feb-16,15.70,15.86,15.70,15.80,39500
4-Feb-16,15.66,15.68,15.58,15.68,15800
3-Feb-16,15.60,15.64,15.58,15.64,160000
2-Feb-16,15.70,15.76,15.58,15.60,45700
29-Jan-16,15.52,15.72,15.52,15.60,50400
28-Jan-16,15.74,15.74,15.40,15.50,113600
27-Jan-16,15.78,15.90,15.70,15.70,43600
26-Jan-16,15.70,15.80,15.50,15.80,5900
22-Jan-16,15.50,15.78,15.50,15.70,6200
21-Jan-16,15.60,15.60,15.40,15.40,32700
20-Jan-16,15.72,15.72,15.60,15.60,12200
19-Jan-16,15.78,15.78,15.62,15.76,13800
18-Jan-16,15.80,15.82,15.76,15.76,17200
15-Jan-16,15.90,15.90,15.76,15.78,456300
14-Jan-16,15.92,15.96,15.76,15.92,26900
13-Jan-16,15.96,16.02,15.96,15.96,35300
12-Jan-16,16.06,16.08,15.92,15.92,23300
11-Jan-16,16.00,16.08,15.98,16.06,13600
8-Jan-16,16.00,16.04,15.98,16.00,29600
7-Jan-16,16.08,16.16,16.00,16.08,30200
6-Jan-16,16.02,16.08,16.00,16.08,27900
5-Jan-16,16.00,16.08,15.90,16.08,23700
4-Jan-16,16.08,16.16,15.90,16.00,19600
31-Dec-15,16.10,16.26,16.00,16.08,44800
30-Dec-15,16.16,16.32,16.10,16.18,32900
29-Dec-15,15.90,16.18,15.90,16.14,35400
28-Dec-15,15.60,15.86,15.60,15.86,35100
23-Dec-15,15.46,15.50,15.46,15.50,24800
22-Dec-15,15.40,15.48,15.36,15.42,14300
21-Dec-15,15.30,15.46,15.28,15.40,31300
18-Dec-15,15.10,15.28,15.10,15.28,28900
17-Dec-15,14.92,15.10,14.92,15.10,46200
16-Dec-15,14.94,14.96,14.94,14.96,8200
15-Dec-15,14.98,14.98,14.92,14.94,15000
14-Dec-15,14.96,14.96,14.86,14.92,39700
11-Dec-15,14.96,14.98,14.94,14.96,39100
10-Dec-15,14.96,15.00,14.92,14.98,207300
9-Dec-15,15.00,15.00,14.96,14.98,52500
8-Dec-15,14.98,15.00,14.98,15.00,42600
7-Dec-15,14.98,15.00,14.90,14.98,19600
4-Dec-15,14.80,14.98,14.80,14.98,17300
3-Dec-15,14.78,14.82,14.74,14.78,21900
2-Dec-15,14.78,14.84,14.78,14.82,12000
1-Dec-15,14.80,14.80,14.70,14.78,2900
30-Nov-15,14.70,14.76,14.70,14.76,9500
27-Nov-15,14.78,14.78,14.70,14.72,10100
26-Nov-15,14.80,14.80,14.74,14.78,9600
25-Nov-15,14.80,14.80,14.80,14.80,2100
24-Nov-15,14.80,14.88,14.70,14.88,10600
23-Nov-15,14.90,14.90,14.74,14.90,9300
20-Nov-15,14.62,14.92,14.52,14.92,18500
19-Nov-15,14.64,14.66,14.62,14.62,14200
18-Nov-15,14.64,14.70,14.64,14.70,6000
17-Nov-15,14.70,14.80,14.70,14.78,14000
16-Nov-15,14.78,14.78,14.60,14.78,17200
13-Nov-15,14.74,14.80,14.74,14.78,13500
12-Nov-15,-,-,-,14.78,0
11-Nov-15,14.78,14.82,14.74,14.78,12600
9-Nov-15,14.86,14.90,14.76,14.78,34700
6-Nov-15,14.88,14.88,14.86,14.86,6000
5-Nov-15,14.90,14.92,14.82,14.88,20600
4-Nov-15,14.90,14.92,14.86,14.92,14800
3-Nov-15,14.96,14.96,14.90,14.90,38200
2-Nov-15,14.92,14.92,14.80,14.90,7600
30-Oct-15,14.80,14.90,14.80,14.90,3300
29-Oct-15,14.96,14.96,14.80,14.80,70300
28-Oct-15,14.90,15.02,14.90,14.96,22200
27-Oct-15,14.80,14.86,14.80,14.86,4500
26-Oct-15,14.70,15.00,14.70,14.86,104800
23-Oct-15,14.68,14.70,14.68,14.70,1100
22-Oct-15,14.50,14.70,14.50,14.70,1100
21-Oct-15,14.60,14.60,14.40,14.60,50800
20-Oct-15,14.74,14.74,14.60,14.60,7600
19-Oct-15,14.60,14.68,14.56,14.68,74300
16-Oct-15,14.50,14.66,14.50,14.58,23300
15-Oct-15,14.30,14.52,14.30,14.52,16000
13-Oct-15,14.44,14.52,14.44,14.52,9900
12-Oct-15,14.50,14.62,14.42,14.42,68300
