Date,Open,High,Low,Close,Volume
7-Oct-16,0.46,0.46,0.43,0.43,954100
6-Oct-16,0.44,0.46,0.42,0.46,1373600
5-Oct-16,0.46,0.46,0.44,0.44,1253200
4-Oct-16,0.48,0.50,0.46,0.47,676900
30-Sep-16,0.50,0.50,0.48,0.50,1105100
29-Sep-16,0.51,0.52,0.50,0.50,665700
28-Sep-16,0.54,0.54,0.50,0.50,893100
27-Sep-16,0.54,0.55,0.52,0.54,1486700
26-Sep-16,0.52,0.56,0.52,0.54,5905300
23-Sep-16,0.50,0.54,0.48,0.52,3008500
22-Sep-16,0.53,0.53,0.48,0.50,1720900
21-Sep-16,0.48,0.52,0.48,0.52,2874200
20-Sep-16,0.50,0.50,0.48,0.48,770900
19-Sep-16,0.54,0.54,0.50,0.51,1311200
15-Sep-16,0.52,0.57,0.52,0.53,5612600
14-Sep-16,0.43,0.54,0.43,0.51,8049700
13-Sep-16,0.37,0.43,0.37,0.42,611300
9-Sep-16,0.38,0.38,0.37,0.37,25000
8-Sep-16,0.38,0.38,0.36,0.37,56900
7-Sep-16,0.40,0.40,0.40,0.40,37000
6-Sep-16,0.40,0.42,0.38,0.40,250600
5-Sep-16,0.38,0.39,0.38,0.39,49000
2-Sep-16,0.35,0.36,0.35,0.36,50000
1-Sep-16,0.37,0.37,0.36,0.36,154500
30-Aug-16,0.36,0.38,0.36,0.36,167500
29-Aug-16,0.36,0.36,0.36,0.36,23000
26-Aug-16,0.37,0.38,0.36,0.36,268900
25-Aug-16,0.39,0.40,0.36,0.37,707500
24-Aug-16,0.41,0.42,0.38,0.39,435600
23-Aug-16,0.44,0.44,0.42,0.42,146400
22-Aug-16,0.46,0.47,0.42,0.44,658600
19-Aug-16,0.42,0.46,0.42,0.44,1826900
18-Aug-16,0.41,0.42,0.40,0.42,869700
17-Aug-16,0.42,0.43,0.40,0.41,904400
16-Aug-16,0.38,0.41,0.38,0.41,1409600
15-Aug-16,0.35,0.38,0.34,0.37,1236100
12-Aug-16,0.34,0.35,0.34,0.34,339000
11-Aug-16,0.32,0.33,0.32,0.33,27400
10-Aug-16,0.34,0.34,0.34,0.34,50000
9-Aug-16,0.34,0.34,0.34,0.34,95000
8-Aug-16,0.32,0.34,0.32,0.32,215200
5-Aug-16,-,-,-,0.32,0
4-Aug-16,0.31,0.32,0.29,0.32,1068500
3-Aug-16,0.31,0.31,0.31,0.31,48500
2-Aug-16,0.31,0.32,0.31,0.31,51000
1-Aug-16,0.30,0.30,0.30,0.30,49000
29-Jul-16,0.29,0.30,0.29,0.30,29000
28-Jul-16,0.28,0.28,0.28,0.28,5000
27-Jul-16,-,-,-,0.30,0
26-Jul-16,0.29,0.30,0.29,0.30,38900
25-Jul-16,0.30,0.30,0.30,0.30,1500
22-Jul-16,0.30,0.30,0.30,0.30,9900
21-Jul-16,0.32,0.32,0.32,0.32,1100
20-Jul-16,0.30,0.32,0.30,0.31,15000
19-Jul-16,0.30,0.31,0.30,0.31,42900
18-Jul-16,0.31,0.31,0.31,0.31,15000
15-Jul-16,0.32,0.32,0.31,0.31,10000
14-Jul-16,0.31,0.31,0.31,0.31,50000
13-Jul-16,0.32,0.32,0.32,0.32,30000
12-Jul-16,0.32,0.32,0.32,0.32,11000
11-Jul-16,0.32,0.32,0.32,0.32,16000
8-Jul-16,-,-,-,0.32,0
5-Jul-16,-,-,-,0.32,0
4-Jul-16,-,-,-,0.32,0
1-Jul-16,0.32,0.32,0.32,0.32,42900
30-Jun-16,0.32,0.33,0.32,0.33,222000
29-Jun-16,0.32,0.32,0.32,0.32,13000
28-Jun-16,0.30,0.32,0.30,0.32,332700
27-Jun-16,0.30,0.32,0.30,0.31,271000
24-Jun-16,0.30,0.30,0.28,0.30,106500
23-Jun-16,0.30,0.30,0.30,0.30,192900
21-Jun-16,0.29,0.30,0.28,0.30,38000
20-Jun-16,0.28,0.28,0.28,0.28,94000
17-Jun-16,-,-,-,0.28,0
16-Jun-16,0.28,0.29,0.28,0.28,182000
15-Jun-16,0.30,0.30,0.28,0.28,141000
14-Jun-16,0.30,0.30,0.28,0.29,210900
13-Jun-16,0.31,0.31,0.30,0.30,63000
10-Jun-16,0.31,0.34,0.30,0.32,191000
9-Jun-16,0.33,0.34,0.30,0.32,398000
8-Jun-16,0.34,0.34,0.33,0.34,186000
7-Jun-16,0.32,0.34,0.32,0.34,733900
6-Jun-16,0.30,0.32,0.30,0.32,188900
3-Jun-16,0.30,0.30,0.30,0.30,121000
2-Jun-16,0.30,0.30,0.30,0.30,59800
1-Jun-16,0.30,0.30,0.30,0.30,10000
31-May-16,0.34,0.34,0.30,0.30,227000
30-May-16,0.32,0.32,0.30,0.32,155500
27-May-16,0.32,0.32,0.32,0.32,50000
26-May-16,0.34,0.34,0.32,0.32,541300
25-May-16,0.32,0.36,0.32,0.34,1867000
24-May-16,0.32,0.32,0.30,0.30,358000
23-May-16,0.28,0.32,0.28,0.30,181000
20-May-16,0.27,0.28,0.27,0.28,85000
19-May-16,0.29,0.29,0.28,0.28,238300
18-May-16,0.30,0.30,0.30,0.30,114400
17-May-16,0.30,0.30,0.30,0.30,100000
16-May-16,0.32,0.32,0.30,0.31,254200
13-May-16,0.34,0.34,0.32,0.33,92200
12-May-16,0.32,0.35,0.32,0.34,609600
11-May-16,0.35,0.35,0.32,0.34,348600
10-May-16,0.32,0.36,0.32,0.35,1997300
9-May-16,0.29,0.32,0.29,0.32,968200
6-May-16,0.28,0.30,0.28,0.28,71100
5-May-16,0.26,0.26,0.26,0.26,10000
4-May-16,0.26,0.26,0.25,0.25,59000
3-May-16,0.28,0.28,0.26,0.26,60100
29-Apr-16,0.24,0.28,0.24,0.28,71800
28-Apr-16,0.26,0.26,0.25,0.25,21100
27-Apr-16,-,-,-,0.26,0
26-Apr-16,0.26,0.26,0.26,0.26,8800
25-Apr-16,0.26,0.26,0.26,0.26,70900
22-Apr-16,0.27,0.27,0.27,0.27,900
21-Apr-16,0.29,0.29,0.28,0.29,69100
20-Apr-16,0.27,0.30,0.27,0.29,259900
19-Apr-16,-,-,-,0.27,0
18-Apr-16,0.28,0.28,0.27,0.27,234000
15-Apr-16,0.26,0.28,0.24,0.28,427300
14-Apr-16,0.22,0.24,0.22,0.24,2000
13-Apr-16,0.23,0.23,0.22,0.22,9000
12-Apr-16,0.22,0.23,0.22,0.22,127300
11-Apr-16,-,-,-,0.23,0
8-Apr-16,0.23,0.23,0.23,0.23,9000
7-Apr-16,0.22,0.23,0.22,0.22,35100
6-Apr-16,0.22,0.22,0.22,0.22,20000
5-Apr-16,0.20,0.20,0.20,0.20,700
4-Apr-16,0.21,0.21,0.21,0.21,2000
1-Apr-16,0.21,0.21,0.21,0.21,51000
31-Mar-16,-,-,-,0.21,0
30-Mar-16,0.23,0.23,0.20,0.21,21100
29-Mar-16,-,-,-,0.23,0
28-Mar-16,-,-,-,0.23,0
25-Mar-16,0.23,0.24,0.21,0.23,83600
24-Mar-16,0.20,0.24,0.20,0.23,205900
23-Mar-16,0.20,0.22,0.19,0.22,6200
22-Mar-16,0.19,0.20,0.19,0.20,114000
21-Mar-16,-,-,-,0.19,0
18-Mar-16,-,-,-,0.19,0
17-Mar-16,-,-,-,0.19,0
16-Mar-16,0.18,0.19,0.18,0.19,30000
15-Mar-16,-,-,-,0.19,0
14-Mar-16,-,-,-,0.19,0
11-Mar-16,-,-,-,0.19,0
10-Mar-16,-,-,-,0.19,0
9-Mar-16,-,-,-,0.19,0
8-Mar-16,0.18,0.19,0.18,0.19,30000
7-Mar-16,-,-,-,0.16,0
4-Mar-16,-,-,-,0.16,0
3-Mar-16,-,-,-,0.16,0
2-Mar-16,0.16,0.16,0.16,0.16,39900
1-Mar-16,0.16,0.16,0.14,0.15,72000
29-Feb-16,-,-,-,0.16,0
