Date,Open,High,Low,Close,Volume
7-Oct-16,0.95,0.95,0.94,0.94,141000
6-Oct-16,0.95,0.96,0.94,0.96,172500
5-Oct-16,0.96,0.96,0.95,0.96,65600
4-Oct-16,0.96,0.97,0.95,0.96,35200
30-Sep-16,0.96,0.96,0.96,0.96,171000
29-Sep-16,0.96,0.97,0.96,0.97,373300
28-Sep-16,0.97,0.98,0.96,0.98,333000
27-Sep-16,0.97,0.98,0.97,0.97,184800
26-Sep-16,0.97,0.98,0.97,0.97,96200
23-Sep-16,0.97,0.98,0.96,0.97,707000
22-Sep-16,0.97,0.97,0.97,0.97,214000
21-Sep-16,0.96,0.98,0.96,0.97,1039900
20-Sep-16,0.95,0.97,0.93,0.97,892400
19-Sep-16,0.98,0.98,0.96,0.97,366200
15-Sep-16,0.97,0.98,0.97,0.98,141000
14-Sep-16,0.96,0.98,0.96,0.98,167000
13-Sep-16,0.98,0.98,0.96,0.97,327500
9-Sep-16,0.98,0.98,0.98,0.98,285200
8-Sep-16,0.98,1.00,0.98,0.98,774200
7-Sep-16,0.98,1.00,0.98,0.98,1004100
6-Sep-16,0.97,0.98,0.96,0.98,701100
5-Sep-16,0.94,0.96,0.94,0.96,848800
2-Sep-16,0.92,0.95,0.91,0.94,1294100
1-Sep-16,0.93,0.95,0.91,0.93,1935900
30-Aug-16,0.94,0.94,0.92,0.94,363300
29-Aug-16,0.96,0.96,0.94,0.94,215100
26-Aug-16,0.95,0.96,0.92,0.95,2346600
25-Aug-16,0.90,0.94,0.90,0.94,1505100
24-Aug-16,0.89,0.90,0.88,0.90,351500
23-Aug-16,0.88,0.89,0.88,0.88,367900
22-Aug-16,0.91,0.91,0.88,0.88,223600
19-Aug-16,0.89,0.90,0.88,0.88,288900
18-Aug-16,0.90,0.90,0.90,0.90,237600
17-Aug-16,0.90,0.90,0.90,0.90,94000
16-Aug-16,0.90,0.91,0.90,0.91,111200
15-Aug-16,0.90,0.92,0.90,0.90,522900
12-Aug-16,0.90,0.90,0.89,0.90,273100
11-Aug-16,0.90,0.90,0.89,0.90,264900
10-Aug-16,0.90,0.90,0.90,0.90,239400
9-Aug-16,0.89,0.90,0.89,0.90,91500
8-Aug-16,0.92,0.92,0.89,0.90,196000
5-Aug-16,0.90,0.91,0.90,0.90,286500
4-Aug-16,0.89,0.91,0.89,0.90,213500
3-Aug-16,0.90,0.92,0.88,0.89,774300
2-Aug-16,0.96,0.96,0.90,0.90,1080500
1-Aug-16,1.00,1.00,0.97,0.97,1034500
29-Jul-16,0.98,0.99,0.97,0.99,2002100
28-Jul-16,0.96,0.98,0.96,0.98,2096600
27-Jul-16,0.94,0.96,0.93,0.96,2601500
26-Jul-16,0.88,0.92,0.87,0.92,2376400
25-Jul-16,0.86,0.87,0.86,0.87,821600
22-Jul-16,0.85,0.86,0.84,0.86,1166400
21-Jul-16,0.84,0.85,0.83,0.85,738800
20-Jul-16,0.80,0.84,0.80,0.84,543800
19-Jul-16,0.80,0.80,0.78,0.80,537400
18-Jul-16,1.18,1.20,1.15,1.15,2131100
15-Jul-16,1.16,1.18,1.15,1.17,1590900
14-Jul-16,1.18,1.18,1.14,1.16,1400900
13-Jul-16,1.20,1.20,1.16,1.18,1369700
12-Jul-16,1.23,1.23,1.19,1.20,829600
11-Jul-16,1.23,1.24,1.22,1.23,655900
8-Jul-16,1.24,1.25,1.22,1.23,1064000
5-Jul-16,1.23,1.25,1.23,1.24,2276800
4-Jul-16,1.20,1.21,1.18,1.20,248300
1-Jul-16,1.17,1.20,1.17,1.20,826600
30-Jun-16,1.16,1.18,1.16,1.17,122800
29-Jun-16,1.18,1.18,1.16,1.18,177500
28-Jun-16,1.20,1.23,1.18,1.18,920100
27-Jun-16,1.16,1.21,1.16,1.20,1305600
24-Jun-16,1.17,1.17,1.15,1.16,457700
23-Jun-16,1.15,1.17,1.15,1.17,296000
