Date,Open,High,Low,Close,Volume
7-Oct-16,4.22,4.30,4.22,4.27,68100
6-Oct-16,4.21,4.25,4.20,4.21,120400
5-Oct-16,4.19,4.24,4.19,4.20,136600
4-Oct-16,4.20,4.20,4.18,4.20,121500
30-Sep-16,4.22,4.22,4.19,4.20,130500
29-Sep-16,4.26,4.27,4.22,4.24,90100
28-Sep-16,4.27,4.31,4.25,4.26,477500
27-Sep-16,4.27,4.29,4.26,4.26,105800
26-Sep-16,4.29,4.30,4.26,4.27,83100
23-Sep-16,4.28,4.29,4.27,4.29,81300
22-Sep-16,4.30,4.33,4.27,4.27,354300
21-Sep-16,4.36,4.37,4.26,4.27,476500
20-Sep-16,4.41,4.45,4.34,4.35,619300
19-Sep-16,4.22,4.39,4.22,4.30,856300
15-Sep-16,4.09,4.22,4.08,4.15,24600
14-Sep-16,4.10,4.10,4.05,4.10,24400
13-Sep-16,4.14,4.14,4.10,4.10,20600
9-Sep-16,4.25,4.25,4.15,4.20,29700
8-Sep-16,4.18,4.21,4.18,4.18,162100
7-Sep-16,4.15,4.25,4.14,4.18,83500
6-Sep-16,4.13,4.15,4.10,4.12,66100
5-Sep-16,4.05,4.15,4.05,4.15,106600
2-Sep-16,4.08,4.08,4.01,4.06,51500
1-Sep-16,3.98,4.11,3.97,4.06,177000
30-Aug-16,3.97,3.98,3.97,3.97,6100
29-Aug-16,3.91,3.98,3.90,3.98,40800
26-Aug-16,3.96,3.96,3.93,3.94,53900
25-Aug-16,3.96,3.96,3.93,3.96,18700
24-Aug-16,3.97,4.04,3.92,3.96,132600
23-Aug-16,3.97,3.99,3.97,3.97,39500
22-Aug-16,4.02,4.02,3.96,3.98,33800
19-Aug-16,3.98,4.02,3.98,4.02,14400
18-Aug-16,4.01,4.01,3.95,3.98,83900
17-Aug-16,4.06,4.07,4.00,4.04,63200
16-Aug-16,4.07,4.08,4.06,4.08,40700
15-Aug-16,4.08,4.08,4.00,4.08,60700
12-Aug-16,4.09,4.15,4.07,4.08,210000
11-Aug-16,4.01,4.10,3.98,4.08,187400
10-Aug-16,3.96,4.01,3.93,4.01,184200
9-Aug-16,3.95,3.98,3.95,3.96,69400
8-Aug-16,3.97,3.98,3.95,3.95,44200
5-Aug-16,3.95,3.98,3.93,3.95,31400
4-Aug-16,3.92,3.94,3.92,3.93,32100
3-Aug-16,3.91,3.95,3.91,3.95,101500
2-Aug-16,3.98,3.98,3.87,3.93,318500
1-Aug-16,3.99,4.00,3.97,3.98,32600
29-Jul-16,4.00,4.00,3.97,3.99,25100
28-Jul-16,3.99,4.00,3.99,3.99,114000
27-Jul-16,3.96,3.99,3.96,3.99,34200
26-Jul-16,3.95,3.98,3.89,3.96,388200
25-Jul-16,3.97,4.01,3.92,3.98,178500
22-Jul-16,4.01,4.01,3.90,3.98,346500
21-Jul-16,4.00,4.00,3.98,3.99,63600
20-Jul-16,4.05,4.10,3.99,4.00,126200
19-Jul-16,4.05,4.10,4.05,4.06,58000
18-Jul-16,4.02,4.09,3.99,4.09,83900
15-Jul-16,4.00,4.11,3.99,4.03,119400
14-Jul-16,3.92,4.00,3.80,4.00,353700
13-Jul-16,3.95,3.96,3.91,3.92,60000
12-Jul-16,3.95,3.98,3.94,3.94,40900
11-Jul-16,3.94,3.98,3.94,3.97,87000
8-Jul-16,3.92,4.00,3.92,3.93,79300
5-Jul-16,3.91,3.97,3.91,3.92,14400
4-Jul-16,3.93,3.94,3.79,3.90,242400
1-Jul-16,4.06,4.06,3.93,3.94,424900
30-Jun-16,4.12,4.12,3.98,4.04,798800
29-Jun-16,4.12,4.14,4.00,4.12,195000
28-Jun-16,4.08,4.13,4.08,4.12,84400
27-Jun-16,4.07,4.14,3.98,4.11,216400
24-Jun-16,4.14,4.23,3.99,4.07,608000
23-Jun-16,4.15,4.15,4.10,4.12,118800
21-Jun-16,4.19,4.23,4.10,4.16,164500
20-Jun-16,4.20,4.21,4.16,4.19,177900
17-Jun-16,4.21,4.24,4.11,4.16,71900
16-Jun-16,4.26,4.34,4.20,4.30,17600
15-Jun-16,4.25,4.29,4.24,4.25,35500
14-Jun-16,4.26,4.38,4.24,4.24,53800
13-Jun-16,4.31,4.34,4.30,4.32,48500
10-Jun-16,4.34,4.36,4.29,4.30,154100
9-Jun-16,4.33,4.43,4.33,4.38,178400
8-Jun-16,4.36,4.37,4.33,4.37,69600
7-Jun-16,4.40,4.44,4.37,4.40,50200
6-Jun-16,4.31,4.45,4.31,4.39,261100
3-Jun-16,4.28,4.45,4.26,4.29,87500
2-Jun-16,4.27,4.34,4.20,4.26,66500
1-Jun-16,4.28,4.30,4.25,4.25,48000
31-May-16,4.31,4.32,4.28,4.30,25100
30-May-16,4.30,4.30,4.29,4.30,16700
27-May-16,4.35,4.39,4.30,4.34,14200
