Date,Open,High,Low,Close,Volume
7-Oct-16,1.67,1.67,1.66,1.67,3818100
6-Oct-16,1.67,1.67,1.65,1.66,2910100
5-Oct-16,1.66,1.67,1.65,1.66,6250900
4-Oct-16,1.65,1.66,1.64,1.66,2133500
30-Sep-16,1.65,1.65,1.63,1.65,1368200
29-Sep-16,1.64,1.65,1.64,1.65,664800
28-Sep-16,1.66,1.66,1.64,1.65,571700
27-Sep-16,1.65,1.66,1.64,1.66,1846600
26-Sep-16,1.67,1.68,1.65,1.66,891500
23-Sep-16,1.65,1.68,1.65,1.68,4254700
22-Sep-16,1.64,1.68,1.64,1.65,3620700
21-Sep-16,1.65,1.65,1.63,1.64,787100
20-Sep-16,1.64,1.69,1.64,1.65,2545500
19-Sep-16,1.66,1.66,1.63,1.64,1102000
15-Sep-16,1.65,1.69,1.64,1.69,2845400
14-Sep-16,1.64,1.66,1.64,1.66,12068200
13-Sep-16,1.64,1.66,1.64,1.65,1226700
9-Sep-16,1.64,1.66,1.64,1.66,2273900
8-Sep-16,1.65,1.65,1.63,1.64,1826400
7-Sep-16,1.63,1.66,1.63,1.66,451100
6-Sep-16,1.62,1.66,1.59,1.65,5287200
5-Sep-16,1.65,1.65,1.62,1.63,3322500
2-Sep-16,1.66,1.67,1.65,1.66,1526500
1-Sep-16,1.65,1.67,1.65,1.66,2813800
30-Aug-16,1.64,1.67,1.63,1.65,3913300
29-Aug-16,1.66,1.66,1.62,1.65,3215700
26-Aug-16,1.67,1.68,1.65,1.66,876200
25-Aug-16,1.67,1.68,1.65,1.66,3869700
24-Aug-16,1.67,1.70,1.65,1.66,9595100
23-Aug-16,1.64,1.67,1.63,1.67,6528800
22-Aug-16,1.66,1.66,1.63,1.63,3501700
19-Aug-16,1.68,1.69,1.64,1.65,6644700
18-Aug-16,1.71,1.80,1.69,1.69,15847500
17-Aug-16,1.70,1.71,1.68,1.70,2966900
16-Aug-16,1.68,1.71,1.68,1.71,12023900
15-Aug-16,1.68,1.69,1.67,1.68,8765400
12-Aug-16,1.69,1.69,1.67,1.68,10503600
11-Aug-16,1.67,1.70,1.66,1.70,8610100
10-Aug-16,1.67,1.68,1.66,1.68,9595000
9-Aug-16,1.66,1.69,1.64,1.68,12818800
8-Aug-16,1.63,1.67,1.62,1.66,5201000
5-Aug-16,1.62,1.64,1.62,1.64,3240700
4-Aug-16,1.62,1.67,1.62,1.62,5900200
3-Aug-16,1.63,1.65,1.62,1.62,3078300
2-Aug-16,1.62,1.64,1.62,1.63,4881100
1-Aug-16,1.61,1.63,1.61,1.62,2510100
29-Jul-16,1.62,1.63,1.61,1.61,1175800
28-Jul-16,1.65,1.65,1.62,1.62,202300
27-Jul-16,1.60,1.72,1.60,1.65,8374500
26-Jul-16,1.60,1.61,1.60,1.60,1880500
25-Jul-16,1.61,1.62,1.61,1.61,862000
22-Jul-16,1.60,1.62,1.60,1.61,773300
21-Jul-16,1.60,1.61,1.60,1.60,2098600
20-Jul-16,1.60,1.62,1.59,1.60,2045400
19-Jul-16,1.61,1.62,1.59,1.60,1567800
18-Jul-16,1.64,1.64,1.61,1.61,3613900
15-Jul-16,1.62,1.68,1.61,1.66,2390200
14-Jul-16,1.61,1.62,1.61,1.61,908600
13-Jul-16,1.61,1.61,1.60,1.61,235200
12-Jul-16,1.61,1.62,1.60,1.60,711600
11-Jul-16,1.60,1.62,1.60,1.62,336900
8-Jul-16,1.62,1.62,1.61,1.62,225900
5-Jul-16,1.59,1.61,1.59,1.61,796900
4-Jul-16,1.60,1.60,1.59,1.60,2878500
1-Jul-16,1.59,1.61,1.59,1.60,1801200
30-Jun-16,1.60,1.61,1.59,1.60,3138700
29-Jun-16,1.59,1.61,1.59,1.60,3170200
28-Jun-16,1.59,1.60,1.59,1.59,5833600
27-Jun-16,1.58,1.60,1.57,1.59,2863800
24-Jun-16,1.60,1.61,1.56,1.61,7195800
23-Jun-16,1.60,1.61,1.59,1.59,398000
21-Jun-16,1.60,1.61,1.58,1.59,1966800
20-Jun-16,1.61,1.61,1.58,1.58,2794100
17-Jun-16,1.59,1.60,1.57,1.60,3806500
16-Jun-16,1.61,1.61,1.58,1.58,978600
15-Jun-16,1.61,1.61,1.60,1.60,1661300
14-Jun-16,1.60,1.61,1.58,1.60,2968900
13-Jun-16,1.59,1.60,1.58,1.59,1799700
10-Jun-16,1.59,1.60,1.58,1.59,1482000
9-Jun-16,1.60,1.60,1.59,1.59,1171200
