Date,Open,High,Low,Close,Volume
7-Oct-16,0.15,0.16,0.15,0.16,698800
6-Oct-16,0.15,0.15,0.15,0.15,779300
5-Oct-16,0.15,0.15,0.15,0.15,81000
4-Oct-16,0.15,0.15,0.15,0.15,221700
30-Sep-16,0.15,0.15,0.15,0.15,485000
29-Sep-16,0.15,0.15,0.15,0.15,1690500
28-Sep-16,0.15,0.16,0.15,0.15,157100
27-Sep-16,0.15,0.15,0.14,0.15,287600
26-Sep-16,0.15,0.15,0.15,0.15,2086200
23-Sep-16,0.15,0.15,0.15,0.15,341000
22-Sep-16,0.16,0.16,0.15,0.15,672000
21-Sep-16,0.15,0.15,0.15,0.15,63600
20-Sep-16,0.15,0.15,0.15,0.15,420000
19-Sep-16,0.15,0.16,0.15,0.15,206300
15-Sep-16,0.15,0.15,0.15,0.15,30000
14-Sep-16,0.15,0.16,0.15,0.15,177000
13-Sep-16,0.15,0.16,0.15,0.16,1640500
9-Sep-16,0.15,0.15,0.15,0.15,35000
8-Sep-16,0.16,0.16,0.15,0.15,31000
7-Sep-16,0.16,0.16,0.15,0.15,174000
6-Sep-16,0.15,0.16,0.15,0.15,1224000
5-Sep-16,0.15,0.16,0.15,0.15,111000
2-Sep-16,-,-,-,0.16,0
1-Sep-16,0.15,0.16,0.15,0.16,168500
30-Aug-16,0.15,0.16,0.15,0.16,85000
29-Aug-16,0.16,0.16,0.15,0.16,292000
26-Aug-16,0.16,0.16,0.16,0.16,722000
25-Aug-16,0.16,0.16,0.16,0.16,1143500
24-Aug-16,0.15,0.16,0.15,0.16,255000
23-Aug-16,0.15,0.16,0.15,0.16,665600
22-Aug-16,0.16,0.16,0.16,0.16,151000
19-Aug-16,0.16,0.16,0.16,0.16,1117300
18-Aug-16,0.16,0.16,0.16,0.16,787000
17-Aug-16,0.16,0.16,0.16,0.16,2014400
16-Aug-16,0.16,0.16,0.16,0.16,1490500
15-Aug-16,0.16,0.16,0.16,0.16,115200
12-Aug-16,0.16,0.16,0.16,0.16,575000
11-Aug-16,0.16,0.16,0.16,0.16,1800000
10-Aug-16,0.16,0.16,0.16,0.16,440600
9-Aug-16,0.16,0.16,0.16,0.16,230000
8-Aug-16,0.16,0.16,0.16,0.16,528000
5-Aug-16,0.16,0.16,0.16,0.16,406200
4-Aug-16,0.16,0.16,0.16,0.16,15100
3-Aug-16,0.16,0.16,0.16,0.16,876000
2-Aug-16,0.16,0.16,0.15,0.16,1551000
1-Aug-16,0.16,0.16,0.16,0.16,85900
29-Jul-16,0.16,0.16,0.15,0.16,7079700
28-Jul-16,0.16,0.16,0.15,0.16,14048500
27-Jul-16,0.16,0.16,0.16,0.16,9113200
26-Jul-16,0.15,0.16,0.15,0.16,210000
25-Jul-16,0.15,0.16,0.15,0.16,2035000
22-Jul-16,0.15,0.15,0.15,0.15,250000
21-Jul-16,0.16,0.16,0.16,0.16,2431700
20-Jul-16,0.15,0.16,0.15,0.16,1600200
19-Jul-16,0.15,0.16,0.15,0.16,268700
18-Jul-16,0.16,0.16,0.15,0.15,30000
15-Jul-16,0.16,0.16,0.15,0.15,200500
