Date,Open,High,Low,Close,Volume
7-Oct-16,2.63,2.64,2.62,2.63,173500
6-Oct-16,2.63,2.65,2.62,2.65,440800
5-Oct-16,2.62,2.64,2.61,2.63,654400
4-Oct-16,2.60,2.62,2.60,2.61,65400
30-Sep-16,2.63,2.63,2.60,2.60,215500
29-Sep-16,2.60,2.63,2.60,2.63,582700
28-Sep-16,2.58,2.60,2.57,2.59,821300
27-Sep-16,2.54,2.58,2.54,2.58,614400
26-Sep-16,2.53,2.55,2.53,2.55,312700
23-Sep-16,2.56,2.57,2.52,2.54,277800
22-Sep-16,2.55,2.58,2.55,2.57,1082400
21-Sep-16,2.54,2.56,2.50,2.55,351300
20-Sep-16,2.55,2.57,2.54,2.57,271300
19-Sep-16,2.51,2.55,2.51,2.55,165800
15-Sep-16,2.52,2.54,2.51,2.51,109000
14-Sep-16,2.51,2.54,2.51,2.54,351900
13-Sep-16,2.51,2.53,2.51,2.51,1359400
9-Sep-16,2.53,2.53,2.50,2.51,997300
8-Sep-16,2.51,2.53,2.50,2.51,1194300
7-Sep-16,2.50,2.52,2.50,2.51,530100
6-Sep-16,2.50,2.51,2.49,2.51,332000
5-Sep-16,2.51,2.51,2.50,2.51,580500
2-Sep-16,2.52,2.52,2.50,2.51,1086400
1-Sep-16,2.52,2.52,2.49,2.52,1065300
30-Aug-16,2.53,2.55,2.50,2.55,1122000
29-Aug-16,2.52,2.53,2.51,2.52,892600
26-Aug-16,2.51,2.53,2.51,2.51,1060400
25-Aug-16,2.50,2.52,2.49,2.50,1054500
24-Aug-16,2.50,2.50,2.49,2.50,639900
23-Aug-16,2.50,2.51,2.49,2.49,215200
22-Aug-16,2.51,2.52,2.50,2.51,137600
19-Aug-16,2.51,2.51,2.49,2.49,614800
18-Aug-16,2.51,2.51,2.50,2.50,702900
17-Aug-16,2.51,2.52,2.50,2.51,388500
16-Aug-16,2.51,2.55,2.51,2.51,1478100
15-Aug-16,2.51,2.52,2.51,2.51,951500
12-Aug-16,2.52,2.52,2.51,2.52,284400
11-Aug-16,2.53,2.53,2.52,2.52,719500
10-Aug-16,2.53,2.55,2.53,2.53,1101900
9-Aug-16,2.51,2.55,2.51,2.53,678200
8-Aug-16,2.53,2.53,2.52,2.52,23600
5-Aug-16,2.52,2.53,2.51,2.52,270000
4-Aug-16,2.49,2.51,2.49,2.50,279100
3-Aug-16,2.50,2.50,2.49,2.49,29200
2-Aug-16,2.50,2.52,2.50,2.51,418100
1-Aug-16,2.52,2.52,2.49,2.49,145400
29-Jul-16,2.52,2.53,2.51,2.53,148900
28-Jul-16,2.51,2.52,2.50,2.52,81100
27-Jul-16,2.52,2.53,2.52,2.52,90900
26-Jul-16,2.54,2.54,2.52,2.52,52800
25-Jul-16,2.55,2.55,2.53,2.55,1155700
22-Jul-16,2.52,2.53,2.52,2.53,166200
21-Jul-16,2.51,2.53,2.51,2.52,104600
20-Jul-16,2.54,2.54,2.52,2.52,108400
19-Jul-16,2.52,2.54,2.52,2.53,160700
