Date,Open,High,Low,Close,Volume
7-Oct-16,0.69,0.70,0.68,0.70,33000
6-Oct-16,0.68,0.69,0.68,0.69,12000
5-Oct-16,0.68,0.69,0.68,0.69,555300
4-Oct-16,0.68,0.69,0.68,0.68,533300
30-Sep-16,0.70,0.70,0.67,0.68,446100
29-Sep-16,0.70,0.70,0.70,0.70,322900
28-Sep-16,0.70,0.70,0.69,0.69,79100
27-Sep-16,0.70,0.70,0.69,0.70,426300
26-Sep-16,0.70,0.70,0.70,0.70,620800
23-Sep-16,0.71,0.71,0.70,0.70,424500
22-Sep-16,0.71,0.71,0.70,0.71,98000
21-Sep-16,0.71,0.71,0.70,0.71,66000
20-Sep-16,0.71,0.71,0.71,0.71,156000
19-Sep-16,0.72,0.72,0.70,0.71,118000
15-Sep-16,-,-,-,0.72,0
14-Sep-16,0.70,0.72,0.70,0.72,24700
13-Sep-16,0.71,0.72,0.70,0.72,262800
9-Sep-16,0.72,0.72,0.72,0.72,198200
8-Sep-16,0.73,0.73,0.71,0.71,899000
7-Sep-16,-,-,-,0.72,0
6-Sep-16,0.72,0.72,0.71,0.72,745500
5-Sep-16,0.72,0.72,0.72,0.72,315000
2-Sep-16,0.74,0.74,0.72,0.72,224000
1-Sep-16,0.72,0.74,0.72,0.74,47300
30-Aug-16,0.74,0.74,0.72,0.72,70500
29-Aug-16,0.72,0.72,0.72,0.72,4000
26-Aug-16,0.72,0.76,0.72,0.76,56200
25-Aug-16,0.74,0.74,0.72,0.74,330700
24-Aug-16,0.74,0.74,0.74,0.74,185200
23-Aug-16,0.74,0.75,0.74,0.74,66000
22-Aug-16,0.74,0.75,0.74,0.75,92400
19-Aug-16,0.75,0.76,0.75,0.76,182200
18-Aug-16,0.76,0.76,0.75,0.75,50800
17-Aug-16,0.77,0.77,0.76,0.76,135000
16-Aug-16,0.74,0.78,0.74,0.77,812000
15-Aug-16,0.74,0.76,0.74,0.74,552300
12-Aug-16,0.73,0.74,0.72,0.74,252400
11-Aug-16,0.72,0.73,0.72,0.73,276200
10-Aug-16,0.73,0.73,0.72,0.72,10000
9-Aug-16,0.72,0.73,0.72,0.73,191500
8-Aug-16,0.72,0.72,0.72,0.72,90000
5-Aug-16,0.74,0.74,0.73,0.73,33000
4-Aug-16,0.74,0.74,0.73,0.74,126100
3-Aug-16,0.74,0.74,0.74,0.74,261700
2-Aug-16,0.76,0.77,0.75,0.75,753800
1-Aug-16,0.77,0.77,0.75,0.76,212600
29-Jul-16,-,-,-,0.73,0
28-Jul-16,-,-,-,0.73,0
27-Jul-16,-,-,-,0.73,0
26-Jul-16,-,-,-,0.73,0
25-Jul-16,-,-,-,0.73,0
22-Jul-16,0.72,0.73,0.72,0.73,24000
21-Jul-16,0.73,0.73,0.72,0.72,146100
20-Jul-16,0.74,0.74,0.73,0.73,57000
19-Jul-16,0.72,0.74,0.72,0.74,25000
18-Jul-16,0.72,0.72,0.72,0.72,340700
15-Jul-16,0.74,0.74,0.73,0.73,131300
14-Jul-16,0.72,0.73,0.72,0.73,236600
13-Jul-16,0.72,0.72,0.72,0.72,86200
12-Jul-16,0.72,0.72,0.71,0.71,53400
11-Jul-16,0.72,0.72,0.70,0.71,70700
8-Jul-16,0.72,0.72,0.72,0.72,116400
5-Jul-16,0.72,0.72,0.72,0.72,400
4-Jul-16,0.71,0.72,0.71,0.71,105300
1-Jul-16,0.71,0.72,0.70,0.70,39300
30-Jun-16,0.72,0.72,0.72,0.72,103800
29-Jun-16,0.71,0.72,0.71,0.71,39000
28-Jun-16,0.71,0.71,0.71,0.71,78500
27-Jun-16,0.72,0.72,0.71,0.71,400000
24-Jun-16,0.71,0.72,0.70,0.71,467600
23-Jun-16,0.72,0.72,0.71,0.71,180400
21-Jun-16,0.72,0.72,0.72,0.72,72400
20-Jun-16,0.73,0.73,0.71,0.72,124500
17-Jun-16,0.73,0.73,0.72,0.73,109200
16-Jun-16,0.74,0.74,0.73,0.73,190000
15-Jun-16,0.74,0.74,0.74,0.74,43000
14-Jun-16,0.74,0.74,0.74,0.74,66200
13-Jun-16,0.74,0.74,0.74,0.74,546000
10-Jun-16,0.74,0.74,0.74,0.74,488000
9-Jun-16,0.75,0.75,0.74,0.74,65000
8-Jun-16,0.75,0.76,0.74,0.75,199000
7-Jun-16,0.74,0.74,0.74,0.74,11000
6-Jun-16,-,-,-,0.74,0
3-Jun-16,0.74,0.74,0.74,0.74,133200
2-Jun-16,0.75,0.75,0.74,0.74,44000
1-Jun-16,0.72,0.75,0.72,0.74,1473700
31-May-16,0.72,0.74,0.72,0.73,588300
30-May-16,0.74,0.74,0.72,0.74,357400
27-May-16,0.72,0.72,0.72,0.72,7600
26-May-16,0.73,0.73,0.73,0.73,29000
25-May-16,0.73,0.74,0.73,0.74,213300
24-May-16,0.74,0.74,0.72,0.72,6000
23-May-16,0.73,0.74,0.73,0.74,834700
20-May-16,0.74,0.74,0.74,0.74,200
19-May-16,0.74,0.74,0.74,0.74,5000
18-May-16,0.72,0.74,0.72,0.74,542800
17-May-16,0.72,0.73,0.72,0.72,79000
16-May-16,0.72,0.72,0.72,0.72,161000
13-May-16,0.72,0.73,0.72,0.72,53000
12-May-16,0.74,0.74,0.74,0.74,99000
11-May-16,0.74,0.74,0.74,0.74,30300
10-May-16,0.74,0.74,0.74,0.74,127300
9-May-16,0.72,0.74,0.72,0.74,376300
6-May-16,0.72,0.73,0.72,0.72,80200
5-May-16,0.72,0.72,0.71,0.72,49600
4-May-16,0.72,0.72,0.70,0.72,26900
3-May-16,0.72,0.72,0.72,0.72,96500
29-Apr-16,0.72,0.73,0.72,0.72,200700
28-Apr-16,0.72,0.73,0.72,0.73,182700
27-Apr-16,0.73,0.73,0.72,0.73,86200
26-Apr-16,0.73,0.74,0.73,0.74,175000
25-Apr-16,0.72,0.74,0.72,0.73,1437900
22-Apr-16,0.72,0.72,0.72,0.72,55800
21-Apr-16,0.70,0.71,0.70,0.71,11000
20-Apr-16,0.71,0.71,0.70,0.70,110800
19-Apr-16,0.72,0.72,0.70,0.71,296600
18-Apr-16,0.73,0.73,0.71,0.71,224700
15-Apr-16,0.74,0.74,0.73,0.73,54400
14-Apr-16,0.74,0.74,0.74,0.74,236400
13-Apr-16,0.74,0.74,0.74,0.74,59600
