Date,Open,High,Low,Close,Volume
7-Oct-16,0.37,0.38,0.37,0.38,13000
6-Oct-16,0.38,0.38,0.38,0.38,150000
5-Oct-16,0.35,0.38,0.35,0.38,143600
4-Oct-16,0.35,0.35,0.35,0.35,22500
30-Sep-16,0.35,0.36,0.35,0.35,110000
29-Sep-16,-,-,-,0.35,0
28-Sep-16,-,-,-,0.35,0
27-Sep-16,0.35,0.35,0.35,0.35,18500
26-Sep-16,0.36,0.36,0.36,0.36,158000
23-Sep-16,0.36,0.36,0.36,0.36,40000
22-Sep-16,0.36,0.37,0.36,0.37,113200
21-Sep-16,0.36,0.36,0.36,0.36,102800
20-Sep-16,0.37,0.37,0.36,0.37,33000
19-Sep-16,0.35,0.36,0.34,0.36,131000
15-Sep-16,0.36,0.36,0.36,0.36,73000
14-Sep-16,-,-,-,0.36,0
13-Sep-16,0.36,0.36,0.36,0.36,19000
9-Sep-16,0.36,0.36,0.36,0.36,20000
8-Sep-16,0.37,0.37,0.36,0.36,40000
7-Sep-16,0.39,0.39,0.38,0.39,42100
6-Sep-16,-,-,-,0.39,0
5-Sep-16,-,-,-,0.39,0
2-Sep-16,0.39,0.39,0.39,0.39,70000
1-Sep-16,0.39,0.39,0.39,0.39,10000
30-Aug-16,0.39,0.39,0.39,0.39,50000
29-Aug-16,0.40,0.40,0.40,0.40,50000
26-Aug-16,0.40,0.40,0.40,0.40,79500
25-Aug-16,0.40,0.40,0.40,0.40,5500
24-Aug-16,0.40,0.40,0.40,0.40,19000
23-Aug-16,0.40,0.40,0.40,0.40,141200
22-Aug-16,0.40,0.40,0.40,0.40,10000
19-Aug-16,0.41,0.41,0.41,0.41,5000
18-Aug-16,0.41,0.41,0.41,0.41,5000
17-Aug-16,0.41,0.41,0.41,0.41,14900
16-Aug-16,0.40,0.41,0.40,0.41,80000
15-Aug-16,-,-,-,0.40,0
12-Aug-16,0.40,0.41,0.40,0.40,65500
11-Aug-16,-,-,-,0.42,0
10-Aug-16,0.41,0.42,0.41,0.42,96300
9-Aug-16,0.40,0.40,0.40,0.40,5000
8-Aug-16,0.40,0.42,0.40,0.42,76000
5-Aug-16,0.40,0.40,0.40,0.40,77000
4-Aug-16,0.40,0.40,0.40,0.40,53800
3-Aug-16,0.40,0.40,0.40,0.40,20000
2-Aug-16,-,-,-,0.41,0
1-Aug-16,0.41,0.41,0.41,0.41,40000
29-Jul-16,-,-,-,0.40,0
28-Jul-16,0.40,0.40,0.40,0.40,20000
27-Jul-16,0.41,0.41,0.41,0.41,10000
26-Jul-16,0.41,0.41,0.41,0.41,14000
25-Jul-16,-,-,-,0.41,0
22-Jul-16,0.41,0.42,0.41,0.41,90000
21-Jul-16,-,-,-,0.41,0
20-Jul-16,0.42,0.42,0.41,0.41,20000
19-Jul-16,0.42,0.42,0.42,0.42,6000
18-Jul-16,0.44,0.44,0.44,0.44,40000
15-Jul-16,0.42,0.44,0.42,0.44,54000
14-Jul-16,0.42,0.42,0.41,0.41,138500
13-Jul-16,0.41,0.41,0.40,0.41,357000
12-Jul-16,0.42,0.42,0.42,0.42,40000
11-Jul-16,0.42,0.42,0.42,0.42,15000
8-Jul-16,0.41,0.42,0.41,0.42,55000
5-Jul-16,0.42,0.42,0.42,0.42,18000
4-Jul-16,0.41,0.42,0.41,0.42,35000
1-Jul-16,0.42,0.42,0.42,0.42,144100
30-Jun-16,0.42,0.42,0.42,0.42,125600
29-Jun-16,0.42,0.42,0.42,0.42,188000
28-Jun-16,0.43,0.43,0.42,0.42,150000
27-Jun-16,0.43,0.43,0.43,0.43,93000
24-Jun-16,0.44,0.44,0.42,0.44,223100
23-Jun-16,0.44,0.45,0.44,0.44,205000
21-Jun-16,0.46,0.46,0.43,0.43,217000
20-Jun-16,-,-,-,0.46,0
17-Jun-16,0.46,0.46,0.46,0.46,87000
16-Jun-16,0.46,0.46,0.46,0.46,81000
15-Jun-16,0.46,0.46,0.46,0.46,64000
