Date,Open,High,Low,Close,Volume
7-Oct-16,0.74,0.74,0.74,0.74,5700
6-Oct-16,0.74,0.78,0.74,0.78,6300
5-Oct-16,-,-,-,0.77,0
4-Oct-16,0.77,0.78,0.77,0.77,7400
30-Sep-16,0.76,0.78,0.74,0.78,9100
29-Sep-16,0.78,0.79,0.78,0.78,18000
28-Sep-16,-,-,-,0.81,0
27-Sep-16,-,-,-,0.81,0
26-Sep-16,-,-,-,0.81,0
23-Sep-16,-,-,-,0.81,0
22-Sep-16,-,-,-,0.81,0
21-Sep-16,-,-,-,0.81,0
20-Sep-16,-,-,-,0.81,0
19-Sep-16,0.76,0.81,0.76,0.81,7000
15-Sep-16,-,-,-,0.80,0
14-Sep-16,-,-,-,0.80,0
13-Sep-16,0.76,0.80,0.75,0.80,14300
9-Sep-16,-,-,-,0.80,0
8-Sep-16,-,-,-,0.80,0
7-Sep-16,-,-,-,0.80,0
6-Sep-16,0.82,0.83,0.78,0.80,12300
5-Sep-16,0.80,0.80,0.80,0.80,6000
2-Sep-16,0.80,0.80,0.78,0.78,190800
1-Sep-16,-,-,-,0.76,0
30-Aug-16,-,-,-,0.76,0
29-Aug-16,-,-,-,0.76,0
26-Aug-16,0.76,0.76,0.76,0.76,5200
25-Aug-16,-,-,-,0.75,0
24-Aug-16,-,-,-,0.75,0
23-Aug-16,0.75,0.76,0.75,0.75,5000
22-Aug-16,0.74,0.76,0.74,0.76,34500
19-Aug-16,-,-,-,0.77,0
18-Aug-16,0.74,0.77,0.74,0.77,47000
17-Aug-16,0.76,0.78,0.76,0.78,9000
16-Aug-16,-,-,-,0.77,0
15-Aug-16,0.74,0.77,0.74,0.77,12000
12-Aug-16,-,-,-,0.78,0
11-Aug-16,0.78,0.79,0.78,0.78,9800
10-Aug-16,0.74,0.78,0.74,0.78,1500
9-Aug-16,-,-,-,0.75,0
8-Aug-16,0.75,0.75,0.75,0.75,20000
5-Aug-16,0.75,0.76,0.75,0.75,13200
4-Aug-16,-,-,-,0.76,0
3-Aug-16,0.76,0.80,0.76,0.76,8000
2-Aug-16,0.76,0.80,0.76,0.80,2000
1-Aug-16,-,-,-,0.80,0
29-Jul-16,0.80,0.80,0.79,0.80,34000
28-Jul-16,0.84,0.84,0.80,0.80,37000
27-Jul-16,0.76,0.85,0.76,0.85,106300
26-Jul-16,0.71,0.74,0.70,0.74,4500
25-Jul-16,0.74,0.74,0.74,0.74,1000
22-Jul-16,0.72,0.73,0.72,0.73,7500
21-Jul-16,0.73,0.73,0.73,0.73,5500
20-Jul-16,0.72,0.74,0.72,0.74,4500
19-Jul-16,0.71,0.71,0.71,0.71,5000
18-Jul-16,0.72,0.74,0.72,0.74,21000
15-Jul-16,0.74,0.74,0.74,0.74,500
14-Jul-16,0.74,0.76,0.72,0.72,22100
13-Jul-16,0.70,0.74,0.70,0.74,58800
12-Jul-16,0.77,0.77,0.69,0.74,32700
11-Jul-16,0.70,0.70,0.70,0.70,10000
8-Jul-16,-,-,-,0.70,0
5-Jul-16,0.68,0.70,0.66,0.70,19000
4-Jul-16,-,-,-,0.72,0
1-Jul-16,-,-,-,0.72,0
30-Jun-16,-,-,-,0.72,0
29-Jun-16,0.67,0.72,0.67,0.72,15000
28-Jun-16,-,-,-,0.72,0
27-Jun-16,-,-,-,0.72,0
24-Jun-16,-,-,-,0.72,0
23-Jun-16,0.70,0.72,0.70,0.72,6000
21-Jun-16,-,-,-,0.72,0
20-Jun-16,-,-,-,0.72,0
17-Jun-16,0.72,0.72,0.72,0.72,1000
16-Jun-16,-,-,-,0.72,0
15-Jun-16,0.70,0.72,0.69,0.72,4000
14-Jun-16,-,-,-,0.71,0
13-Jun-16,0.71,0.71,0.71,0.71,2000
10-Jun-16,-,-,-,0.72,0
9-Jun-16,0.70,0.72,0.70,0.72,22300
8-Jun-16,0.72,0.72,0.70,0.71,34500
7-Jun-16,0.70,0.72,0.70,0.72,28000
6-Jun-16,0.70,0.72,0.70,0.72,32000
3-Jun-16,0.74,0.74,0.72,0.72,1300
2-Jun-16,0.70,0.73,0.70,0.72,55200
1-Jun-16,0.77,0.77,0.70,0.70,74500
31-May-16,0.75,0.75,0.75,0.75,1000
30-May-16,0.78,0.78,0.78,0.78,2000
27-May-16,0.76,0.77,0.75,0.77,64400
26-May-16,0.80,0.80,0.76,0.76,26000
25-May-16,0.79,0.79,0.78,0.78,20000
24-May-16,0.82,0.82,0.82,0.82,9000
23-May-16,0.79,0.82,0.79,0.82,8000
20-May-16,-,-,-,0.80,0
19-May-16,-,-,-,0.80,0
18-May-16,0.76,0.80,0.76,0.80,29000
17-May-16,-,-,-,0.80,0
16-May-16,-,-,-,0.80,0
13-May-16,-,-,-,0.80,0
12-May-16,0.80,0.80,0.80,0.80,5000
11-May-16,0.78,0.82,0.76,0.78,77100
10-May-16,0.82,0.82,0.82,0.82,100
9-May-16,0.82,0.83,0.80,0.80,18300
6-May-16,0.78,0.82,0.78,0.82,600
5-May-16,0.80,0.82,0.78,0.82,41800
4-May-16,0.78,0.78,0.78,0.78,3400
3-May-16,0.78,0.83,0.78,0.82,74500
29-Apr-16,-,-,-,0.83,0
28-Apr-16,0.82,0.83,0.82,0.83,27300
27-Apr-16,-,-,-,0.82,0
26-Apr-16,-,-,-,0.82,0
25-Apr-16,-,-,-,0.82,0
22-Apr-16,0.82,0.83,0.79,0.82,39600
21-Apr-16,0.78,0.84,0.78,0.80,58000
20-Apr-16,-,-,-,0.84,0
19-Apr-16,-,-,-,0.84,0
18-Apr-16,0.84,0.84,0.84,0.84,5000
15-Apr-16,0.80,0.80,0.80,0.80,13000
14-Apr-16,-,-,-,0.90,0
13-Apr-16,0.90,0.90,0.90,0.90,500
12-Apr-16,-,-,-,0.85,0
11-Apr-16,0.85,0.90,0.84,0.85,23000
8-Apr-16,-,-,-,0.84,0
7-Apr-16,0.84,0.84,0.84,0.84,200
6-Apr-16,-,-,-,0.84,0
5-Apr-16,-,-,-,0.84,0
4-Apr-16,-,-,-,0.84,0
1-Apr-16,-,-,-,0.84,0
31-Mar-16,0.84,0.84,0.84,0.84,500
30-Mar-16,0.79,0.83,0.78,0.78,16300
29-Mar-16,-,-,-,0.78,0
28-Mar-16,0.78,0.78,0.78,0.78,5200
25-Mar-16,-,-,-,0.84,0
24-Mar-16,0.84,0.84,0.84,0.84,200
23-Mar-16,0.78,0.83,0.78,0.79,7000
22-Mar-16,0.84,0.84,0.84,0.84,200
21-Mar-16,-,-,-,0.84,0
18-Mar-16,0.82,0.84,0.82,0.84,5200
17-Mar-16,0.80,0.80,0.80,0.80,10000
16-Mar-16,0.80,0.82,0.80,0.80,112800
15-Mar-16,0.80,0.80,0.80,0.80,1000
14-Mar-16,-,-,-,0.76,0
11-Mar-16,-,-,-,0.76,0
10-Mar-16,0.76,0.76,0.76,0.76,20000
9-Mar-16,-,-,-,0.80,0
8-Mar-16,-,-,-,0.80,0
7-Mar-16,0.80,0.80,0.80,0.80,700
4-Mar-16,0.76,0.76,0.76,0.76,15000
3-Mar-16,0.76,0.83,0.76,0.83,18900
2-Mar-16,-,-,-,0.76,0
1-Mar-16,-,-,-,0.76,0
29-Feb-16,0.73,0.76,0.73,0.76,6400
26-Feb-16,0.74,0.74,0.70,0.70,5700
25-Feb-16,0.74,0.74,0.74,0.74,5600
24-Feb-16,0.75,0.75,0.68,0.74,42700
23-Feb-16,0.75,0.76,0.73,0.76,21700
22-Feb-16,0.75,0.75,0.75,0.75,14000
19-Feb-16,0.74,0.75,0.73,0.75,16000
18-Feb-16,0.76,0.76,0.74,0.75,47500
17-Feb-16,0.78,0.78,0.76,0.76,44000
16-Feb-16,0.77,0.77,0.76,0.76,21000
15-Feb-16,0.79,0.79,0.79,0.79,5000
12-Feb-16,0.76,0.77,0.76,0.76,11000
11-Feb-16,0.80,0.80,0.80,0.80,100
10-Feb-16,0.80,0.80,0.80,0.80,2000
5-Feb-16,0.77,0.83,0.76,0.83,12200
4-Feb-16,-,-,-,0.81,0
3-Feb-16,-,-,-,0.81,0
2-Feb-16,-,-,-,0.81,0
29-Jan-16,0.82,0.85,0.81,0.81,9200
28-Jan-16,0.78,0.80,0.78,0.80,15000
27-Jan-16,0.80,0.80,0.80,0.80,5000
26-Jan-16,0.78,0.78,0.78,0.78,8000
22-Jan-16,-,-,-,0.82,0
21-Jan-16,-,-,-,0.82,0
20-Jan-16,-,-,-,0.82,0
19-Jan-16,0.84,0.84,0.82,0.82,4000
18-Jan-16,0.80,0.82,0.80,0.82,59500
15-Jan-16,0.78,0.82,0.77,0.82,36700
14-Jan-16,0.80,0.84,0.77,0.84,40400
13-Jan-16,0.82,0.82,0.80,0.81,44400
12-Jan-16,0.81,0.83,0.81,0.83,83500
11-Jan-16,0.80,0.84,0.80,0.84,51600
8-Jan-16,0.84,0.88,0.84,0.88,25500
7-Jan-16,0.82,0.84,0.81,0.84,26000
6-Jan-16,0.84,0.84,0.83,0.83,42500
5-Jan-16,-,-,-,0.84,0
4-Jan-16,0.82,0.84,0.82,0.84,10000
31-Dec-15,-,-,-,0.85,0
30-Dec-15,0.82,0.85,0.82,0.85,7000
29-Dec-15,0.86,0.88,0.82,0.85,45000
28-Dec-15,0.83,0.85,0.82,0.85,4600
23-Dec-15,-,-,-,0.88,0
22-Dec-15,-,-,-,0.88,0
21-Dec-15,-,-,-,0.88,0
18-Dec-15,0.87,0.88,0.87,0.88,2100
17-Dec-15,-,-,-,0.87,0
16-Dec-15,-,-,-,0.87,0
15-Dec-15,-,-,-,0.87,0
14-Dec-15,0.84,0.87,0.84,0.87,13600
11-Dec-15,0.89,0.89,0.89,0.89,5000
10-Dec-15,0.85,0.89,0.85,0.89,9800
9-Dec-15,0.89,0.89,0.83,0.86,15800
8-Dec-15,0.84,0.87,0.83,0.84,29000
7-Dec-15,0.90,0.90,0.90,0.90,2000
4-Dec-15,-,-,-,0.92,0
3-Dec-15,-,-,-,0.92,0
2-Dec-15,-,-,-,0.92,0
1-Dec-15,-,-,-,0.92,0
30-Nov-15,-,-,-,0.92,0
27-Nov-15,-,-,-,0.92,0
26-Nov-15,0.92,0.92,0.84,0.92,2100
25-Nov-15,0.89,0.89,0.89,0.89,2000
24-Nov-15,0.94,0.94,0.92,0.92,3100
23-Nov-15,0.91,0.91,0.89,0.89,35000
20-Nov-15,-,-,-,0.93,0
19-Nov-15,0.90,0.93,0.89,0.93,30000
18-Nov-15,0.90,0.93,0.90,0.90,24800
17-Nov-15,0.90,0.92,0.90,0.92,22800
16-Nov-15,-,-,-,0.92,0
13-Nov-15,0.95,0.95,0.90,0.92,3600
12-Nov-15,0.90,0.92,0.90,0.92,136500
11-Nov-15,0.92,0.92,0.92,0.92,1500
9-Nov-15,0.92,0.92,0.90,0.92,54600
6-Nov-15,0.92,0.92,0.91,0.91,33000
5-Nov-15,0.95,0.95,0.92,0.94,10200
4-Nov-15,0.92,0.96,0.92,0.92,68900
3-Nov-15,0.90,0.94,0.90,0.92,15000
2-Nov-15,-,-,-,0.92,0
30-Oct-15,-,-,-,0.92,0
29-Oct-15,-,-,-,0.92,0
28-Oct-15,-,-,-,0.92,0
27-Oct-15,-,-,-,0.92,0
26-Oct-15,0.92,0.92,0.92,0.92,11100
23-Oct-15,0.96,0.96,0.95,0.95,8000
22-Oct-15,-,-,-,0.98,0
21-Oct-15,0.98,0.98,0.98,0.98,1100
20-Oct-15,-,-,-,0.94,0
19-Oct-15,-,-,-,0.94,0
16-Oct-15,-,-,-,0.94,0
15-Oct-15,0.96,0.96,0.94,0.94,83000
13-Oct-15,0.96,0.96,0.90,0.90,20000
12-Oct-15,-,-,-,0.92,0
