Date,Open,High,Low,Close,Volume
7-Oct-16,0.56,0.56,0.52,0.53,4555200
6-Oct-16,0.53,0.56,0.52,0.56,10088500
5-Oct-16,0.55,0.55,0.52,0.52,6603400
4-Oct-16,0.56,0.57,0.55,0.55,2847400
30-Sep-16,0.56,0.56,0.54,0.56,7297200
29-Sep-16,0.58,0.59,0.57,0.57,3517400
28-Sep-16,0.60,0.60,0.56,0.58,4514300
27-Sep-16,0.60,0.62,0.58,0.60,5937800
26-Sep-16,0.58,0.64,0.58,0.60,29840800
23-Sep-16,0.56,0.59,0.56,0.58,9871100
22-Sep-16,0.59,0.60,0.56,0.56,19051200
21-Sep-16,0.53,0.59,0.52,0.58,24975500
20-Sep-16,0.58,0.58,0.52,0.52,7873700
19-Sep-16,0.58,0.58,0.56,0.58,2621900
15-Sep-16,0.58,0.59,0.56,0.58,6625500
14-Sep-16,0.54,0.62,0.54,0.57,40380400
13-Sep-16,0.40,0.56,0.40,0.54,36384600
9-Sep-16,0.38,0.42,0.38,0.40,5743300
8-Sep-16,0.39,0.40,0.38,0.38,812500
7-Sep-16,0.40,0.42,0.38,0.39,5107600
6-Sep-16,0.37,0.41,0.36,0.40,13992600
5-Sep-16,0.34,0.36,0.34,0.36,3198700
2-Sep-16,0.32,0.34,0.32,0.34,1170500
1-Sep-16,0.32,0.34,0.32,0.33,2497200
30-Aug-16,0.38,0.38,0.37,0.38,591100
29-Aug-16,0.38,0.39,0.38,0.38,719600
26-Aug-16,0.38,0.39,0.37,0.38,1394400
25-Aug-16,0.39,0.40,0.38,0.39,748800
24-Aug-16,0.40,0.40,0.39,0.40,973400
23-Aug-16,0.40,0.40,0.38,0.39,1384800
22-Aug-16,0.41,0.42,0.40,0.40,1913600
19-Aug-16,0.40,0.42,0.40,0.41,3359700
18-Aug-16,0.40,0.40,0.40,0.40,1383900
17-Aug-16,0.40,0.42,0.40,0.40,3030900
16-Aug-16,0.41,0.42,0.40,0.40,3617000
15-Aug-16,0.40,0.41,0.40,0.40,2792600
12-Aug-16,0.38,0.40,0.38,0.39,4691700
11-Aug-16,0.37,0.39,0.37,0.38,2268600
10-Aug-16,0.38,0.38,0.37,0.37,717000
9-Aug-16,0.38,0.38,0.38,0.38,1729800
8-Aug-16,0.37,0.38,0.36,0.37,967200
5-Aug-16,0.38,0.38,0.36,0.37,3238600
4-Aug-16,0.34,0.38,0.34,0.38,4795100
3-Aug-16,0.34,0.34,0.34,0.34,319500
2-Aug-16,0.34,0.35,0.34,0.34,377000
1-Aug-16,0.34,0.34,0.34,0.34,375200
29-Jul-16,0.32,0.34,0.32,0.33,260600
28-Jul-16,0.34,0.34,0.32,0.32,155100
27-Jul-16,0.34,0.34,0.33,0.33,340700
26-Jul-16,0.34,0.34,0.34,0.34,211600
25-Jul-16,0.34,0.34,0.34,0.34,208200
22-Jul-16,0.34,0.34,0.33,0.34,219800
21-Jul-16,0.34,0.34,0.34,0.34,619000
20-Jul-16,0.34,0.35,0.34,0.34,362000
19-Jul-16,0.34,0.34,0.34,0.34,95100
18-Jul-16,0.34,0.35,0.34,0.34,208500
15-Jul-16,0.33,0.36,0.33,0.34,1124400
14-Jul-16,0.34,0.34,0.34,0.34,355000
13-Jul-16,0.34,0.34,0.33,0.34,219700
12-Jul-16,0.34,0.34,0.33,0.33,162800
11-Jul-16,0.33,0.34,0.33,0.34,713300
8-Jul-16,0.32,0.33,0.32,0.33,303400
5-Jul-16,0.32,0.32,0.32,0.32,297200
4-Jul-16,0.32,0.33,0.32,0.32,314000
1-Jul-16,0.34,0.34,0.33,0.34,84300
30-Jun-16,0.35,0.36,0.34,0.34,973300
29-Jun-16,0.34,0.35,0.34,0.34,1451300
28-Jun-16,0.32,0.34,0.32,0.33,663800
27-Jun-16,0.32,0.34,0.32,0.32,677500
24-Jun-16,0.34,0.34,0.31,0.32,1709600
