Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.57,0
6-Oct-16,-,-,-,0.57,0
5-Oct-16,-,-,-,0.57,0
4-Oct-16,-,-,-,0.57,0
30-Sep-16,-,-,-,0.57,0
29-Sep-16,0.52,0.57,0.52,0.57,37000
28-Sep-16,0.50,0.50,0.50,0.50,10000
27-Sep-16,-,-,-,0.50,0
26-Sep-16,-,-,-,0.50,0
23-Sep-16,-,-,-,0.50,0
22-Sep-16,-,-,-,0.50,0
21-Sep-16,-,-,-,0.50,0
20-Sep-16,-,-,-,0.50,0
19-Sep-16,-,-,-,0.50,0
15-Sep-16,0.50,0.50,0.50,0.50,20000
14-Sep-16,-,-,-,0.50,0
13-Sep-16,0.50,0.50,0.50,0.50,20000
9-Sep-16,0.53,0.54,0.52,0.52,56000
8-Sep-16,-,-,-,0.55,0
7-Sep-16,0.55,0.55,0.55,0.55,3000
6-Sep-16,-,-,-,0.53,0
5-Sep-16,0.53,0.53,0.53,0.53,10000
2-Sep-16,0.54,0.55,0.54,0.55,6000
1-Sep-16,-,-,-,0.53,0
30-Aug-16,0.50,0.53,0.50,0.53,55700
29-Aug-16,-,-,-,0.49,0
26-Aug-16,-,-,-,0.49,0
25-Aug-16,-,-,-,0.49,0
24-Aug-16,-,-,-,0.49,0
23-Aug-16,-,-,-,0.49,0
22-Aug-16,-,-,-,0.49,0
19-Aug-16,0.49,0.49,0.49,0.49,6000
18-Aug-16,-,-,-,0.49,0
17-Aug-16,-,-,-,0.49,0
16-Aug-16,-,-,-,0.49,0
15-Aug-16,-,-,-,0.49,0
12-Aug-16,-,-,-,0.49,0
11-Aug-16,-,-,-,0.49,0
10-Aug-16,-,-,-,0.49,0
9-Aug-16,-,-,-,0.49,0
8-Aug-16,0.49,0.49,0.49,0.49,2000
5-Aug-16,-,-,-,0.50,0
4-Aug-16,0.50,0.50,0.50,0.50,1000
3-Aug-16,0.50,0.50,0.50,0.50,3000
2-Aug-16,0.50,0.50,0.50,0.50,4000
1-Aug-16,0.50,0.50,0.50,0.50,2000
29-Jul-16,-,-,-,0.53,0
28-Jul-16,-,-,-,0.53,0
27-Jul-16,-,-,-,0.53,0
26-Jul-16,-,-,-,0.53,0
25-Jul-16,-,-,-,0.53,0
22-Jul-16,0.52,0.53,0.52,0.53,3000
21-Jul-16,-,-,-,0.52,0
20-Jul-16,0.52,0.52,0.52,0.52,3000
19-Jul-16,0.50,0.50,0.50,0.50,8000
18-Jul-16,-,-,-,0.50,0
15-Jul-16,0.50,0.50,0.50,0.50,1000
14-Jul-16,-,-,-,0.50,0
13-Jul-16,-,-,-,0.50,0
12-Jul-16,0.50,0.50,0.50,0.50,2000
11-Jul-16,-,-,-,0.52,0
8-Jul-16,-,-,-,0.52,0
5-Jul-16,-,-,-,0.52,0
4-Jul-16,-,-,-,0.52,0
1-Jul-16,-,-,-,0.52,0
30-Jun-16,-,-,-,0.52,0
29-Jun-16,-,-,-,0.52,0
28-Jun-16,-,-,-,0.52,0
27-Jun-16,-,-,-,0.52,0
24-Jun-16,-,-,-,0.52,0
23-Jun-16,0.52,0.52,0.52,0.52,4000
21-Jun-16,-,-,-,0.52,0
20-Jun-16,0.52,0.52,0.52,0.52,5000
17-Jun-16,0.54,0.54,0.54,0.54,2000
16-Jun-16,0.53,0.53,0.52,0.52,5200
15-Jun-16,-,-,-,0.58,0
14-Jun-16,-,-,-,0.58,0
13-Jun-16,-,-,-,0.58,0
10-Jun-16,-,-,-,0.58,0
9-Jun-16,0.58,0.58,0.58,0.58,100
8-Jun-16,-,-,-,0.58,0
7-Jun-16,-,-,-,0.58,0
6-Jun-16,0.58,0.58,0.58,0.58,200
3-Jun-16,-,-,-,0.52,0
2-Jun-16,-,-,-,0.52,0
1-Jun-16,-,-,-,0.52,0
31-May-16,-,-,-,0.52,0
30-May-16,0.52,0.52,0.52,0.52,6000
27-May-16,-,-,-,0.54,0
26-May-16,0.54,0.54,0.54,0.54,4900
25-May-16,-,-,-,0.55,0
24-May-16,-,-,-,0.55,0
23-May-16,0.55,0.55,0.55,0.55,4900
20-May-16,0.56,0.56,0.56,0.56,5000
19-May-16,-,-,-,0.56,0
18-May-16,0.56,0.57,0.56,0.56,99900
17-May-16,-,-,-,0.62,0
16-May-16,0.59,0.62,0.59,0.62,8300
13-May-16,0.58,0.58,0.58,0.58,10000
12-May-16,0.60,0.60,0.59,0.59,20000
11-May-16,0.60,0.62,0.60,0.60,34400
10-May-16,0.62,0.62,0.62,0.62,10000
9-May-16,0.62,0.62,0.60,0.60,65500
6-May-16,0.56,0.60,0.56,0.60,31000
5-May-16,-,-,-,0.55,0
4-May-16,-,-,-,0.55,0
3-May-16,0.53,0.55,0.53,0.55,40600
29-Apr-16,0.55,0.55,0.53,0.53,13000
28-Apr-16,0.54,0.59,0.54,0.55,31900
27-Apr-16,0.54,0.54,0.54,0.54,13000
26-Apr-16,0.54,0.54,0.52,0.52,40000
25-Apr-16,-,-,-,0.54,0
22-Apr-16,0.54,0.54,0.54,0.54,100
21-Apr-16,0.55,0.55,0.55,0.55,19300
20-Apr-16,0.55,0.56,0.52,0.55,21600
19-Apr-16,-,-,-,0.55,0
18-Apr-16,-,-,-,0.55,0
15-Apr-16,-,-,-,0.55,0
14-Apr-16,0.55,0.55,0.55,0.55,3000
13-Apr-16,0.53,0.54,0.52,0.52,60000
12-Apr-16,-,-,-,0.55,0
11-Apr-16,0.54,0.55,0.52,0.55,60000
8-Apr-16,0.56,0.56,0.56,0.56,2000
7-Apr-16,0.56,0.56,0.56,0.56,30000
6-Apr-16,0.54,0.56,0.54,0.56,15000
5-Apr-16,-,-,-,0.57,0
4-Apr-16,-,-,-,0.57,0
1-Apr-16,-,-,-,0.57,0
31-Mar-16,-,-,-,0.57,0
30-Mar-16,0.57,0.58,0.57,0.57,9000
29-Mar-16,-,-,-,0.55,0
28-Mar-16,0.55,0.55,0.55,0.55,2500
25-Mar-16,0.53,0.55,0.53,0.55,9000
24-Mar-16,-,-,-,0.54,0
23-Mar-16,-,-,-,0.54,0
22-Mar-16,0.55,0.55,0.54,0.54,10000
21-Mar-16,0.54,0.54,0.54,0.54,3000
