Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.24,0
6-Oct-16,0.24,0.24,0.24,0.24,45000
5-Oct-16,0.25,0.25,0.25,0.25,12000
4-Oct-16,0.24,0.25,0.24,0.25,21000
30-Sep-16,0.26,0.26,0.24,0.24,160000
29-Sep-16,-,-,-,0.26,0
28-Sep-16,0.26,0.26,0.26,0.26,8000
27-Sep-16,0.26,0.26,0.26,0.26,10000
26-Sep-16,0.26,0.26,0.26,0.26,20000
23-Sep-16,0.26,0.26,0.26,0.26,6000
22-Sep-16,0.26,0.26,0.26,0.26,10000
21-Sep-16,0.26,0.27,0.26,0.26,33000
20-Sep-16,0.27,0.27,0.26,0.26,35600
19-Sep-16,-,-,-,0.26,0
15-Sep-16,0.26,0.26,0.26,0.26,20000
14-Sep-16,-,-,-,0.26,0
13-Sep-16,0.26,0.26,0.26,0.26,20000
9-Sep-16,0.28,0.28,0.28,0.28,5200
8-Sep-16,0.28,0.28,0.28,0.28,4000
7-Sep-16,0.28,0.28,0.28,0.28,65000
6-Sep-16,0.28,0.28,0.28,0.28,300
5-Sep-16,0.27,0.27,0.27,0.27,5000
2-Sep-16,-,-,-,0.26,0
1-Sep-16,0.26,0.26,0.26,0.26,5000
30-Aug-16,0.26,0.26,0.26,0.26,5000
29-Aug-16,-,-,-,0.26,0
26-Aug-16,-,-,-,0.26,0
25-Aug-16,0.26,0.26,0.26,0.26,20000
24-Aug-16,0.27,0.27,0.26,0.26,25000
23-Aug-16,-,-,-,0.29,0
22-Aug-16,0.27,0.29,0.27,0.29,9200
19-Aug-16,-,-,-,0.28,0
18-Aug-16,0.28,0.28,0.28,0.28,7000
17-Aug-16,-,-,-,0.28,0
16-Aug-16,0.28,0.28,0.28,0.28,80000
15-Aug-16,-,-,-,0.28,0
12-Aug-16,0.26,0.28,0.26,0.28,13000
11-Aug-16,-,-,-,0.27,0
10-Aug-16,0.26,0.27,0.26,0.27,54000
9-Aug-16,0.26,0.26,0.26,0.26,15100
8-Aug-16,0.26,0.26,0.26,0.26,200
5-Aug-16,0.27,0.27,0.27,0.27,6200
4-Aug-16,0.26,0.26,0.26,0.26,37000
3-Aug-16,0.26,0.27,0.26,0.26,35000
2-Aug-16,-,-,-,0.26,0
1-Aug-16,0.26,0.26,0.26,0.26,20000
29-Jul-16,0.26,0.26,0.26,0.26,5000
28-Jul-16,0.26,0.26,0.25,0.25,10000
27-Jul-16,0.25,0.25,0.25,0.25,20000
26-Jul-16,-,-,-,0.25,0
25-Jul-16,-,-,-,0.25,0
22-Jul-16,0.26,0.26,0.25,0.25,43000
21-Jul-16,0.26,0.26,0.26,0.26,20000
20-Jul-16,0.25,0.25,0.25,0.25,6600
19-Jul-16,-,-,-,0.26,0
18-Jul-16,0.26,0.26,0.26,0.26,3400
15-Jul-16,0.26,0.26,0.26,0.26,5200
14-Jul-16,0.26,0.26,0.26,0.26,6400
13-Jul-16,0.25,0.26,0.25,0.26,33000
12-Jul-16,-,-,-,0.25,0
11-Jul-16,0.26,0.26,0.25,0.25,18000
8-Jul-16,0.26,0.26,0.24,0.26,34000
5-Jul-16,0.27,0.27,0.26,0.26,28500
4-Jul-16,0.28,0.28,0.28,0.28,6000
1-Jul-16,-,-,-,0.28,0
30-Jun-16,-,-,-,0.28,0
29-Jun-16,0.28,0.28,0.28,0.28,5000
28-Jun-16,0.30,0.30,0.28,0.28,50000
27-Jun-16,0.30,0.30,0.30,0.30,15000
24-Jun-16,-,-,-,0.29,0
23-Jun-16,-,-,-,0.29,0
21-Jun-16,-,-,-,0.29,0
20-Jun-16,0.29,0.29,0.29,0.29,20000
17-Jun-16,0.29,0.29,0.29,0.29,10000
16-Jun-16,-,-,-,0.29,0
15-Jun-16,-,-,-,0.29,0
14-Jun-16,0.29,0.29,0.29,0.29,15000
13-Jun-16,-,-,-,0.29,0
10-Jun-16,0.29,0.29,0.29,0.29,4900
9-Jun-16,-,-,-,0.30,0
8-Jun-16,0.28,0.30,0.28,0.30,15000
7-Jun-16,-,-,-,0.29,0
6-Jun-16,0.30,0.30,0.29,0.29,10000
3-Jun-16,-,-,-,0.30,0
2-Jun-16,0.30,0.30,0.30,0.30,5000
1-Jun-16,0.30,0.31,0.29,0.31,28100
31-May-16,-,-,-,0.30,0
30-May-16,0.30,0.30,0.30,0.30,16000
27-May-16,0.31,0.31,0.31,0.31,30000
26-May-16,0.32,0.32,0.31,0.32,128000
25-May-16,0.33,0.33,0.31,0.32,134000
24-May-16,0.34,0.34,0.34,0.34,39000
23-May-16,0.32,0.32,0.32,0.32,37200
20-May-16,-,-,-,0.35,0
19-May-16,-,-,-,0.35,0
18-May-16,0.34,0.36,0.34,0.35,133200
17-May-16,0.34,0.34,0.33,0.34,135000
16-May-16,-,-,-,0.32,0
13-May-16,0.32,0.32,0.32,0.32,20000
12-May-16,0.34,0.34,0.34,0.34,15000
11-May-16,-,-,-,0.36,0
10-May-16,-,-,-,0.36,0
9-May-16,-,-,-,0.36,0
6-May-16,0.36,0.36,0.36,0.36,1000
5-May-16,-,-,-,0.34,0
4-May-16,-,-,-,0.34,0
3-May-16,-,-,-,0.34,0
29-Apr-16,-,-,-,0.34,0
28-Apr-16,-,-,-,0.34,0
27-Apr-16,-,-,-,0.34,0
26-Apr-16,0.34,0.35,0.34,0.34,34700
25-Apr-16,-,-,-,0.36,0
22-Apr-16,0.36,0.36,0.36,0.36,10000
21-Apr-16,0.36,0.36,0.36,0.36,10000
20-Apr-16,0.37,0.37,0.35,0.35,40000
19-Apr-16,-,-,-,0.37,0
18-Apr-16,-,-,-,0.37,0
15-Apr-16,-,-,-,0.37,0
14-Apr-16,-,-,-,0.37,0
13-Apr-16,-,-,-,0.37,0
12-Apr-16,-,-,-,0.37,0
11-Apr-16,0.37,0.37,0.37,0.37,20000
8-Apr-16,-,-,-,0.38,0
7-Apr-16,-,-,-,0.38,0
6-Apr-16,-,-,-,0.38,0
5-Apr-16,-,-,-,0.38,0
4-Apr-16,-,-,-,0.38,0
1-Apr-16,-,-,-,0.38,0
31-Mar-16,0.38,0.38,0.38,0.38,30000
30-Mar-16,-,-,-,0.37,0
29-Mar-16,0.37,0.37,0.37,0.37,50000
28-Mar-16,-,-,-,0.37,0
25-Mar-16,0.37,0.37,0.37,0.37,30000
24-Mar-16,0.37,0.37,0.37,0.37,60000
23-Mar-16,-,-,-,0.36,0
22-Mar-16,0.36,0.36,0.36,0.36,70000
21-Mar-16,0.37,0.38,0.37,0.38,92800
18-Mar-16,0.38,0.38,0.38,0.38,20000
17-Mar-16,0.37,0.38,0.37,0.38,16000
16-Mar-16,-,-,-,0.38,0
