Date,Open,High,Low,Close,Volume
7-Oct-16,1.25,1.30,1.25,1.26,14100
6-Oct-16,1.27,1.34,1.25,1.30,21500
5-Oct-16,-,-,-,1.28,0
4-Oct-16,-,-,-,1.28,0
30-Sep-16,1.30,1.30,1.28,1.28,18000
29-Sep-16,1.28,1.32,1.27,1.27,8900
28-Sep-16,1.30,1.30,1.27,1.27,33000
27-Sep-16,-,-,-,1.34,0
26-Sep-16,1.36,1.37,1.30,1.34,182500
23-Sep-16,1.30,1.30,1.30,1.30,74000
22-Sep-16,1.32,1.32,1.30,1.31,100000
21-Sep-16,1.34,1.34,1.30,1.30,21000
20-Sep-16,-,-,-,1.34,0
19-Sep-16,1.35,1.36,1.30,1.34,85000
15-Sep-16,1.26,1.35,1.25,1.35,154800
14-Sep-16,1.31,1.32,1.26,1.29,266100
13-Sep-16,1.32,1.32,1.28,1.30,126200
9-Sep-16,1.38,1.38,1.30,1.34,157000
8-Sep-16,1.35,1.40,1.35,1.36,185800
7-Sep-16,1.23,1.35,1.23,1.34,320100
6-Sep-16,1.23,1.26,1.20,1.25,297500
5-Sep-16,1.23,1.25,1.19,1.24,264100
2-Sep-16,1.24,1.24,1.22,1.24,71100
1-Sep-16,1.27,1.29,1.24,1.25,432900
30-Aug-16,1.25,1.26,1.15,1.26,1412600
29-Aug-16,1.35,1.35,1.24,1.25,239200
26-Aug-16,1.36,1.39,1.35,1.38,592500
25-Aug-16,1.47,1.47,1.46,1.46,34500
24-Aug-16,1.47,1.51,1.47,1.49,10500
23-Aug-16,1.46,1.48,1.46,1.47,58000
22-Aug-16,1.50,1.50,1.46,1.46,65000
19-Aug-16,1.50,1.53,1.50,1.50,42800
18-Aug-16,1.50,1.52,1.49,1.50,104300
17-Aug-16,1.49,1.52,1.49,1.52,101400
16-Aug-16,1.49,1.52,1.49,1.50,58100
15-Aug-16,1.50,1.53,1.49,1.50,145600
12-Aug-16,1.53,1.55,1.51,1.51,113500
11-Aug-16,1.46,1.53,1.46,1.52,356900
10-Aug-16,1.47,1.47,1.45,1.47,51000
9-Aug-16,1.50,1.50,1.47,1.50,126900
8-Aug-16,1.52,1.52,1.50,1.50,111600
5-Aug-16,1.50,1.53,1.50,1.52,169700
4-Aug-16,1.54,1.57,1.50,1.53,149100
3-Aug-16,1.54,1.60,1.53,1.54,871900
2-Aug-16,1.51,1.55,1.50,1.53,208100
1-Aug-16,1.61,1.61,1.51,1.51,276100
29-Jul-16,1.59,1.61,1.58,1.60,529100
28-Jul-16,1.53,1.59,1.53,1.58,1802600
27-Jul-16,1.45,1.53,1.45,1.53,942900
26-Jul-16,1.38,1.44,1.38,1.42,666400
25-Jul-16,1.38,1.38,1.36,1.38,474500
22-Jul-16,1.41,1.41,1.37,1.41,370800
21-Jul-16,1.40,1.46,1.40,1.41,383500
20-Jul-16,1.50,1.50,1.35,1.40,939700
19-Jul-16,1.67,1.67,1.50,1.50,1219800
18-Jul-16,1.67,1.68,1.64,1.66,237500
