Date,Open,High,Low,Close,Volume
7-Oct-16,0.50,0.50,0.49,0.50,41800
6-Oct-16,0.50,0.50,0.49,0.50,211000
5-Oct-16,0.51,0.51,0.50,0.50,401100
4-Oct-16,0.50,0.52,0.50,0.50,558200
30-Sep-16,0.50,0.50,0.50,0.50,116000
29-Sep-16,0.50,0.50,0.50,0.50,259800
28-Sep-16,0.51,0.52,0.50,0.51,338700
27-Sep-16,0.50,0.51,0.50,0.50,696000
26-Sep-16,0.52,0.52,0.50,0.50,270800
23-Sep-16,0.52,0.52,0.50,0.52,484900
22-Sep-16,0.51,0.52,0.51,0.52,228400
21-Sep-16,0.50,0.52,0.50,0.51,1398600
20-Sep-16,0.52,0.52,0.50,0.51,901700
19-Sep-16,0.50,0.52,0.50,0.52,1969400
15-Sep-16,0.50,0.51,0.48,0.50,1673600
14-Sep-16,0.50,0.50,0.48,0.49,729400
13-Sep-16,0.50,0.50,0.49,0.50,273700
9-Sep-16,0.51,0.52,0.50,0.51,384700
8-Sep-16,0.50,0.52,0.50,0.51,5366200
7-Sep-16,0.46,0.49,0.46,0.49,3409200
6-Sep-16,0.46,0.46,0.46,0.46,150700
5-Sep-16,0.47,0.47,0.46,0.46,132700
2-Sep-16,0.46,0.46,0.46,0.46,62700
1-Sep-16,0.47,0.47,0.46,0.46,945400
30-Aug-16,0.46,0.48,0.45,0.46,460600
29-Aug-16,0.46,0.46,0.45,0.45,148000
26-Aug-16,0.46,0.46,0.45,0.46,361900
25-Aug-16,0.44,0.46,0.44,0.46,310600
24-Aug-16,0.46,0.46,0.45,0.45,366000
23-Aug-16,0.46,0.46,0.46,0.46,456300
22-Aug-16,0.48,0.48,0.46,0.47,306900
19-Aug-16,0.46,0.48,0.46,0.47,491100
18-Aug-16,0.47,0.47,0.46,0.46,870600
17-Aug-16,0.48,0.48,0.47,0.47,652900
16-Aug-16,0.48,0.48,0.48,0.48,518600
15-Aug-16,0.48,0.48,0.48,0.48,797100
12-Aug-16,0.49,0.50,0.48,0.48,1225600
11-Aug-16,0.49,0.49,0.48,0.48,267900
10-Aug-16,0.50,0.50,0.49,0.49,599700
9-Aug-16,0.50,0.51,0.50,0.50,1701400
8-Aug-16,0.48,0.50,0.48,0.50,4678600
5-Aug-16,0.48,0.48,0.47,0.48,2434700
4-Aug-16,0.46,0.48,0.46,0.46,1274500
3-Aug-16,0.46,0.46,0.46,0.46,246900
2-Aug-16,0.46,0.46,0.46,0.46,45900
1-Aug-16,0.46,0.46,0.46,0.46,96200
29-Jul-16,0.46,0.47,0.46,0.46,216300
28-Jul-16,0.46,0.47,0.46,0.47,457500
27-Jul-16,0.46,0.46,0.46,0.46,135000
26-Jul-16,0.47,0.47,0.46,0.46,456900
25-Jul-16,0.46,0.48,0.46,0.47,556500
22-Jul-16,0.46,0.47,0.46,0.46,642100
21-Jul-16,0.46,0.46,0.46,0.46,314500
20-Jul-16,0.46,0.46,0.46,0.46,183600
19-Jul-16,0.46,0.47,0.46,0.46,545900
18-Jul-16,0.46,0.48,0.46,0.46,610900
15-Jul-16,0.48,0.48,0.47,0.47,1059500
14-Jul-16,0.46,0.48,0.45,0.48,3391100
13-Jul-16,0.44,0.46,0.44,0.46,2493600
12-Jul-16,0.43,0.44,0.42,0.44,1357900
11-Jul-16,0.44,0.44,0.43,0.43,729800
8-Jul-16,0.44,0.44,0.43,0.44,301100
5-Jul-16,0.44,0.44,0.43,0.44,924100
4-Jul-16,0.44,0.46,0.44,0.44,1853400
1-Jul-16,0.44,0.44,0.44,0.44,47000
30-Jun-16,0.45,0.45,0.44,0.44,466900
29-Jun-16,0.44,0.46,0.44,0.45,7140400
28-Jun-16,0.44,0.44,0.44,0.44,113000
27-Jun-16,0.43,0.44,0.43,0.44,318000
24-Jun-16,0.46,0.46,0.44,0.44,1588100
23-Jun-16,0.47,0.47,0.47,0.47,65000
21-Jun-16,0.46,0.48,0.46,0.48,194000
20-Jun-16,0.46,0.46,0.46,0.46,379100
17-Jun-16,0.46,0.47,0.46,0.46,110000
16-Jun-16,0.48,0.48,0.46,0.46,259900
15-Jun-16,0.47,0.48,0.47,0.48,374400
14-Jun-16,0.48,0.49,0.48,0.48,1076100
13-Jun-16,0.50,0.50,0.48,0.49,890000
10-Jun-16,0.50,0.50,0.50,0.50,554300
9-Jun-16,0.50,0.50,0.50,0.50,1009200
8-Jun-16,0.51,0.52,0.50,0.50,3133200
7-Jun-16,0.50,0.50,0.50,0.50,1177200
6-Jun-16,0.50,0.51,0.50,0.50,710800
3-Jun-16,0.51,0.51,0.50,0.50,1054700
2-Jun-16,0.51,0.52,0.50,0.52,418500
1-Jun-16,0.51,0.52,0.50,0.52,404800
