Date,Open,High,Low,Close,Volume
7-Oct-16,0.08,0.08,0.08,0.08,570200
6-Oct-16,0.08,0.08,0.08,0.08,489500
5-Oct-16,0.08,0.08,0.08,0.08,10776700
4-Oct-16,0.08,0.08,0.08,0.08,1481000
30-Sep-16,0.08,0.08,0.08,0.08,3000000
29-Sep-16,0.08,0.08,0.08,0.08,600000
28-Sep-16,0.08,0.08,0.08,0.08,835000
27-Sep-16,0.08,0.08,0.08,0.08,200000
26-Sep-16,0.08,0.08,0.08,0.08,1210000
23-Sep-16,0.08,0.08,0.08,0.08,952000
22-Sep-16,0.08,0.08,0.08,0.08,4988000
21-Sep-16,0.08,0.08,0.08,0.08,5771000
20-Sep-16,0.08,0.08,0.08,0.08,1820000
19-Sep-16,0.08,0.08,0.08,0.08,130000
15-Sep-16,0.08,0.08,0.08,0.08,116000
14-Sep-16,0.08,0.08,0.08,0.08,2210300
13-Sep-16,0.08,0.08,0.08,0.08,269000
9-Sep-16,0.08,0.08,0.08,0.08,420000
8-Sep-16,0.08,0.08,0.08,0.08,190500
7-Sep-16,0.08,0.08,0.08,0.08,1017000
6-Sep-16,0.08,0.08,0.08,0.08,3385600
5-Sep-16,0.08,0.08,0.08,0.08,910000
2-Sep-16,0.08,0.08,0.08,0.08,1165000
1-Sep-16,0.08,0.08,0.08,0.08,9037600
30-Aug-16,0.08,0.08,0.08,0.08,220000
29-Aug-16,0.08,0.09,0.08,0.09,335000
26-Aug-16,0.08,0.09,0.08,0.09,630600
25-Aug-16,0.09,0.09,0.08,0.09,1658000
24-Aug-16,-,-,-,0.09,0
23-Aug-16,0.08,0.09,0.08,0.09,810000
22-Aug-16,0.08,0.08,0.08,0.08,45000
19-Aug-16,0.09,0.09,0.08,0.08,1822300
18-Aug-16,0.08,0.08,0.08,0.08,100000
17-Aug-16,0.09,0.09,0.09,0.09,66000
16-Aug-16,0.08,0.08,0.08,0.08,125000
15-Aug-16,0.09,0.09,0.09,0.09,370000
12-Aug-16,0.09,0.09,0.08,0.09,213000
11-Aug-16,0.09,0.09,0.08,0.08,732000
10-Aug-16,0.08,0.08,0.08,0.08,43000
9-Aug-16,0.08,0.09,0.08,0.09,130000
8-Aug-16,0.09,0.09,0.08,0.09,8529000
5-Aug-16,0.08,0.08,0.08,0.08,670000
4-Aug-16,0.09,0.09,0.08,0.08,1110000
3-Aug-16,0.08,0.09,0.08,0.09,150000
2-Aug-16,0.09,0.09,0.09,0.09,2801400
1-Aug-16,0.10,0.10,0.09,0.09,1110100
29-Jul-16,0.09,0.10,0.09,0.09,10211200
28-Jul-16,0.09,0.09,0.09,0.09,3067700
27-Jul-16,0.08,0.09,0.08,0.09,775000
26-Jul-16,0.08,0.09,0.08,0.09,605000
25-Jul-16,0.08,0.09,0.08,0.08,237000
22-Jul-16,0.08,0.09,0.08,0.09,140000
21-Jul-16,0.08,0.08,0.08,0.08,50000
20-Jul-16,0.09,0.09,0.08,0.08,703000
19-Jul-16,0.09,0.09,0.08,0.08,341600
18-Jul-16,0.09,0.09,0.09,0.09,205000
15-Jul-16,0.09,0.10,0.09,0.09,4084800
14-Jul-16,0.09,0.09,0.08,0.09,526300
13-Jul-16,0.09,0.09,0.08,0.09,1250000
12-Jul-16,0.08,0.09,0.08,0.09,995000
11-Jul-16,0.09,0.09,0.08,0.08,696600
8-Jul-16,0.09,0.09,0.09,0.09,1315000
5-Jul-16,0.09,0.09,0.09,0.09,95000
4-Jul-16,0.09,0.09,0.09,0.09,896900
1-Jul-16,0.09,0.09,0.09,0.09,1171500
30-Jun-16,0.09,0.10,0.09,0.09,3240000
29-Jun-16,0.09,0.09,0.08,0.09,819000
28-Jun-16,0.09,0.09,0.08,0.08,126000
27-Jun-16,0.08,0.09,0.08,0.09,604000
24-Jun-16,0.08,0.08,0.08,0.08,321500
23-Jun-16,0.09,0.09,0.09,0.09,100000
21-Jun-16,0.09,0.09,0.09,0.09,6478000
20-Jun-16,0.08,0.08,0.08,0.08,1116000
17-Jun-16,0.09,0.09,0.08,0.09,886000
16-Jun-16,0.09,0.09,0.08,0.08,265000
15-Jun-16,0.08,0.09,0.08,0.09,2600000
14-Jun-16,0.08,0.08,0.08,0.08,392600
13-Jun-16,0.09,0.09,0.08,0.08,292000
10-Jun-16,0.09,0.09,0.09,0.09,300000
9-Jun-16,0.09,0.09,0.09,0.09,1821300
8-Jun-16,0.10,0.10,0.09,0.09,2420000
7-Jun-16,0.10,0.10,0.09,0.10,1487800
6-Jun-16,0.08,0.09,0.08,0.09,737900
3-Jun-16,0.09,0.09,0.08,0.08,355000
2-Jun-16,0.09,0.09,0.08,0.09,910000
1-Jun-16,0.08,0.09,0.08,0.09,997500
31-May-16,0.09,0.09,0.08,0.09,1302200
30-May-16,0.08,0.09,0.08,0.09,398000
27-May-16,0.09,0.09,0.09,0.09,3465000
26-May-16,0.09,0.09,0.09,0.09,543000
25-May-16,0.10,0.10,0.09,0.09,1653100
24-May-16,0.09,0.10,0.09,0.09,1614500
23-May-16,0.10,0.10,0.09,0.09,1758400
20-May-16,0.10,0.10,0.10,0.10,2185300
19-May-16,0.10,0.10,0.10,0.10,3114700
18-May-16,0.10,0.10,0.10,0.10,1883000
17-May-16,0.10,0.10,0.09,0.10,3520000
16-May-16,0.10,0.10,0.09,0.10,2786600
13-May-16,0.10,0.10,0.09,0.10,13787500
12-May-16,0.10,0.10,0.10,0.10,5080000
11-May-16,0.10,0.10,0.10,0.10,2649100
10-May-16,0.10,0.11,0.10,0.10,5352000
9-May-16,0.10,0.10,0.10,0.10,10067700
6-May-16,0.10,0.10,0.10,0.10,6506000
5-May-16,0.10,0.11,0.10,0.10,18233900
4-May-16,0.10,0.10,0.09,0.10,23539200
3-May-16,0.09,0.10,0.09,0.10,5817000
29-Apr-16,0.08,0.09,0.08,0.09,2307200
28-Apr-16,0.09,0.09,0.08,0.09,2294700
27-Apr-16,0.09,0.09,0.08,0.09,3813100
26-Apr-16,0.10,0.10,0.08,0.09,3846100
25-Apr-16,0.09,0.10,0.09,0.09,4655100
22-Apr-16,0.09,0.10,0.09,0.09,1136300
21-Apr-16,0.09,0.10,0.09,0.09,1618000
20-Apr-16,0.09,0.10,0.09,0.09,9396600
19-Apr-16,0.09,0.09,0.08,0.08,1138200
18-Apr-16,0.08,0.09,0.08,0.09,1926000
15-Apr-16,0.08,0.08,0.08,0.08,1802200
14-Apr-16,0.09,0.09,0.08,0.08,950300
13-Apr-16,0.08,0.09,0.08,0.09,1676300
12-Apr-16,0.08,0.08,0.08,0.08,652900
11-Apr-16,0.09,0.09,0.08,0.08,223800
8-Apr-16,0.08,0.09,0.08,0.09,6223700
7-Apr-16,0.09,0.09,0.08,0.09,1227500
6-Apr-16,0.09,0.09,0.08,0.09,828900
5-Apr-16,0.09,0.09,0.08,0.09,9314200
4-Apr-16,0.09,0.10,0.09,0.09,2940800
1-Apr-16,0.09,0.10,0.09,0.10,5550500
31-Mar-16,0.08,0.10,0.08,0.09,5628000
30-Mar-16,0.08,0.09,0.08,0.08,1069800
29-Mar-16,0.09,0.09,0.08,0.08,3513900
28-Mar-16,0.09,0.09,0.08,0.09,8562000
25-Mar-16,0.08,0.09,0.08,0.09,19901300
24-Mar-16,0.08,0.08,0.07,0.08,15534300
23-Mar-16,0.08,0.08,0.07,0.07,2544000
22-Mar-16,0.08,0.08,0.07,0.08,2069000
21-Mar-16,0.08,0.08,0.07,0.08,412000
18-Mar-16,0.07,0.07,0.07,0.07,1570000
17-Mar-16,0.08,0.08,0.07,0.07,403000
16-Mar-16,0.08,0.08,0.07,0.07,1180000
15-Mar-16,0.07,0.07,0.07,0.07,885000
14-Mar-16,0.07,0.08,0.07,0.07,2437100
11-Mar-16,0.08,0.08,0.07,0.07,2535000
10-Mar-16,0.08,0.08,0.07,0.07,1970000
9-Mar-16,0.07,0.08,0.07,0.07,3275300
8-Mar-16,0.07,0.07,0.06,0.06,5520600
7-Mar-16,0.06,0.07,0.06,0.07,1267500
4-Mar-16,0.08,0.08,0.06,0.07,32327400
3-Mar-16,0.07,0.08,0.07,0.07,14383900
2-Mar-16,0.07,0.08,0.06,0.08,23234500
1-Mar-16,0.07,0.07,0.06,0.06,3263400
29-Feb-16,0.06,0.08,0.06,0.08,24591200
26-Feb-16,0.06,0.07,0.06,0.07,2810200
25-Feb-16,0.06,0.07,0.06,0.07,150000
24-Feb-16,0.07,0.07,0.06,0.07,3871000
23-Feb-16,0.06,0.08,0.06,0.08,19612000
22-Feb-16,0.06,0.06,0.06,0.06,11096000
19-Feb-16,0.06,0.06,0.06,0.06,240000
18-Feb-16,0.06,0.06,0.06,0.06,50000
17-Feb-16,0.06,0.06,0.06,0.06,70000
16-Feb-16,0.06,0.06,0.06,0.06,275000
15-Feb-16,0.06,0.06,0.06,0.06,97000
12-Feb-16,0.06,0.06,0.06,0.06,150000
11-Feb-16,0.06,0.06,0.06,0.06,431000
10-Feb-16,0.06,0.06,0.06,0.06,325000
5-Feb-16,0.06,0.06,0.06,0.06,50000
4-Feb-16,0.06,0.06,0.06,0.06,290000
3-Feb-16,0.06,0.06,0.06,0.06,1252200
2-Feb-16,0.06,0.06,0.06,0.06,857200
29-Jan-16,0.06,0.06,0.06,0.06,285000
28-Jan-16,0.06,0.06,0.06,0.06,260000
27-Jan-16,0.06,0.06,0.06,0.06,201200
26-Jan-16,0.06,0.06,0.06,0.06,920000
22-Jan-16,0.06,0.06,0.06,0.06,60300
21-Jan-16,0.06,0.06,0.06,0.06,550000
20-Jan-16,0.06,0.06,0.06,0.06,4859900
19-Jan-16,0.06,0.06,0.06,0.06,1378000
18-Jan-16,0.06,0.06,0.06,0.06,5239600
15-Jan-16,0.06,0.06,0.06,0.06,1603200
14-Jan-16,0.06,0.06,0.06,0.06,3170200
13-Jan-16,0.06,0.07,0.06,0.06,681000
12-Jan-16,0.06,0.07,0.06,0.07,3922800
11-Jan-16,0.06,0.06,0.06,0.06,5793000
8-Jan-16,0.06,0.06,0.06,0.06,2352200
7-Jan-16,0.06,0.07,0.06,0.06,1197000
6-Jan-16,0.06,0.06,0.06,0.06,2341000
