Date,Open,High,Low,Close,Volume
7-Oct-16,0.08,0.08,0.08,0.08,115400
6-Oct-16,-,-,-,0.09,0
5-Oct-16,-,-,-,0.09,0
4-Oct-16,-,-,-,0.09,0
30-Sep-16,0.08,0.09,0.08,0.09,25100
29-Sep-16,0.08,0.08,0.08,0.08,25000
28-Sep-16,-,-,-,0.08,0
27-Sep-16,-,-,-,0.08,0
26-Sep-16,0.08,0.08,0.08,0.08,90000
23-Sep-16,0.08,0.08,0.08,0.08,100000
22-Sep-16,-,-,-,0.08,0
21-Sep-16,-,-,-,0.08,0
20-Sep-16,0.08,0.08,0.08,0.08,360000
19-Sep-16,-,-,-,0.09,0
15-Sep-16,-,-,-,0.09,0
14-Sep-16,-,-,-,0.09,0
13-Sep-16,-,-,-,0.09,0
9-Sep-16,-,-,-,0.09,0
8-Sep-16,-,-,-,0.09,0
7-Sep-16,-,-,-,0.09,0
6-Sep-16,0.08,0.09,0.08,0.09,40100
5-Sep-16,0.08,0.09,0.08,0.09,60100
2-Sep-16,-,-,-,0.08,0
1-Sep-16,0.08,0.08,0.08,0.08,213000
30-Aug-16,0.09,0.09,0.08,0.08,1110000
29-Aug-16,0.10,0.10,0.09,0.09,103600
26-Aug-16,0.09,0.09,0.09,0.09,28000
25-Aug-16,0.09,0.09,0.09,0.09,29700
24-Aug-16,0.09,0.09,0.09,0.09,10000
23-Aug-16,0.09,0.09,0.09,0.09,400
22-Aug-16,0.09,0.09,0.09,0.09,61700
19-Aug-16,0.10,0.10,0.10,0.10,117500
18-Aug-16,0.10,0.10,0.10,0.10,155000
17-Aug-16,0.09,0.10,0.09,0.10,45000
16-Aug-16,0.10,0.10,0.10,0.10,50000
15-Aug-16,-,-,-,0.10,0
12-Aug-16,0.10,0.10,0.10,0.10,100000
11-Aug-16,0.10,0.10,0.10,0.10,30000
10-Aug-16,0.10,0.10,0.10,0.10,90000
9-Aug-16,0.10,0.10,0.10,0.10,325000
8-Aug-16,0.10,0.10,0.10,0.10,147000
5-Aug-16,0.11,0.12,0.10,0.10,2962100
4-Aug-16,0.10,0.11,0.10,0.11,1428500
3-Aug-16,0.10,0.10,0.10,0.10,863200
2-Aug-16,0.08,0.10,0.08,0.10,1270200
1-Aug-16,0.08,0.08,0.08,0.08,50000
29-Jul-16,0.08,0.08,0.08,0.08,83300
28-Jul-16,0.08,0.08,0.08,0.08,150000
27-Jul-16,0.08,0.08,0.08,0.08,200000
26-Jul-16,0.09,0.10,0.09,0.09,100100
25-Jul-16,0.09,0.10,0.09,0.10,278000
22-Jul-16,0.09,0.09,0.09,0.09,200000
21-Jul-16,0.10,0.10,0.09,0.09,580000
20-Jul-16,0.10,0.10,0.09,0.10,460900
19-Jul-16,0.09,0.10,0.09,0.10,530100
18-Jul-16,0.10,0.10,0.09,0.09,816000
15-Jul-16,0.10,0.10,0.10,0.10,320300
14-Jul-16,0.10,0.10,0.10,0.10,1489600
13-Jul-16,0.10,0.11,0.10,0.10,359700
12-Jul-16,0.10,0.11,0.10,0.10,635000
11-Jul-16,0.10,0.11,0.10,0.11,666000
8-Jul-16,0.11,0.11,0.10,0.10,1591000
5-Jul-16,-,-,-,0.12,0
4-Jul-16,0.11,0.12,0.11,0.12,1708600
1-Jul-16,0.12,0.12,0.10,0.12,3886300
30-Jun-16,0.10,0.12,0.10,0.12,2052900
29-Jun-16,0.09,0.09,0.09,0.09,30000
28-Jun-16,0.09,0.09,0.08,0.09,325000
27-Jun-16,0.09,0.10,0.09,0.09,168700
24-Jun-16,0.10,0.10,0.09,0.09,175000
23-Jun-16,0.10,0.10,0.10,0.10,20000
21-Jun-16,0.10,0.10,0.10,0.10,696900
20-Jun-16,0.10,0.11,0.10,0.10,820000
17-Jun-16,0.10,0.10,0.10,0.10,366900
16-Jun-16,0.10,0.10,0.10,0.10,775100
15-Jun-16,0.10,0.10,0.10,0.10,1204700
14-Jun-16,0.10,0.10,0.10,0.10,1459200
13-Jun-16,0.12,0.12,0.10,0.11,4531700
10-Jun-16,0.12,0.12,0.12,0.12,5286000
9-Jun-16,0.10,0.12,0.10,0.12,11730200
8-Jun-16,0.10,0.10,0.10,0.10,1899300
7-Jun-16,0.10,0.10,0.10,0.10,458100
6-Jun-16,0.10,0.11,0.10,0.10,2743200
3-Jun-16,0.12,0.12,0.10,0.10,3571200
2-Jun-16,0.08,0.14,0.08,0.12,11901400
1-Jun-16,-,-,-,0.08,0
31-May-16,0.08,0.08,0.08,0.08,60200
30-May-16,0.08,0.10,0.08,0.09,132200
27-May-16,-,-,-,0.07,0
26-May-16,-,-,-,0.07,0
25-May-16,0.08,0.08,0.07,0.07,190000
24-May-16,-,-,-,0.08,0
23-May-16,0.08,0.11,0.08,0.08,89900
20-May-16,-,-,-,0.07,0
19-May-16,-,-,-,0.07,0
18-May-16,-,-,-,0.07,0
17-May-16,0.07,0.07,0.07,0.07,370000
16-May-16,0.07,0.07,0.07,0.07,60000
13-May-16,-,-,-,0.08,0
12-May-16,-,-,-,0.08,0
11-May-16,-,-,-,0.08,0
10-May-16,-,-,-,0.08,0
9-May-16,-,-,-,0.08,0
6-May-16,-,-,-,0.08,0
5-May-16,-,-,-,0.08,0
4-May-16,-,-,-,0.08,0
3-May-16,-,-,-,0.08,0
29-Apr-16,-,-,-,0.08,0
28-Apr-16,-,-,-,0.08,0
27-Apr-16,-,-,-,0.08,0
26-Apr-16,-,-,-,0.08,0
25-Apr-16,-,-,-,0.08,0
22-Apr-16,-,-,-,0.08,0
21-Apr-16,-,-,-,0.08,0
20-Apr-16,0.08,0.08,0.08,0.08,50000
19-Apr-16,-,-,-,0.08,0
18-Apr-16,-,-,-,0.08,0
15-Apr-16,-,-,-,0.08,0
14-Apr-16,-,-,-,0.08,0
13-Apr-16,-,-,-,0.08,0
12-Apr-16,-,-,-,0.08,0
11-Apr-16,0.08,0.08,0.08,0.08,45000
8-Apr-16,0.08,0.08,0.08,0.08,2100
7-Apr-16,-,-,-,0.08,0
6-Apr-16,-,-,-,0.08,0
5-Apr-16,0.08,0.08,0.08,0.08,173000
4-Apr-16,-,-,-,0.06,0
1-Apr-16,-,-,-,0.06,0
31-Mar-16,-,-,-,0.06,0
30-Mar-16,-,-,-,0.06,0
29-Mar-16,-,-,-,0.06,0
28-Mar-16,-,-,-,0.06,0
25-Mar-16,-,-,-,0.06,0
24-Mar-16,-,-,-,0.06,0
23-Mar-16,-,-,-,0.06,0
22-Mar-16,-,-,-,0.06,0
21-Mar-16,-,-,-,0.06,0
18-Mar-16,-,-,-,0.06,0
17-Mar-16,0.06,0.06,0.06,0.06,5000
16-Mar-16,-,-,-,0.06,0
15-Mar-16,-,-,-,0.06,0
14-Mar-16,-,-,-,0.06,0
11-Mar-16,-,-,-,0.06,0
10-Mar-16,-,-,-,0.06,0
9-Mar-16,0.06,0.06,0.06,0.06,20000
8-Mar-16,-,-,-,0.06,0
7-Mar-16,-,-,-,0.06,0
4-Mar-16,-,-,-,0.06,0
3-Mar-16,-,-,-,0.06,0
2-Mar-16,-,-,-,0.06,0
1-Mar-16,-,-,-,0.06,0
29-Feb-16,-,-,-,0.06,0
26-Feb-16,-,-,-,0.06,0
25-Feb-16,0.06,0.06,0.06,0.06,15000
24-Feb-16,-,-,-,0.06,0
23-Feb-16,-,-,-,0.06,0
22-Feb-16,-,-,-,0.06,0
19-Feb-16,-,-,-,0.06,0
18-Feb-16,-,-,-,0.06,0
17-Feb-16,-,-,-,0.06,0
16-Feb-16,-,-,-,0.06,0
15-Feb-16,0.06,0.06,0.06,0.06,5000
12-Feb-16,0.06,0.06,0.06,0.06,23200
11-Feb-16,-,-,-,0.06,0
10-Feb-16,0.06,0.06,0.06,0.06,40000
5-Feb-16,0.06,0.06,0.06,0.06,100000
4-Feb-16,0.06,0.06,0.06,0.06,100000
3-Feb-16,-,-,-,0.06,0
2-Feb-16,-,-,-,0.06,0
29-Jan-16,-,-,-,0.06,0
28-Jan-16,-,-,-,0.06,0
27-Jan-16,0.06,0.06,0.06,0.06,329500
26-Jan-16,0.06,0.06,0.06,0.06,4000
22-Jan-16,-,-,-,0.08,0
21-Jan-16,0.07,0.08,0.07,0.08,167000
20-Jan-16,-,-,-,0.08,0
19-Jan-16,0.08,0.08,0.08,0.08,277300
18-Jan-16,0.08,0.08,0.08,0.08,100100
15-Jan-16,-,-,-,0.08,0
14-Jan-16,-,-,-,0.08,0
13-Jan-16,-,-,-,0.08,0
12-Jan-16,-,-,-,0.08,0
11-Jan-16,-,-,-,0.08,0
8-Jan-16,-,-,-,0.08,0
7-Jan-16,0.08,0.11,0.07,0.08,969700
6-Jan-16,-,-,-,0.06,0
5-Jan-16,-,-,-,0.06,0
4-Jan-16,-,-,-,0.06,0
31-Dec-15,0.06,0.06,0.06,0.06,6000
30-Dec-15,-,-,-,0.08,0
29-Dec-15,0.08,0.08,0.08,0.08,80500
28-Dec-15,-,-,-,0.08,0
23-Dec-15,-,-,-,0.08,0
22-Dec-15,-,-,-,0.08,0
21-Dec-15,-,-,-,0.08,0
18-Dec-15,0.08,0.08,0.08,0.08,300000
17-Dec-15,0.08,0.08,0.08,0.08,18000
16-Dec-15,-,-,-,0.08,0
15-Dec-15,0.08,0.08,0.08,0.08,200000
14-Dec-15,0.08,0.08,0.08,0.08,2000
11-Dec-15,0.08,0.08,0.08,0.08,8957500
10-Dec-15,-,-,-,0.08,0
9-Dec-15,-,-,-,0.08,0
8-Dec-15,-,-,-,0.08,0
7-Dec-15,-,-,-,0.08,0
4-Dec-15,-,-,-,0.08,0
3-Dec-15,-,-,-,0.08,0
2-Dec-15,-,-,-,0.08,0
1-Dec-15,0.08,0.08,0.08,0.08,10000
30-Nov-15,0.08,0.08,0.08,0.08,5000
27-Nov-15,0.08,0.08,0.08,0.08,40000
26-Nov-15,-,-,-,0.08,0
25-Nov-15,0.08,0.08,0.08,0.08,50000
24-Nov-15,0.08,0.08,0.08,0.08,57000
23-Nov-15,0.08,0.08,0.08,0.08,40000
20-Nov-15,0.08,0.08,0.08,0.08,10000
19-Nov-15,-,-,-,0.08,0
18-Nov-15,-,-,-,0.08,0
17-Nov-15,-,-,-,0.08,0
16-Nov-15,-,-,-,0.08,0
13-Nov-15,0.08,0.08,0.08,0.08,23000
12-Nov-15,0.08,0.08,0.08,0.08,81000
11-Nov-15,-,-,-,0.09,0
9-Nov-15,-,-,-,0.09,0
6-Nov-15,0.09,0.09,0.09,0.09,193000
5-Nov-15,0.09,0.09,0.09,0.09,25000
4-Nov-15,0.09,0.10,0.09,0.10,4100
3-Nov-15,0.10,0.10,0.10,0.10,1000
2-Nov-15,-,-,-,0.09,0
30-Oct-15,0.09,0.09,0.09,0.09,80400
29-Oct-15,-,-,-,0.09,0
28-Oct-15,-,-,-,0.09,0
27-Oct-15,-,-,-,0.09,0
26-Oct-15,-,-,-,0.09,0
23-Oct-15,-,-,-,0.09,0
22-Oct-15,-,-,-,0.09,0
21-Oct-15,-,-,-,0.09,0
20-Oct-15,-,-,-,0.09,0
19-Oct-15,-,-,-,0.09,0
16-Oct-15,-,-,-,0.09,0
15-Oct-15,-,-,-,0.09,0
13-Oct-15,-,-,-,0.09,0
12-Oct-15,-,-,-,0.09,0
