Date,Open,High,Low,Close,Volume
7-Oct-16,2.30,2.31,2.28,2.31,1084700
6-Oct-16,2.27,2.31,2.26,2.30,1297700
5-Oct-16,2.30,2.31,2.30,2.30,816500
4-Oct-16,2.30,2.32,2.26,2.30,797000
30-Sep-16,2.29,2.32,2.27,2.28,1556100
29-Sep-16,2.29,2.30,2.29,2.30,552000
28-Sep-16,2.26,2.32,2.24,2.30,1867400
27-Sep-16,2.28,2.30,2.25,2.28,970900
26-Sep-16,2.38,2.38,2.27,2.28,1457200
23-Sep-16,2.38,2.40,2.31,2.36,2365300
22-Sep-16,2.26,2.36,2.25,2.36,1573000
21-Sep-16,2.24,2.27,2.23,2.27,44700
20-Sep-16,2.24,2.28,2.21,2.25,320400
19-Sep-16,2.23,2.26,2.22,2.22,74800
15-Sep-16,2.20,2.25,2.19,2.25,418100
14-Sep-16,2.21,2.27,2.20,2.20,291700
13-Sep-16,2.22,2.27,2.22,2.24,133400
9-Sep-16,2.23,2.30,2.23,2.25,4147000
8-Sep-16,2.26,2.29,2.22,2.26,536100
7-Sep-16,2.27,2.27,2.22,2.27,848300
6-Sep-16,2.25,2.28,2.24,2.27,726200
5-Sep-16,2.23,2.26,2.22,2.26,362000
2-Sep-16,2.20,2.27,2.20,2.26,675200
1-Sep-16,2.25,2.28,2.20,2.27,414900
30-Aug-16,2.27,2.28,2.25,2.25,498500
29-Aug-16,2.28,2.34,2.23,2.25,1378700
26-Aug-16,2.25,2.35,2.23,2.35,1094100
25-Aug-16,2.30,2.30,2.27,2.28,697600
24-Aug-16,2.32,2.36,2.30,2.30,704600
23-Aug-16,2.28,2.37,2.28,2.37,1427400
22-Aug-16,2.35,2.35,2.28,2.28,857900
19-Aug-16,2.32,2.34,2.27,2.34,1559600
18-Aug-16,2.37,2.37,2.35,2.36,834000
17-Aug-16,2.36,2.38,2.36,2.36,647000
16-Aug-16,2.33,2.40,2.30,2.36,1729300
15-Aug-16,2.33,2.37,2.31,2.33,438800
12-Aug-16,2.36,2.40,2.31,2.32,1390100
11-Aug-16,2.38,2.41,2.33,2.37,1516800
10-Aug-16,2.23,2.42,2.23,2.38,4886100
9-Aug-16,2.25,2.25,2.19,2.23,2467200
8-Aug-16,2.25,2.26,2.22,2.23,1821700
5-Aug-16,2.20,2.22,2.20,2.22,2740200
4-Aug-16,2.16,2.23,2.15,2.20,4369400
3-Aug-16,2.09,2.16,2.09,2.14,1032200
2-Aug-16,2.14,2.15,2.09,2.14,667600
1-Aug-16,2.10,2.14,2.10,2.11,419700
29-Jul-16,2.06,2.12,2.04,2.10,787100
28-Jul-16,2.07,2.08,2.03,2.05,1068800
27-Jul-16,2.10,2.11,2.07,2.07,209300
26-Jul-16,2.10,2.10,2.10,2.10,30500
25-Jul-16,2.12,2.13,2.10,2.10,231400
22-Jul-16,2.08,2.16,2.08,2.12,1176200
21-Jul-16,2.10,2.12,2.06,2.10,122600
20-Jul-16,2.10,2.12,2.09,2.10,163700
19-Jul-16,2.09,2.10,2.08,2.10,1497400
18-Jul-16,2.07,2.09,2.07,2.07,147200
15-Jul-16,2.07,2.07,2.06,2.07,22600
14-Jul-16,2.05,2.09,2.05,2.09,180700
13-Jul-16,2.05,2.07,2.05,2.05,554100
12-Jul-16,2.06,2.07,2.03,2.03,28400
11-Jul-16,2.03,2.06,2.03,2.05,1635400
8-Jul-16,2.02,2.03,2.01,2.03,15100
5-Jul-16,2.01,2.03,2.01,2.02,118000
4-Jul-16,1.99,2.04,1.99,2.00,444500
1-Jul-16,1.99,2.01,1.99,1.99,28600
30-Jun-16,2.01,2.01,1.99,2.01,265100
29-Jun-16,1.95,2.01,1.95,2.00,515500
28-Jun-16,1.96,1.96,1.95,1.95,473700
27-Jun-16,2.00,2.00,1.94,1.94,322000
24-Jun-16,2.03,2.03,1.99,2.01,358400
23-Jun-16,2.09,2.11,2.07,2.07,1072900
21-Jun-16,2.02,2.09,2.02,2.09,143000
20-Jun-16,2.02,2.05,2.02,2.02,48300
17-Jun-16,2.02,2.13,2.01,2.02,686400
16-Jun-16,2.10,2.12,2.02,2.02,610500
15-Jun-16,2.11,2.13,2.11,2.12,155000
14-Jun-16,2.10,2.13,2.10,2.10,33300
13-Jun-16,2.10,2.12,2.10,2.12,331800
10-Jun-16,2.10,2.13,2.10,2.11,51200
9-Jun-16,2.10,2.16,2.10,2.10,552800
8-Jun-16,2.15,2.16,2.13,2.15,1284000
7-Jun-16,2.15,2.17,2.15,2.15,747100
6-Jun-16,2.10,2.15,2.05,2.15,627300
3-Jun-16,2.05,2.11,2.04,2.10,1668700
2-Jun-16,2.05,2.08,2.05,2.05,30900
1-Jun-16,2.08,2.10,2.02,2.05,1650700
31-May-16,2.11,2.15,2.10,2.12,148700
30-May-16,2.15,2.15,2.11,2.11,47000
27-May-16,2.15,2.15,2.11,2.11,112000
26-May-16,2.15,2.16,2.10,2.14,954100
25-May-16,2.11,2.14,2.11,2.13,159800
24-May-16,2.10,2.15,2.10,2.13,636300
23-May-16,2.15,2.16,2.10,2.10,1244000
20-May-16,2.12,2.16,2.12,2.15,168900
19-May-16,2.12,2.15,2.12,2.15,388500
18-May-16,2.15,2.15,2.11,2.15,99200
17-May-16,2.11,2.14,2.11,2.14,212300
16-May-16,2.15,2.15,2.10,2.14,102000
13-May-16,2.15,2.16,2.08,2.15,1223100
12-May-16,2.14,2.15,2.13,2.15,1262000
11-May-16,2.14,2.16,2.13,2.14,1745100
10-May-16,2.12,2.14,2.09,2.14,821600
9-May-16,2.10,2.15,2.10,2.12,2293100
6-May-16,2.11,2.11,2.08,2.10,519500
5-May-16,2.10,2.11,2.09,2.11,679400
4-May-16,2.07,2.11,2.05,2.10,580100
3-May-16,2.05,2.10,2.05,2.06,590100
29-Apr-16,2.09,2.10,2.08,2.10,375000
28-Apr-16,2.10,2.10,2.07,2.09,2496600
