Date,Open,High,Low,Close,Volume
7-Oct-16,0.64,0.64,0.64,0.64,141100
6-Oct-16,0.65,0.66,0.64,0.64,214800
5-Oct-16,0.66,0.66,0.64,0.64,561700
4-Oct-16,0.68,0.68,0.65,0.66,534000
30-Sep-16,0.68,0.68,0.66,0.67,504900
29-Sep-16,0.67,0.70,0.67,0.68,1004700
28-Sep-16,0.68,0.68,0.68,0.68,262500
27-Sep-16,0.68,0.68,0.68,0.68,401500
26-Sep-16,0.66,0.69,0.66,0.68,1900400
23-Sep-16,0.68,0.69,0.66,0.67,1368600
22-Sep-16,0.68,0.68,0.67,0.68,640900
21-Sep-16,0.67,0.69,0.67,0.68,640100
20-Sep-16,0.68,0.68,0.66,0.67,435100
19-Sep-16,0.68,0.70,0.68,0.68,2686900
15-Sep-16,0.64,0.66,0.64,0.66,755300
14-Sep-16,0.65,0.66,0.64,0.64,702500
13-Sep-16,0.66,0.68,0.66,0.66,502500
9-Sep-16,0.69,0.70,0.68,0.68,334700
8-Sep-16,0.69,0.70,0.68,0.69,1899600
7-Sep-16,0.68,0.70,0.67,0.68,2469700
6-Sep-16,0.68,0.70,0.68,0.68,1841400
5-Sep-16,0.65,0.69,0.65,0.68,2891200
2-Sep-16,0.62,0.64,0.62,0.64,1281600
1-Sep-16,0.63,0.63,0.62,0.63,388000
30-Aug-16,0.62,0.64,0.62,0.64,417700
29-Aug-16,0.64,0.64,0.62,0.62,793400
26-Aug-16,0.64,0.66,0.63,0.64,1130200
25-Aug-16,0.62,0.64,0.62,0.64,400600
24-Aug-16,0.64,0.64,0.62,0.62,770800
23-Aug-16,0.66,0.66,0.63,0.64,2268500
22-Aug-16,0.70,0.70,0.66,0.66,2242600
19-Aug-16,0.70,0.72,0.70,0.70,1097600
18-Aug-16,0.72,0.72,0.69,0.70,2712000
17-Aug-16,0.71,0.73,0.70,0.72,10916100
16-Aug-16,0.67,0.70,0.67,0.70,3754000
15-Aug-16,0.68,0.68,0.66,0.67,753100
12-Aug-16,0.70,0.70,0.68,0.68,1373900
