Date,Open,High,Low,Close,Volume
7-Oct-16,0.16,0.16,0.16,0.16,10000
6-Oct-16,-,-,-,0.16,0
5-Oct-16,-,-,-,0.16,0
4-Oct-16,-,-,-,0.16,0
30-Sep-16,0.16,0.16,0.16,0.16,65000
29-Sep-16,0.16,0.16,0.16,0.16,55000
28-Sep-16,0.16,0.16,0.16,0.16,6000
27-Sep-16,0.16,0.16,0.16,0.16,20000
26-Sep-16,-,-,-,0.18,0
23-Sep-16,-,-,-,0.18,0
22-Sep-16,-,-,-,0.18,0
21-Sep-16,0.17,0.18,0.17,0.18,223000
20-Sep-16,0.16,0.16,0.16,0.16,91500
19-Sep-16,-,-,-,0.17,0
15-Sep-16,0.16,0.17,0.16,0.17,281700
14-Sep-16,0.16,0.17,0.16,0.17,40000
13-Sep-16,0.16,0.16,0.16,0.16,143000
9-Sep-16,0.16,0.16,0.16,0.16,75000
8-Sep-16,0.16,0.18,0.16,0.18,108700
7-Sep-16,-,-,-,0.16,0
6-Sep-16,0.17,0.18,0.16,0.16,145000
5-Sep-16,0.16,0.16,0.16,0.16,72000
2-Sep-16,0.16,0.16,0.16,0.16,105000
1-Sep-16,-,-,-,0.16,0
30-Aug-16,-,-,-,0.16,0
29-Aug-16,-,-,-,0.16,0
26-Aug-16,0.16,0.16,0.16,0.16,20000
25-Aug-16,-,-,-,0.16,0
24-Aug-16,0.16,0.16,0.16,0.16,14000
23-Aug-16,0.16,0.16,0.16,0.16,1000
22-Aug-16,0.17,0.17,0.17,0.17,80000
19-Aug-16,0.17,0.19,0.16,0.19,131000
18-Aug-16,-,-,-,0.17,0
17-Aug-16,0.18,0.18,0.17,0.17,50000
16-Aug-16,-,-,-,0.18,0
15-Aug-16,0.18,0.18,0.18,0.18,50000
12-Aug-16,0.18,0.18,0.18,0.18,89900
11-Aug-16,0.18,0.18,0.18,0.18,65000
10-Aug-16,-,-,-,0.18,0
9-Aug-16,0.20,0.20,0.18,0.18,60100
8-Aug-16,0.19,0.19,0.19,0.19,60000
