Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,4.89,0
6-Oct-16,4.90,4.90,4.89,4.89,3200
5-Oct-16,-,-,-,4.89,0
4-Oct-16,-,-,-,4.89,0
30-Sep-16,5.00,5.00,4.89,4.89,700
29-Sep-16,-,-,-,4.90,0
28-Sep-16,4.90,4.90,4.90,4.90,3000
27-Sep-16,-,-,-,4.90,0
26-Sep-16,4.91,4.91,4.90,4.90,1000
23-Sep-16,-,-,-,4.90,0
22-Sep-16,4.90,4.90,4.90,4.90,300
21-Sep-16,4.99,4.99,4.98,4.99,302500
20-Sep-16,4.86,4.86,4.86,4.86,1000
19-Sep-16,-,-,-,4.99,0
15-Sep-16,4.99,4.99,4.99,4.99,39700
14-Sep-16,5.00,5.00,5.00,5.00,5000
13-Sep-16,-,-,-,5.00,0
9-Sep-16,5.00,5.00,5.00,5.00,205000
8-Sep-16,5.00,5.00,5.00,5.00,1200
7-Sep-16,5.00,5.00,5.00,5.00,5000
6-Sep-16,5.05,5.05,4.82,4.82,2200
5-Sep-16,5.02,5.03,5.02,5.03,11700
2-Sep-16,5.00,5.00,5.00,5.00,18700
1-Sep-16,5.00,5.00,5.00,5.00,34000
30-Aug-16,5.00,5.03,5.00,5.02,1123100
29-Aug-16,5.00,5.00,5.00,5.00,1200
26-Aug-16,5.00,5.01,5.00,5.00,192400
25-Aug-16,4.99,5.03,4.91,4.91,1501400
24-Aug-16,4.91,5.03,4.90,5.03,1030200
23-Aug-16,-,-,-,5.00,0
22-Aug-16,-,-,-,5.00,0
19-Aug-16,5.00,5.00,5.00,5.00,3000
18-Aug-16,5.00,5.03,5.00,5.03,1004700
17-Aug-16,5.05,5.05,5.05,5.05,4000
16-Aug-16,5.00,5.01,5.00,5.00,6000
15-Aug-16,5.01,5.01,5.00,5.00,2000
12-Aug-16,-,-,-,5.00,0
11-Aug-16,5.00,5.00,5.00,5.00,1694100
10-Aug-16,5.00,5.00,5.00,5.00,500000
9-Aug-16,5.10,5.10,5.10,5.10,1000
8-Aug-16,5.05,5.08,5.05,5.08,327500
5-Aug-16,5.10,5.10,5.07,5.08,328100
4-Aug-16,5.00,5.12,5.00,5.08,15700
3-Aug-16,4.90,4.90,4.89,4.89,5800
2-Aug-16,4.90,4.90,4.90,4.90,2000
1-Aug-16,4.92,4.92,4.89,4.90,3000
29-Jul-16,-,-,-,4.88,0
28-Jul-16,4.88,4.88,4.88,4.88,1000
27-Jul-16,4.89,4.89,4.89,4.89,1000
26-Jul-16,4.89,4.89,4.89,4.89,2900
25-Jul-16,4.88,4.88,4.88,4.88,600
22-Jul-16,-,-,-,5.10,0
21-Jul-16,-,-,-,5.10,0
20-Jul-16,5.05,5.10,5.05,5.10,9800
19-Jul-16,-,-,-,4.90,0
18-Jul-16,-,-,-,4.90,0
15-Jul-16,-,-,-,4.90,0
14-Jul-16,-,-,-,4.90,0
13-Jul-16,4.91,4.91,4.90,4.90,1000
12-Jul-16,5.00,5.04,5.00,5.01,56000
11-Jul-16,-,-,-,4.82,0
8-Jul-16,4.92,4.92,4.82,4.82,11000
5-Jul-16,-,-,-,5.00,0
4-Jul-16,-,-,-,5.00,0
1-Jul-16,5.00,5.00,5.00,5.00,59000
30-Jun-16,5.00,5.00,5.00,5.00,92500
29-Jun-16,4.84,4.84,4.84,4.84,2000
28-Jun-16,5.00,5.01,5.00,5.01,2000
27-Jun-16,5.00,5.00,5.00,5.00,4000
24-Jun-16,5.00,5.00,5.00,5.00,5600
23-Jun-16,5.00,5.00,5.00,5.00,6100
21-Jun-16,5.02,5.02,5.02,5.02,500
20-Jun-16,-,-,-,5.02,0
17-Jun-16,4.90,5.02,4.90,5.02,3000
16-Jun-16,5.00,5.00,4.80,4.80,600
15-Jun-16,5.01,5.01,5.00,5.01,6900
14-Jun-16,5.00,5.01,5.00,5.01,2000
13-Jun-16,5.00,5.00,5.00,5.00,502300
10-Jun-16,5.00,5.00,5.00,5.00,554200
9-Jun-16,5.00,5.01,5.00,5.00,501000
8-Jun-16,5.02,5.02,5.02,5.02,3000
7-Jun-16,-,-,-,5.00,0
6-Jun-16,5.00,5.00,5.00,5.00,505300
3-Jun-16,5.00,5.00,5.00,5.00,504400
2-Jun-16,5.00,5.00,5.00,5.00,4000
1-Jun-16,5.00,5.02,5.00,5.00,523600
31-May-16,5.00,5.00,5.00,5.00,501000
30-May-16,5.02,5.02,5.02,5.02,6000
27-May-16,5.02,5.02,5.02,5.02,517200
26-May-16,5.02,5.03,5.02,5.02,526400
25-May-16,5.02,5.03,5.01,5.02,547000
24-May-16,5.01,5.04,5.01,5.03,1013700
23-May-16,5.02,5.02,5.02,5.02,355600
20-May-16,5.02,5.03,5.02,5.02,343200
19-May-16,5.02,5.04,5.02,5.02,224000
18-May-16,5.02,5.02,5.00,5.02,1201100
17-May-16,5.05,5.05,5.00,5.02,107400
16-May-16,5.00,5.04,5.00,5.03,59600
13-May-16,4.81,5.02,4.81,5.02,170800
12-May-16,4.98,5.01,4.98,5.00,86400
11-May-16,4.94,4.94,4.94,4.94,1000
10-May-16,4.84,4.89,4.84,4.89,6300
9-May-16,4.80,4.80,4.80,4.80,5000
6-May-16,4.80,4.80,4.80,4.80,61900
5-May-16,4.90,4.90,4.89,4.89,700
4-May-16,4.90,4.90,4.90,4.90,192000
3-May-16,4.90,4.96,4.75,4.96,5100
29-Apr-16,4.90,4.90,4.90,4.90,300
28-Apr-16,4.98,4.98,4.98,4.98,6500
27-Apr-16,4.98,4.98,4.98,4.98,1300
26-Apr-16,4.98,4.98,4.92,4.98,390300
25-Apr-16,4.97,4.97,4.97,4.97,5500
