Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.04,0
6-Oct-16,-,-,-,0.04,0
5-Oct-16,-,-,-,0.04,0
4-Oct-16,-,-,-,0.04,0
30-Sep-16,-,-,-,0.04,0
29-Sep-16,-,-,-,0.04,0
28-Sep-16,-,-,-,0.04,0
27-Sep-16,-,-,-,0.04,0
26-Sep-16,-,-,-,0.04,0
23-Sep-16,-,-,-,0.04,0
22-Sep-16,-,-,-,0.04,0
21-Sep-16,-,-,-,0.04,0
20-Sep-16,-,-,-,0.04,0
19-Sep-16,-,-,-,0.04,0
15-Sep-16,-,-,-,0.04,0
14-Sep-16,-,-,-,0.04,0
13-Sep-16,-,-,-,0.04,0
9-Sep-16,-,-,-,0.04,0
8-Sep-16,-,-,-,0.04,0
7-Sep-16,-,-,-,0.04,0
6-Sep-16,-,-,-,0.04,0
5-Sep-16,-,-,-,0.04,0
2-Sep-16,-,-,-,0.04,0
1-Sep-16,-,-,-,0.04,0
30-Aug-16,-,-,-,0.04,0
29-Aug-16,-,-,-,0.04,0
26-Aug-16,-,-,-,0.04,0
25-Aug-16,-,-,-,0.04,0
24-Aug-16,-,-,-,0.04,0
23-Aug-16,-,-,-,0.04,0
22-Aug-16,-,-,-,0.04,0
19-Aug-16,-,-,-,0.04,0
18-Aug-16,-,-,-,0.04,0
17-Aug-16,-,-,-,0.04,0
16-Aug-16,-,-,-,0.04,0
15-Aug-16,-,-,-,0.04,0
12-Aug-16,-,-,-,0.04,0
11-Aug-16,-,-,-,0.04,0
10-Aug-16,-,-,-,0.04,0
9-Aug-16,-,-,-,0.04,0
8-Aug-16,-,-,-,0.04,0
5-Aug-16,-,-,-,0.04,0
4-Aug-16,-,-,-,0.04,0
3-Aug-16,-,-,-,0.04,0
2-Aug-16,-,-,-,0.04,0
1-Aug-16,-,-,-,0.04,0
29-Jul-16,-,-,-,0.04,0
28-Jul-16,-,-,-,0.04,0
27-Jul-16,-,-,-,0.04,0
26-Jul-16,-,-,-,0.04,0
25-Jul-16,-,-,-,0.04,0
22-Jul-16,-,-,-,0.04,0
21-Jul-16,-,-,-,0.04,0
20-Jul-16,-,-,-,0.04,0
19-Jul-16,-,-,-,0.04,0
18-Jul-16,-,-,-,0.04,0
15-Jul-16,-,-,-,0.04,0
14-Jul-16,-,-,-,0.04,0
13-Jul-16,-,-,-,0.04,0
12-Jul-16,-,-,-,0.04,0
11-Jul-16,-,-,-,0.04,0
8-Jul-16,-,-,-,0.04,0
5-Jul-16,-,-,-,0.04,0
4-Jul-16,-,-,-,0.04,0
1-Jul-16,-,-,-,0.04,0
30-Jun-16,-,-,-,0.04,0
29-Jun-16,-,-,-,0.04,0
28-Jun-16,-,-,-,0.04,0
27-Jun-16,-,-,-,0.04,0
24-Jun-16,-,-,-,0.04,0
23-Jun-16,-,-,-,0.04,0
21-Jun-16,-,-,-,0.04,0
20-Jun-16,-,-,-,0.04,0
17-Jun-16,-,-,-,0.04,0
16-Jun-16,-,-,-,0.04,0
15-Jun-16,-,-,-,0.04,0
14-Jun-16,-,-,-,0.04,0
13-Jun-16,-,-,-,0.04,0
10-Jun-16,-,-,-,0.04,0
9-Jun-16,-,-,-,0.04,0
8-Jun-16,-,-,-,0.04,0
7-Jun-16,-,-,-,0.04,0
6-Jun-16,-,-,-,0.04,0
3-Jun-16,-,-,-,0.04,0
2-Jun-16,-,-,-,0.04,0
1-Jun-16,-,-,-,0.04,0
31-May-16,-,-,-,0.04,0
30-May-16,-,-,-,0.04,0
27-May-16,-,-,-,0.04,0
26-May-16,-,-,-,0.04,0
25-May-16,-,-,-,0.04,0
24-May-16,-,-,-,0.04,0
23-May-16,-,-,-,0.04,0
20-May-16,-,-,-,0.04,0
19-May-16,-,-,-,0.04,0
18-May-16,-,-,-,0.04,0
17-May-16,-,-,-,0.04,0
16-May-16,-,-,-,0.04,0
13-May-16,-,-,-,0.04,0
12-May-16,-,-,-,0.04,0
11-May-16,-,-,-,0.04,0
10-May-16,-,-,-,0.04,0
9-May-16,0.03,0.04,0.03,0.04,7514000
6-May-16,0.03,0.04,0.02,0.03,2111200
5-May-16,0.04,0.04,0.02,0.04,8737700
4-May-16,0.03,0.04,0.03,0.04,8431100
3-May-16,0.04,0.04,0.03,0.03,9714300
29-Apr-16,0.04,0.04,0.04,0.04,1580000
28-Apr-16,0.04,0.04,0.04,0.04,1355800
27-Apr-16,0.04,0.04,0.04,0.04,15210900
26-Apr-16,0.05,0.05,0.04,0.04,19786300
25-Apr-16,0.06,0.06,0.06,0.06,1515800
22-Apr-16,0.06,0.06,0.06,0.06,1300000
21-Apr-16,0.06,0.06,0.06,0.06,1013000
20-Apr-16,0.06,0.06,0.06,0.06,160000
19-Apr-16,0.06,0.06,0.06,0.06,30000
18-Apr-16,0.06,0.06,0.06,0.06,265000
15-Apr-16,0.06,0.06,0.06,0.06,274600
14-Apr-16,0.06,0.06,0.06,0.06,198500
13-Apr-16,0.06,0.06,0.06,0.06,5000
12-Apr-16,0.06,0.06,0.06,0.06,2110200
11-Apr-16,0.06,0.06,0.06,0.06,381000
8-Apr-16,0.06,0.06,0.06,0.06,600
7-Apr-16,0.06,0.06,0.06,0.06,83500
6-Apr-16,0.06,0.06,0.06,0.06,152300
5-Apr-16,0.06,0.06,0.06,0.06,200100
4-Apr-16,0.06,0.06,0.06,0.06,120800
1-Apr-16,0.06,0.06,0.06,0.06,9000
31-Mar-16,0.06,0.06,0.06,0.06,210200
30-Mar-16,0.06,0.06,0.05,0.06,8987000
29-Mar-16,0.06,0.06,0.06,0.06,5873200
28-Mar-16,0.06,0.06,0.06,0.06,2700000
25-Mar-16,0.06,0.06,0.06,0.06,173600
24-Mar-16,0.07,0.07,0.06,0.06,1346000
23-Mar-16,0.06,0.07,0.06,0.06,1112000
22-Mar-16,0.06,0.06,0.06,0.06,2200200
21-Mar-16,0.07,0.07,0.06,0.06,3260600
18-Mar-16,0.06,0.07,0.06,0.06,1031000
17-Mar-16,0.06,0.07,0.06,0.07,1181800
16-Mar-16,0.06,0.06,0.06,0.06,1280000
15-Mar-16,0.06,0.06,0.06,0.06,1410000
14-Mar-16,0.06,0.07,0.06,0.07,1850000
11-Mar-16,0.06,0.06,0.06,0.06,1628000
10-Mar-16,0.06,0.07,0.06,0.06,2982400
9-Mar-16,0.06,0.06,0.06,0.06,2355100
8-Mar-16,0.06,0.06,0.06,0.06,811600
7-Mar-16,0.06,0.06,0.06,0.06,162900
4-Mar-16,0.06,0.06,0.06,0.06,537900
3-Mar-16,0.06,0.06,0.06,0.06,939100
2-Mar-16,0.06,0.06,0.06,0.06,4513500
1-Mar-16,0.06,0.06,0.06,0.06,1842700
29-Feb-16,0.06,0.06,0.06,0.06,714000
26-Feb-16,0.06,0.06,0.06,0.06,1825100
25-Feb-16,0.06,0.06,0.06,0.06,6524800
24-Feb-16,0.06,0.06,0.06,0.06,1270200
23-Feb-16,0.06,0.06,0.05,0.06,9657300
22-Feb-16,0.05,0.06,0.04,0.05,31696400
19-Feb-16,0.05,0.06,0.05,0.06,3690600
18-Feb-16,0.06,0.06,0.05,0.05,2663300
17-Feb-16,0.06,0.06,0.05,0.06,6657500
16-Feb-16,0.06,0.06,0.06,0.06,1800
15-Feb-16,0.06,0.06,0.06,0.06,40000
12-Feb-16,0.06,0.06,0.05,0.05,561200
11-Feb-16,0.06,0.06,0.05,0.06,1488800
10-Feb-16,0.05,0.06,0.05,0.05,1572800
5-Feb-16,0.05,0.06,0.05,0.06,3365200
4-Feb-16,0.05,0.06,0.05,0.06,7327000
3-Feb-16,0.05,0.05,0.04,0.05,2055400
2-Feb-16,0.04,0.06,0.04,0.04,4862300
29-Jan-16,0.06,0.06,0.04,0.05,17212400
28-Jan-16,0.06,0.06,0.05,0.06,3135700
27-Jan-16,0.06,0.06,0.05,0.06,5238900
26-Jan-16,0.06,0.06,0.05,0.06,17427200
22-Jan-16,0.05,0.06,0.05,0.06,6561100
21-Jan-16,0.05,0.06,0.05,0.06,303000
20-Jan-16,0.06,0.06,0.06,0.06,2550000
19-Jan-16,0.06,0.06,0.05,0.06,12082500
18-Jan-16,0.06,0.06,0.06,0.06,7819100
15-Jan-16,0.06,0.06,0.06,0.06,1268800
14-Jan-16,0.06,0.06,0.06,0.06,809300
13-Jan-16,0.06,0.06,0.06,0.06,2433200
12-Jan-16,0.06,0.06,0.06,0.06,4005100
11-Jan-16,0.06,0.06,0.06,0.06,1700000
8-Jan-16,0.06,0.07,0.06,0.07,4069900
7-Jan-16,0.06,0.06,0.06,0.06,4704700
6-Jan-16,0.06,0.07,0.06,0.07,2224200
5-Jan-16,0.07,0.08,0.06,0.06,7878900
