Date,Open,High,Low,Close,Volume
7-Oct-16,0.38,0.40,0.38,0.39,268000
6-Oct-16,0.40,0.40,0.38,0.38,547200
5-Oct-16,0.38,0.41,0.38,0.40,1184100
4-Oct-16,0.39,0.39,0.38,0.38,271900
30-Sep-16,0.39,0.42,0.38,0.39,550000
29-Sep-16,0.42,0.43,0.40,0.41,505000
28-Sep-16,0.40,0.44,0.38,0.41,1035700
27-Sep-16,0.40,0.40,0.38,0.40,371600
26-Sep-16,0.34,0.40,0.34,0.40,1731800
23-Sep-16,0.32,0.34,0.32,0.34,1154400
22-Sep-16,0.28,0.32,0.28,0.30,806800
21-Sep-16,0.28,0.29,0.27,0.29,311300
20-Sep-16,0.29,0.29,0.28,0.28,131200
19-Sep-16,0.28,0.30,0.28,0.29,720500
15-Sep-16,0.27,0.28,0.27,0.28,401000
14-Sep-16,0.26,0.28,0.26,0.27,354700
13-Sep-16,0.25,0.26,0.25,0.26,10700
9-Sep-16,0.25,0.25,0.25,0.25,300000
8-Sep-16,-,-,-,0.25,0
7-Sep-16,0.25,0.25,0.25,0.25,27100
6-Sep-16,0.25,0.25,0.25,0.25,1000
5-Sep-16,-,-,-,0.25,0
2-Sep-16,0.25,0.25,0.25,0.25,1500
1-Sep-16,-,-,-,0.26,0
30-Aug-16,-,-,-,0.26,0
29-Aug-16,-,-,-,0.26,0
26-Aug-16,-,-,-,0.26,0
25-Aug-16,0.26,0.26,0.26,0.26,70000
24-Aug-16,0.26,0.26,0.26,0.26,10000
23-Aug-16,0.26,0.27,0.26,0.27,61100
22-Aug-16,0.26,0.26,0.26,0.26,45000
19-Aug-16,0.26,0.26,0.26,0.26,20000
18-Aug-16,-,-,-,0.26,0
17-Aug-16,0.25,0.26,0.25,0.26,69700
16-Aug-16,0.25,0.25,0.25,0.25,10000
15-Aug-16,0.26,0.26,0.26,0.26,3300
12-Aug-16,0.26,0.26,0.26,0.26,2700
11-Aug-16,0.26,0.26,0.26,0.26,2200
10-Aug-16,0.27,0.27,0.26,0.26,16000
9-Aug-16,0.27,0.28,0.27,0.28,23000
8-Aug-16,0.26,0.27,0.26,0.27,7000
5-Aug-16,-,-,-,0.26,0
4-Aug-16,0.25,0.26,0.25,0.26,44100
3-Aug-16,0.26,0.26,0.25,0.25,102500
2-Aug-16,-,-,-,0.26,0
1-Aug-16,0.26,0.26,0.26,0.26,66900
29-Jul-16,0.26,0.26,0.26,0.26,27400
28-Jul-16,0.26,0.26,0.26,0.26,7100
27-Jul-16,0.26,0.28,0.26,0.28,10000
26-Jul-16,-,-,-,0.26,0
25-Jul-16,0.24,0.28,0.24,0.26,60600
22-Jul-16,-,-,-,0.28,0
21-Jul-16,0.28,0.28,0.28,0.28,153000
20-Jul-16,-,-,-,0.28,0
19-Jul-16,0.28,0.28,0.28,0.28,24000
18-Jul-16,0.27,0.28,0.27,0.28,22200
15-Jul-16,0.27,0.27,0.27,0.27,15000
14-Jul-16,0.28,0.28,0.28,0.28,10000
13-Jul-16,-,-,-,0.28,0
12-Jul-16,0.27,0.28,0.27,0.28,52000
11-Jul-16,0.28,0.28,0.28,0.28,49400
8-Jul-16,0.24,0.28,0.24,0.28,16600
5-Jul-16,-,-,-,0.27,0
4-Jul-16,0.27,0.27,0.27,0.27,10000
1-Jul-16,0.25,0.27,0.25,0.27,30000
30-Jun-16,0.24,0.24,0.24,0.24,10000
29-Jun-16,0.26,0.26,0.24,0.26,19900
28-Jun-16,-,-,-,0.26,0
27-Jun-16,-,-,-,0.26,0
24-Jun-16,0.24,0.26,0.24,0.26,55100
23-Jun-16,0.24,0.28,0.24,0.24,143900
21-Jun-16,-,-,-,0.24,0
20-Jun-16,0.24,0.24,0.24,0.24,10000
17-Jun-16,-,-,-,0.24,0
16-Jun-16,-,-,-,0.24,0
15-Jun-16,0.24,0.24,0.24,0.24,5500
14-Jun-16,0.24,0.24,0.24,0.24,22000
13-Jun-16,0.24,0.24,0.24,0.24,16700
10-Jun-16,0.23,0.24,0.23,0.24,83300
9-Jun-16,-,-,-,0.25,0
8-Jun-16,-,-,-,0.25,0
7-Jun-16,0.23,0.25,0.23,0.25,62000
6-Jun-16,0.23,0.23,0.23,0.23,41100
3-Jun-16,0.23,0.24,0.23,0.24,17100
2-Jun-16,0.24,0.24,0.23,0.23,9000
1-Jun-16,0.26,0.26,0.26,0.26,27000
31-May-16,0.24,0.25,0.24,0.24,29700
30-May-16,-,-,-,0.24,0
27-May-16,-,-,-,0.24,0
26-May-16,0.24,0.24,0.24,0.24,85500
25-May-16,0.25,0.25,0.25,0.25,10000
24-May-16,0.25,0.25,0.25,0.25,160000
23-May-16,-,-,-,0.25,0
20-May-16,0.25,0.25,0.25,0.25,22000
19-May-16,0.26,0.26,0.26,0.26,15000
18-May-16,-,-,-,0.26,0
17-May-16,-,-,-,0.26,0
16-May-16,-,-,-,0.26,0
13-May-16,0.26,0.26,0.26,0.26,10000
12-May-16,0.26,0.26,0.26,0.26,20200
11-May-16,0.26,0.26,0.26,0.26,32500
10-May-16,0.25,0.26,0.25,0.26,20000
9-May-16,-,-,-,0.24,0
6-May-16,0.24,0.24,0.24,0.24,57500
5-May-16,-,-,-,0.24,0
4-May-16,0.24,0.24,0.24,0.24,85000
3-May-16,0.26,0.26,0.25,0.25,55200
29-Apr-16,0.26,0.26,0.26,0.26,131900
28-Apr-16,0.28,0.28,0.26,0.26,5200
27-Apr-16,0.27,0.27,0.27,0.27,22100
26-Apr-16,0.27,0.27,0.27,0.27,2500
25-Apr-16,-,-,-,0.28,0
22-Apr-16,0.28,0.28,0.28,0.28,37600
21-Apr-16,-,-,-,0.28,0
20-Apr-16,0.28,0.28,0.28,0.28,4000
