Date,Open,High,Low,Close,Volume
7-Oct-16,0.08,0.08,0.08,0.08,2000
6-Oct-16,0.08,0.08,0.07,0.08,620000
5-Oct-16,0.08,0.08,0.08,0.08,342000
4-Oct-16,0.07,0.08,0.07,0.08,7373800
30-Sep-16,0.08,0.08,0.07,0.07,462000
29-Sep-16,0.08,0.08,0.07,0.07,1716000
28-Sep-16,0.08,0.08,0.07,0.08,321000
27-Sep-16,0.08,0.08,0.08,0.08,12000
26-Sep-16,0.08,0.08,0.08,0.08,631400
23-Sep-16,0.08,0.08,0.08,0.08,2283500
22-Sep-16,0.08,0.08,0.08,0.08,309000
21-Sep-16,0.08,0.08,0.08,0.08,601100
20-Sep-16,0.07,0.08,0.07,0.07,392500
19-Sep-16,0.08,0.08,0.08,0.08,643700
15-Sep-16,0.08,0.08,0.08,0.08,382100
14-Sep-16,0.08,0.08,0.08,0.08,1257000
13-Sep-16,0.08,0.08,0.08,0.08,2234300
9-Sep-16,0.08,0.08,0.08,0.08,2796100
8-Sep-16,0.08,0.08,0.08,0.08,1122000
7-Sep-16,0.08,0.08,0.08,0.08,1051000
6-Sep-16,0.08,0.08,0.08,0.08,775100
5-Sep-16,0.08,0.08,0.07,0.08,3662700
2-Sep-16,0.08,0.08,0.08,0.08,190300
1-Sep-16,0.08,0.08,0.07,0.08,11723300
30-Aug-16,0.08,0.08,0.08,0.08,875000
29-Aug-16,0.08,0.08,0.08,0.08,2295000
26-Aug-16,0.08,0.08,0.08,0.08,966000
25-Aug-16,0.08,0.08,0.08,0.08,2592000
24-Aug-16,0.08,0.08,0.08,0.08,2139000
23-Aug-16,0.08,0.08,0.08,0.08,10638000
22-Aug-16,0.08,0.08,0.08,0.08,379100
19-Aug-16,0.08,0.08,0.08,0.08,19307000
18-Aug-16,0.08,0.08,0.08,0.08,1692500
17-Aug-16,0.08,0.08,0.08,0.08,1320000
16-Aug-16,0.08,0.08,0.08,0.08,453300
15-Aug-16,0.08,0.08,0.08,0.08,1259000
12-Aug-16,0.08,0.08,0.08,0.08,1202000
11-Aug-16,0.08,0.08,0.08,0.08,1511000
10-Aug-16,0.08,0.08,0.08,0.08,375000
9-Aug-16,0.08,0.08,0.08,0.08,3142000
8-Aug-16,0.08,0.08,0.08,0.08,922400
5-Aug-16,0.08,0.08,0.08,0.08,911600
4-Aug-16,0.08,0.08,0.08,0.08,3798700
3-Aug-16,0.08,0.08,0.08,0.08,8066200
2-Aug-16,0.08,0.08,0.08,0.08,2599400
1-Aug-16,0.08,0.08,0.08,0.08,4487000
29-Jul-16,0.08,0.08,0.08,0.08,12215000
28-Jul-16,0.08,0.09,0.08,0.08,50676600
27-Jul-16,0.08,0.08,0.08,0.08,991000
26-Jul-16,0.08,0.08,0.08,0.08,127000
25-Jul-16,0.08,0.08,0.07,0.08,2484000
22-Jul-16,0.08,0.08,0.08,0.08,1688300
21-Jul-16,0.08,0.08,0.07,0.08,3263800
20-Jul-16,0.08,0.08,0.08,0.08,1911000
19-Jul-16,0.08,0.08,0.08,0.08,2673600
18-Jul-16,0.08,0.08,0.08,0.08,1906500
15-Jul-16,0.08,0.08,0.08,0.08,14655100
14-Jul-16,0.07,0.08,0.07,0.08,1287000
13-Jul-16,0.07,0.08,0.07,0.07,818500
12-Jul-16,0.07,0.08,0.07,0.08,2496100
11-Jul-16,0.07,0.08,0.07,0.08,2368200
8-Jul-16,0.07,0.07,0.07,0.07,230000
5-Jul-16,0.07,0.07,0.07,0.07,80000
4-Jul-16,0.07,0.07,0.07,0.07,1884000
1-Jul-16,0.07,0.08,0.07,0.08,1790000
30-Jun-16,0.07,0.08,0.07,0.08,791000
29-Jun-16,0.07,0.08,0.06,0.08,1083000
28-Jun-16,0.07,0.07,0.06,0.07,3225000
27-Jun-16,0.07,0.07,0.07,0.07,1868000
24-Jun-16,0.07,0.07,0.06,0.07,985000
23-Jun-16,0.07,0.07,0.06,0.07,1900400
21-Jun-16,0.07,0.08,0.07,0.07,5728600
20-Jun-16,-,-,-,0.07,0
17-Jun-16,0.06,0.07,0.06,0.07,853000
16-Jun-16,0.07,0.07,0.06,0.06,4164000
15-Jun-16,0.07,0.07,0.07,0.07,590000
14-Jun-16,0.07,0.07,0.07,0.07,170000
13-Jun-16,0.07,0.07,0.07,0.07,4131100
10-Jun-16,0.07,0.08,0.07,0.07,12774900
9-Jun-16,0.06,0.07,0.06,0.06,373800
8-Jun-16,0.07,0.07,0.06,0.07,5160400
7-Jun-16,0.07,0.07,0.06,0.07,7567600
6-Jun-16,0.07,0.07,0.06,0.07,25211200
3-Jun-16,0.06,0.07,0.06,0.07,44000
2-Jun-16,0.06,0.07,0.06,0.06,898000
1-Jun-16,0.06,0.07,0.06,0.07,2014300
31-May-16,0.07,0.07,0.06,0.07,24590000
30-May-16,0.07,0.07,0.06,0.06,2147100
27-May-16,0.07,0.08,0.07,0.07,11919200
26-May-16,0.07,0.07,0.06,0.06,760000
25-May-16,0.06,0.06,0.06,0.06,160000
24-May-16,0.07,0.07,0.06,0.06,287600
23-May-16,0.06,0.06,0.06,0.06,240000
20-May-16,0.06,0.06,0.06,0.06,650000
19-May-16,-,-,-,0.07,0
18-May-16,0.06,0.07,0.06,0.07,651100
17-May-16,0.06,0.06,0.06,0.06,141000
16-May-16,0.06,0.07,0.06,0.07,533400
13-May-16,0.06,0.06,0.06,0.06,110600
12-May-16,0.06,0.07,0.06,0.07,311100
11-May-16,0.06,0.06,0.06,0.06,1267400
10-May-16,0.06,0.06,0.06,0.06,452400
9-May-16,0.06,0.06,0.06,0.06,693000
6-May-16,0.06,0.06,0.06,0.06,893700
5-May-16,0.06,0.07,0.06,0.07,716000
4-May-16,0.06,0.07,0.06,0.07,477800
3-May-16,0.06,0.07,0.06,0.07,545100
29-Apr-16,0.06,0.06,0.06,0.06,1186000
28-Apr-16,0.06,0.06,0.06,0.06,377700
27-Apr-16,0.06,0.07,0.06,0.07,60000
26-Apr-16,0.06,0.07,0.06,0.06,3923200
25-Apr-16,0.06,0.07,0.06,0.07,74000
22-Apr-16,0.07,0.07,0.06,0.07,244000
21-Apr-16,0.07,0.07,0.07,0.07,50000
20-Apr-16,0.06,0.07,0.06,0.07,62500
19-Apr-16,0.06,0.06,0.06,0.06,20000
18-Apr-16,0.07,0.07,0.07,0.07,55000
15-Apr-16,0.06,0.07,0.06,0.07,135000
14-Apr-16,0.07,0.07,0.07,0.07,301900
13-Apr-16,0.07,0.07,0.06,0.07,6596000
12-Apr-16,0.07,0.07,0.07,0.07,180000
11-Apr-16,0.07,0.08,0.07,0.08,2553100
8-Apr-16,0.07,0.07,0.07,0.07,50000
7-Apr-16,0.07,0.07,0.07,0.07,472500
6-Apr-16,0.07,0.07,0.07,0.07,893300
5-Apr-16,0.07,0.07,0.07,0.07,1910200
4-Apr-16,0.07,0.08,0.07,0.08,173800
1-Apr-16,0.06,0.08,0.06,0.08,15065000
31-Mar-16,0.07,0.07,0.06,0.07,90000
