Date,Open,High,Low,Close,Volume
7-Oct-16,2.31,2.35,2.31,2.35,484200
6-Oct-16,2.33,2.34,2.30,2.33,823300
5-Oct-16,2.33,2.34,2.28,2.33,984200
4-Oct-16,2.32,2.34,2.30,2.33,569900
30-Sep-16,2.34,2.34,2.30,2.30,521900
29-Sep-16,2.32,2.35,2.27,2.33,2906600
28-Sep-16,2.33,2.35,2.32,2.32,1604000
27-Sep-16,2.30,2.34,2.30,2.34,1269300
26-Sep-16,2.33,2.34,2.31,2.34,1714000
23-Sep-16,2.33,2.36,2.33,2.34,1754700
22-Sep-16,2.32,2.34,2.32,2.33,198700
21-Sep-16,2.32,2.34,2.32,2.34,473000
20-Sep-16,2.32,2.33,2.30,2.32,195400
19-Sep-16,2.31,2.32,2.29,2.29,77400
15-Sep-16,2.29,2.36,2.26,2.36,248100
14-Sep-16,2.27,2.30,2.26,2.30,298500
13-Sep-16,2.28,2.30,2.28,2.29,244900
9-Sep-16,2.32,2.34,2.32,2.33,1367600
8-Sep-16,2.33,2.35,2.32,2.33,1741500
7-Sep-16,2.26,2.35,2.26,2.32,3339900
6-Sep-16,2.25,2.28,2.25,2.27,103500
5-Sep-16,2.26,2.26,2.23,2.26,337700
2-Sep-16,2.24,2.26,2.24,2.25,1057600
1-Sep-16,2.26,2.26,2.22,2.24,809300
30-Aug-16,2.23,2.25,2.23,2.25,1096300
29-Aug-16,2.24,2.25,2.23,2.25,2876200
26-Aug-16,2.22,2.25,2.21,2.25,37500
25-Aug-16,2.24,2.30,2.20,2.26,2033100
24-Aug-16,2.20,2.20,2.20,2.20,71200
23-Aug-16,2.18,2.23,2.18,2.23,319000
22-Aug-16,2.20,2.25,2.18,2.20,256700
19-Aug-16,2.22,2.22,2.19,2.19,608200
18-Aug-16,2.22,2.22,2.20,2.22,63000
17-Aug-16,2.22,2.24,2.20,2.21,205800
16-Aug-16,2.19,2.26,2.19,2.23,900700
15-Aug-16,2.21,2.23,2.19,2.19,56800
12-Aug-16,2.24,2.24,2.23,2.23,355400
11-Aug-16,2.23,2.24,2.23,2.24,20300
10-Aug-16,2.19,2.23,2.19,2.23,132500
9-Aug-16,2.17,2.20,2.17,2.20,290900
8-Aug-16,2.17,2.20,2.17,2.20,521500
5-Aug-16,2.19,2.19,2.18,2.18,97000
4-Aug-16,2.20,2.20,2.18,2.19,62700
3-Aug-16,2.21,2.21,2.19,2.21,7200
2-Aug-16,2.20,2.20,2.19,2.19,43100
1-Aug-16,2.22,2.22,2.21,2.21,299500
29-Jul-16,2.25,2.26,2.22,2.22,51200
28-Jul-16,2.25,2.26,2.23,2.25,134500
27-Jul-16,2.26,2.28,2.25,2.28,219100
26-Jul-16,2.26,2.26,2.24,2.26,766600
25-Jul-16,2.28,2.28,2.24,2.25,999600
22-Jul-16,2.28,2.29,2.26,2.28,318200
21-Jul-16,2.30,2.30,2.28,2.29,366800
20-Jul-16,2.29,2.30,2.27,2.29,43000
19-Jul-16,2.26,2.27,2.26,2.27,185700
18-Jul-16,2.24,2.26,2.23,2.26,224000
15-Jul-16,2.26,2.26,2.24,2.25,172600
14-Jul-16,2.30,2.30,2.25,2.27,204000
13-Jul-16,2.23,2.30,2.22,2.30,638000
12-Jul-16,2.19,2.24,2.19,2.23,265400
11-Jul-16,2.21,2.22,2.21,2.21,270900
8-Jul-16,2.23,2.23,2.19,2.21,53100
5-Jul-16,2.20,2.26,2.19,2.26,91800
4-Jul-16,2.20,2.20,2.19,2.19,537200
1-Jul-16,2.20,2.20,2.19,2.19,205500
30-Jun-16,2.21,2.22,2.20,2.20,167800
29-Jun-16,2.20,2.22,2.20,2.21,537800
28-Jun-16,2.18,2.21,2.17,2.20,141100
27-Jun-16,2.12,2.19,2.12,2.18,59600
24-Jun-16,2.20,2.20,2.15,2.20,303500
23-Jun-16,2.17,2.22,2.17,2.20,166800
21-Jun-16,2.20,2.20,2.18,2.19,439000
20-Jun-16,2.19,2.23,2.18,2.21,606800
17-Jun-16,2.22,2.23,2.18,2.23,474100
16-Jun-16,2.23,2.23,2.21,2.23,367600
15-Jun-16,2.20,2.23,2.20,2.23,152700
14-Jun-16,2.19,2.22,2.16,2.22,1217500
13-Jun-16,2.24,2.24,2.19,2.19,942000
10-Jun-16,2.26,2.26,2.22,2.24,301800
9-Jun-16,2.26,2.27,2.26,2.26,461700
8-Jun-16,2.26,2.27,2.23,2.26,814300
7-Jun-16,2.26,2.27,2.21,2.26,510700
6-Jun-16,2.25,2.27,2.19,2.26,360300
3-Jun-16,2.20,2.25,2.20,2.25,793300
2-Jun-16,2.16,2.19,2.16,2.19,568700
1-Jun-16,2.19,2.19,2.14,2.14,323100
31-May-16,2.20,2.25,2.18,2.19,227500
30-May-16,2.18,2.25,2.18,2.24,411400
27-May-16,2.19,2.25,2.18,2.25,104500
26-May-16,2.22,2.22,2.19,2.20,113100
25-May-16,2.24,2.24,2.22,2.23,260000
24-May-16,2.23,2.26,2.21,2.24,40200
23-May-16,2.21,2.26,2.20,2.24,410300
20-May-16,2.21,2.21,2.20,2.20,67500
19-May-16,2.20,2.21,2.20,2.21,137300
18-May-16,2.21,2.22,2.20,2.20,512600
17-May-16,2.22,2.25,2.22,2.25,145700
16-May-16,2.27,2.27,2.21,2.23,185700
13-May-16,2.26,2.28,2.26,2.26,139000
12-May-16,2.30,2.30,2.26,2.27,134400
11-May-16,2.29,2.30,2.29,2.30,510300
10-May-16,2.28,2.30,2.25,2.29,495400
9-May-16,2.28,2.29,2.26,2.27,159300
6-May-16,2.29,2.29,2.27,2.28,161500
5-May-16,2.28,2.30,2.27,2.30,52800
4-May-16,2.30,2.31,2.28,2.28,353700
3-May-16,2.28,2.35,2.28,2.35,38100
29-Apr-16,2.35,2.35,2.29,2.35,11700
28-Apr-16,2.28,2.39,2.28,2.35,322500
27-Apr-16,2.30,2.30,2.26,2.28,249200
26-Apr-16,2.35,2.36,2.29,2.30,805400
25-Apr-16,2.35,2.37,2.34,2.35,1109200
22-Apr-16,2.41,2.41,2.35,2.37,281100
21-Apr-16,2.34,2.41,2.34,2.41,1207000
20-Apr-16,2.36,2.40,2.33,2.37,267400
19-Apr-16,2.40,2.40,2.35,2.35,95700
18-Apr-16,2.40,2.42,2.38,2.40,136000
15-Apr-16,2.40,2.42,2.36,2.38,406800
14-Apr-16,2.37,2.43,2.34,2.40,699000
13-Apr-16,2.34,2.38,2.32,2.32,160800
12-Apr-16,2.34,2.34,2.33,2.34,212000
11-Apr-16,2.36,2.37,2.33,2.34,162100
8-Apr-16,2.37,2.38,2.33,2.35,49000
7-Apr-16,2.36,2.36,2.35,2.35,403900
6-Apr-16,2.36,2.39,2.33,2.35,153700
5-Apr-16,2.38,2.39,2.37,2.38,301300
4-Apr-16,2.37,2.38,2.36,2.37,506500
1-Apr-16,2.40,2.40,2.37,2.37,116100
31-Mar-16,2.38,2.42,2.38,2.42,652600
30-Mar-16,2.32,2.41,2.31,2.40,364500
29-Mar-16,2.31,2.37,2.31,2.37,555800
28-Mar-16,2.40,2.40,2.30,2.30,593100
25-Mar-16,2.43,2.43,2.36,2.36,519200
24-Mar-16,2.48,2.48,2.44,2.45,2455300
23-Mar-16,2.47,2.48,2.44,2.48,3795400
22-Mar-16,2.40,2.52,2.40,2.44,4119200
21-Mar-16,2.40,2.43,2.38,2.38,350900
18-Mar-16,2.40,2.40,2.36,2.40,384100
17-Mar-16,2.36,2.40,2.33,2.40,1083700
16-Mar-16,2.38,2.38,2.33,2.33,106900
15-Mar-16,2.33,2.37,2.33,2.37,392900
14-Mar-16,2.32,2.33,2.31,2.33,108400
11-Mar-16,2.30,2.32,2.30,2.32,794800
10-Mar-16,2.30,2.32,2.29,2.31,1329600
9-Mar-16,2.28,2.32,2.28,2.30,1112800
8-Mar-16,2.27,2.27,2.25,2.25,28400
7-Mar-16,2.33,2.35,2.30,2.30,1046700
4-Mar-16,2.30,2.34,2.29,2.33,1895600
3-Mar-16,2.31,2.32,2.30,2.30,397200
2-Mar-16,2.26,2.31,2.25,2.30,567900
1-Mar-16,2.27,2.28,2.24,2.25,232900
29-Feb-16,2.21,2.30,2.20,2.28,1139400
26-Feb-16,2.28,2.30,2.19,2.20,443600
25-Feb-16,2.28,2.30,2.27,2.28,421700
24-Feb-16,2.29,2.34,2.28,2.28,259200
23-Feb-16,2.39,2.40,2.33,2.34,219400
22-Feb-16,2.36,2.39,2.34,2.39,285700
19-Feb-16,2.30,2.35,2.29,2.35,606700
18-Feb-16,2.30,2.33,2.30,2.30,606800
17-Feb-16,2.30,2.32,2.27,2.32,281700
16-Feb-16,2.25,2.32,2.25,2.30,1613200
15-Feb-16,2.23,2.30,2.22,2.27,889500
12-Feb-16,2.23,2.30,2.23,2.25,610400
11-Feb-16,2.35,2.35,2.27,2.35,383500
10-Feb-16,2.35,2.35,2.30,2.32,33800
5-Feb-16,2.30,2.32,2.29,2.32,180400
4-Feb-16,2.30,2.33,2.25,2.31,931900
3-Feb-16,2.31,2.33,2.21,2.25,100400
2-Feb-16,2.28,2.35,2.27,2.31,835500
29-Jan-16,2.20,2.27,2.19,2.27,1004400
28-Jan-16,2.12,2.20,2.08,2.18,1256900
27-Jan-16,2.24,2.24,2.12,2.12,1772800
26-Jan-16,2.22,2.27,2.16,2.20,1036700
22-Jan-16,2.16,2.26,2.15,2.23,824400
21-Jan-16,2.28,2.28,2.14,2.14,2400800
20-Jan-16,2.39,2.39,2.27,2.28,527500
19-Jan-16,2.36,2.40,2.36,2.39,1107600
18-Jan-16,2.27,2.41,2.25,2.35,1556000
15-Jan-16,2.36,2.40,2.28,2.32,567900
14-Jan-16,2.36,2.39,2.34,2.36,635300
13-Jan-16,2.48,2.50,2.39,2.39,1164600
12-Jan-16,2.37,2.48,2.37,2.46,3274800
11-Jan-16,2.35,2.41,2.34,2.37,2063200
8-Jan-16,2.24,2.40,2.24,2.30,2478700
7-Jan-16,2.25,2.32,2.23,2.24,873400
6-Jan-16,2.27,2.28,2.22,2.27,199100
5-Jan-16,2.17,2.25,2.17,2.22,321000
4-Jan-16,2.21,2.22,2.17,2.20,147000
31-Dec-15,2.24,2.26,2.20,2.21,418000
30-Dec-15,2.28,2.28,2.25,2.26,464600
29-Dec-15,2.27,2.29,2.23,2.23,161700
28-Dec-15,2.26,2.29,2.26,2.27,181100
23-Dec-15,2.23,2.28,2.22,2.26,711400
22-Dec-15,2.20,2.24,2.20,2.23,86700
21-Dec-15,2.17,2.21,2.17,2.20,77300
18-Dec-15,2.25,2.25,2.18,2.18,572900
17-Dec-15,2.29,2.29,2.22,2.22,323000
16-Dec-15,2.20,2.26,2.20,2.26,648800
15-Dec-15,2.17,2.22,2.15,2.22,408500
14-Dec-15,2.19,2.23,2.14,2.22,2414400
11-Dec-15,2.23,2.23,2.18,2.23,532200
10-Dec-15,2.28,2.28,2.23,2.23,546800
9-Dec-15,2.29,2.31,2.25,2.28,684600
8-Dec-15,2.36,2.36,2.27,2.27,1236900
7-Dec-15,2.41,2.46,2.37,2.37,2076000
4-Dec-15,2.29,2.41,2.23,2.37,3045400
