Date,Open,High,Low,Close,Volume
7-Oct-16,0.80,0.82,0.80,0.82,40000
6-Oct-16,0.79,0.80,0.79,0.80,38000
5-Oct-16,0.80,0.80,0.79,0.80,39400
4-Oct-16,0.80,0.80,0.80,0.80,115600
30-Sep-16,0.80,0.80,0.80,0.80,67400
29-Sep-16,0.82,0.82,0.80,0.80,124500
28-Sep-16,0.82,0.84,0.80,0.82,6258400
27-Sep-16,0.82,0.82,0.80,0.82,58300
26-Sep-16,0.80,0.84,0.80,0.82,45800
23-Sep-16,0.80,0.80,0.79,0.80,155000
22-Sep-16,0.81,0.81,0.79,0.80,201000
21-Sep-16,0.81,0.81,0.80,0.81,21000
20-Sep-16,0.83,0.84,0.79,0.81,708200
19-Sep-16,0.82,0.84,0.80,0.83,241000
15-Sep-16,0.82,0.82,0.81,0.82,46000
14-Sep-16,0.82,0.84,0.81,0.81,21400
13-Sep-16,0.82,0.82,0.81,0.82,2087000
9-Sep-16,0.82,0.84,0.80,0.82,88000
8-Sep-16,0.82,0.82,0.82,0.82,10000
7-Sep-16,0.82,0.84,0.82,0.83,12100
6-Sep-16,0.84,0.86,0.81,0.84,203000
5-Sep-16,0.83,0.86,0.83,0.84,833100
2-Sep-16,0.81,0.83,0.81,0.83,14600
1-Sep-16,0.84,0.84,0.83,0.83,2000
30-Aug-16,0.86,0.86,0.81,0.83,10000
29-Aug-16,0.86,0.86,0.83,0.83,6800
26-Aug-16,0.82,0.84,0.82,0.83,572100
25-Aug-16,0.82,0.82,0.80,0.82,72800
24-Aug-16,0.81,0.82,0.80,0.81,166100
23-Aug-16,0.83,0.83,0.82,0.82,28000
22-Aug-16,0.84,0.84,0.82,0.83,9400
19-Aug-16,0.82,0.84,0.81,0.84,445000
18-Aug-16,0.88,0.88,0.82,0.84,106000
17-Aug-16,0.88,0.88,0.84,0.84,14300
16-Aug-16,0.87,0.88,0.86,0.87,9000
15-Aug-16,0.87,0.87,0.84,0.87,16900
12-Aug-16,0.87,0.88,0.84,0.86,14500
11-Aug-16,0.82,0.88,0.82,0.87,272300
10-Aug-16,0.82,0.82,0.81,0.82,66000
9-Aug-16,0.82,0.82,0.80,0.80,50800
8-Aug-16,0.80,0.82,0.80,0.82,9600
5-Aug-16,-,-,-,0.83,0
4-Aug-16,0.80,0.83,0.80,0.83,7500
3-Aug-16,0.82,0.83,0.81,0.83,53500
2-Aug-16,0.83,0.84,0.82,0.84,40700
1-Aug-16,0.85,0.85,0.82,0.84,12000
29-Jul-16,0.85,0.86,0.82,0.85,104000
28-Jul-16,0.84,0.87,0.82,0.87,665200
27-Jul-16,0.83,0.85,0.82,0.82,33500
26-Jul-16,0.83,0.84,0.82,0.84,34000
25-Jul-16,0.84,0.86,0.84,0.86,45000
22-Jul-16,-,-,-,0.85,0
21-Jul-16,0.86,0.86,0.84,0.85,5000
20-Jul-16,0.86,0.86,0.84,0.86,52000
19-Jul-16,0.87,0.87,0.84,0.86,164600
18-Jul-16,0.88,0.88,0.84,0.87,26000
15-Jul-16,0.83,0.88,0.83,0.88,1200
14-Jul-16,0.88,0.88,0.88,0.88,2000
13-Jul-16,0.87,0.88,0.86,0.88,115700
12-Jul-16,0.90,0.90,0.86,0.88,66900
11-Jul-16,0.92,0.92,0.88,0.88,223200
8-Jul-16,0.88,0.93,0.87,0.90,62400
5-Jul-16,0.88,0.88,0.88,0.88,112000
4-Jul-16,0.89,0.89,0.89,0.89,2000
1-Jul-16,0.89,0.90,0.87,0.88,35200
30-Jun-16,0.90,0.90,0.88,0.88,452700
29-Jun-16,0.86,0.91,0.86,0.89,408300
28-Jun-16,0.89,0.89,0.88,0.88,15000
27-Jun-16,0.90,0.92,0.86,0.88,270900
24-Jun-16,0.90,0.93,0.87,0.90,720000
23-Jun-16,0.87,0.92,0.85,0.90,1546100
21-Jun-16,0.80,0.87,0.80,0.87,983000
20-Jun-16,0.80,0.81,0.79,0.79,50400
17-Jun-16,-,-,-,0.80,0
16-Jun-16,0.80,0.80,0.80,0.80,22000
15-Jun-16,0.80,0.80,0.80,0.80,52500
14-Jun-16,0.82,0.82,0.80,0.80,71500
13-Jun-16,0.84,0.84,0.81,0.82,60500
10-Jun-16,0.81,0.83,0.81,0.83,38000
9-Jun-16,0.84,0.84,0.82,0.82,45000
8-Jun-16,0.82,0.84,0.82,0.82,67500
7-Jun-16,-,-,-,0.88,0
6-Jun-16,0.88,0.88,0.88,0.88,2000
3-Jun-16,0.85,0.88,0.85,0.88,65000
2-Jun-16,0.85,0.88,0.84,0.85,27000
1-Jun-16,-,-,-,0.84,0
31-May-16,-,-,-,0.84,0
30-May-16,0.84,0.84,0.82,0.84,275000
27-May-16,0.83,0.84,0.83,0.84,10000
26-May-16,0.82,0.83,0.76,0.83,74300
25-May-16,0.82,0.85,0.82,0.82,43000
24-May-16,0.82,0.82,0.82,0.82,15000
23-May-16,0.80,0.80,0.80,0.80,82400
20-May-16,0.77,0.80,0.77,0.80,4400
19-May-16,-,-,-,0.80,0
18-May-16,0.80,0.80,0.78,0.80,11000
17-May-16,0.79,0.79,0.79,0.79,10000
16-May-16,0.80,0.80,0.79,0.80,117000
13-May-16,0.81,0.81,0.81,0.81,7000
12-May-16,0.82,0.82,0.82,0.82,452800
11-May-16,0.82,0.82,0.82,0.82,70000
10-May-16,0.80,0.82,0.80,0.82,173500
