Date,Open,High,Low,Close,Volume
7-Oct-16,1.62,1.64,1.62,1.64,25900
6-Oct-16,1.62,1.64,1.61,1.61,262400
5-Oct-16,1.62,1.65,1.61,1.65,24500
4-Oct-16,1.63,1.63,1.62,1.63,129400
30-Sep-16,1.66,1.66,1.61,1.62,178500
29-Sep-16,1.67,1.67,1.62,1.64,732400
28-Sep-16,1.70,1.70,1.67,1.67,344700
27-Sep-16,1.74,1.74,1.70,1.70,109600
26-Sep-16,1.74,1.74,1.72,1.74,58900
23-Sep-16,1.73,1.75,1.71,1.75,39300
22-Sep-16,1.70,1.73,1.70,1.71,208600
21-Sep-16,1.70,1.70,1.69,1.70,75700
20-Sep-16,1.71,1.71,1.69,1.70,113000
19-Sep-16,1.71,1.71,1.71,1.71,117000
15-Sep-16,1.72,1.72,1.71,1.71,32300
14-Sep-16,1.72,1.72,1.72,1.72,4500
13-Sep-16,1.73,1.73,1.71,1.71,59400
9-Sep-16,1.75,1.75,1.73,1.73,193200
8-Sep-16,1.74,1.75,1.74,1.74,163000
7-Sep-16,1.73,1.75,1.73,1.75,17200
6-Sep-16,1.74,1.75,1.74,1.75,23400
5-Sep-16,1.74,1.74,1.72,1.74,98000
2-Sep-16,1.73,1.76,1.71,1.76,91000
1-Sep-16,1.75,1.75,1.73,1.74,167700
30-Aug-16,1.75,1.79,1.75,1.77,76000
29-Aug-16,1.78,1.78,1.73,1.77,226600
26-Aug-16,1.80,1.80,1.80,1.80,38500
25-Aug-16,1.80,1.82,1.80,1.80,54900
24-Aug-16,1.80,1.81,1.80,1.80,35300
23-Aug-16,1.81,1.81,1.81,1.81,9000
22-Aug-16,1.84,1.84,1.82,1.82,29000
19-Aug-16,1.83,1.85,1.82,1.85,23500
18-Aug-16,1.82,1.85,1.82,1.85,36200
17-Aug-16,1.85,1.85,1.83,1.83,68600
16-Aug-16,1.84,1.86,1.82,1.84,45700
15-Aug-16,1.83,1.84,1.83,1.83,58000
12-Aug-16,1.81,1.85,1.81,1.85,332400
11-Aug-16,1.82,1.83,1.80,1.82,58100
10-Aug-16,1.83,1.83,1.81,1.82,229100
9-Aug-16,1.87,1.87,1.85,1.85,29000
8-Aug-16,1.81,1.86,1.81,1.86,148400
5-Aug-16,1.81,1.85,1.81,1.83,125000
4-Aug-16,1.81,1.82,1.80,1.80,569100
3-Aug-16,1.86,1.86,1.81,1.81,246600
