Date,Open,High,Low,Close,Volume
7-Oct-16,78.52,80.04,78.40,78.50,131700
6-Oct-16,78.72,78.72,78.52,78.52,32200
5-Oct-16,79.98,79.98,78.70,78.72,99200
4-Oct-16,79.66,80.08,78.98,79.00,141200
30-Sep-16,79.20,79.20,78.86,78.86,177400
29-Sep-16,79.20,79.22,79.00,79.00,90100
28-Sep-16,80.00,80.10,79.20,79.22,105500
27-Sep-16,79.20,79.30,79.16,79.18,93700
26-Sep-16,79.28,79.94,79.20,79.20,83300
23-Sep-16,79.50,79.80,79.28,79.28,177400
22-Sep-16,79.50,79.52,79.44,79.44,129500
21-Sep-16,80.52,80.52,79.46,79.52,72400
20-Sep-16,79.72,80.00,79.60,79.60,128900
19-Sep-16,80.78,80.78,79.88,79.90,75900
15-Sep-16,79.72,80.06,79.70,79.90,66000
14-Sep-16,79.62,80.02,79.60,80.02,700
13-Sep-16,80.00,80.00,79.54,80.00,3700
9-Sep-16,80.80,80.80,79.80,80.00,37500
8-Sep-16,79.62,80.88,79.62,80.00,23700
7-Sep-16,80.28,80.60,79.50,80.60,105100
6-Sep-16,80.00,80.00,79.50,79.52,4400
5-Sep-16,80.30,80.48,80.00,80.00,89000
2-Sep-16,79.90,80.10,79.50,80.02,13700
1-Sep-16,78.84,80.30,78.84,80.00,20300
30-Aug-16,78.50,79.98,78.50,78.84,196100
29-Aug-16,79.00,79.00,78.40,78.50,37100
26-Aug-16,78.90,79.00,78.42,79.00,10600
25-Aug-16,79.00,79.00,78.68,78.80,13600
24-Aug-16,79.14,79.16,78.88,78.90,39300
23-Aug-16,80.30,80.30,78.92,78.92,149100
22-Aug-16,79.00,79.00,78.76,78.76,5700
19-Aug-16,78.98,79.50,78.80,79.00,23400
18-Aug-16,79.10,79.10,78.98,78.98,1400
17-Aug-16,79.20,79.20,79.00,79.10,85100
16-Aug-16,80.00,80.00,79.10,79.10,51900
15-Aug-16,79.70,79.80,79.70,79.80,5900
12-Aug-16,80.08,80.08,79.60,79.60,700
11-Aug-16,80.06,80.06,79.20,80.00,1000
10-Aug-16,79.38,80.08,79.38,80.08,500
9-Aug-16,80.22,80.22,79.10,79.72,6900
8-Aug-16,79.68,79.68,79.02,79.64,1000
5-Aug-16,79.40,79.68,79.00,79.68,10600
4-Aug-16,79.40,79.40,79.00,79.40,7800
3-Aug-16,80.00,80.38,79.38,79.40,195200
2-Aug-16,79.30,80.68,79.30,79.40,91500
1-Aug-16,80.88,80.88,79.10,79.40,13100
29-Jul-16,79.20,79.20,78.90,79.00,59200
28-Jul-16,79.00,79.00,78.90,78.90,7500
27-Jul-16,79.80,80.50,79.00,79.00,44100
26-Jul-16,79.78,79.80,79.40,79.40,3100
25-Jul-16,79.80,79.80,79.78,79.80,600
22-Jul-16,79.50,79.80,79.40,79.80,3000
21-Jul-16,79.50,79.60,79.50,79.60,4300
20-Jul-16,80.00,81.00,79.30,79.90,16100
19-Jul-16,79.98,81.80,79.90,80.00,11000
18-Jul-16,79.98,81.50,79.00,79.90,40500
15-Jul-16,77.00,79.98,77.00,79.98,144100
14-Jul-16,76.80,77.00,76.80,77.00,141100
13-Jul-16,76.80,76.82,76.60,76.76,114600
12-Jul-16,77.00,77.20,76.62,76.80,15100
