Date,Open,High,Low,Close,Volume
7-Oct-16,3.15,3.15,3.15,3.15,2200
6-Oct-16,3.13,3.13,3.11,3.11,1500
5-Oct-16,3.12,3.12,3.11,3.11,14700
4-Oct-16,3.12,3.12,3.12,3.12,5000
30-Sep-16,3.16,3.16,3.10,3.14,40800
29-Sep-16,3.16,3.17,3.15,3.16,16300
28-Sep-16,3.18,3.18,3.16,3.16,22400
27-Sep-16,3.20,3.23,3.19,3.20,15900
26-Sep-16,-,-,-,3.24,0
23-Sep-16,3.20,3.24,3.18,3.24,20100
22-Sep-16,3.24,3.24,3.22,3.22,29600
21-Sep-16,3.20,3.24,3.20,3.24,24100
20-Sep-16,3.18,3.24,3.18,3.22,64900
19-Sep-16,3.10,3.18,3.10,3.18,29300
15-Sep-16,3.12,3.12,3.10,3.10,18000
14-Sep-16,3.10,3.13,3.09,3.13,9000
13-Sep-16,3.09,3.10,3.09,3.10,18000
9-Sep-16,3.09,3.10,3.09,3.10,4000
8-Sep-16,3.06,3.13,3.06,3.13,82500
7-Sep-16,3.04,3.05,3.04,3.04,11700
6-Sep-16,3.02,3.02,3.02,3.02,3300
5-Sep-16,3.04,3.04,3.02,3.02,10300
2-Sep-16,3.03,3.04,3.03,3.04,10000
1-Sep-16,3.03,3.03,3.03,3.03,3000
30-Aug-16,3.02,3.03,3.02,3.03,15000
29-Aug-16,-,-,-,3.02,0
26-Aug-16,3.01,3.02,3.01,3.02,16800
25-Aug-16,3.00,3.01,3.00,3.01,15000
24-Aug-16,2.98,2.99,2.97,2.99,28400
23-Aug-16,2.98,2.99,2.96,2.99,27300
22-Aug-16,2.96,2.98,2.96,2.97,89700
19-Aug-16,3.01,3.06,3.01,3.01,19300
18-Aug-16,3.06,3.06,3.01,3.01,72700
17-Aug-16,3.10,3.10,3.05,3.06,37800
16-Aug-16,3.08,3.11,3.08,3.10,103100
15-Aug-16,3.05,3.08,3.05,3.07,172700
12-Aug-16,3.05,3.06,3.04,3.04,66100
11-Aug-16,3.07,3.07,3.04,3.05,75200
10-Aug-16,3.12,3.12,3.08,3.08,115800
9-Aug-16,3.15,3.15,3.11,3.12,34300
8-Aug-16,3.17,3.20,3.17,3.17,47500
5-Aug-16,3.18,3.20,3.14,3.14,28800
4-Aug-16,3.16,3.25,3.15,3.19,19100
3-Aug-16,3.20,3.33,3.11,3.18,46500
2-Aug-16,3.20,3.35,3.16,3.20,145500
1-Aug-16,2.92,3.14,2.92,3.14,199000
29-Jul-16,2.80,2.80,2.80,2.80,5000
28-Jul-16,-,-,-,2.80,0
27-Jul-16,-,-,-,2.80,0
26-Jul-16,2.79,2.80,2.78,2.80,6900
25-Jul-16,-,-,-,2.79,0
22-Jul-16,2.78,2.80,2.78,2.79,14500
21-Jul-16,2.78,2.78,2.76,2.76,7800
20-Jul-16,2.78,2.78,2.77,2.78,29200
19-Jul-16,2.78,2.78,2.76,2.76,16100
18-Jul-16,-,-,-,2.78,0
15-Jul-16,2.78,2.86,2.78,2.78,37200
14-Jul-16,-,-,-,2.75,0
13-Jul-16,-,-,-,2.75,0
12-Jul-16,2.75,2.75,2.75,2.75,5000
11-Jul-16,-,-,-,2.76,0
8-Jul-16,-,-,-,2.76,0
5-Jul-16,-,-,-,2.76,0
4-Jul-16,-,-,-,2.76,0
1-Jul-16,2.76,2.76,2.76,2.76,2000
30-Jun-16,2.76,2.76,2.76,2.76,1200
29-Jun-16,2.74,2.75,2.74,2.75,4000
28-Jun-16,2.73,2.74,2.73,2.74,4600
27-Jun-16,2.72,2.72,2.71,2.71,17000
24-Jun-16,2.75,2.75,2.72,2.72,2400
23-Jun-16,2.75,2.75,2.74,2.75,8000
21-Jun-16,2.75,2.77,2.75,2.75,28100
20-Jun-16,-,-,-,2.72,0
17-Jun-16,2.71,2.73,2.71,2.72,14500
16-Jun-16,-,-,-,2.80,0
15-Jun-16,2.85,2.85,2.80,2.80,3200
14-Jun-16,-,-,-,2.80,0
13-Jun-16,2.80,2.80,2.80,2.80,19000
10-Jun-16,2.88,2.88,2.87,2.88,4800
9-Jun-16,2.86,2.86,2.86,2.86,5400
8-Jun-16,2.85,2.85,2.82,2.82,14000
7-Jun-16,2.86,2.86,2.86,2.86,10000
6-Jun-16,-,-,-,2.89,0
3-Jun-16,2.86,2.89,2.84,2.89,10100
2-Jun-16,2.78,2.90,2.78,2.86,135400
1-Jun-16,2.78,2.78,2.78,2.78,3000
31-May-16,-,-,-,2.78,0
30-May-16,2.75,2.78,2.75,2.78,24000
27-May-16,2.77,2.77,2.77,2.77,7000
26-May-16,2.75,2.75,2.75,2.75,12300
25-May-16,2.79,2.79,2.73,2.73,7000
24-May-16,-,-,-,2.75,0
23-May-16,2.75,2.75,2.75,2.75,24700
20-May-16,2.70,2.70,2.70,2.70,23000
19-May-16,2.74,2.74,2.70,2.70,7000
18-May-16,2.70,2.70,2.70,2.70,5000
17-May-16,2.70,2.70,2.70,2.70,12000
16-May-16,-,-,-,2.79,0
13-May-16,2.79,2.79,2.79,2.79,300
12-May-16,-,-,-,2.79,0
11-May-16,-,-,-,2.79,0
10-May-16,-,-,-,2.79,0
9-May-16,2.79,2.79,2.79,2.79,8700
6-May-16,2.75,2.78,2.75,2.78,24600
5-May-16,2.70,2.71,2.70,2.71,15000
4-May-16,2.70,2.70,2.70,2.70,12500
3-May-16,-,-,-,2.70,0
29-Apr-16,-,-,-,2.70,0
28-Apr-16,2.62,2.70,2.62,2.70,3000
27-Apr-16,-,-,-,2.62,0
26-Apr-16,2.76,2.76,2.62,2.62,500
25-Apr-16,-,-,-,2.72,0
22-Apr-16,-,-,-,2.72,0
21-Apr-16,-,-,-,2.72,0
20-Apr-16,-,-,-,2.72,0
19-Apr-16,-,-,-,2.72,0
18-Apr-16,2.73,2.73,2.72,2.72,1000
15-Apr-16,2.72,2.72,2.72,2.72,122100
14-Apr-16,2.70,2.70,2.70,2.70,5000
13-Apr-16,2.72,2.72,2.72,2.72,15600
12-Apr-16,2.70,2.72,2.70,2.72,8500
11-Apr-16,-,-,-,2.65,0
8-Apr-16,2.65,2.65,2.65,2.65,2900
7-Apr-16,-,-,-,2.60,0
6-Apr-16,-,-,-,2.60,0
5-Apr-16,2.60,2.60,2.60,2.60,56000
4-Apr-16,2.60,2.65,2.60,2.60,10000
1-Apr-16,-,-,-,2.60,0
31-Mar-16,-,-,-,2.60,0
