Date,Open,High,Low,Close,Volume
7-Oct-16,0.08,0.08,0.08,0.08,320000
6-Oct-16,0.08,0.08,0.08,0.08,3290000
5-Oct-16,0.08,0.08,0.08,0.08,2403100
4-Oct-16,0.08,0.08,0.08,0.08,397000
30-Sep-16,0.08,0.08,0.08,0.08,355500
29-Sep-16,0.08,0.08,0.08,0.08,649000
28-Sep-16,0.08,0.08,0.08,0.08,210500
27-Sep-16,0.08,0.08,0.08,0.08,928000
26-Sep-16,0.08,0.08,0.08,0.08,460000
23-Sep-16,0.08,0.08,0.08,0.08,1149800
22-Sep-16,0.08,0.08,0.08,0.08,1118000
21-Sep-16,0.08,0.08,0.08,0.08,335000
20-Sep-16,0.08,0.08,0.08,0.08,1192100
19-Sep-16,0.08,0.08,0.08,0.08,392000
15-Sep-16,0.08,0.08,0.08,0.08,397000
14-Sep-16,0.08,0.08,0.08,0.08,192100
13-Sep-16,0.08,0.08,0.08,0.08,1260000
9-Sep-16,0.08,0.08,0.08,0.08,294500
8-Sep-16,0.08,0.08,0.08,0.08,1345100
7-Sep-16,0.08,0.08,0.08,0.08,2630900
6-Sep-16,0.08,0.08,0.08,0.08,6308900
5-Sep-16,0.08,0.08,0.08,0.08,111000
2-Sep-16,0.08,0.08,0.08,0.08,295000
1-Sep-16,0.08,0.08,0.08,0.08,1658400
30-Aug-16,0.08,0.08,0.08,0.08,758900
29-Aug-16,0.08,0.08,0.08,0.08,475000
26-Aug-16,0.08,0.08,0.08,0.08,380700
25-Aug-16,0.08,0.08,0.08,0.08,2561000
24-Aug-16,0.08,0.08,0.08,0.08,1579800
23-Aug-16,0.08,0.08,0.08,0.08,2403300
22-Aug-16,0.08,0.08,0.08,0.08,469000
19-Aug-16,0.08,0.08,0.08,0.08,949400
18-Aug-16,0.08,0.08,0.08,0.08,1529900
17-Aug-16,0.08,0.08,0.08,0.08,2458600
16-Aug-16,0.08,0.09,0.08,0.08,1788500
15-Aug-16,0.08,0.09,0.08,0.08,3678300
12-Aug-16,0.08,0.09,0.08,0.08,4173300
11-Aug-16,0.09,0.10,0.08,0.09,8834700
10-Aug-16,0.09,0.10,0.08,0.09,5120300
9-Aug-16,0.08,0.10,0.08,0.09,22936800
8-Aug-16,0.08,0.08,0.08,0.08,5636600
5-Aug-16,0.08,0.09,0.08,0.08,10246100
4-Aug-16,0.08,0.09,0.08,0.08,11320300
3-Aug-16,0.09,0.09,0.08,0.08,20588500
2-Aug-16,0.10,0.10,0.09,0.10,2838500
1-Aug-16,0.10,0.10,0.09,0.10,6085100
29-Jul-16,0.10,0.10,0.09,0.10,41779300
28-Jul-16,0.08,0.12,0.08,0.10,127629900
27-Jul-16,0.08,0.08,0.08,0.08,7614900
26-Jul-16,0.08,0.08,0.08,0.08,450000
25-Jul-16,0.08,0.08,0.08,0.08,155000
22-Jul-16,0.08,0.08,0.08,0.08,3143700
21-Jul-16,0.08,0.08,0.07,0.07,1632900
20-Jul-16,0.07,0.08,0.07,0.08,1880000
19-Jul-16,0.08,0.08,0.07,0.07,62200
18-Jul-16,0.08,0.08,0.08,0.08,240000
15-Jul-16,0.08,0.08,0.07,0.08,3454400
14-Jul-16,0.08,0.08,0.08,0.08,585200
13-Jul-16,0.08,0.08,0.08,0.08,26000
12-Jul-16,0.08,0.08,0.08,0.08,763200
11-Jul-16,0.08,0.08,0.08,0.08,409500
8-Jul-16,0.08,0.08,0.08,0.08,200000
5-Jul-16,-,-,-,0.08,0
4-Jul-16,0.08,0.08,0.08,0.08,25500
1-Jul-16,0.08,0.08,0.08,0.08,173000
30-Jun-16,0.08,0.08,0.08,0.08,315000
29-Jun-16,0.08,0.08,0.07,0.08,1940200
28-Jun-16,0.08,0.08,0.08,0.08,975100
