Date,Open,High,Low,Close,Volume
7-Oct-16,0.27,0.27,0.26,0.27,71000
6-Oct-16,0.26,0.27,0.26,0.27,142000
5-Oct-16,0.27,0.28,0.27,0.28,100400
4-Oct-16,0.27,0.28,0.27,0.28,103800
30-Sep-16,0.27,0.28,0.27,0.28,112200
29-Sep-16,0.27,0.28,0.27,0.28,143300
28-Sep-16,0.27,0.28,0.27,0.28,16600
27-Sep-16,0.27,0.27,0.26,0.27,67700
26-Sep-16,0.28,0.28,0.27,0.28,147000
23-Sep-16,0.28,0.28,0.28,0.28,133800
22-Sep-16,0.28,0.28,0.28,0.28,88200
21-Sep-16,0.28,0.28,0.28,0.28,30000
20-Sep-16,0.28,0.28,0.28,0.28,161000
19-Sep-16,0.28,0.28,0.28,0.28,144500
15-Sep-16,-,-,-,0.28,0
14-Sep-16,0.28,0.28,0.28,0.28,69100
13-Sep-16,0.28,0.28,0.28,0.28,28200
9-Sep-16,0.28,0.28,0.28,0.28,174300
8-Sep-16,0.28,0.28,0.28,0.28,136800
7-Sep-16,0.28,0.28,0.28,0.28,142100
6-Sep-16,0.28,0.28,0.28,0.28,124100
5-Sep-16,0.28,0.28,0.28,0.28,220000
2-Sep-16,0.28,0.28,0.28,0.28,277500
1-Sep-16,0.28,0.28,0.28,0.28,350300
30-Aug-16,0.28,0.28,0.28,0.28,316400
29-Aug-16,0.28,0.30,0.28,0.29,1334100
26-Aug-16,0.29,0.29,0.28,0.28,1525900
25-Aug-16,0.28,0.30,0.28,0.30,1963600
24-Aug-16,0.30,0.30,0.30,0.30,740100
23-Aug-16,0.31,0.32,0.30,0.30,4896400
22-Aug-16,0.30,0.31,0.30,0.30,6360100
19-Aug-16,0.29,0.30,0.28,0.29,391400
18-Aug-16,0.30,0.30,0.28,0.29,618300
17-Aug-16,0.29,0.30,0.28,0.30,2411100
16-Aug-16,0.26,0.29,0.26,0.28,2111500
15-Aug-16,0.26,0.26,0.26,0.26,191000
12-Aug-16,0.26,0.26,0.26,0.26,272700
11-Aug-16,0.26,0.26,0.26,0.26,148400
10-Aug-16,0.26,0.26,0.26,0.26,137600
9-Aug-16,0.26,0.26,0.26,0.26,51000
8-Aug-16,0.26,0.26,0.26,0.26,183400
5-Aug-16,0.26,0.26,0.26,0.26,118600
4-Aug-16,0.26,0.27,0.26,0.26,330700
3-Aug-16,0.26,0.26,0.26,0.26,170900
2-Aug-16,0.26,0.26,0.26,0.26,314200
1-Aug-16,0.26,0.26,0.26,0.26,62000
29-Jul-16,0.26,0.26,0.26,0.26,190800
28-Jul-16,0.26,0.26,0.26,0.26,177000
27-Jul-16,0.26,0.26,0.26,0.26,250000
26-Jul-16,0.26,0.26,0.26,0.26,268000
25-Jul-16,0.26,0.26,0.26,0.26,255000
22-Jul-16,0.26,0.26,0.26,0.26,35000
21-Jul-16,0.27,0.27,0.26,0.26,508900
20-Jul-16,0.26,0.28,0.26,0.27,549400
19-Jul-16,0.27,0.28,0.26,0.27,82300
18-Jul-16,0.27,0.28,0.27,0.27,343500
15-Jul-16,0.26,0.28,0.26,0.27,541500
14-Jul-16,0.26,0.26,0.26,0.26,184500
13-Jul-16,0.26,0.26,0.26,0.26,388000
12-Jul-16,0.26,0.26,0.26,0.26,350000
11-Jul-16,0.26,0.26,0.26,0.26,801900
8-Jul-16,0.26,0.26,0.26,0.26,68000
5-Jul-16,0.26,0.26,0.26,0.26,416800
4-Jul-16,0.27,0.27,0.26,0.26,202400
1-Jul-16,0.27,0.27,0.26,0.26,112000
30-Jun-16,0.28,0.28,0.27,0.27,236100
29-Jun-16,0.28,0.28,0.27,0.28,106100
28-Jun-16,0.26,0.28,0.26,0.27,406200
27-Jun-16,0.26,0.27,0.26,0.27,333000
24-Jun-16,0.27,0.27,0.26,0.27,445800
23-Jun-16,0.28,0.28,0.27,0.28,186900
21-Jun-16,0.28,0.28,0.27,0.28,220600
20-Jun-16,0.28,0.28,0.27,0.28,1294000
17-Jun-16,0.28,0.28,0.28,0.28,171800
16-Jun-16,0.28,0.28,0.28,0.28,465200
15-Jun-16,0.28,0.29,0.28,0.28,194400
14-Jun-16,0.29,0.30,0.28,0.28,3293700
13-Jun-16,0.28,0.29,0.28,0.28,1451800
10-Jun-16,0.28,0.28,0.28,0.28,100200
