Date,Open,High,Low,Close,Volume
7-Oct-16,0.36,0.36,0.36,0.36,161300
6-Oct-16,0.36,0.37,0.36,0.36,81700
5-Oct-16,0.36,0.36,0.36,0.36,20000
4-Oct-16,0.36,0.37,0.36,0.37,80600
30-Sep-16,0.37,0.37,0.36,0.36,336100
29-Sep-16,0.36,0.37,0.36,0.37,110000
28-Sep-16,0.36,0.37,0.36,0.36,113200
27-Sep-16,0.36,0.36,0.36,0.36,318000
26-Sep-16,0.36,0.37,0.36,0.36,410900
23-Sep-16,0.36,0.36,0.36,0.36,56500
22-Sep-16,0.37,0.37,0.36,0.36,129100
21-Sep-16,0.36,0.36,0.36,0.36,52800
20-Sep-16,0.37,0.37,0.37,0.37,55000
19-Sep-16,0.36,0.36,0.36,0.36,161900
15-Sep-16,0.37,0.37,0.36,0.36,357100
14-Sep-16,0.37,0.37,0.37,0.37,100000
13-Sep-16,0.38,0.38,0.37,0.37,112900
9-Sep-16,0.37,0.38,0.37,0.38,409200
8-Sep-16,0.37,0.38,0.37,0.37,77500
7-Sep-16,0.37,0.37,0.36,0.37,542100
6-Sep-16,0.38,0.38,0.36,0.37,1341700
5-Sep-16,0.38,0.38,0.38,0.38,94400
2-Sep-16,0.38,0.38,0.38,0.38,117600
1-Sep-16,0.38,0.38,0.38,0.38,167300
30-Aug-16,0.38,0.38,0.38,0.38,135300
29-Aug-16,0.38,0.38,0.38,0.38,69600
26-Aug-16,0.38,0.38,0.38,0.38,83400
25-Aug-16,0.38,0.38,0.38,0.38,222500
24-Aug-16,0.38,0.39,0.38,0.38,200300
23-Aug-16,0.38,0.39,0.38,0.38,338800
22-Aug-16,0.38,0.38,0.38,0.38,143000
19-Aug-16,0.38,0.39,0.38,0.38,1791400
18-Aug-16,0.41,0.42,0.41,0.41,269600
17-Aug-16,0.40,0.41,0.40,0.41,404000
16-Aug-16,0.40,0.41,0.40,0.41,116900
15-Aug-16,0.41,0.42,0.40,0.40,168500
12-Aug-16,0.40,0.40,0.40,0.40,27600
11-Aug-16,0.40,0.40,0.40,0.40,120000
10-Aug-16,0.40,0.41,0.40,0.41,95000
9-Aug-16,0.40,0.40,0.40,0.40,302100
8-Aug-16,0.40,0.41,0.40,0.41,121600
5-Aug-16,0.40,0.40,0.40,0.40,289500
4-Aug-16,0.40,0.40,0.40,0.40,269200
3-Aug-16,0.41,0.41,0.40,0.40,315800
2-Aug-16,0.40,0.41,0.40,0.41,165000
1-Aug-16,0.41,0.42,0.40,0.41,242500
29-Jul-16,0.42,0.42,0.42,0.42,262100
28-Jul-16,0.42,0.42,0.42,0.42,515000
27-Jul-16,0.42,0.43,0.42,0.42,2435000
26-Jul-16,0.41,0.42,0.41,0.42,115000
25-Jul-16,0.42,0.42,0.41,0.41,465900
22-Jul-16,0.41,0.42,0.40,0.42,408200
21-Jul-16,0.42,0.42,0.40,0.41,372900
20-Jul-16,0.42,0.42,0.41,0.42,817100
19-Jul-16,0.40,0.42,0.40,0.42,2338400
18-Jul-16,0.40,0.40,0.39,0.40,287900
15-Jul-16,0.39,0.40,0.39,0.40,105800
14-Jul-16,0.39,0.40,0.39,0.40,52300
13-Jul-16,0.40,0.40,0.40,0.40,123900
12-Jul-16,0.40,0.40,0.39,0.39,84000
11-Jul-16,0.39,0.40,0.39,0.39,157000
8-Jul-16,0.40,0.40,0.40,0.40,200000
5-Jul-16,0.39,0.40,0.39,0.39,115000
4-Jul-16,0.38,0.39,0.38,0.38,351200
1-Jul-16,0.37,0.38,0.37,0.38,30300
30-Jun-16,0.37,0.38,0.37,0.38,32600
29-Jun-16,0.37,0.38,0.37,0.38,10000
28-Jun-16,0.37,0.37,0.36,0.37,157400
27-Jun-16,0.37,0.37,0.36,0.37,202000
24-Jun-16,0.38,0.38,0.36,0.37,297300
23-Jun-16,0.38,0.38,0.37,0.37,52300
21-Jun-16,0.38,0.38,0.38,0.38,188000
20-Jun-16,0.38,0.38,0.38,0.38,84000
17-Jun-16,0.38,0.38,0.38,0.38,176100
16-Jun-16,0.38,0.38,0.37,0.38,383200
15-Jun-16,0.38,0.38,0.38,0.38,410300
14-Jun-16,0.38,0.39,0.38,0.38,369300
13-Jun-16,0.39,0.39,0.38,0.38,75800
10-Jun-16,0.40,0.40,0.38,0.39,273400
9-Jun-16,0.39,0.40,0.39,0.40,367700
8-Jun-16,0.38,0.39,0.38,0.38,295200
7-Jun-16,0.38,0.39,0.38,0.38,290100
6-Jun-16,0.38,0.38,0.38,0.38,119000
3-Jun-16,0.38,0.38,0.38,0.38,700400
2-Jun-16,0.38,0.39,0.38,0.38,324700
1-Jun-16,0.38,0.38,0.38,0.38,199200
31-May-16,0.39,0.40,0.38,0.38,423000
30-May-16,0.39,0.39,0.38,0.39,625200
27-May-16,0.40,0.40,0.39,0.39,712600
26-May-16,0.40,0.42,0.40,0.40,1820500
25-May-16,0.40,0.42,0.39,0.40,2434400
24-May-16,0.40,0.41,0.40,0.40,1649200
23-May-16,0.40,0.40,0.40,0.40,628300
20-May-16,0.41,0.42,0.40,0.40,613100
19-May-16,0.40,0.44,0.40,0.42,5792600
18-May-16,0.40,0.40,0.39,0.40,105200
17-May-16,0.40,0.41,0.40,0.40,816000
16-May-16,0.38,0.42,0.38,0.40,1314600
13-May-16,0.38,0.38,0.38,0.38,142000
12-May-16,0.38,0.38,0.38,0.38,51000
11-May-16,0.38,0.38,0.38,0.38,57000
10-May-16,0.38,0.40,0.38,0.38,218000
9-May-16,0.38,0.38,0.38,0.38,159700
6-May-16,0.38,0.38,0.38,0.38,69000
5-May-16,0.38,0.38,0.38,0.38,17100
4-May-16,0.38,0.38,0.38,0.38,55000
3-May-16,0.38,0.38,0.38,0.38,138000
29-Apr-16,0.38,0.38,0.38,0.38,397900
28-Apr-16,0.38,0.38,0.38,0.38,210000
27-Apr-16,0.39,0.39,0.38,0.38,78000
26-Apr-16,0.39,0.39,0.38,0.38,230200
25-Apr-16,0.39,0.39,0.39,0.39,55000
22-Apr-16,0.40,0.40,0.38,0.40,871700
21-Apr-16,0.40,0.40,0.40,0.40,237000
20-Apr-16,0.40,0.40,0.40,0.40,241600
19-Apr-16,0.40,0.40,0.39,0.39,125400
18-Apr-16,0.40,0.40,0.40,0.40,59000
15-Apr-16,0.40,0.40,0.40,0.40,209400
14-Apr-16,0.40,0.40,0.40,0.40,137000
13-Apr-16,0.39,0.39,0.39,0.39,365000
12-Apr-16,0.40,0.40,0.39,0.40,210400
11-Apr-16,0.39,0.39,0.39,0.39,169800
8-Apr-16,0.39,0.39,0.39,0.39,217000
7-Apr-16,0.39,0.40,0.38,0.38,150000
6-Apr-16,0.39,0.39,0.39,0.39,68700
5-Apr-16,0.40,0.40,0.39,0.39,246500
4-Apr-16,0.40,0.40,0.40,0.40,30000
1-Apr-16,0.40,0.40,0.39,0.40,79500
31-Mar-16,0.39,0.40,0.39,0.40,106500
30-Mar-16,0.40,0.40,0.40,0.40,9800
29-Mar-16,0.39,0.40,0.39,0.39,179100
28-Mar-16,0.39,0.40,0.39,0.40,149000
25-Mar-16,0.39,0.39,0.38,0.39,205000
24-Mar-16,0.40,0.40,0.39,0.39,327000
23-Mar-16,0.40,0.40,0.40,0.40,395800
22-Mar-16,0.40,0.40,0.40,0.40,105100
21-Mar-16,0.39,0.40,0.39,0.40,196400
18-Mar-16,0.38,0.40,0.38,0.39,131000
17-Mar-16,0.39,0.39,0.38,0.38,188900
16-Mar-16,0.39,0.39,0.38,0.38,35000
15-Mar-16,0.39,0.39,0.38,0.38,199400
14-Mar-16,0.38,0.39,0.38,0.39,252100
11-Mar-16,0.38,0.38,0.38,0.38,178000
10-Mar-16,0.38,0.39,0.38,0.38,208900
9-Mar-16,0.38,0.38,0.38,0.38,28000
8-Mar-16,0.38,0.38,0.38,0.38,224300
7-Mar-16,0.38,0.38,0.38,0.38,1070900
4-Mar-16,0.39,0.39,0.38,0.38,424000
3-Mar-16,0.38,0.39,0.38,0.38,222500
2-Mar-16,0.40,0.40,0.38,0.38,632500
1-Mar-16,0.38,0.40,0.38,0.39,235900
29-Feb-16,0.40,0.40,0.38,0.39,507200
26-Feb-16,0.38,0.40,0.38,0.39,306400
25-Feb-16,0.39,0.39,0.38,0.38,162700
24-Feb-16,0.39,0.40,0.39,0.39,416400
23-Feb-16,0.40,0.40,0.40,0.40,435000
22-Feb-16,0.41,0.41,0.40,0.40,637800
19-Feb-16,0.44,0.44,0.40,0.41,1332300
18-Feb-16,0.42,0.42,0.41,0.42,616000
17-Feb-16,0.42,0.42,0.42,0.42,413900
16-Feb-16,0.42,0.42,0.42,0.42,308700
15-Feb-16,0.41,0.42,0.40,0.41,356000
12-Feb-16,0.40,0.40,0.40,0.40,189000
11-Feb-16,0.41,0.41,0.40,0.40,31000
10-Feb-16,0.40,0.40,0.40,0.40,43000
5-Feb-16,0.40,0.41,0.40,0.40,193900
4-Feb-16,0.40,0.40,0.40,0.40,77700
3-Feb-16,0.39,0.40,0.38,0.40,81200
2-Feb-16,0.39,0.39,0.39,0.39,22100
29-Jan-16,0.39,0.40,0.38,0.39,343400
28-Jan-16,0.38,0.38,0.38,0.38,508700
27-Jan-16,0.40,0.40,0.38,0.38,501600
26-Jan-16,0.40,0.40,0.39,0.40,508400
22-Jan-16,0.38,0.40,0.38,0.40,886300
21-Jan-16,0.39,0.40,0.38,0.38,1545400
20-Jan-16,0.42,0.42,0.40,0.40,1155900
19-Jan-16,0.40,0.42,0.40,0.42,522100
18-Jan-16,0.40,0.41,0.40,0.41,1326700
15-Jan-16,0.44,0.44,0.41,0.41,2219500
14-Jan-16,0.44,0.45,0.43,0.44,1341200
13-Jan-16,0.44,0.46,0.43,0.45,3143900
12-Jan-16,0.44,0.44,0.42,0.43,1652600
11-Jan-16,0.44,0.44,0.43,0.44,934400
