Date,Open,High,Low,Close,Volume
7-Oct-16,0.09,0.09,0.09,0.09,788600
6-Oct-16,0.09,0.09,0.09,0.09,308100
5-Oct-16,0.09,0.09,0.09,0.09,1566200
4-Oct-16,0.09,0.09,0.09,0.09,210000
30-Sep-16,0.10,0.10,0.09,0.09,1031000
29-Sep-16,0.10,0.10,0.10,0.10,70000
28-Sep-16,0.10,0.10,0.10,0.10,129000
27-Sep-16,0.10,0.10,0.10,0.10,1286700
26-Sep-16,0.10,0.10,0.10,0.10,526000
23-Sep-16,0.10,0.10,0.10,0.10,359100
22-Sep-16,0.10,0.10,0.10,0.10,88000
21-Sep-16,0.10,0.10,0.10,0.10,284000
20-Sep-16,0.10,0.10,0.10,0.10,32000
19-Sep-16,0.10,0.10,0.10,0.10,184500
15-Sep-16,0.10,0.10,0.10,0.10,77000
14-Sep-16,0.10,0.10,0.10,0.10,72000
13-Sep-16,0.10,0.10,0.10,0.10,723000
9-Sep-16,0.10,0.10,0.10,0.10,325000
8-Sep-16,0.10,0.10,0.10,0.10,228000
7-Sep-16,0.10,0.10,0.10,0.10,339900
6-Sep-16,0.10,0.10,0.10,0.10,370000
5-Sep-16,0.10,0.10,0.10,0.10,1303000
2-Sep-16,0.10,0.10,0.10,0.10,257000
1-Sep-16,0.10,0.10,0.10,0.10,285000
30-Aug-16,0.10,0.10,0.10,0.10,400000
29-Aug-16,0.10,0.10,0.10,0.10,829900
26-Aug-16,0.10,0.10,0.10,0.10,965000
25-Aug-16,0.10,0.10,0.10,0.10,1193000
24-Aug-16,0.10,0.11,0.10,0.10,1487700
23-Aug-16,0.10,0.11,0.10,0.10,6094700
22-Aug-16,0.10,0.10,0.10,0.10,768700
19-Aug-16,0.10,0.10,0.10,0.10,454600
18-Aug-16,0.10,0.10,0.10,0.10,2680000
17-Aug-16,0.10,0.10,0.10,0.10,1940800
16-Aug-16,0.10,0.10,0.10,0.10,2358700
15-Aug-16,0.10,0.10,0.10,0.10,223000
12-Aug-16,0.10,0.10,0.10,0.10,1235200
11-Aug-16,0.10,0.10,0.10,0.10,989300
10-Aug-16,0.10,0.10,0.10,0.10,106000
9-Aug-16,0.10,0.10,0.10,0.10,1239200
8-Aug-16,0.10,0.10,0.10,0.10,158000
5-Aug-16,0.10,0.10,0.10,0.10,244000
4-Aug-16,0.10,0.10,0.10,0.10,626800
3-Aug-16,0.10,0.10,0.10,0.10,810000
2-Aug-16,0.10,0.10,0.10,0.10,675000
1-Aug-16,0.10,0.10,0.10,0.10,808400
29-Jul-16,0.10,0.10,0.10,0.10,699100
28-Jul-16,0.10,0.11,0.10,0.10,3496300
27-Jul-16,0.10,0.10,0.10,0.10,2754300
26-Jul-16,0.10,0.10,0.10,0.10,861200
25-Jul-16,0.10,0.10,0.10,0.10,225900
22-Jul-16,0.10,0.10,0.10,0.10,417100
21-Jul-16,0.10,0.10,0.10,0.10,641000
20-Jul-16,0.10,0.10,0.10,0.10,34700
19-Jul-16,0.10,0.10,0.10,0.10,803000
18-Jul-16,0.10,0.10,0.10,0.10,1136800
15-Jul-16,0.10,0.10,0.10,0.10,867200
14-Jul-16,0.10,0.10,0.10,0.10,473000
13-Jul-16,0.10,0.10,0.10,0.10,1133100
12-Jul-16,0.10,0.10,0.10,0.10,349700
11-Jul-16,0.10,0.10,0.10,0.10,1102900
8-Jul-16,0.10,0.10,0.10,0.10,1233000
5-Jul-16,0.10,0.10,0.10,0.10,45000
4-Jul-16,0.10,0.10,0.10,0.10,264400
1-Jul-16,0.10,0.10,0.10,0.10,328700
30-Jun-16,0.10,0.10,0.10,0.10,913500
29-Jun-16,0.10,0.10,0.10,0.10,391500
28-Jun-16,0.10,0.10,0.10,0.10,460100
27-Jun-16,0.10,0.10,0.10,0.10,720000
24-Jun-16,0.10,0.10,0.10,0.10,2318500
23-Jun-16,0.10,0.10,0.10,0.10,125000
21-Jun-16,0.10,0.10,0.10,0.10,3390800
20-Jun-16,0.10,0.11,0.10,0.10,565000
17-Jun-16,0.11,0.12,0.10,0.10,2248500
16-Jun-16,0.12,0.12,0.11,0.11,2185100
15-Jun-16,0.12,0.12,0.12,0.12,8955600
14-Jun-16,0.12,0.12,0.12,0.12,6559700
13-Jun-16,0.12,0.12,0.11,0.12,4993200
10-Jun-16,0.11,0.12,0.11,0.12,9020500
9-Jun-16,0.10,0.11,0.10,0.11,3438900
8-Jun-16,0.10,0.11,0.10,0.11,1406700
7-Jun-16,0.10,0.10,0.10,0.10,246500
6-Jun-16,0.10,0.10,0.10,0.10,88000
3-Jun-16,0.10,0.10,0.10,0.10,1700000
2-Jun-16,0.10,0.11,0.10,0.10,3773400
1-Jun-16,0.10,0.10,0.10,0.10,355000
31-May-16,0.10,0.10,0.10,0.10,608100
30-May-16,0.10,0.10,0.10,0.10,557500
27-May-16,0.10,0.10,0.10,0.10,120000
26-May-16,0.10,0.10,0.10,0.10,562500
25-May-16,0.10,0.10,0.10,0.10,1214800
24-May-16,0.10,0.10,0.10,0.10,1007500
23-May-16,0.10,0.10,0.10,0.10,1220000
20-May-16,0.10,0.11,0.10,0.10,366000
19-May-16,0.10,0.11,0.10,0.10,282500
18-May-16,0.11,0.11,0.10,0.10,2125100
17-May-16,0.11,0.11,0.10,0.11,2687100
16-May-16,0.10,0.11,0.10,0.11,2501700
13-May-16,0.10,0.10,0.10,0.10,548000
12-May-16,0.10,0.10,0.10,0.10,5842000
11-May-16,0.10,0.10,0.10,0.10,248600
10-May-16,0.10,0.10,0.10,0.10,20000
9-May-16,0.10,0.10,0.10,0.10,1119100
6-May-16,0.09,0.10,0.09,0.10,1412100
5-May-16,0.09,0.09,0.09,0.09,10000
4-May-16,0.09,0.09,0.09,0.09,456100
3-May-16,0.09,0.09,0.09,0.09,1335000
29-Apr-16,0.09,0.09,0.09,0.09,380000
28-Apr-16,0.09,0.10,0.09,0.10,235600
27-Apr-16,0.10,0.10,0.09,0.09,40000
26-Apr-16,0.10,0.10,0.09,0.10,1297400
25-Apr-16,0.10,0.10,0.10,0.10,290000
22-Apr-16,0.10,0.10,0.10,0.10,442100
21-Apr-16,-,-,-,0.10,0
20-Apr-16,0.10,0.10,0.10,0.10,345000
19-Apr-16,0.10,0.10,0.10,0.10,102000
18-Apr-16,0.10,0.10,0.10,0.10,527000
15-Apr-16,0.10,0.10,0.10,0.10,329000
14-Apr-16,0.10,0.10,0.10,0.10,119800
13-Apr-16,0.10,0.10,0.10,0.10,143500
12-Apr-16,0.10,0.10,0.10,0.10,120000
11-Apr-16,0.10,0.10,0.10,0.10,76000
8-Apr-16,0.10,0.10,0.10,0.10,73900
7-Apr-16,0.10,0.10,0.10,0.10,1877000
6-Apr-16,0.10,0.10,0.10,0.10,533000
5-Apr-16,0.10,0.10,0.10,0.10,110000
4-Apr-16,0.10,0.10,0.10,0.10,420000
1-Apr-16,0.10,0.10,0.10,0.10,102000
31-Mar-16,0.10,0.10,0.10,0.10,69400
30-Mar-16,0.10,0.10,0.10,0.10,80000
29-Mar-16,0.10,0.10,0.10,0.10,514000
28-Mar-16,0.10,0.10,0.10,0.10,180000
25-Mar-16,0.10,0.10,0.10,0.10,205600
24-Mar-16,0.10,0.10,0.10,0.10,20000
23-Mar-16,0.10,0.10,0.10,0.10,272400
22-Mar-16,0.10,0.10,0.10,0.10,5451600
21-Mar-16,0.10,0.10,0.09,0.09,858800
18-Mar-16,0.09,0.09,0.09,0.09,456000
17-Mar-16,0.09,0.09,0.09,0.09,1057000
16-Mar-16,0.09,0.09,0.09,0.09,100000
15-Mar-16,0.09,0.09,0.09,0.09,257000
14-Mar-16,0.09,0.09,0.09,0.09,456000
11-Mar-16,0.09,0.09,0.09,0.09,1510000
10-Mar-16,0.09,0.09,0.09,0.09,8000
9-Mar-16,0.08,0.09,0.08,0.09,1145000
8-Mar-16,0.09,0.09,0.08,0.08,866200
7-Mar-16,0.09,0.10,0.09,0.09,1799200
4-Mar-16,0.10,0.10,0.09,0.09,1101000
3-Mar-16,0.09,0.10,0.09,0.09,293400
2-Mar-16,0.10,0.10,0.09,0.09,110000
1-Mar-16,0.09,0.09,0.08,0.09,1607100
29-Feb-16,0.09,0.10,0.09,0.10,124900
26-Feb-16,0.09,0.10,0.09,0.09,1028900
25-Feb-16,0.10,0.10,0.09,0.09,2809800
24-Feb-16,0.10,0.10,0.10,0.10,141000
23-Feb-16,0.10,0.10,0.10,0.10,110200
22-Feb-16,0.10,0.10,0.10,0.10,711600
19-Feb-16,0.10,0.10,0.10,0.10,558000
18-Feb-16,0.10,0.10,0.10,0.10,952000
17-Feb-16,0.10,0.10,0.10,0.10,1282400
16-Feb-16,0.10,0.10,0.10,0.10,62000
15-Feb-16,0.10,0.10,0.10,0.10,599800
12-Feb-16,0.10,0.10,0.10,0.10,1806900
11-Feb-16,0.10,0.10,0.10,0.10,190000
10-Feb-16,0.10,0.10,0.10,0.10,844000
5-Feb-16,0.10,0.10,0.10,0.10,5083100
4-Feb-16,0.10,0.10,0.10,0.10,144900
3-Feb-16,0.10,0.10,0.10,0.10,111000
