Date,Open,High,Low,Close,Volume
7-Oct-16,4.05,4.10,4.05,4.05,6000
6-Oct-16,4.08,4.10,4.05,4.08,3200
5-Oct-16,4.10,4.10,4.10,4.10,7600
4-Oct-16,4.10,4.10,4.10,4.10,5000
30-Sep-16,-,-,-,4.10,0
29-Sep-16,-,-,-,4.10,0
28-Sep-16,4.10,4.10,4.10,4.10,3000
27-Sep-16,4.10,4.10,4.10,4.10,3000
26-Sep-16,4.00,4.06,4.00,4.06,6200
23-Sep-16,-,-,-,4.06,0
22-Sep-16,4.08,4.08,4.06,4.06,11000
21-Sep-16,4.04,4.05,4.04,4.04,24900
20-Sep-16,-,-,-,4.04,0
19-Sep-16,4.04,4.04,4.04,4.04,1000
15-Sep-16,-,-,-,4.00,0
14-Sep-16,-,-,-,4.00,0
13-Sep-16,-,-,-,4.00,0
9-Sep-16,-,-,-,4.00,0
8-Sep-16,4.00,4.00,4.00,4.00,9000
7-Sep-16,-,-,-,3.86,0
6-Sep-16,3.86,3.86,3.86,3.86,1000
5-Sep-16,3.82,4.00,3.82,3.86,3200
2-Sep-16,3.82,3.82,3.81,3.81,4000
1-Sep-16,3.79,3.91,3.79,3.91,35200
30-Aug-16,-,-,-,3.91,0
29-Aug-16,-,-,-,3.91,0
26-Aug-16,-,-,-,3.91,0
25-Aug-16,-,-,-,3.91,0
24-Aug-16,-,-,-,3.91,0
23-Aug-16,3.91,3.91,3.91,3.91,3000
22-Aug-16,-,-,-,3.95,0
19-Aug-16,4.05,4.06,3.95,3.95,13200
18-Aug-16,3.93,3.93,3.93,3.93,2000
17-Aug-16,-,-,-,3.91,0
16-Aug-16,-,-,-,3.91,0
15-Aug-16,-,-,-,3.91,0
12-Aug-16,3.91,3.91,3.91,3.91,3000
11-Aug-16,3.91,4.00,3.91,4.00,4000
10-Aug-16,3.91,3.91,3.91,3.91,500
9-Aug-16,-,-,-,3.91,0
8-Aug-16,-,-,-,3.91,0
5-Aug-16,-,-,-,3.91,0
4-Aug-16,3.91,3.91,3.91,3.91,3000
3-Aug-16,3.85,3.85,3.85,3.85,2200
2-Aug-16,-,-,-,3.90,0
1-Aug-16,3.90,3.90,3.90,3.90,2000
29-Jul-16,-,-,-,4.00,0
28-Jul-16,-,-,-,4.00,0
27-Jul-16,3.94,4.05,3.94,4.00,1300
26-Jul-16,-,-,-,3.94,0
25-Jul-16,4.00,4.00,3.94,3.94,5200
22-Jul-16,-,-,-,4.00,0
21-Jul-16,-,-,-,4.00,0
20-Jul-16,-,-,-,4.00,0
19-Jul-16,-,-,-,4.00,0
18-Jul-16,3.80,4.00,3.80,4.00,5000
15-Jul-16,4.00,4.00,4.00,4.00,200
14-Jul-16,-,-,-,3.91,0
13-Jul-16,-,-,-,3.91,0
12-Jul-16,-,-,-,3.91,0
11-Jul-16,-,-,-,3.91,0
8-Jul-16,-,-,-,3.91,0
5-Jul-16,-,-,-,3.91,0
4-Jul-16,-,-,-,3.91,0
1-Jul-16,-,-,-,3.91,0
30-Jun-16,3.72,3.91,3.72,3.91,2000
29-Jun-16,-,-,-,3.91,0
28-Jun-16,-,-,-,3.91,0
27-Jun-16,-,-,-,3.91,0
24-Jun-16,-,-,-,3.91,0
23-Jun-16,-,-,-,3.91,0
21-Jun-16,-,-,-,3.91,0
20-Jun-16,-,-,-,3.91,0
17-Jun-16,-,-,-,3.91,0
16-Jun-16,-,-,-,3.91,0
15-Jun-16,3.91,3.91,3.91,3.91,100
14-Jun-16,3.91,3.91,3.91,3.91,105100
13-Jun-16,-,-,-,4.00,0
10-Jun-16,-,-,-,4.00,0
9-Jun-16,-,-,-,4.00,0
8-Jun-16,-,-,-,4.00,0
7-Jun-16,-,-,-,4.00,0
6-Jun-16,-,-,-,4.00,0
3-Jun-16,4.00,4.00,4.00,4.00,4000
2-Jun-16,-,-,-,3.98,0
1-Jun-16,-,-,-,3.98,0
31-May-16,4.00,4.00,3.98,3.98,21000
30-May-16,3.95,3.95,3.95,3.95,1000
27-May-16,4.10,4.10,4.00,4.00,10500
26-May-16,4.10,4.10,4.10,4.10,2000
25-May-16,-,-,-,4.10,0
24-May-16,-,-,-,4.10,0
23-May-16,-,-,-,4.10,0
20-May-16,4.10,4.10,4.10,4.10,8000
19-May-16,4.07,4.07,4.07,4.07,5000
18-May-16,4.11,4.11,4.07,4.07,8300
17-May-16,-,-,-,4.10,0
