Date,Open,High,Low,Close,Volume
7-Oct-16,0.42,0.42,0.40,0.41,695000
6-Oct-16,0.41,0.42,0.41,0.42,1332300
5-Oct-16,0.42,0.42,0.41,0.41,707800
4-Oct-16,0.41,0.42,0.41,0.42,2222600
30-Sep-16,0.42,0.42,0.40,0.41,3308000
29-Sep-16,0.39,0.42,0.38,0.42,6612100
28-Sep-16,0.38,0.39,0.38,0.38,554200
27-Sep-16,0.38,0.39,0.38,0.39,475500
26-Sep-16,0.38,0.39,0.38,0.38,174000
23-Sep-16,0.38,0.39,0.38,0.38,457800
22-Sep-16,0.38,0.38,0.38,0.38,369300
21-Sep-16,0.38,0.39,0.38,0.38,393600
20-Sep-16,0.39,0.40,0.38,0.38,1102300
19-Sep-16,0.38,0.40,0.38,0.38,1708200
15-Sep-16,0.38,0.38,0.38,0.38,446400
14-Sep-16,0.38,0.38,0.37,0.38,525100
13-Sep-16,0.38,0.38,0.38,0.38,917100
9-Sep-16,0.40,0.40,0.38,0.40,1338100
8-Sep-16,0.38,0.40,0.38,0.40,2784800
7-Sep-16,0.39,0.39,0.38,0.38,1138100
6-Sep-16,0.38,0.40,0.38,0.38,4753500
5-Sep-16,0.38,0.38,0.38,0.38,734100
2-Sep-16,0.38,0.38,0.37,0.38,981200
1-Sep-16,0.36,0.38,0.36,0.38,1826100
30-Aug-16,0.36,0.36,0.36,0.36,547500
29-Aug-16,0.36,0.37,0.36,0.36,1286200
26-Aug-16,0.35,0.35,0.34,0.35,642800
25-Aug-16,0.36,0.36,0.35,0.35,44000
24-Aug-16,0.35,0.36,0.35,0.36,246700
23-Aug-16,0.36,0.36,0.35,0.35,602100
22-Aug-16,0.36,0.37,0.36,0.36,329400
19-Aug-16,0.37,0.37,0.36,0.36,231700
18-Aug-16,0.38,0.38,0.37,0.37,1144700
17-Aug-16,0.36,0.38,0.36,0.38,2547900
16-Aug-16,0.36,0.36,0.36,0.36,209000
15-Aug-16,0.36,0.36,0.36,0.36,123200
12-Aug-16,0.36,0.36,0.35,0.36,648700
11-Aug-16,0.36,0.36,0.36,0.36,113000
10-Aug-16,0.36,0.36,0.35,0.36,251400
9-Aug-16,0.36,0.36,0.36,0.36,180000
8-Aug-16,0.35,0.36,0.34,0.36,520300
5-Aug-16,0.36,0.36,0.35,0.36,236600
