Date,Open,High,Low,Close,Volume
7-Oct-16,0.08,0.09,0.08,0.09,432200
6-Oct-16,0.08,0.09,0.08,0.09,247200
5-Oct-16,0.08,0.09,0.08,0.09,5400
4-Oct-16,0.08,0.09,0.08,0.09,75300
30-Sep-16,0.08,0.09,0.08,0.09,1342000
29-Sep-16,0.08,0.09,0.08,0.09,335600
28-Sep-16,0.09,0.09,0.08,0.09,820800
27-Sep-16,0.08,0.09,0.08,0.09,688000
26-Sep-16,0.08,0.09,0.08,0.09,780100
23-Sep-16,0.09,0.09,0.08,0.08,140000
22-Sep-16,0.09,0.09,0.09,0.09,915000
21-Sep-16,0.08,0.10,0.08,0.09,4021700
20-Sep-16,0.08,0.08,0.08,0.08,43900
19-Sep-16,0.08,0.08,0.08,0.08,516000
15-Sep-16,0.08,0.08,0.08,0.08,105000
14-Sep-16,0.08,0.08,0.08,0.08,1146300
13-Sep-16,0.08,0.08,0.08,0.08,265300
9-Sep-16,0.08,0.08,0.08,0.08,659500
8-Sep-16,0.08,0.08,0.08,0.08,87100
7-Sep-16,0.08,0.08,0.08,0.08,143200
6-Sep-16,0.08,0.08,0.08,0.08,1165700
5-Sep-16,0.08,0.08,0.08,0.08,2453600
2-Sep-16,0.09,0.09,0.08,0.09,99000
1-Sep-16,0.09,0.09,0.08,0.09,205200
30-Aug-16,0.09,0.09,0.08,0.09,610000
29-Aug-16,0.09,0.09,0.08,0.09,131000
26-Aug-16,0.09,0.09,0.08,0.09,961800
25-Aug-16,0.09,0.09,0.09,0.09,1180700
24-Aug-16,0.09,0.10,0.09,0.09,61400
23-Aug-16,0.09,0.09,0.09,0.09,10500
22-Aug-16,0.10,0.10,0.09,0.09,41100
19-Aug-16,0.10,0.10,0.10,0.10,1533000
18-Aug-16,0.10,0.10,0.09,0.09,346700
17-Aug-16,0.10,0.10,0.09,0.09,140000
16-Aug-16,0.10,0.10,0.09,0.09,471500
15-Aug-16,0.10,0.10,0.09,0.09,2401000
