Date,Open,High,Low,Close,Volume
7-Oct-16,0.48,0.48,0.48,0.48,51000
6-Oct-16,0.48,0.48,0.48,0.48,79000
5-Oct-16,0.48,0.48,0.48,0.48,340100
4-Oct-16,0.49,0.49,0.49,0.49,10000
30-Sep-16,0.48,0.48,0.48,0.48,20000
29-Sep-16,0.48,0.48,0.48,0.48,100600
28-Sep-16,0.48,0.48,0.48,0.48,140000
27-Sep-16,0.48,0.48,0.48,0.48,17300
26-Sep-16,-,-,-,0.48,0
23-Sep-16,0.49,0.49,0.48,0.48,184000
22-Sep-16,0.49,0.50,0.49,0.50,65000
21-Sep-16,-,-,-,0.48,0
20-Sep-16,0.49,0.49,0.48,0.48,60000
19-Sep-16,0.49,0.52,0.49,0.50,267300
15-Sep-16,-,-,-,0.49,0
14-Sep-16,0.49,0.49,0.48,0.49,24700
13-Sep-16,0.48,0.48,0.48,0.48,26400
9-Sep-16,0.49,0.49,0.49,0.49,60000
8-Sep-16,-,-,-,0.50,0
7-Sep-16,0.50,0.50,0.50,0.50,70400
6-Sep-16,0.48,0.50,0.48,0.50,5000
5-Sep-16,-,-,-,0.49,0
2-Sep-16,0.49,0.49,0.48,0.49,68500
1-Sep-16,-,-,-,0.49,0
30-Aug-16,0.50,0.50,0.48,0.49,118600
29-Aug-16,0.50,0.50,0.50,0.50,230000
26-Aug-16,0.50,0.50,0.50,0.50,184500
25-Aug-16,0.51,0.51,0.50,0.50,83000
24-Aug-16,0.51,0.51,0.50,0.50,23100
23-Aug-16,0.50,0.50,0.50,0.50,20000
22-Aug-16,0.50,0.51,0.50,0.51,24000
19-Aug-16,0.50,0.51,0.50,0.51,21000
18-Aug-16,0.52,0.52,0.52,0.52,50000
17-Aug-16,0.50,0.52,0.50,0.52,80000
16-Aug-16,0.50,0.50,0.50,0.50,1000
15-Aug-16,0.50,0.52,0.50,0.50,265400
12-Aug-16,0.50,0.50,0.50,0.50,34900
11-Aug-16,0.50,0.51,0.50,0.51,190100
10-Aug-16,0.50,0.50,0.50,0.50,85000
9-Aug-16,0.50,0.50,0.50,0.50,30000
8-Aug-16,0.50,0.50,0.50,0.50,48300
5-Aug-16,0.50,0.50,0.50,0.50,431600
4-Aug-16,0.52,0.52,0.50,0.50,385600
3-Aug-16,0.52,0.52,0.52,0.52,270000
2-Aug-16,0.52,0.52,0.52,0.52,50000
1-Aug-16,0.52,0.53,0.52,0.52,556200
29-Jul-16,0.53,0.53,0.52,0.52,359400
28-Jul-16,0.52,0.54,0.52,0.52,595000
27-Jul-16,0.50,0.53,0.50,0.53,1179400
26-Jul-16,0.50,0.50,0.50,0.50,441900
25-Jul-16,0.50,0.50,0.50,0.50,151000
22-Jul-16,0.50,0.51,0.50,0.51,26000
21-Jul-16,0.50,0.52,0.50,0.50,1292800
20-Jul-16,0.50,0.50,0.49,0.50,91600
19-Jul-16,0.50,0.50,0.50,0.50,131000
18-Jul-16,-,-,-,0.52,0
15-Jul-16,0.54,0.54,0.52,0.52,132000
14-Jul-16,0.53,0.54,0.52,0.52,364900
13-Jul-16,0.50,0.54,0.50,0.52,458400
12-Jul-16,0.50,0.50,0.50,0.50,79100
11-Jul-16,0.50,0.50,0.50,0.50,80000
8-Jul-16,0.50,0.50,0.50,0.50,199700
5-Jul-16,0.50,0.50,0.50,0.50,28100
4-Jul-16,0.50,0.54,0.50,0.50,1746800
1-Jul-16,0.50,0.50,0.50,0.50,144000
30-Jun-16,0.50,0.50,0.50,0.50,532100
29-Jun-16,0.50,0.50,0.50,0.50,150100
28-Jun-16,0.50,0.50,0.50,0.50,355000
27-Jun-16,0.48,0.50,0.48,0.50,430000
24-Jun-16,0.48,0.50,0.48,0.50,148000
23-Jun-16,0.50,0.50,0.50,0.50,30000
21-Jun-16,0.50,0.50,0.49,0.50,12600
20-Jun-16,0.49,0.50,0.49,0.50,59900
17-Jun-16,-,-,-,0.50,0
16-Jun-16,0.50,0.50,0.50,0.50,58000
15-Jun-16,0.50,0.50,0.50,0.50,138000
14-Jun-16,-,-,-,0.51,0
13-Jun-16,0.48,0.51,0.48,0.51,83200
10-Jun-16,0.48,0.50,0.48,0.50,116000
9-Jun-16,0.48,0.51,0.48,0.50,46000
8-Jun-16,0.48,0.52,0.48,0.52,181000
7-Jun-16,0.48,0.49,0.48,0.49,33000
6-Jun-16,0.46,0.48,0.45,0.48,91400
3-Jun-16,0.46,0.48,0.46,0.48,92000
2-Jun-16,0.46,0.46,0.46,0.46,91000
1-Jun-16,0.46,0.46,0.45,0.45,136100
31-May-16,-,-,-,0.48,0
30-May-16,-,-,-,0.48,0
27-May-16,0.45,0.48,0.44,0.48,166000
26-May-16,0.46,0.46,0.46,0.46,3800
25-May-16,-,-,-,0.47,0
24-May-16,0.48,0.48,0.46,0.47,115000
23-May-16,0.47,0.47,0.47,0.47,2900
20-May-16,-,-,-,0.47,0
19-May-16,0.47,0.49,0.47,0.47,32000
18-May-16,0.46,0.47,0.46,0.47,95200
17-May-16,0.46,0.48,0.46,0.47,122200
16-May-16,0.45,0.46,0.44,0.46,225900
13-May-16,0.46,0.46,0.44,0.45,399200
12-May-16,0.46,0.46,0.45,0.46,120100
11-May-16,0.46,0.46,0.45,0.45,80000
10-May-16,0.46,0.46,0.44,0.45,80000
9-May-16,0.47,0.47,0.47,0.47,20000
6-May-16,0.47,0.47,0.47,0.47,5000
5-May-16,0.47,0.48,0.46,0.48,95400
4-May-16,0.46,0.47,0.45,0.45,73300
3-May-16,0.46,0.46,0.46,0.46,69300
29-Apr-16,0.46,0.46,0.45,0.46,39900
28-Apr-16,0.46,0.47,0.45,0.47,73000
27-Apr-16,0.44,0.46,0.44,0.46,106900
26-Apr-16,0.46,0.46,0.44,0.45,60100
25-Apr-16,0.46,0.46,0.46,0.46,76000
22-Apr-16,0.45,0.48,0.44,0.48,62600
21-Apr-16,0.44,0.46,0.44,0.46,116500
20-Apr-16,0.44,0.45,0.44,0.45,125200
19-Apr-16,0.45,0.46,0.44,0.46,56000
18-Apr-16,0.46,0.46,0.44,0.46,78000
15-Apr-16,0.46,0.46,0.46,0.46,46300
14-Apr-16,0.45,0.46,0.45,0.46,1200
13-Apr-16,0.46,0.46,0.46,0.46,56500
12-Apr-16,0.44,0.46,0.44,0.46,11000
11-Apr-16,0.46,0.46,0.46,0.46,10000
8-Apr-16,0.44,0.46,0.44,0.46,70000
7-Apr-16,0.44,0.46,0.44,0.46,248000
6-Apr-16,0.44,0.46,0.41,0.45,849300
5-Apr-16,0.44,0.45,0.44,0.45,256700
4-Apr-16,0.47,0.47,0.44,0.44,435000
1-Apr-16,0.47,0.47,0.47,0.47,7000
31-Mar-16,0.48,0.48,0.46,0.48,194400
30-Mar-16,0.46,0.48,0.45,0.48,323100
29-Mar-16,0.48,0.48,0.46,0.46,129000
28-Mar-16,0.48,0.48,0.48,0.48,50000
25-Mar-16,-,-,-,0.48,0
24-Mar-16,0.48,0.48,0.48,0.48,70300
23-Mar-16,0.48,0.48,0.48,0.48,135000
22-Mar-16,-,-,-,0.50,0
21-Mar-16,0.48,0.50,0.48,0.50,40100
18-Mar-16,0.48,0.49,0.48,0.49,90000
17-Mar-16,-,-,-,0.50,0
16-Mar-16,0.48,0.50,0.47,0.50,637000
15-Mar-16,0.48,0.49,0.48,0.48,276200
14-Mar-16,0.50,0.50,0.48,0.50,139100
11-Mar-16,0.49,0.50,0.49,0.50,123700
10-Mar-16,0.50,0.51,0.50,0.51,310000
9-Mar-16,0.48,0.51,0.48,0.50,485700
8-Mar-16,0.49,0.50,0.49,0.50,137100
7-Mar-16,0.49,0.49,0.49,0.49,7100
4-Mar-16,0.50,0.51,0.49,0.51,79800
3-Mar-16,0.50,0.52,0.50,0.51,387500
2-Mar-16,0.50,0.50,0.48,0.50,630300
1-Mar-16,0.50,0.50,0.50,0.50,130100
29-Feb-16,0.52,0.52,0.50,0.50,222800
26-Feb-16,0.52,0.52,0.52,0.52,386500
25-Feb-16,0.50,0.52,0.50,0.52,180000
24-Feb-16,0.53,0.53,0.50,0.50,507700
23-Feb-16,0.55,0.55,0.54,0.54,114300
22-Feb-16,0.54,0.55,0.54,0.55,253600
19-Feb-16,0.54,0.54,0.53,0.53,81100
18-Feb-16,0.54,0.55,0.54,0.54,69200
17-Feb-16,0.54,0.54,0.54,0.54,100
16-Feb-16,0.55,0.55,0.55,0.55,206000
15-Feb-16,0.54,0.54,0.54,0.54,29000
12-Feb-16,0.52,0.54,0.52,0.54,94300
11-Feb-16,-,-,-,0.52,0
10-Feb-16,0.53,0.53,0.52,0.52,140000
5-Feb-16,0.53,0.54,0.53,0.54,13000
4-Feb-16,0.53,0.53,0.53,0.53,10000
3-Feb-16,-,-,-,0.52,0
2-Feb-16,0.52,0.52,0.52,0.52,20000
29-Jan-16,0.52,0.54,0.52,0.54,557200
28-Jan-16,0.52,0.54,0.52,0.54,37000
27-Jan-16,-,-,-,0.54,0
26-Jan-16,0.51,0.54,0.51,0.54,238000
22-Jan-16,0.50,0.52,0.50,0.52,96000
21-Jan-16,0.52,0.52,0.50,0.51,234500
20-Jan-16,0.52,0.52,0.50,0.52,352600
19-Jan-16,0.52,0.54,0.52,0.54,102000
18-Jan-16,0.51,0.53,0.51,0.53,144300
15-Jan-16,0.57,0.57,0.54,0.54,188000
14-Jan-16,0.55,0.55,0.54,0.55,448500
13-Jan-16,0.57,0.58,0.56,0.56,222700
12-Jan-16,0.57,0.59,0.56,0.58,574600
11-Jan-16,0.52,0.60,0.52,0.57,1168500
8-Jan-16,0.50,0.52,0.50,0.52,544500
7-Jan-16,0.54,0.54,0.50,0.50,649700
6-Jan-16,0.53,0.54,0.52,0.54,545000
5-Jan-16,0.50,0.52,0.50,0.51,58000
4-Jan-16,0.50,0.52,0.49,0.52,157800
31-Dec-15,-,-,-,0.52,0
30-Dec-15,0.51,0.52,0.50,0.52,188000
29-Dec-15,0.51,0.52,0.50,0.50,112500
28-Dec-15,0.51,0.52,0.50,0.51,105200
23-Dec-15,0.51,0.51,0.51,0.51,100000
22-Dec-15,0.51,0.51,0.51,0.51,4800
21-Dec-15,0.52,0.52,0.50,0.50,43500
18-Dec-15,0.51,0.53,0.50,0.53,78700
17-Dec-15,0.51,0.51,0.50,0.51,90000
16-Dec-15,0.51,0.51,0.50,0.51,90300
15-Dec-15,0.51,0.51,0.51,0.51,13000
14-Dec-15,0.51,0.51,0.50,0.51,56500
11-Dec-15,0.51,0.51,0.51,0.51,25000
10-Dec-15,0.54,0.54,0.54,0.54,3000
9-Dec-15,0.52,0.54,0.52,0.52,29000
8-Dec-15,0.50,0.54,0.50,0.54,98500
7-Dec-15,0.52,0.52,0.52,0.52,20000
4-Dec-15,0.49,0.52,0.48,0.52,9600
3-Dec-15,0.50,0.50,0.49,0.49,85000
2-Dec-15,0.50,0.50,0.48,0.48,49000
1-Dec-15,0.50,0.52,0.50,0.52,25700
30-Nov-15,-,-,-,0.50,0
27-Nov-15,0.52,0.52,0.50,0.50,273400
26-Nov-15,0.52,0.53,0.52,0.52,16300
25-Nov-15,0.53,0.53,0.53,0.53,3000
24-Nov-15,0.53,0.53,0.52,0.53,59000
23-Nov-15,0.53,0.53,0.53,0.53,12000
20-Nov-15,0.53,0.53,0.53,0.53,8000
19-Nov-15,0.53,0.53,0.53,0.53,51300
18-Nov-15,0.53,0.53,0.52,0.52,75600
17-Nov-15,0.54,0.54,0.53,0.53,56000
16-Nov-15,0.53,0.54,0.53,0.54,15000
13-Nov-15,0.54,0.54,0.54,0.54,35000
12-Nov-15,0.54,0.54,0.54,0.54,69000
11-Nov-15,0.55,0.55,0.53,0.54,68000
9-Nov-15,0.54,0.56,0.54,0.56,61100
6-Nov-15,0.56,0.56,0.54,0.54,71000
5-Nov-15,0.55,0.55,0.54,0.54,141000
4-Nov-15,0.56,0.56,0.55,0.55,45500
3-Nov-15,0.55,0.56,0.55,0.56,95200
2-Nov-15,0.57,0.57,0.55,0.56,177100
30-Oct-15,0.55,0.58,0.55,0.57,678800
29-Oct-15,0.56,0.57,0.54,0.54,190100
28-Oct-15,0.54,0.57,0.54,0.57,260900
27-Oct-15,0.53,0.54,0.53,0.54,200400
26-Oct-15,0.53,0.54,0.53,0.54,122800
23-Oct-15,0.53,0.55,0.53,0.53,105500
22-Oct-15,0.55,0.56,0.54,0.54,70000
21-Oct-15,0.54,0.56,0.54,0.56,30000
20-Oct-15,0.56,0.56,0.55,0.55,69800
19-Oct-15,0.54,0.59,0.54,0.58,478300
16-Oct-15,0.52,0.54,0.52,0.54,102600
15-Oct-15,0.54,0.54,0.52,0.52,45500
13-Oct-15,0.52,0.52,0.52,0.52,37600
12-Oct-15,0.52,0.52,0.52,0.52,51400
