Date,Open,High,Low,Close,Volume
7-Oct-16,7.00,7.00,7.00,7.00,3300
6-Oct-16,6.95,7.00,6.92,7.00,12600
5-Oct-16,6.96,6.96,6.96,6.96,1000
4-Oct-16,-,-,-,6.96,0
30-Sep-16,6.96,7.05,6.96,6.96,7100
29-Sep-16,6.99,7.00,6.99,6.99,7700
28-Sep-16,7.01,7.06,6.94,6.96,96200
27-Sep-16,7.00,7.00,6.92,6.96,21500
26-Sep-16,7.00,7.01,7.00,7.01,6300
23-Sep-16,6.99,7.07,6.91,7.07,81900
22-Sep-16,6.85,6.95,6.82,6.95,46800
21-Sep-16,6.70,6.80,6.70,6.80,24500
20-Sep-16,6.76,6.76,6.65,6.70,78500
19-Sep-16,6.80,6.80,6.70,6.76,65500
15-Sep-16,6.82,6.82,6.63,6.63,329000
14-Sep-16,6.84,6.84,6.79,6.80,118500
13-Sep-16,6.80,6.81,6.79,6.81,42700
9-Sep-16,6.79,6.81,6.79,6.81,57600
8-Sep-16,6.80,6.80,6.78,6.80,60800
7-Sep-16,6.80,6.80,6.79,6.80,102500
6-Sep-16,6.80,6.83,6.79,6.80,195100
5-Sep-16,6.78,6.81,6.78,6.80,69100
2-Sep-16,6.82,6.82,6.80,6.80,108100
1-Sep-16,6.80,6.83,6.80,6.80,177400
30-Aug-16,6.83,6.84,6.80,6.80,15100
29-Aug-16,6.90,6.90,6.83,6.83,25900
26-Aug-16,6.83,6.90,6.83,6.87,22500
25-Aug-16,6.82,6.88,6.82,6.88,41800
24-Aug-16,7.02,7.02,6.88,6.88,162800
23-Aug-16,7.12,7.14,7.02,7.10,84700
22-Aug-16,7.13,7.15,7.11,7.15,27100
19-Aug-16,7.17,7.24,7.17,7.18,71400
18-Aug-16,7.05,7.20,7.05,7.12,86000
17-Aug-16,7.32,7.32,7.02,7.05,376900
16-Aug-16,7.12,7.52,7.12,7.40,451100
15-Aug-16,6.71,7.12,6.71,7.08,493100
12-Aug-16,6.59,6.59,6.58,6.58,1500
11-Aug-16,6.58,6.59,6.55,6.55,23000
10-Aug-16,6.59,6.59,6.58,6.58,24200
9-Aug-16,6.56,6.60,6.56,6.60,22000
8-Aug-16,6.65,6.65,6.59,6.59,54300
5-Aug-16,6.66,6.67,6.63,6.67,10800
4-Aug-16,-,-,-,6.66,0
3-Aug-16,6.64,6.66,6.64,6.66,3600
2-Aug-16,6.68,6.69,6.64,6.64,14800
1-Aug-16,6.66,6.68,6.65,6.67,5100
29-Jul-16,6.67,6.67,6.60,6.60,16500
28-Jul-16,6.60,6.67,6.60,6.60,5400
27-Jul-16,6.51,6.53,6.51,6.53,12400
26-Jul-16,6.51,6.51,6.51,6.51,89100
25-Jul-16,6.53,6.53,6.51,6.51,11000
22-Jul-16,6.53,6.53,6.52,6.53,38600
21-Jul-16,6.51,6.55,6.50,6.53,108500
20-Jul-16,6.49,6.55,6.49,6.54,50100
19-Jul-16,6.48,6.50,6.48,6.49,204200
18-Jul-16,6.50,6.50,6.48,6.48,38300
15-Jul-16,6.49,6.50,6.49,6.50,354900
14-Jul-16,6.50,6.50,6.48,6.49,91800
13-Jul-16,6.52,6.52,6.49,6.50,85400
12-Jul-16,6.52,6.54,6.52,6.52,10800
11-Jul-16,6.55,6.55,6.52,6.53,21700
8-Jul-16,6.62,6.63,6.52,6.52,79900
5-Jul-16,6.63,6.63,6.62,6.62,14000
4-Jul-16,6.64,6.64,6.62,6.63,14500
1-Jul-16,6.63,6.63,6.63,6.63,125300
30-Jun-16,6.60,6.63,6.60,6.63,22400
29-Jun-16,6.62,6.65,6.62,6.65,61400
28-Jun-16,6.60,6.68,6.60,6.68,22000
27-Jun-16,6.69,6.69,6.65,6.68,14000
24-Jun-16,6.67,6.69,6.64,6.69,55400
23-Jun-16,6.70,6.70,6.65,6.68,77900
21-Jun-16,6.71,6.73,6.70,6.73,49800
20-Jun-16,6.72,6.73,6.71,6.73,33000
17-Jun-16,6.75,6.75,6.70,6.72,82800
16-Jun-16,6.81,6.81,6.75,6.75,12000
15-Jun-16,-,-,-,6.75,0
14-Jun-16,6.77,6.77,6.72,6.75,26800
13-Jun-16,6.85,6.85,6.72,6.76,40500
10-Jun-16,6.87,6.88,6.87,6.87,73200
9-Jun-16,6.88,6.90,6.85,6.87,54700
8-Jun-16,6.91,6.91,6.87,6.87,33500
7-Jun-16,6.84,6.90,6.83,6.89,23000
6-Jun-16,6.88,6.88,6.82,6.88,17500
3-Jun-16,6.88,6.88,6.87,6.88,50500
2-Jun-16,6.89,6.89,6.88,6.88,38200
1-Jun-16,6.87,6.93,6.87,6.89,58700
31-May-16,-,-,-,6.87,0
30-May-16,6.90,6.90,6.85,6.87,17800
27-May-16,6.92,6.92,6.91,6.91,17600
26-May-16,6.90,6.90,6.88,6.89,11700
25-May-16,6.88,6.88,6.88,6.88,11600
24-May-16,6.90,6.90,6.88,6.90,17000
23-May-16,6.88,6.91,6.88,6.90,46000
20-May-16,6.86,6.88,6.86,6.88,35200
19-May-16,6.88,6.89,6.88,6.88,62000
18-May-16,6.86,6.90,6.86,6.88,5700
17-May-16,6.86,6.89,6.85,6.86,10300
16-May-16,6.85,6.85,6.85,6.85,6800
13-May-16,6.90,6.90,6.85,6.88,37900
12-May-16,6.90,6.94,6.90,6.93,4000
11-May-16,6.90,6.90,6.90,6.90,76000
10-May-16,6.85,6.89,6.83,6.89,25000
9-May-16,6.85,6.86,6.85,6.86,29800
6-May-16,-,-,-,6.86,0
5-May-16,6.86,6.86,6.86,6.86,18200
4-May-16,6.86,6.93,6.86,6.86,163600
3-May-16,6.95,6.95,6.86,6.86,44500
29-Apr-16,-,-,-,6.95,0
28-Apr-16,6.95,6.95,6.95,6.95,29000
27-Apr-16,6.95,6.95,6.95,6.95,14000
26-Apr-16,6.95,6.98,6.93,6.98,63000
25-Apr-16,6.95,6.99,6.95,6.98,147400
22-Apr-16,6.97,6.97,6.93,6.93,102200
21-Apr-16,7.00,7.00,6.98,6.98,89900
20-Apr-16,7.01,7.01,7.01,7.01,9800
19-Apr-16,7.00,7.01,7.00,7.00,64000
18-Apr-16,7.00,7.01,7.00,7.00,93900
15-Apr-16,7.01,7.03,7.00,7.01,39800
14-Apr-16,7.04,7.10,7.04,7.06,274400
13-Apr-16,7.04,7.09,7.01,7.08,56900
12-Apr-16,7.06,7.10,7.06,7.08,328000
