Date,Open,High,Low,Close,Volume
7-Oct-16,0.96,0.96,0.96,0.96,10000
6-Oct-16,0.96,0.96,0.96,0.96,10000
5-Oct-16,0.96,0.96,0.95,0.95,20000
4-Oct-16,0.96,0.96,0.96,0.96,30000
30-Sep-16,0.96,0.96,0.96,0.96,10000
29-Sep-16,-,-,-,0.96,0
28-Sep-16,-,-,-,0.96,0
27-Sep-16,-,-,-,0.96,0
26-Sep-16,0.95,0.96,0.95,0.96,20000
23-Sep-16,0.96,0.96,0.96,0.96,20000
22-Sep-16,0.95,0.96,0.95,0.96,20000
21-Sep-16,0.96,0.96,0.95,0.96,10000
20-Sep-16,0.96,0.96,0.96,0.96,23900
19-Sep-16,-,-,-,0.96,0
15-Sep-16,-,-,-,0.96,0
14-Sep-16,-,-,-,0.96,0
13-Sep-16,0.96,0.96,0.96,0.96,20000
9-Sep-16,-,-,-,0.97,0
8-Sep-16,0.97,0.97,0.97,0.97,10000
7-Sep-16,-,-,-,0.96,0
6-Sep-16,1.00,1.00,0.96,0.96,31400
5-Sep-16,1.00,1.00,0.96,0.96,23000
2-Sep-16,0.96,0.96,0.96,0.96,10000
1-Sep-16,-,-,-,0.96,0
30-Aug-16,0.96,0.96,0.96,0.96,4000
29-Aug-16,0.96,0.96,0.96,0.96,70000
26-Aug-16,-,-,-,0.96,0
25-Aug-16,0.95,0.96,0.95,0.96,59900
24-Aug-16,0.94,0.94,0.94,0.94,15000
23-Aug-16,0.94,0.94,0.94,0.94,15000
22-Aug-16,0.95,0.96,0.95,0.96,3100
19-Aug-16,0.94,0.94,0.94,0.94,23000
18-Aug-16,0.94,0.94,0.94,0.94,5000
17-Aug-16,-,-,-,0.96,0
16-Aug-16,-,-,-,0.96,0
15-Aug-16,0.96,0.96,0.96,0.96,48500
12-Aug-16,0.94,0.94,0.93,0.93,20000
11-Aug-16,0.96,0.96,0.96,0.96,8000
10-Aug-16,-,-,-,0.96,0
9-Aug-16,-,-,-,0.96,0
8-Aug-16,-,-,-,0.96,0
5-Aug-16,-,-,-,0.96,0
4-Aug-16,0.96,0.96,0.96,0.96,11500
3-Aug-16,0.96,0.97,0.96,0.96,20100
2-Aug-16,0.96,0.96,0.96,0.96,24300
1-Aug-16,0.95,0.95,0.95,0.95,3500
29-Jul-16,-,-,-,0.96,0
28-Jul-16,0.96,0.96,0.96,0.96,3500
27-Jul-16,-,-,-,0.96,0
26-Jul-16,-,-,-,0.96,0
25-Jul-16,-,-,-,0.96,0
