Date,Open,High,Low,Close,Volume
7-Oct-16,0.43,0.43,0.43,0.43,44000
6-Oct-16,0.43,0.47,0.43,0.47,700
5-Oct-16,0.43,0.48,0.43,0.48,1000
4-Oct-16,0.42,0.43,0.42,0.43,41000
30-Sep-16,0.42,0.42,0.42,0.42,500
29-Sep-16,0.45,0.45,0.45,0.45,9000
28-Sep-16,0.42,0.42,0.42,0.42,5700
27-Sep-16,-,-,-,0.42,0
26-Sep-16,0.42,0.42,0.42,0.42,600
23-Sep-16,-,-,-,0.42,0
22-Sep-16,0.42,0.42,0.42,0.42,1300
21-Sep-16,0.44,0.44,0.44,0.44,1600
20-Sep-16,0.45,0.45,0.45,0.45,8000
19-Sep-16,0.49,0.50,0.47,0.47,100800
15-Sep-16,0.44,0.44,0.44,0.44,58900
14-Sep-16,-,-,-,0.40,0
13-Sep-16,-,-,-,0.40,0
9-Sep-16,0.40,0.41,0.40,0.40,8000
8-Sep-16,0.40,0.40,0.40,0.40,2000
7-Sep-16,-,-,-,0.40,0
6-Sep-16,-,-,-,0.40,0
5-Sep-16,0.42,0.42,0.40,0.40,129900
2-Sep-16,-,-,-,0.42,0
1-Sep-16,0.42,0.42,0.41,0.42,203700
30-Aug-16,-,-,-,0.42,0
29-Aug-16,0.42,0.42,0.42,0.42,74300
26-Aug-16,0.41,0.41,0.41,0.41,400
25-Aug-16,0.41,0.42,0.41,0.42,2600
24-Aug-16,0.42,0.42,0.42,0.42,2000
23-Aug-16,0.41,0.42,0.41,0.42,1400
22-Aug-16,0.41,0.42,0.41,0.42,1800
19-Aug-16,0.42,0.42,0.42,0.42,13000
18-Aug-16,0.42,0.43,0.42,0.42,15600
17-Aug-16,0.42,0.42,0.42,0.42,25100
16-Aug-16,0.41,0.45,0.41,0.45,85600
15-Aug-16,0.40,0.40,0.40,0.40,600
12-Aug-16,0.40,0.40,0.40,0.40,2300
11-Aug-16,0.40,0.40,0.40,0.40,37300
10-Aug-16,0.40,0.40,0.40,0.40,30100
9-Aug-16,-,-,-,0.40,0
8-Aug-16,0.40,0.40,0.40,0.40,300
5-Aug-16,0.40,0.40,0.40,0.40,10000
4-Aug-16,0.40,0.40,0.40,0.40,9600
3-Aug-16,0.40,0.40,0.40,0.40,41600
2-Aug-16,0.40,0.40,0.40,0.40,15000
1-Aug-16,0.40,0.40,0.40,0.40,26900
29-Jul-16,0.40,0.40,0.40,0.40,100
28-Jul-16,0.40,0.40,0.40,0.40,2900
27-Jul-16,-,-,-,0.40,0
26-Jul-16,-,-,-,0.40,0
25-Jul-16,0.40,0.40,0.40,0.40,400
22-Jul-16,0.41,0.41,0.40,0.40,30200
21-Jul-16,0.40,0.40,0.40,0.40,600
20-Jul-16,-,-,-,0.42,0
19-Jul-16,0.40,0.42,0.40,0.42,81300
18-Jul-16,0.40,0.40,0.40,0.40,15500
15-Jul-16,0.40,0.40,0.40,0.40,17800
14-Jul-16,0.40,0.40,0.40,0.40,4200
13-Jul-16,0.40,0.40,0.40,0.40,6600
12-Jul-16,0.40,0.40,0.40,0.40,15000
11-Jul-16,0.40,0.40,0.40,0.40,38300
8-Jul-16,0.40,0.40,0.40,0.40,6000
5-Jul-16,0.40,0.40,0.40,0.40,13000
4-Jul-16,-,-,-,0.40,0
1-Jul-16,0.40,0.40,0.40,0.40,700
30-Jun-16,0.40,0.43,0.40,0.43,3500
29-Jun-16,-,-,-,0.40,0
28-Jun-16,0.40,0.41,0.40,0.40,63300
27-Jun-16,-,-,-,0.40,0
24-Jun-16,0.41,0.41,0.40,0.40,83600
23-Jun-16,0.41,0.41,0.41,0.41,100
21-Jun-16,-,-,-,0.45,0
20-Jun-16,0.40,0.45,0.40,0.45,10800
17-Jun-16,0.42,0.42,0.42,0.42,49600
16-Jun-16,0.42,0.42,0.42,0.42,50000
15-Jun-16,0.42,0.42,0.42,0.42,1000
14-Jun-16,0.42,0.42,0.42,0.42,800
