Date,Open,High,Low,Close,Volume
7-Oct-16,0.18,0.18,0.18,0.18,1000
6-Oct-16,0.18,0.18,0.18,0.18,230000
5-Oct-16,0.18,0.18,0.18,0.18,1000
4-Oct-16,0.18,0.18,0.18,0.18,20000
30-Sep-16,0.18,0.18,0.18,0.18,50000
29-Sep-16,0.18,0.18,0.18,0.18,20000
28-Sep-16,0.18,0.18,0.18,0.18,27000
27-Sep-16,0.18,0.18,0.18,0.18,157000
26-Sep-16,0.18,0.18,0.18,0.18,130000
23-Sep-16,0.19,0.19,0.18,0.18,46000
22-Sep-16,0.19,0.22,0.19,0.20,100500
21-Sep-16,-,-,-,0.18,0
20-Sep-16,0.18,0.18,0.18,0.18,60000
19-Sep-16,0.17,0.17,0.17,0.17,10000
15-Sep-16,-,-,-,0.18,0
14-Sep-16,0.18,0.18,0.18,0.18,235000
13-Sep-16,-,-,-,0.18,0
9-Sep-16,0.18,0.18,0.18,0.18,11700
8-Sep-16,-,-,-,0.18,0
7-Sep-16,0.18,0.18,0.18,0.18,163000
6-Sep-16,-,-,-,0.18,0
5-Sep-16,0.20,0.20,0.18,0.18,456700
2-Sep-16,0.18,0.18,0.18,0.18,124900
1-Sep-16,-,-,-,0.18,0
30-Aug-16,-,-,-,0.18,0
29-Aug-16,0.18,0.18,0.18,0.18,30000
26-Aug-16,-,-,-,0.18,0
25-Aug-16,0.18,0.18,0.18,0.18,20000
24-Aug-16,0.18,0.18,0.18,0.18,110000
23-Aug-16,0.20,0.20,0.18,0.18,21000
22-Aug-16,-,-,-,0.18,0
19-Aug-16,0.18,0.18,0.18,0.18,40000
18-Aug-16,0.18,0.18,0.18,0.18,100000
17-Aug-16,-,-,-,0.18,0
16-Aug-16,-,-,-,0.18,0
15-Aug-16,-,-,-,0.18,0
12-Aug-16,-,-,-,0.18,0
11-Aug-16,0.18,0.18,0.18,0.18,20000
10-Aug-16,-,-,-,0.18,0
9-Aug-16,-,-,-,0.18,0
8-Aug-16,0.18,0.18,0.18,0.18,20000
5-Aug-16,-,-,-,0.18,0
4-Aug-16,0.18,0.18,0.18,0.18,10000
3-Aug-16,-,-,-,0.18,0
2-Aug-16,0.18,0.18,0.18,0.18,10000
1-Aug-16,0.18,0.18,0.18,0.18,12400
29-Jul-16,-,-,-,0.18,0
28-Jul-16,-,-,-,0.18,0
27-Jul-16,-,-,-,0.18,0
26-Jul-16,-,-,-,0.18,0
25-Jul-16,0.18,0.18,0.18,0.18,165500
22-Jul-16,-,-,-,0.18,0
