Date,Open,High,Low,Close,Volume
7-Oct-16,2.26,2.26,2.24,2.25,79200
6-Oct-16,2.29,2.29,2.23,2.24,248700
5-Oct-16,2.29,2.32,2.26,2.29,926500
4-Oct-16,2.22,2.28,2.22,2.27,537800
30-Sep-16,2.20,2.24,2.20,2.21,155900
29-Sep-16,2.22,2.23,2.20,2.20,157600
28-Sep-16,2.20,2.22,2.18,2.22,103100
27-Sep-16,2.21,2.23,2.19,2.20,91900
26-Sep-16,2.20,2.24,2.19,2.23,204500
23-Sep-16,2.22,2.23,2.21,2.22,41900
22-Sep-16,2.21,2.24,2.20,2.22,163100
21-Sep-16,2.20,2.22,2.17,2.22,195700
20-Sep-16,2.20,2.21,2.17,2.18,342300
19-Sep-16,2.17,2.22,2.16,2.22,332800
15-Sep-16,2.17,2.18,2.16,2.17,182400
14-Sep-16,2.26,2.26,2.17,2.17,582500
13-Sep-16,2.25,2.33,2.19,2.25,2138200
9-Sep-16,2.19,2.24,2.16,2.24,443200
8-Sep-16,2.19,2.20,2.17,2.17,375200
7-Sep-16,2.20,2.20,2.17,2.19,211900
6-Sep-16,2.18,2.21,2.13,2.20,368900
5-Sep-16,2.15,2.22,2.15,2.18,1373500
2-Sep-16,2.09,2.11,2.07,2.10,196800
1-Sep-16,2.11,2.13,2.06,2.07,218400
30-Aug-16,2.06,2.17,2.06,2.11,863500
29-Aug-16,2.02,2.06,2.01,2.06,280100
26-Aug-16,2.00,2.03,1.98,2.01,403000
25-Aug-16,1.94,2.00,1.92,1.98,556800
24-Aug-16,1.90,1.94,1.89,1.94,533100
23-Aug-16,1.88,1.91,1.84,1.89,924900
22-Aug-16,1.92,1.93,1.91,1.91,164300
19-Aug-16,1.90,1.94,1.88,1.94,374200
18-Aug-16,1.98,1.98,1.88,1.88,3090600
17-Aug-16,2.03,2.04,1.98,1.98,378800
16-Aug-16,2.02,2.03,2.01,2.03,176800
15-Aug-16,1.98,2.03,1.96,2.01,355800
12-Aug-16,1.96,1.97,1.95,1.97,128800
11-Aug-16,1.96,1.97,1.95,1.97,86400
10-Aug-16,1.97,1.97,1.96,1.96,144600
9-Aug-16,1.96,1.97,1.96,1.96,81400
8-Aug-16,1.97,2.00,1.95,1.96,82500
5-Aug-16,1.99,2.00,1.95,1.97,120100
4-Aug-16,1.98,2.00,1.97,2.00,54800
3-Aug-16,1.98,2.00,1.95,1.97,72400
2-Aug-16,1.99,2.00,1.97,1.97,107000
1-Aug-16,2.01,2.02,1.98,1.98,60000
29-Jul-16,2.02,2.02,1.99,2.00,24300
28-Jul-16,1.99,2.02,1.97,1.97,150400
27-Jul-16,2.01,2.01,1.99,1.99,176400
26-Jul-16,2.02,2.02,1.99,2.02,248500
25-Jul-16,2.07,2.07,2.03,2.04,97800
22-Jul-16,2.01,2.06,2.01,2.06,78100
21-Jul-16,2.10,2.10,2.01,2.01,232900
20-Jul-16,2.02,2.09,2.02,2.09,102300
19-Jul-16,2.03,2.05,2.01,2.01,71100
18-Jul-16,2.00,2.03,2.00,2.02,97100
15-Jul-16,1.97,2.01,1.97,2.00,179300
14-Jul-16,1.98,1.99,1.96,1.97,160000
13-Jul-16,2.00,2.01,1.98,2.00,203700
12-Jul-16,2.05,2.05,2.00,2.00,304800
11-Jul-16,2.08,2.08,2.01,2.04,86600
8-Jul-16,2.05,2.05,2.03,2.04,29200
5-Jul-16,2.07,2.08,2.04,2.06,53500
4-Jul-16,2.07,2.10,2.06,2.09,37800
1-Jul-16,2.11,2.12,2.07,2.08,65900
30-Jun-16,2.14,2.18,2.11,2.12,381000
29-Jun-16,1.98,2.15,1.98,2.13,768500
28-Jun-16,1.91,1.97,1.91,1.97,52000
27-Jun-16,1.91,1.97,1.89,1.96,201100
24-Jun-16,1.91,1.93,1.83,1.91,417300
23-Jun-16,1.95,1.95,1.89,1.91,499600
21-Jun-16,1.92,1.95,1.92,1.94,223800
20-Jun-16,1.98,1.99,1.90,1.91,515800
17-Jun-16,2.02,2.03,1.97,1.98,430700
16-Jun-16,2.02,2.03,2.01,2.02,205000
15-Jun-16,2.02,2.03,2.01,2.02,74600
14-Jun-16,2.02,2.02,2.00,2.02,194000
13-Jun-16,2.04,2.04,2.03,2.04,79100
10-Jun-16,2.10,2.11,2.02,2.05,482700
9-Jun-16,2.10,2.11,2.09,2.09,114200
8-Jun-16,2.08,2.12,2.08,2.10,70200
7-Jun-16,2.11,2.13,2.07,2.07,159000
6-Jun-16,2.13,2.13,2.09,2.11,135700
3-Jun-16,2.05,2.14,2.05,2.11,310800
2-Jun-16,2.05,2.07,2.05,2.07,149400
1-Jun-16,2.06,2.06,2.03,2.05,219700
31-May-16,2.18,2.18,2.00,2.06,1897300
30-May-16,2.18,2.18,2.14,2.14,140900
27-May-16,2.15,2.18,2.14,2.18,60200
26-May-16,2.18,2.18,2.11,2.17,573100
25-May-16,2.18,2.20,2.17,2.20,117100
24-May-16,2.20,2.20,2.18,2.20,99700
23-May-16,2.20,2.20,2.18,2.20,201200
20-May-16,2.20,2.20,2.18,2.20,57400
19-May-16,2.20,2.22,2.19,2.19,56000
18-May-16,2.24,2.25,2.19,2.19,131700
17-May-16,2.23,2.24,2.21,2.24,91200
16-May-16,2.21,2.25,2.15,2.25,136000
13-May-16,2.23,2.23,2.21,2.22,226800
12-May-16,2.22,2.23,2.22,2.23,91100
11-May-16,2.22,2.24,2.22,2.23,166700
10-May-16,2.22,2.24,2.22,2.23,71400
9-May-16,2.24,2.24,2.22,2.23,82000
6-May-16,2.22,2.26,2.22,2.24,215800
5-May-16,2.25,2.25,2.23,2.25,82100
4-May-16,2.22,2.26,2.22,2.25,113000
3-May-16,2.26,2.26,2.23,2.23,98000
29-Apr-16,2.26,2.27,2.24,2.27,188600
28-Apr-16,2.29,2.29,2.25,2.27,456100
27-Apr-16,2.28,2.31,2.27,2.29,216100
26-Apr-16,2.33,2.34,2.27,2.28,248900
25-Apr-16,2.36,2.36,2.32,2.32,108100
22-Apr-16,2.35,2.38,2.33,2.36,208700
21-Apr-16,2.33,2.38,2.33,2.37,621000
20-Apr-16,2.29,2.34,2.29,2.31,220800
19-Apr-16,2.28,2.31,2.27,2.28,214200
18-Apr-16,2.32,2.32,2.25,2.28,396500
15-Apr-16,2.29,2.34,2.29,2.33,332500
14-Apr-16,2.31,2.33,2.28,2.29,653200
13-Apr-16,2.35,2.35,2.28,2.33,438900
12-Apr-16,2.32,2.35,2.32,2.35,147600
11-Apr-16,2.34,2.36,2.32,2.33,233800
8-Apr-16,2.39,2.39,2.32,2.34,712100
7-Apr-16,2.36,2.42,2.35,2.41,377100
6-Apr-16,2.36,2.36,2.35,2.36,39900
5-Apr-16,2.36,2.39,2.35,2.36,276500
4-Apr-16,2.37,2.39,2.36,2.37,174100
1-Apr-16,2.39,2.39,2.36,2.37,154600
31-Mar-16,2.38,2.41,2.38,2.40,220300
30-Mar-16,2.43,2.45,2.37,2.37,390600
29-Mar-16,2.36,2.46,2.36,2.42,764100
28-Mar-16,2.33,2.36,2.33,2.35,198500
25-Mar-16,2.35,2.35,2.32,2.33,200200
24-Mar-16,2.33,2.33,2.30,2.33,409200
23-Mar-16,2.36,2.36,2.33,2.33,198000
22-Mar-16,2.37,2.40,2.36,2.37,247300
21-Mar-16,2.40,2.40,2.34,2.39,180900
18-Mar-16,2.41,2.42,2.33,2.38,486000
17-Mar-16,2.27,2.41,2.27,2.40,602500
16-Mar-16,2.28,2.30,2.22,2.25,1164900
15-Mar-16,2.27,2.30,2.26,2.26,477400
14-Mar-16,2.32,2.33,2.27,2.27,613000
11-Mar-16,2.30,2.33,2.30,2.33,221300
10-Mar-16,2.31,2.34,2.30,2.32,725800
9-Mar-16,2.31,2.33,2.30,2.33,517000
8-Mar-16,2.30,2.34,2.30,2.33,557400
7-Mar-16,2.30,2.34,2.30,2.30,417600
4-Mar-16,2.31,2.34,2.30,2.30,495900
3-Mar-16,2.33,2.35,2.31,2.33,569500
2-Mar-16,2.35,2.36,2.30,2.33,871000
1-Mar-16,2.33,2.36,2.33,2.34,160200
29-Feb-16,2.33,2.36,2.31,2.31,257000
26-Feb-16,2.43,2.43,2.32,2.33,1106400
25-Feb-16,2.43,2.50,2.41,2.44,507900
24-Feb-16,2.46,2.48,2.43,2.46,419200
23-Feb-16,2.50,2.52,2.43,2.48,1108700
22-Feb-16,2.49,2.54,2.43,2.49,1688000
19-Feb-16,2.36,2.48,2.36,2.46,3199700
18-Feb-16,2.25,2.36,2.25,2.34,1495700
17-Feb-16,2.26,2.28,2.25,2.25,1418400
16-Feb-16,2.27,2.33,2.25,2.26,5576300
15-Feb-16,2.26,2.29,2.24,2.26,1198800
12-Feb-16,2.25,2.27,2.23,2.24,76000
11-Feb-16,2.26,2.26,2.21,2.26,219000
10-Feb-16,2.25,2.25,2.22,2.24,155200
5-Feb-16,2.26,2.26,2.23,2.26,152200
4-Feb-16,2.25,2.27,2.22,2.26,386100
3-Feb-16,2.25,2.27,2.23,2.24,550000
2-Feb-16,2.27,2.28,2.26,2.27,371300
29-Jan-16,2.25,2.30,2.25,2.25,946800
28-Jan-16,2.28,2.28,2.21,2.24,403300
27-Jan-16,2.27,2.30,2.27,2.28,1325000
26-Jan-16,2.30,2.30,2.23,2.24,563500
22-Jan-16,2.31,2.38,2.28,2.29,2071500
21-Jan-16,2.40,2.41,2.26,2.30,1360100
20-Jan-16,2.54,2.58,2.39,2.39,1262300
19-Jan-16,2.48,2.57,2.48,2.53,1430600
18-Jan-16,2.62,2.64,2.50,2.51,3397900
15-Jan-16,2.58,2.75,2.58,2.68,3169400
14-Jan-16,2.55,2.58,2.53,2.57,2064600
13-Jan-16,2.49,2.55,2.46,2.55,2025900
12-Jan-16,2.38,2.50,2.38,2.43,3898200
11-Jan-16,2.42,2.47,2.33,2.36,3768240
8-Jan-16,2.50,2.52,2.41,2.41,2948520
7-Jan-16,2.56,2.56,2.48,2.50,1507200
6-Jan-16,2.52,2.58,2.52,2.57,776040
5-Jan-16,2.49,2.54,2.49,2.51,1648800
4-Jan-16,2.58,2.59,2.48,2.48,4786200
31-Dec-15,2.55,2.61,2.55,2.58,1733880
30-Dec-15,2.57,2.62,2.52,2.52,6210120
29-Dec-15,2.57,2.57,2.54,2.54,1643400
28-Dec-15,2.65,2.67,2.52,2.52,2952960
23-Dec-15,2.45,2.62,2.42,2.61,3103680
22-Dec-15,2.28,2.43,2.28,2.43,1297800
21-Dec-15,2.25,2.37,2.25,2.28,898920
18-Dec-15,2.27,2.28,2.23,2.23,217320
17-Dec-15,2.23,2.27,2.22,2.25,368880
16-Dec-15,2.18,2.22,2.18,2.22,67800
15-Dec-15,2.12,2.20,2.12,2.17,90000
14-Dec-15,2.23,2.23,2.12,2.14,476280
11-Dec-15,2.27,2.27,2.23,2.23,95400
10-Dec-15,2.28,2.28,2.26,2.28,93000
9-Dec-15,2.26,2.29,2.25,2.28,66000
8-Dec-15,2.27,2.28,2.25,2.26,72720
7-Dec-15,2.28,2.29,2.26,2.27,206400
4-Dec-15,2.30,2.32,2.27,2.27,218640
3-Dec-15,2.33,2.33,2.31,2.32,358440
2-Dec-15,2.33,2.36,2.32,2.33,422040
1-Dec-15,2.32,2.33,2.32,2.32,56640
30-Nov-15,2.32,2.33,2.29,2.32,323400
27-Nov-15,2.32,2.33,2.29,2.32,192600
26-Nov-15,2.28,2.34,2.28,2.32,304680
25-Nov-15,2.29,2.29,2.25,2.28,601560
24-Nov-15,2.33,2.33,2.25,2.27,485040
23-Nov-15,2.35,2.35,2.32,2.33,283800
20-Nov-15,2.36,2.37,2.34,2.35,7774800
19-Nov-15,2.34,2.38,2.33,2.38,504240
18-Nov-15,2.38,2.38,2.32,2.34,283560
17-Nov-15,2.37,2.41,2.33,2.36,676800
16-Nov-15,2.31,2.38,2.30,2.36,909120
13-Nov-15,2.28,2.33,2.28,2.31,1025400
12-Nov-15,2.17,2.24,2.14,2.24,268920
11-Nov-15,2.15,2.16,2.13,2.15,123600
9-Nov-15,2.20,2.20,2.16,2.16,287640
6-Nov-15,2.16,2.20,2.13,2.19,543600
5-Nov-15,2.16,2.17,2.15,2.16,203160
4-Nov-15,2.23,2.23,2.18,2.18,156600
3-Nov-15,2.14,2.22,2.14,2.21,937200
2-Nov-15,2.12,2.14,2.12,2.13,203760
30-Oct-15,2.15,2.17,2.12,2.12,374040
29-Oct-15,2.13,2.18,2.12,2.15,312240
28-Oct-15,2.17,2.18,2.09,2.12,817800
27-Oct-15,2.23,2.23,2.16,2.16,451920
26-Oct-15,2.28,2.34,2.25,2.26,941040
23-Oct-15,2.22,2.28,2.20,2.28,884880
22-Oct-15,2.13,2.26,2.13,2.20,998040
21-Oct-15,2.12,2.14,2.10,2.13,433320
20-Oct-15,2.18,2.18,2.11,2.13,619200
19-Oct-15,2.13,2.18,2.12,2.18,849600
16-Oct-15,2.10,2.15,2.10,2.12,630240
15-Oct-15,2.08,2.19,2.08,2.09,2151000
13-Oct-15,1.95,2.11,1.95,2.05,2465280
12-Oct-15,1.88,1.92,1.85,1.92,1026480
