Date,Open,High,Low,Close,Volume
7-Oct-16,1.33,1.34,1.33,1.33,67200
6-Oct-16,1.32,1.33,1.32,1.32,25600
5-Oct-16,1.31,1.32,1.31,1.32,29000
4-Oct-16,1.33,1.33,1.32,1.32,9900
30-Sep-16,1.32,1.32,1.32,1.32,6600
29-Sep-16,1.34,1.34,1.34,1.34,20400
28-Sep-16,1.34,1.34,1.34,1.34,47600
27-Sep-16,1.32,1.34,1.32,1.34,112100
26-Sep-16,1.30,1.32,1.30,1.32,131200
23-Sep-16,1.30,1.30,1.30,1.30,36000
22-Sep-16,-,-,-,1.30,0
21-Sep-16,1.29,1.30,1.29,1.30,49400
20-Sep-16,1.29,1.29,1.29,1.29,2700
19-Sep-16,1.29,1.29,1.28,1.29,70000
15-Sep-16,1.28,1.29,1.28,1.29,4300
14-Sep-16,1.29,1.29,1.28,1.29,22000
13-Sep-16,1.29,1.29,1.28,1.29,43300
9-Sep-16,1.29,1.30,1.29,1.30,18500
8-Sep-16,1.29,1.29,1.29,1.29,28200
7-Sep-16,1.29,1.30,1.28,1.29,25200
6-Sep-16,1.29,1.29,1.29,1.29,13000
5-Sep-16,1.28,1.30,1.28,1.29,64600
2-Sep-16,1.29,1.29,1.28,1.29,40000
1-Sep-16,1.28,1.29,1.28,1.29,72600
30-Aug-16,1.28,1.29,1.27,1.29,566900
29-Aug-16,1.27,1.30,1.27,1.29,598700
26-Aug-16,1.28,1.29,1.27,1.28,450400
25-Aug-16,1.28,1.29,1.28,1.29,271100
24-Aug-16,1.28,1.30,1.28,1.29,173400
23-Aug-16,1.29,1.30,1.29,1.29,22000
22-Aug-16,1.29,1.30,1.29,1.29,33100
19-Aug-16,1.29,1.30,1.29,1.29,138400
18-Aug-16,1.29,1.30,1.29,1.29,232000
17-Aug-16,1.29,1.30,1.29,1.29,253400
16-Aug-16,1.29,1.30,1.29,1.30,470600
15-Aug-16,1.29,1.30,1.29,1.30,654000
12-Aug-16,1.30,1.30,1.29,1.30,307900
11-Aug-16,1.29,1.30,1.29,1.30,314000
10-Aug-16,1.29,1.30,1.29,1.30,141000
9-Aug-16,1.29,1.30,1.29,1.30,244500
8-Aug-16,1.29,1.30,1.29,1.30,45400
5-Aug-16,1.29,1.30,1.29,1.30,101000
4-Aug-16,1.29,1.31,1.29,1.30,360300
3-Aug-16,1.30,1.31,1.30,1.31,12000
2-Aug-16,1.31,1.31,1.28,1.30,165800
1-Aug-16,1.31,1.31,1.29,1.31,326200
29-Jul-16,1.30,1.31,1.29,1.31,53300
28-Jul-16,1.30,1.30,1.29,1.30,68500
27-Jul-16,1.31,1.31,1.30,1.31,45600
26-Jul-16,1.31,1.31,1.31,1.31,100
25-Jul-16,1.31,1.31,1.30,1.31,28800
22-Jul-16,1.29,1.31,1.28,1.31,94800
21-Jul-16,1.31,1.31,1.29,1.31,596400
20-Jul-16,1.30,1.31,1.29,1.30,959200
19-Jul-16,1.30,1.31,1.29,1.31,769700
18-Jul-16,1.30,1.31,1.29,1.31,334000
15-Jul-16,1.31,1.32,1.29,1.31,276700
14-Jul-16,1.30,1.31,1.30,1.31,181000
13-Jul-16,1.31,1.32,1.29,1.31,180200
12-Jul-16,1.31,1.32,1.31,1.31,46400
11-Jul-16,1.31,1.31,1.29,1.31,43000
8-Jul-16,1.30,1.31,1.30,1.31,40000
5-Jul-16,1.30,1.31,1.30,1.31,13000
4-Jul-16,1.30,1.31,1.30,1.31,20500
1-Jul-16,1.30,1.31,1.30,1.31,22000
30-Jun-16,1.29,1.31,1.29,1.31,116700
29-Jun-16,1.31,1.31,1.30,1.31,18000
28-Jun-16,1.30,1.31,1.30,1.31,103000
27-Jun-16,1.30,1.31,1.30,1.31,8000
24-Jun-16,1.30,1.31,1.29,1.31,14500
23-Jun-16,1.31,1.32,1.30,1.32,21000
21-Jun-16,1.30,1.32,1.30,1.32,20400
20-Jun-16,-,-,-,1.31,0
17-Jun-16,1.30,1.31,1.30,1.31,30800
16-Jun-16,1.30,1.31,1.30,1.31,36500
15-Jun-16,1.30,1.31,1.30,1.31,33000
14-Jun-16,1.30,1.31,1.30,1.31,15000
13-Jun-16,1.30,1.31,1.30,1.31,71200
10-Jun-16,1.30,1.31,1.30,1.31,58000
9-Jun-16,1.31,1.31,1.31,1.31,3000
8-Jun-16,1.30,1.31,1.30,1.31,5000
7-Jun-16,1.31,1.31,1.31,1.31,5000
6-Jun-16,1.31,1.31,1.31,1.31,1000
3-Jun-16,1.30,1.32,1.30,1.32,44500
2-Jun-16,1.30,1.31,1.30,1.31,41300
1-Jun-16,1.30,1.31,1.29,1.31,40500
31-May-16,1.30,1.31,1.30,1.31,38300
30-May-16,1.31,1.32,1.29,1.31,249300
27-May-16,1.31,1.31,1.31,1.31,38500
26-May-16,1.31,1.32,1.30,1.32,310900
25-May-16,1.30,1.32,1.30,1.31,169500
24-May-16,1.31,1.31,1.30,1.31,34300
23-May-16,-,-,-,1.31,0
20-May-16,1.31,1.31,1.31,1.31,16000
19-May-16,1.31,1.32,1.31,1.32,37000
18-May-16,1.32,1.32,1.30,1.32,84300
17-May-16,1.31,1.31,1.31,1.31,11700
16-May-16,1.31,1.32,1.29,1.32,31300
13-May-16,1.31,1.31,1.31,1.31,22800
12-May-16,1.31,1.31,1.31,1.31,15000
11-May-16,1.32,1.32,1.30,1.32,226200
10-May-16,1.31,1.32,1.30,1.32,210000
9-May-16,1.31,1.32,1.30,1.32,5600
6-May-16,1.31,1.31,1.31,1.31,13200
5-May-16,-,-,-,1.31,0
4-May-16,1.31,1.31,1.31,1.31,5200
3-May-16,1.31,1.32,1.31,1.31,57000
29-Apr-16,1.33,1.33,1.32,1.32,13100
28-Apr-16,1.32,1.33,1.32,1.33,11100
27-Apr-16,-,-,-,1.33,0
26-Apr-16,1.33,1.33,1.32,1.33,234400
25-Apr-16,1.32,1.33,1.32,1.33,48600
22-Apr-16,1.32,1.33,1.32,1.32,33400
21-Apr-16,1.33,1.33,1.32,1.33,37000
20-Apr-16,1.33,1.33,1.33,1.33,35000
19-Apr-16,1.33,1.33,1.32,1.32,52500
18-Apr-16,1.32,1.33,1.32,1.33,40000
15-Apr-16,1.32,1.33,1.32,1.33,103500
14-Apr-16,1.33,1.33,1.33,1.33,68700
13-Apr-16,1.33,1.34,1.33,1.34,25000
12-Apr-16,1.34,1.34,1.33,1.33,115000
11-Apr-16,1.34,1.34,1.33,1.33,67900
8-Apr-16,1.34,1.34,1.34,1.34,54400
7-Apr-16,1.34,1.34,1.33,1.33,28000
6-Apr-16,1.34,1.34,1.33,1.34,173400
5-Apr-16,1.34,1.34,1.33,1.34,244500
4-Apr-16,1.34,1.34,1.33,1.33,111000
1-Apr-16,1.35,1.35,1.35,1.35,12000
31-Mar-16,1.35,1.35,1.34,1.35,67800
30-Mar-16,1.35,1.35,1.32,1.35,154600
29-Mar-16,1.35,1.35,1.35,1.35,82800
28-Mar-16,1.35,1.36,1.35,1.36,33500
25-Mar-16,1.35,1.36,1.35,1.36,18000
24-Mar-16,1.35,1.36,1.35,1.36,57000
23-Mar-16,1.35,1.35,1.35,1.35,47500
22-Mar-16,1.36,1.36,1.35,1.36,69900
21-Mar-16,1.36,1.36,1.35,1.36,297100
18-Mar-16,1.35,1.36,1.35,1.36,213000
17-Mar-16,-,-,-,1.36,0
16-Mar-16,1.36,1.36,1.35,1.36,40200
