Date,Open,High,Low,Close,Volume
7-Oct-16,0.42,0.42,0.41,0.42,89400
6-Oct-16,0.42,0.42,0.42,0.42,89000
5-Oct-16,0.42,0.42,0.42,0.42,28100
4-Oct-16,0.42,0.42,0.42,0.42,5000
30-Sep-16,0.42,0.42,0.42,0.42,6000
29-Sep-16,0.42,0.42,0.42,0.42,37000
28-Sep-16,0.42,0.42,0.42,0.42,51000
27-Sep-16,0.42,0.42,0.42,0.42,10000
26-Sep-16,0.42,0.42,0.42,0.42,2100
23-Sep-16,0.42,0.42,0.42,0.42,102900
22-Sep-16,0.42,0.42,0.42,0.42,74000
21-Sep-16,0.42,0.42,0.42,0.42,217100
20-Sep-16,-,-,-,0.42,0
19-Sep-16,0.42,0.42,0.42,0.42,3400
15-Sep-16,0.42,0.42,0.42,0.42,68600
14-Sep-16,0.43,0.43,0.42,0.42,85600
13-Sep-16,0.42,0.43,0.42,0.42,93800
9-Sep-16,0.43,0.43,0.43,0.43,100000
8-Sep-16,0.43,0.43,0.43,0.43,93700
7-Sep-16,0.43,0.43,0.43,0.43,10000
6-Sep-16,0.43,0.43,0.42,0.42,45000
5-Sep-16,0.42,0.42,0.42,0.42,202000
2-Sep-16,0.42,0.43,0.42,0.43,10000
1-Sep-16,0.42,0.43,0.42,0.42,32600
30-Aug-16,0.43,0.43,0.42,0.42,37700
29-Aug-16,0.42,0.42,0.42,0.42,10000
26-Aug-16,0.42,0.43,0.42,0.43,8800
25-Aug-16,0.44,0.44,0.43,0.43,48200
24-Aug-16,0.44,0.44,0.44,0.44,30000
23-Aug-16,0.46,0.46,0.46,0.46,95600
22-Aug-16,0.47,0.47,0.46,0.46,95000
19-Aug-16,0.46,0.47,0.46,0.46,254500
18-Aug-16,0.46,0.46,0.46,0.46,13200
17-Aug-16,0.46,0.46,0.46,0.46,18700
16-Aug-16,0.46,0.46,0.46,0.46,143800
15-Aug-16,0.45,0.46,0.45,0.46,21000
12-Aug-16,0.46,0.46,0.45,0.45,20700
11-Aug-16,0.46,0.46,0.46,0.46,33400
10-Aug-16,0.45,0.46,0.45,0.46,90500
9-Aug-16,0.46,0.46,0.46,0.46,31000
8-Aug-16,0.44,0.46,0.44,0.45,629700
5-Aug-16,0.45,0.45,0.44,0.44,3000
4-Aug-16,0.44,0.44,0.44,0.44,7000
3-Aug-16,0.45,0.45,0.44,0.44,30000
2-Aug-16,0.45,0.46,0.44,0.44,44000
1-Aug-16,0.45,0.46,0.45,0.46,40300
29-Jul-16,0.45,0.45,0.44,0.45,53700
28-Jul-16,-,-,-,0.44,0
27-Jul-16,0.44,0.44,0.44,0.44,54800
26-Jul-16,0.44,0.44,0.44,0.44,56200
25-Jul-16,0.44,0.46,0.44,0.45,47000
22-Jul-16,0.44,0.44,0.44,0.44,25000
21-Jul-16,0.44,0.46,0.44,0.46,336900
20-Jul-16,0.44,0.45,0.44,0.44,102000
19-Jul-16,0.44,0.44,0.44,0.44,1000
18-Jul-16,0.44,0.44,0.44,0.44,30800
15-Jul-16,0.44,0.44,0.44,0.44,10000
14-Jul-16,-,-,-,0.43,0
13-Jul-16,0.43,0.43,0.43,0.43,57200
12-Jul-16,0.44,0.44,0.43,0.43,30100
11-Jul-16,0.44,0.44,0.44,0.44,20000
8-Jul-16,0.43,0.43,0.43,0.43,10000
5-Jul-16,0.43,0.43,0.42,0.43,80600
4-Jul-16,0.43,0.43,0.43,0.43,20000
1-Jul-16,0.43,0.43,0.43,0.43,10000
30-Jun-16,0.44,0.44,0.43,0.44,78500
29-Jun-16,0.44,0.44,0.44,0.44,145000
28-Jun-16,0.43,0.43,0.42,0.42,71900
27-Jun-16,0.43,0.43,0.43,0.43,3500
24-Jun-16,0.44,0.44,0.43,0.43,105400
23-Jun-16,0.44,0.46,0.44,0.44,258900
21-Jun-16,0.44,0.44,0.44,0.44,60000
20-Jun-16,0.44,0.44,0.44,0.44,22000
17-Jun-16,0.44,0.44,0.44,0.44,34000
16-Jun-16,0.43,0.43,0.42,0.43,288200
15-Jun-16,0.44,0.44,0.44,0.44,5000
14-Jun-16,0.44,0.44,0.44,0.44,28000
13-Jun-16,0.44,0.44,0.43,0.43,33000
10-Jun-16,0.44,0.44,0.43,0.44,20000
9-Jun-16,0.44,0.44,0.44,0.44,32700
8-Jun-16,0.44,0.44,0.44,0.44,6000
7-Jun-16,0.43,0.44,0.43,0.44,41200
6-Jun-16,0.44,0.44,0.44,0.44,7100
3-Jun-16,0.43,0.45,0.43,0.45,10000
2-Jun-16,0.44,0.44,0.44,0.44,50300
1-Jun-16,0.43,0.43,0.43,0.43,22000
31-May-16,0.44,0.45,0.43,0.43,70300
30-May-16,0.43,0.43,0.42,0.42,12000
27-May-16,0.42,0.44,0.42,0.44,129000
