Date,Open,High,Low,Close,Volume
7-Oct-16,0.33,0.33,0.33,0.33,33300
6-Oct-16,-,-,-,0.34,0
5-Oct-16,0.35,0.35,0.34,0.34,40000
4-Oct-16,0.35,0.36,0.35,0.36,68400
30-Sep-16,-,-,-,0.35,0
29-Sep-16,-,-,-,0.35,0
28-Sep-16,-,-,-,0.35,0
27-Sep-16,-,-,-,0.35,0
26-Sep-16,0.34,0.35,0.34,0.35,37500
23-Sep-16,0.32,0.34,0.31,0.34,21000
22-Sep-16,-,-,-,0.34,0
21-Sep-16,0.32,0.34,0.32,0.34,5000
20-Sep-16,-,-,-,0.32,0
19-Sep-16,0.32,0.32,0.32,0.32,3000
15-Sep-16,0.32,0.32,0.32,0.32,11000
14-Sep-16,-,-,-,0.32,0
13-Sep-16,0.32,0.32,0.32,0.32,19700
9-Sep-16,-,-,-,0.32,0
8-Sep-16,-,-,-,0.32,0
7-Sep-16,0.32,0.32,0.32,0.32,10000
6-Sep-16,0.33,0.33,0.33,0.33,5000
5-Sep-16,-,-,-,0.36,0
2-Sep-16,0.34,0.36,0.34,0.36,55500
1-Sep-16,0.35,0.36,0.34,0.36,78100
30-Aug-16,0.33,0.36,0.33,0.36,78800
29-Aug-16,0.34,0.36,0.33,0.34,79800
26-Aug-16,0.32,0.32,0.32,0.32,49800
25-Aug-16,0.32,0.32,0.32,0.32,20000
24-Aug-16,0.32,0.32,0.32,0.32,40000
23-Aug-16,0.32,0.32,0.32,0.32,6500
22-Aug-16,0.32,0.32,0.32,0.32,32600
19-Aug-16,0.32,0.33,0.31,0.33,16900
18-Aug-16,0.32,0.32,0.32,0.32,20000
17-Aug-16,0.32,0.33,0.32,0.33,3500
16-Aug-16,0.32,0.33,0.32,0.33,44700
15-Aug-16,0.34,0.34,0.32,0.34,62100
12-Aug-16,0.32,0.34,0.31,0.34,100200
11-Aug-16,0.31,0.32,0.31,0.32,12200
10-Aug-16,0.32,0.32,0.30,0.31,79200
9-Aug-16,0.34,0.34,0.30,0.32,160800
8-Aug-16,0.30,0.34,0.30,0.34,22100
5-Aug-16,0.32,0.32,0.31,0.31,89900
