Date,Open,High,Low,Close,Volume
7-Oct-16,1.38,1.38,1.38,1.38,26000
6-Oct-16,1.39,1.39,1.39,1.39,5400
5-Oct-16,1.38,1.38,1.38,1.38,5000
4-Oct-16,1.37,1.37,1.37,1.37,1000
30-Sep-16,1.38,1.38,1.37,1.38,166300
29-Sep-16,1.37,1.37,1.37,1.37,6500
28-Sep-16,1.38,1.38,1.36,1.37,93300
27-Sep-16,1.36,1.37,1.36,1.37,197800
26-Sep-16,1.38,1.38,1.37,1.37,148500
23-Sep-16,1.36,1.38,1.36,1.38,100900
22-Sep-16,1.35,1.36,1.35,1.36,97300
21-Sep-16,1.34,1.35,1.34,1.34,150700
20-Sep-16,1.34,1.34,1.32,1.34,554800
19-Sep-16,1.36,1.36,1.34,1.35,317400
15-Sep-16,1.36,1.36,1.36,1.36,125100
14-Sep-16,1.36,1.36,1.35,1.35,234100
13-Sep-16,1.36,1.37,1.36,1.36,86500
9-Sep-16,1.40,1.40,1.38,1.38,108500
8-Sep-16,1.40,1.40,1.39,1.40,329300
7-Sep-16,1.42,1.42,1.39,1.40,523500
6-Sep-16,1.43,1.45,1.43,1.43,81600
5-Sep-16,1.44,1.44,1.43,1.43,204900
2-Sep-16,1.43,1.44,1.43,1.44,76100
1-Sep-16,1.45,1.45,1.42,1.43,229100
30-Aug-16,1.45,1.46,1.45,1.46,120200
29-Aug-16,1.47,1.47,1.45,1.45,263800
26-Aug-16,1.45,1.47,1.44,1.47,341300
25-Aug-16,1.46,1.47,1.46,1.47,342600
24-Aug-16,1.44,1.46,1.44,1.46,423500
23-Aug-16,1.43,1.45,1.43,1.43,249800
22-Aug-16,1.42,1.44,1.42,1.42,419100
19-Aug-16,1.43,1.43,1.41,1.42,297900
18-Aug-16,1.43,1.44,1.40,1.42,890500
17-Aug-16,1.36,1.43,1.36,1.42,1201600
16-Aug-16,1.36,1.36,1.36,1.36,237100
15-Aug-16,1.37,1.37,1.36,1.36,122000
12-Aug-16,1.36,1.37,1.36,1.36,149300
11-Aug-16,1.35,1.36,1.35,1.35,123500
10-Aug-16,1.35,1.36,1.35,1.35,225500
9-Aug-16,1.37,1.37,1.32,1.35,427000
8-Aug-16,1.37,1.37,1.35,1.36,139100
5-Aug-16,1.37,1.37,1.36,1.37,37000
4-Aug-16,1.35,1.37,1.35,1.36,18900
3-Aug-16,1.35,1.35,1.35,1.35,20000
2-Aug-16,1.35,1.35,1.34,1.35,153400
1-Aug-16,1.36,1.36,1.35,1.35,179300
29-Jul-16,1.37,1.37,1.35,1.36,344400
28-Jul-16,1.38,1.38,1.35,1.37,146500
27-Jul-16,1.36,1.36,1.36,1.36,82100
26-Jul-16,1.37,1.38,1.36,1.37,60500
25-Jul-16,1.38,1.38,1.37,1.37,28500
22-Jul-16,1.38,1.38,1.38,1.38,33000
21-Jul-16,1.38,1.39,1.38,1.38,22500
20-Jul-16,1.36,1.39,1.36,1.38,255600
19-Jul-16,1.38,1.39,1.36,1.36,197800
18-Jul-16,1.38,1.41,1.38,1.40,26500
15-Jul-16,1.35,1.43,1.35,1.43,618000
14-Jul-16,1.43,1.43,1.36,1.36,417100
13-Jul-16,1.30,1.44,1.30,1.41,694600
12-Jul-16,1.33,1.33,1.29,1.30,364300
11-Jul-16,1.33,1.33,1.30,1.32,251000
8-Jul-16,1.34,1.34,1.32,1.32,101000
5-Jul-16,1.35,1.35,1.35,1.35,21500
4-Jul-16,1.34,1.34,1.34,1.34,14000
1-Jul-16,1.32,1.33,1.32,1.32,100000
30-Jun-16,1.33,1.33,1.32,1.32,140100
29-Jun-16,1.32,1.33,1.30,1.33,257100
28-Jun-16,1.32,1.34,1.31,1.32,185500
27-Jun-16,1.31,1.32,1.30,1.32,32000
24-Jun-16,1.33,1.34,1.30,1.30,325500
23-Jun-16,1.33,1.35,1.33,1.33,572600
21-Jun-16,1.34,1.34,1.33,1.33,140000
20-Jun-16,1.32,1.35,1.32,1.33,464400
17-Jun-16,1.33,1.34,1.32,1.32,305000
16-Jun-16,1.34,1.35,1.32,1.32,925800
15-Jun-16,1.38,1.39,1.34,1.35,771300
14-Jun-16,1.40,1.40,1.37,1.37,307600
13-Jun-16,1.41,1.41,1.40,1.41,118800
10-Jun-16,1.43,1.44,1.40,1.42,305000
9-Jun-16,1.43,1.44,1.43,1.44,27000
8-Jun-16,1.44,1.44,1.42,1.42,29100
7-Jun-16,1.44,1.45,1.42,1.45,30500
6-Jun-16,1.42,1.43,1.42,1.42,47400
3-Jun-16,1.45,1.45,1.43,1.43,57000
2-Jun-16,1.45,1.45,1.43,1.43,77700
1-Jun-16,1.44,1.45,1.43,1.45,22000
31-May-16,1.44,1.45,1.44,1.44,76600
30-May-16,1.48,1.49,1.46,1.46,52200
27-May-16,1.50,1.53,1.50,1.52,192300
26-May-16,1.49,1.50,1.49,1.50,126100
25-May-16,1.50,1.50,1.48,1.48,261900
24-May-16,1.50,1.50,1.49,1.49,340900
23-May-16,1.50,1.50,1.49,1.50,355000
20-May-16,1.50,1.50,1.49,1.49,405000
19-May-16,1.50,1.50,1.49,1.50,138400
18-May-16,1.50,1.50,1.50,1.50,168900
17-May-16,1.49,1.51,1.49,1.49,649300
16-May-16,1.51,1.51,1.50,1.50,369000
13-May-16,1.55,1.55,1.50,1.51,754500
12-May-16,1.55,1.56,1.54,1.55,296300
11-May-16,1.57,1.57,1.55,1.56,361200
10-May-16,1.58,1.59,1.58,1.58,157300
9-May-16,1.59,1.60,1.58,1.58,163600
6-May-16,1.57,1.58,1.57,1.58,79000
5-May-16,1.57,1.57,1.57,1.57,74100
4-May-16,1.56,1.57,1.56,1.57,100100
3-May-16,1.58,1.58,1.57,1.57,33300
29-Apr-16,1.56,1.59,1.56,1.58,87000
28-Apr-16,1.54,1.56,1.53,1.55,24000
27-Apr-16,1.54,1.56,1.53,1.56,30400
26-Apr-16,1.54,1.55,1.54,1.54,20100
25-Apr-16,1.55,1.55,1.53,1.55,115400
22-Apr-16,1.55,1.55,1.55,1.55,89500
21-Apr-16,1.55,1.56,1.54,1.55,86100
20-Apr-16,1.54,1.55,1.53,1.53,215100
19-Apr-16,1.54,1.55,1.53,1.54,209500
18-Apr-16,1.55,1.55,1.54,1.54,183600
15-Apr-16,1.55,1.56,1.55,1.56,142000
