Date,Open,High,Low,Close,Volume
7-Oct-16,0.77,0.77,0.76,0.77,532800
6-Oct-16,0.77,0.78,0.76,0.76,1096000
5-Oct-16,0.78,0.78,0.76,0.77,1304800
4-Oct-16,0.78,0.78,0.78,0.78,2673300
30-Sep-16,0.78,0.78,0.78,0.78,1181600
29-Sep-16,0.78,0.78,0.78,0.78,1553000
28-Sep-16,0.78,0.78,0.78,0.78,2372800
27-Sep-16,0.78,0.81,0.78,0.78,5116900
26-Sep-16,0.79,0.79,0.78,0.78,1209100
23-Sep-16,0.78,0.80,0.78,0.79,1745500
22-Sep-16,0.78,0.79,0.78,0.78,2768600
21-Sep-16,0.80,0.81,0.78,0.78,5750300
20-Sep-16,0.80,0.80,0.78,0.78,2067900
19-Sep-16,0.80,0.81,0.78,0.80,1391300
15-Sep-16,0.81,0.82,0.80,0.80,3394500
14-Sep-16,0.82,0.88,0.79,0.81,23252400
13-Sep-16,0.78,0.78,0.78,0.78,956900
9-Sep-16,0.78,0.79,0.78,0.79,541300
8-Sep-16,0.78,0.79,0.77,0.79,642100
7-Sep-16,0.77,0.78,0.76,0.78,1305100
6-Sep-16,0.73,0.76,0.73,0.76,1088900
5-Sep-16,0.72,0.74,0.72,0.73,1177100
2-Sep-16,0.73,0.73,0.72,0.72,1653300
1-Sep-16,0.72,0.73,0.72,0.73,1588800
30-Aug-16,0.72,0.72,0.72,0.72,2053200
29-Aug-16,0.74,0.74,0.72,0.74,2494600
26-Aug-16,0.76,0.76,0.73,0.74,2107900
25-Aug-16,0.76,0.76,0.74,0.76,1183000
24-Aug-16,0.78,0.78,0.77,0.78,698700
23-Aug-16,0.78,0.78,0.77,0.78,656500
22-Aug-16,0.79,0.79,0.78,0.78,948700
19-Aug-16,0.79,0.80,0.78,0.80,695400
18-Aug-16,0.78,0.79,0.78,0.78,613500
17-Aug-16,0.80,0.80,0.79,0.79,643300
16-Aug-16,0.81,0.81,0.78,0.80,1196200
15-Aug-16,0.82,0.84,0.81,0.84,809200
12-Aug-16,0.82,0.82,0.80,0.82,1229900
11-Aug-16,0.82,0.82,0.81,0.82,1034400
10-Aug-16,0.82,0.82,0.82,0.82,739300
9-Aug-16,0.83,0.83,0.82,0.82,436500
8-Aug-16,0.84,0.84,0.82,0.83,679400
5-Aug-16,0.81,0.83,0.81,0.83,998900
4-Aug-16,0.80,0.80,0.78,0.80,534700
3-Aug-16,0.80,0.80,0.79,0.80,379700
2-Aug-16,0.80,0.80,0.78,0.80,557400
1-Aug-16,0.78,0.79,0.78,0.79,349700
29-Jul-16,0.79,0.80,0.78,0.78,1358600
28-Jul-16,0.80,0.80,0.79,0.80,822600
