Date,Open,High,Low,Close,Volume
7-Oct-16,0.50,0.50,0.47,0.50,110000
6-Oct-16,0.50,0.50,0.50,0.50,142500
5-Oct-16,0.50,0.50,0.50,0.50,4000
4-Oct-16,0.51,0.51,0.50,0.51,86100
30-Sep-16,0.53,0.53,0.52,0.52,53000
29-Sep-16,0.52,0.52,0.52,0.52,40000
28-Sep-16,0.52,0.52,0.52,0.52,329000
27-Sep-16,0.52,0.53,0.52,0.52,353300
26-Sep-16,0.53,0.53,0.52,0.52,758600
23-Sep-16,0.53,0.55,0.52,0.53,502300
22-Sep-16,0.54,0.54,0.53,0.53,539300
21-Sep-16,0.54,0.54,0.53,0.53,471600
20-Sep-16,0.54,0.54,0.54,0.54,45000
19-Sep-16,0.54,0.54,0.54,0.54,10000
15-Sep-16,0.54,0.54,0.54,0.54,138000
14-Sep-16,0.55,0.55,0.53,0.55,247500
13-Sep-16,0.54,0.55,0.54,0.55,288400
9-Sep-16,0.56,0.56,0.55,0.55,164500
8-Sep-16,0.56,0.56,0.55,0.56,263000
7-Sep-16,0.55,0.57,0.54,0.54,505500
6-Sep-16,0.52,0.54,0.52,0.54,418500
5-Sep-16,0.52,0.53,0.52,0.52,262100
2-Sep-16,0.52,0.52,0.52,0.52,171000
1-Sep-16,0.52,0.52,0.52,0.52,292700
30-Aug-16,0.51,0.53,0.51,0.53,406800
29-Aug-16,0.52,0.52,0.51,0.52,314900
26-Aug-16,0.55,0.56,0.52,0.52,475600
25-Aug-16,0.54,0.54,0.52,0.54,233600
24-Aug-16,0.52,0.55,0.51,0.55,995500
23-Aug-16,0.56,0.58,0.53,0.54,2636400
22-Aug-16,0.51,0.58,0.50,0.56,2702600
19-Aug-16,0.50,0.52,0.50,0.51,412000
18-Aug-16,0.51,0.52,0.49,0.50,1079500
17-Aug-16,0.47,0.52,0.47,0.51,2259300
16-Aug-16,0.45,0.46,0.45,0.46,571800
15-Aug-16,0.44,0.45,0.44,0.45,333000
12-Aug-16,0.42,0.43,0.42,0.43,119500
11-Aug-16,0.43,0.43,0.43,0.43,166000
10-Aug-16,0.44,0.44,0.44,0.44,376000
9-Aug-16,0.43,0.44,0.42,0.44,48900
8-Aug-16,0.43,0.44,0.42,0.42,263000
5-Aug-16,0.42,0.43,0.42,0.43,111000
4-Aug-16,0.43,0.43,0.43,0.43,100000
3-Aug-16,0.43,0.43,0.40,0.43,63000
2-Aug-16,0.41,0.41,0.41,0.41,5000
1-Aug-16,0.43,0.43,0.43,0.43,2000
29-Jul-16,0.43,0.43,0.42,0.42,25000
28-Jul-16,0.42,0.42,0.42,0.42,9500
27-Jul-16,0.43,0.44,0.41,0.44,12100
26-Jul-16,0.42,0.43,0.42,0.43,5600
25-Jul-16,0.43,0.44,0.42,0.42,101000
22-Jul-16,0.44,0.44,0.43,0.43,82000
21-Jul-16,0.43,0.44,0.43,0.43,129500
20-Jul-16,0.44,0.45,0.44,0.44,243100
19-Jul-16,-,-,-,0.43,0
18-Jul-16,0.44,0.45,0.42,0.43,153400
15-Jul-16,0.40,0.44,0.40,0.44,343400
14-Jul-16,0.40,0.40,0.40,0.40,30000
