Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,0.40,0
6-Oct-16,-,-,-,0.40,0
5-Oct-16,-,-,-,0.40,0
4-Oct-16,-,-,-,0.40,0
30-Sep-16,-,-,-,0.40,0
29-Sep-16,0.36,0.40,0.36,0.40,35000
28-Sep-16,-,-,-,0.35,0
27-Sep-16,0.36,0.36,0.35,0.35,3000
26-Sep-16,-,-,-,0.43,0
23-Sep-16,-,-,-,0.43,0
22-Sep-16,0.40,0.43,0.39,0.43,4700
21-Sep-16,-,-,-,0.41,0
20-Sep-16,-,-,-,0.41,0
19-Sep-16,-,-,-,0.41,0
15-Sep-16,-,-,-,0.41,0
14-Sep-16,-,-,-,0.41,0
13-Sep-16,-,-,-,0.41,0
9-Sep-16,-,-,-,0.41,0
8-Sep-16,-,-,-,0.41,0
7-Sep-16,-,-,-,0.41,0
6-Sep-16,0.38,0.41,0.38,0.41,44000
5-Sep-16,0.41,0.41,0.38,0.39,13200
2-Sep-16,-,-,-,0.42,0
1-Sep-16,0.42,0.42,0.42,0.42,20000
30-Aug-16,0.42,0.42,0.42,0.42,49000
29-Aug-16,-,-,-,0.43,0
26-Aug-16,-,-,-,0.43,0
25-Aug-16,0.42,0.43,0.42,0.43,93000
24-Aug-16,0.41,0.44,0.40,0.42,60700
23-Aug-16,-,-,-,0.44,0
22-Aug-16,0.44,0.44,0.44,0.44,6000
19-Aug-16,0.43,0.44,0.43,0.44,28000
18-Aug-16,0.42,0.44,0.42,0.44,12000
17-Aug-16,0.42,0.42,0.42,0.42,25400
16-Aug-16,0.44,0.44,0.42,0.44,50200
15-Aug-16,0.44,0.44,0.44,0.44,10000
12-Aug-16,0.44,0.44,0.44,0.44,10000
11-Aug-16,0.44,0.44,0.43,0.43,20000
10-Aug-16,-,-,-,0.44,0
9-Aug-16,-,-,-,0.44,0
8-Aug-16,0.44,0.44,0.44,0.44,5000
5-Aug-16,0.45,0.48,0.44,0.44,35200
4-Aug-16,0.45,0.45,0.45,0.45,35000
3-Aug-16,0.50,0.50,0.50,0.50,5000
2-Aug-16,0.43,0.53,0.43,0.53,142900
1-Aug-16,-,-,-,0.43,0
