Date,Open,High,Low,Close,Volume
7-Oct-16,6.70,6.71,6.68,6.70,6054600
6-Oct-16,6.63,6.69,6.63,6.68,3978800
5-Oct-16,6.63,6.73,6.60,6.64,4471400
4-Oct-16,6.70,6.75,6.54,6.70,10381700
30-Sep-16,6.62,6.73,6.62,6.65,5929200
29-Sep-16,6.67,6.70,6.61,6.69,2757000
28-Sep-16,6.64,6.71,6.53,6.60,8345200
27-Sep-16,6.68,6.70,6.66,6.70,2770200
26-Sep-16,6.70,6.70,6.59,6.70,647900
23-Sep-16,6.74,6.77,6.66,6.70,2492500
22-Sep-16,6.68,6.79,6.68,6.74,3076200
21-Sep-16,6.56,6.69,6.56,6.66,2745500
20-Sep-16,6.53,6.66,6.52,6.60,2651100
19-Sep-16,6.51,6.59,6.48,6.50,4265600
15-Sep-16,6.70,6.70,6.51,6.59,8061900
14-Sep-16,6.61,6.65,6.55,6.63,2636900
13-Sep-16,6.63,6.65,6.59,6.65,2876800
9-Sep-16,6.72,6.72,6.67,6.68,1463600
8-Sep-16,6.64,6.70,6.64,6.69,1546800
7-Sep-16,6.57,6.70,6.57,6.70,1876800
6-Sep-16,6.57,6.72,6.57,6.71,3010500
5-Sep-16,6.60,6.71,6.60,6.68,486400
2-Sep-16,6.69,6.70,6.67,6.67,877200
1-Sep-16,6.69,6.72,6.62,6.69,3347500
30-Aug-16,6.70,6.71,6.69,6.69,5011200
29-Aug-16,6.56,6.68,6.56,6.68,1473300
26-Aug-16,6.61,6.72,6.61,6.70,3418600
25-Aug-16,6.59,6.70,6.59,6.70,5548200
24-Aug-16,6.66,6.70,6.66,6.68,2497100
23-Aug-16,6.62,6.69,6.62,6.66,5628900
22-Aug-16,6.56,6.68,6.56,6.68,3394700
19-Aug-16,6.63,6.67,6.58,6.64,3088200
18-Aug-16,6.70,6.70,6.63,6.66,3406600
17-Aug-16,6.65,6.70,6.64,6.66,4482100
16-Aug-16,6.60,6.70,6.60,6.70,5009400
15-Aug-16,6.65,6.70,6.65,6.67,2294500
12-Aug-16,6.59,6.70,6.59,6.68,3257200
11-Aug-16,6.59,6.65,6.59,6.64,2453400
10-Aug-16,6.60,6.64,6.58,6.64,4749400
9-Aug-16,6.63,6.63,6.57,6.60,3857700
8-Aug-16,6.60,6.60,6.57,6.60,2210500
5-Aug-16,6.51,6.62,6.51,6.60,4745800
4-Aug-16,6.54,6.61,6.53,6.56,2923900
3-Aug-16,6.64,6.64,6.54,6.54,4495600
2-Aug-16,6.58,6.61,6.56,6.59,4448900
1-Aug-16,6.62,6.65,6.57,6.64,4280100
29-Jul-16,6.60,6.60,6.55,6.55,2964200
28-Jul-16,6.52,6.65,6.52,6.60,2202000
27-Jul-16,6.58,6.63,6.54,6.60,3717800
26-Jul-16,6.67,6.67,6.57,6.59,2331800
25-Jul-16,6.63,6.69,6.55,6.64,1448100
22-Jul-16,6.60,6.61,6.52,6.61,2212600
21-Jul-16,6.57,6.63,6.54,6.60,3585700
20-Jul-16,6.54,6.63,6.49,6.63,4115600
19-Jul-16,6.54,6.59,6.50,6.50,5209800
18-Jul-16,6.65,6.70,6.43,6.52,8036400
