Date,Open,High,Low,Close,Volume
7-Oct-16,0.08,0.08,0.07,0.08,1759400
6-Oct-16,0.08,0.08,0.07,0.08,3404000
5-Oct-16,0.08,0.08,0.08,0.08,4738700
4-Oct-16,0.08,0.08,0.08,0.08,1403400
30-Sep-16,0.08,0.08,0.08,0.08,857200
29-Sep-16,0.08,0.08,0.08,0.08,8953600
28-Sep-16,0.08,0.08,0.08,0.08,2680600
27-Sep-16,0.08,0.08,0.08,0.08,2766700
26-Sep-16,0.08,0.08,0.08,0.08,4721500
23-Sep-16,0.08,0.08,0.08,0.08,3142400
22-Sep-16,0.09,0.10,0.08,0.08,15901300
21-Sep-16,0.07,0.09,0.07,0.09,22697300
20-Sep-16,0.07,0.07,0.07,0.07,1006800
19-Sep-16,0.07,0.08,0.07,0.07,112000
15-Sep-16,0.07,0.07,0.07,0.07,629600
14-Sep-16,0.07,0.07,0.07,0.07,3335500
13-Sep-16,0.08,0.08,0.07,0.07,2697800
9-Sep-16,0.08,0.08,0.08,0.08,1874700
8-Sep-16,0.08,0.08,0.08,0.08,1226900
7-Sep-16,0.08,0.08,0.08,0.08,2716500
6-Sep-16,0.08,0.08,0.08,0.08,1323000
5-Sep-16,0.08,0.08,0.08,0.08,8627900
2-Sep-16,0.08,0.08,0.08,0.08,5410000
1-Sep-16,0.08,0.08,0.08,0.08,903600
30-Aug-16,0.08,0.08,0.08,0.08,6908500
29-Aug-16,0.08,0.09,0.08,0.08,11407600
26-Aug-16,0.08,0.08,0.08,0.08,5234500
25-Aug-16,0.08,0.09,0.08,0.08,2321000
24-Aug-16,0.08,0.09,0.08,0.08,9718400
23-Aug-16,0.09,0.09,0.08,0.09,4056200
22-Aug-16,0.09,0.10,0.08,0.09,9403100
19-Aug-16,0.10,0.10,0.09,0.09,6967100
18-Aug-16,0.09,0.10,0.09,0.10,45603800
17-Aug-16,0.09,0.10,0.09,0.10,3305700
16-Aug-16,0.09,0.10,0.08,0.09,9831400
15-Aug-16,0.09,0.10,0.09,0.09,18312800
12-Aug-16,0.10,0.10,0.10,0.10,24340500
11-Aug-16,0.10,0.10,0.10,0.10,42261000
10-Aug-16,0.09,0.11,0.09,0.10,52456900
9-Aug-16,0.08,0.10,0.08,0.09,44390600
8-Aug-16,0.10,0.10,0.08,0.08,32385400
5-Aug-16,0.10,0.10,0.10,0.10,11448600
4-Aug-16,0.10,0.10,0.10,0.10,9525100
3-Aug-16,0.11,0.11,0.10,0.10,66976500
2-Aug-16,0.11,0.12,0.10,0.11,65940800
1-Aug-16,0.10,0.12,0.10,0.11,44484200
29-Jul-16,0.12,0.12,0.10,0.10,46415800
28-Jul-16,0.11,0.14,0.11,0.12,269588100
27-Jul-16,0.08,0.10,0.07,0.10,64492200
26-Jul-16,0.08,0.08,0.07,0.07,2284500
25-Jul-16,0.08,0.08,0.08,0.08,3742900
22-Jul-16,0.08,0.08,0.07,0.08,8287700
21-Jul-16,0.08,0.09,0.08,0.08,37206000
20-Jul-16,0.06,0.08,0.06,0.08,24245500
19-Jul-16,0.06,0.06,0.06,0.06,150000
18-Jul-16,0.06,0.06,0.06,0.06,836000
15-Jul-16,0.06,0.07,0.06,0.06,3823300
14-Jul-16,0.06,0.06,0.06,0.06,280000
13-Jul-16,0.06,0.06,0.06,0.06,405000
12-Jul-16,0.06,0.06,0.06,0.06,130000
11-Jul-16,0.06,0.06,0.06,0.06,783000
8-Jul-16,0.06,0.06,0.06,0.06,25000
5-Jul-16,-,-,-,0.06,0
4-Jul-16,0.06,0.06,0.06,0.06,110000
1-Jul-16,0.06,0.06,0.06,0.06,328000
30-Jun-16,0.06,0.06,0.06,0.06,1027000
29-Jun-16,0.06,0.06,0.06,0.06,245000
28-Jun-16,0.06,0.06,0.06,0.06,655000
27-Jun-16,0.06,0.06,0.06,0.06,168000
24-Jun-16,0.06,0.06,0.06,0.06,2315100
23-Jun-16,0.06,0.06,0.06,0.06,2286000
21-Jun-16,0.06,0.06,0.06,0.06,100000
20-Jun-16,-,-,-,0.06,0
17-Jun-16,0.06,0.06,0.06,0.06,2130000
16-Jun-16,0.06,0.06,0.06,0.06,370000
15-Jun-16,0.06,0.06,0.06,0.06,125000
14-Jun-16,0.06,0.06,0.06,0.06,1700
13-Jun-16,0.06,0.06,0.06,0.06,325000
10-Jun-16,0.06,0.06,0.06,0.06,268100
9-Jun-16,0.07,0.07,0.06,0.07,767300
8-Jun-16,0.06,0.06,0.06,0.06,386000
7-Jun-16,0.06,0.06,0.06,0.06,406000
6-Jun-16,0.06,0.06,0.06,0.06,329300
3-Jun-16,0.06,0.06,0.06,0.06,700000
2-Jun-16,0.06,0.06,0.06,0.06,5000
1-Jun-16,0.06,0.06,0.06,0.06,2063500
31-May-16,0.06,0.06,0.06,0.06,152000
30-May-16,0.06,0.07,0.06,0.06,80000
27-May-16,0.06,0.06,0.06,0.06,690000
26-May-16,0.07,0.07,0.06,0.06,595000
25-May-16,0.07,0.07,0.07,0.07,1022700
24-May-16,0.07,0.07,0.07,0.07,105000
23-May-16,0.06,0.08,0.06,0.08,1548700
20-May-16,0.07,0.07,0.07,0.07,300
19-May-16,0.06,0.07,0.06,0.07,120500
18-May-16,0.06,0.07,0.06,0.06,460000
17-May-16,0.07,0.07,0.06,0.06,719100
16-May-16,0.06,0.07,0.06,0.07,140000
13-May-16,0.07,0.07,0.06,0.06,110000
12-May-16,0.07,0.07,0.07,0.07,2240000
11-May-16,0.06,0.06,0.06,0.06,501000
10-May-16,0.06,0.06,0.06,0.06,70000
9-May-16,0.06,0.06,0.06,0.06,132500
6-May-16,0.06,0.06,0.06,0.06,815000
5-May-16,0.06,0.06,0.06,0.06,343500
4-May-16,0.06,0.06,0.06,0.06,309800
3-May-16,0.07,0.07,0.06,0.07,1215100
29-Apr-16,0.07,0.07,0.07,0.07,314000
28-Apr-16,0.06,0.06,0.06,0.06,35000
27-Apr-16,0.06,0.07,0.06,0.07,255900
26-Apr-16,0.07,0.07,0.07,0.07,50000
25-Apr-16,0.06,0.06,0.06,0.06,189200
22-Apr-16,0.07,0.07,0.06,0.07,1685200
21-Apr-16,0.07,0.08,0.07,0.07,1071000
20-Apr-16,0.07,0.07,0.06,0.07,2938300
