Date,Open,High,Low,Close,Volume
7-Oct-16,0.81,0.82,0.80,0.81,376300
6-Oct-16,0.80,0.82,0.79,0.81,2104100
5-Oct-16,0.78,0.80,0.78,0.80,769600
4-Oct-16,0.77,0.78,0.77,0.78,147900
30-Sep-16,0.78,0.78,0.76,0.77,532700
29-Sep-16,0.78,0.78,0.76,0.78,469000
28-Sep-16,0.78,0.80,0.76,0.78,1518300
27-Sep-16,0.78,0.80,0.78,0.80,1635400
26-Sep-16,0.78,0.80,0.75,0.78,1990000
23-Sep-16,0.76,0.78,0.76,0.78,1539100
22-Sep-16,0.79,0.80,0.77,0.77,3055800
21-Sep-16,0.74,0.79,0.74,0.78,6743700
20-Sep-16,0.71,0.74,0.70,0.74,2378400
19-Sep-16,0.70,0.71,0.69,0.70,472500
15-Sep-16,0.69,0.70,0.69,0.70,85700
14-Sep-16,0.70,0.70,0.69,0.70,80000
13-Sep-16,0.69,0.70,0.69,0.70,154300
9-Sep-16,0.70,0.71,0.69,0.70,509500
8-Sep-16,0.70,0.70,0.70,0.70,370000
7-Sep-16,0.69,0.70,0.68,0.70,338400
6-Sep-16,0.68,0.69,0.68,0.68,302900
5-Sep-16,0.69,0.69,0.68,0.68,360300
2-Sep-16,0.71,0.71,0.69,0.69,25100
1-Sep-16,0.70,0.70,0.68,0.70,84000
30-Aug-16,0.70,0.71,0.68,0.71,70200
29-Aug-16,0.70,0.70,0.68,0.70,565000
26-Aug-16,0.71,0.72,0.71,0.72,418700
25-Aug-16,0.72,0.72,0.71,0.71,135200
24-Aug-16,0.71,0.72,0.71,0.71,312700
23-Aug-16,0.72,0.73,0.71,0.71,1340300
22-Aug-16,0.72,0.72,0.71,0.72,288900
19-Aug-16,0.72,0.72,0.71,0.72,63900
18-Aug-16,0.72,0.72,0.72,0.72,87700
17-Aug-16,0.71,0.73,0.71,0.72,489100
16-Aug-16,0.71,0.72,0.71,0.71,545700
15-Aug-16,0.71,0.71,0.70,0.71,169400
12-Aug-16,0.72,0.72,0.71,0.71,187700
11-Aug-16,0.72,0.72,0.70,0.72,147300
10-Aug-16,0.71,0.72,0.71,0.72,610500
9-Aug-16,0.70,0.71,0.70,0.71,603300
8-Aug-16,0.70,0.70,0.70,0.70,247100
5-Aug-16,0.70,0.70,0.70,0.70,232000
4-Aug-16,0.70,0.72,0.70,0.72,1148000
3-Aug-16,0.70,0.71,0.69,0.70,665400
2-Aug-16,0.68,0.69,0.68,0.68,488700
1-Aug-16,0.68,0.69,0.68,0.69,1161200
29-Jul-16,0.68,0.68,0.68,0.68,274000
28-Jul-16,0.68,0.70,0.68,0.68,1871100
27-Jul-16,0.66,0.68,0.66,0.67,504200
26-Jul-16,0.65,0.67,0.65,0.66,667500
25-Jul-16,0.65,0.65,0.65,0.65,15000
22-Jul-16,0.66,0.66,0.65,0.66,36100
21-Jul-16,0.66,0.66,0.65,0.66,176000
20-Jul-16,0.66,0.66,0.65,0.66,851200
19-Jul-16,0.64,0.64,0.64,0.64,152400
18-Jul-16,0.64,0.64,0.64,0.64,5000
15-Jul-16,0.65,0.65,0.64,0.64,81800
14-Jul-16,0.63,0.66,0.63,0.66,832800
13-Jul-16,0.63,0.63,0.62,0.62,59600
12-Jul-16,0.64,0.64,0.63,0.63,8900
11-Jul-16,0.65,0.65,0.65,0.65,5000
8-Jul-16,0.64,0.64,0.64,0.64,38100
5-Jul-16,-,-,-,0.64,0
4-Jul-16,0.64,0.64,0.64,0.64,22000
1-Jul-16,-,-,-,0.64,0
30-Jun-16,0.64,0.65,0.64,0.64,141800
29-Jun-16,0.62,0.64,0.61,0.64,192600
28-Jun-16,0.62,0.62,0.62,0.62,60000
27-Jun-16,0.62,0.62,0.62,0.62,184000
24-Jun-16,0.62,0.62,0.61,0.62,216300
23-Jun-16,0.62,0.62,0.62,0.62,185500
21-Jun-16,0.62,0.62,0.62,0.62,19000
20-Jun-16,0.62,0.62,0.62,0.62,26800
17-Jun-16,0.62,0.62,0.62,0.62,262300
16-Jun-16,0.62,0.62,0.61,0.62,128000
15-Jun-16,0.62,0.62,0.61,0.62,89000
14-Jun-16,0.62,0.62,0.62,0.62,52700
13-Jun-16,0.64,0.64,0.62,0.62,73600
10-Jun-16,0.63,0.63,0.62,0.62,35400
9-Jun-16,0.63,0.63,0.62,0.63,126500
8-Jun-16,0.62,0.62,0.62,0.62,1400
7-Jun-16,0.62,0.62,0.62,0.62,66200
6-Jun-16,0.63,0.63,0.63,0.63,3000
3-Jun-16,0.63,0.63,0.62,0.62,36800
2-Jun-16,0.62,0.63,0.62,0.62,26900
1-Jun-16,0.63,0.63,0.62,0.62,76700
31-May-16,0.63,0.63,0.63,0.63,42000
30-May-16,0.62,0.63,0.62,0.63,74400
27-May-16,0.62,0.63,0.62,0.63,16000
26-May-16,0.63,0.63,0.62,0.62,127100
25-May-16,0.62,0.62,0.62,0.62,105000
24-May-16,0.62,0.62,0.62,0.62,141500
23-May-16,0.62,0.62,0.62,0.62,42300
20-May-16,0.62,0.63,0.62,0.63,90900
19-May-16,0.62,0.62,0.62,0.62,129700
18-May-16,0.61,0.62,0.61,0.62,103000
17-May-16,0.61,0.62,0.61,0.62,75200
16-May-16,0.61,0.61,0.60,0.61,25500
13-May-16,0.61,0.62,0.61,0.61,349100
12-May-16,0.63,0.63,0.62,0.62,77900
11-May-16,0.62,0.63,0.62,0.63,252800
10-May-16,0.62,0.62,0.62,0.62,288400
9-May-16,0.62,0.64,0.62,0.62,1199900
6-May-16,0.61,0.62,0.60,0.61,141000
5-May-16,0.63,0.64,0.61,0.62,338700
4-May-16,0.64,0.64,0.59,0.63,2999700
3-May-16,0.65,0.65,0.64,0.64,277400
29-Apr-16,0.65,0.66,0.64,0.65,394600
28-Apr-16,0.68,0.68,0.64,0.66,435900
27-Apr-16,0.67,0.68,0.66,0.68,500700
26-Apr-16,0.68,0.72,0.66,0.66,9873300
25-Apr-16,0.72,0.74,0.71,0.71,2090600
22-Apr-16,0.71,0.73,0.71,0.72,3030800
21-Apr-16,0.68,0.71,0.68,0.71,1890000
20-Apr-16,0.68,0.68,0.68,0.68,103700
19-Apr-16,0.68,0.68,0.67,0.68,262800
18-Apr-16,0.68,0.68,0.68,0.68,271800
15-Apr-16,0.70,0.70,0.68,0.69,301400
14-Apr-16,0.68,0.70,0.68,0.70,1143700
13-Apr-16,0.66,0.68,0.66,0.68,1778300
12-Apr-16,0.64,0.66,0.64,0.66,381000
11-Apr-16,0.65,0.66,0.64,0.66,173000
8-Apr-16,0.66,0.66,0.65,0.66,54500
7-Apr-16,0.67,0.67,0.66,0.66,117000
6-Apr-16,0.66,0.67,0.66,0.67,281800
5-Apr-16,0.68,0.68,0.66,0.66,50000
4-Apr-16,0.68,0.68,0.67,0.68,168800
1-Apr-16,0.69,0.69,0.67,0.68,184200
31-Mar-16,0.68,0.70,0.68,0.69,894600
30-Mar-16,0.66,0.68,0.66,0.68,101300
29-Mar-16,0.67,0.67,0.66,0.66,74100
28-Mar-16,0.68,0.68,0.67,0.68,288500
25-Mar-16,0.68,0.68,0.67,0.68,305400
24-Mar-16,0.65,0.66,0.65,0.66,188700
23-Mar-16,0.67,0.67,0.65,0.65,211300
22-Mar-16,0.68,0.68,0.66,0.68,320700
21-Mar-16,0.66,0.68,0.66,0.68,744000
18-Mar-16,0.64,0.66,0.64,0.66,543600
17-Mar-16,0.65,0.65,0.64,0.64,65600
