Date,Open,High,Low,Close,Volume
7-Oct-16,23.56,23.62,23.50,23.54,545600
6-Oct-16,23.48,23.72,23.48,23.72,151000
5-Oct-16,23.72,23.72,23.42,23.48,375400
4-Oct-16,23.50,23.62,23.42,23.50,310300
30-Sep-16,23.50,23.62,23.28,23.50,231300
29-Sep-16,23.84,23.84,23.44,23.46,206600
28-Sep-16,23.48,23.50,23.42,23.46,502800
27-Sep-16,23.40,23.70,23.40,23.48,304500
26-Sep-16,23.46,23.46,23.24,23.40,376600
23-Sep-16,23.60,23.70,23.40,23.46,411000
22-Sep-16,23.38,23.70,23.34,23.34,375700
21-Sep-16,23.14,23.40,23.14,23.34,367200
20-Sep-16,23.36,23.46,23.30,23.44,343200
19-Sep-16,23.30,23.38,23.30,23.34,281300
15-Sep-16,23.38,23.38,23.24,23.34,917500
14-Sep-16,23.38,23.38,23.28,23.36,690700
13-Sep-16,23.24,23.42,23.24,23.38,506400
9-Sep-16,23.30,23.38,23.24,23.28,1021100
8-Sep-16,23.44,23.44,23.26,23.30,1266600
7-Sep-16,23.14,23.40,23.12,23.36,223700
6-Sep-16,23.18,23.38,23.18,23.36,445600
5-Sep-16,23.10,23.42,23.10,23.34,132600
2-Sep-16,23.36,23.46,23.24,23.40,527500
1-Sep-16,23.36,23.50,23.36,23.36,598400
30-Aug-16,23.62,23.62,23.30,23.40,601700
29-Aug-16,23.02,23.20,23.02,23.16,254000
26-Aug-16,22.96,23.28,22.96,23.22,153400
25-Aug-16,23.16,23.40,23.16,23.36,785100
24-Aug-16,23.26,23.52,23.26,23.40,164200
23-Aug-16,23.30,23.44,23.30,23.34,302600
22-Aug-16,23.32,23.52,23.32,23.40,278700
19-Aug-16,23.12,23.54,23.12,23.50,429500
18-Aug-16,23.22,23.52,23.22,23.50,684100
17-Aug-16,23.12,23.54,23.12,23.50,319700
16-Aug-16,23.30,23.58,23.12,23.50,425200
15-Aug-16,23.66,23.66,23.38,23.48,113200
12-Aug-16,23.56,23.58,23.36,23.44,154000
11-Aug-16,23.20,23.40,23.20,23.40,206200
10-Aug-16,23.40,23.40,23.34,23.38,401100
9-Aug-16,23.26,23.44,23.26,23.36,167900
8-Aug-16,23.36,23.44,23.12,23.34,359300
5-Aug-16,23.28,23.28,23.00,23.18,181000
4-Aug-16,23.00,23.30,23.00,23.28,516700
3-Aug-16,23.06,23.34,23.06,23.34,171500
2-Aug-16,23.30,23.30,23.22,23.28,148500
1-Aug-16,23.40,23.40,23.16,23.30,188700
29-Jul-16,23.50,23.50,23.22,23.26,161200
28-Jul-16,23.36,23.38,23.18,23.30,208400
27-Jul-16,23.20,23.38,23.06,23.36,203900
26-Jul-16,23.42,23.46,22.92,22.92,842500
25-Jul-16,23.70,23.70,23.44,23.46,328600
22-Jul-16,23.48,23.50,23.40,23.46,166700
21-Jul-16,23.34,23.56,23.34,23.38,538800
20-Jul-16,23.60,23.60,23.50,23.50,724700
19-Jul-16,23.60,23.60,23.46,23.60,168000
18-Jul-16,23.66,23.68,23.54,23.60,170900
15-Jul-16,23.50,23.74,23.46,23.58,231500
14-Jul-16,23.50,23.50,23.40,23.50,268500
13-Jul-16,23.36,23.54,23.32,23.50,1420200
12-Jul-16,23.62,23.68,23.44,23.56,219800
11-Jul-16,23.40,23.74,23.40,23.60,234200
8-Jul-16,23.56,23.68,23.14,23.44,238700
5-Jul-16,23.48,23.64,23.40,23.54,157000
4-Jul-16,23.50,23.60,23.40,23.46,692700
1-Jul-16,23.42,23.60,23.42,23.48,690500
30-Jun-16,23.22,23.56,23.22,23.40,1238200
29-Jun-16,23.14,23.60,23.14,23.36,458100
28-Jun-16,22.96,23.50,22.96,23.22,373300
27-Jun-16,22.94,23.36,22.94,23.22,456800
24-Jun-16,23.36,23.60,23.34,23.44,463200
23-Jun-16,23.38,23.54,23.38,23.40,260500
21-Jun-16,23.22,23.66,23.22,23.50,434300
20-Jun-16,23.08,23.50,23.08,23.38,687600
17-Jun-16,23.22,23.44,23.22,23.32,1512100
16-Jun-16,23.80,23.80,23.30,23.44,464400
15-Jun-16,23.12,23.48,23.10,23.40,502800
14-Jun-16,23.46,23.56,23.10,23.42,503800
13-Jun-16,23.42,23.58,23.08,23.26,434100
10-Jun-16,23.68,23.78,23.38,23.62,1964000
9-Jun-16,23.80,23.88,23.66,23.68,621600
8-Jun-16,23.50,23.88,23.50,23.88,191300
7-Jun-16,23.80,23.82,23.62,23.80,1291300
6-Jun-16,23.72,23.80,23.14,23.76,216600
3-Jun-16,23.80,23.80,23.32,23.60,1624100
2-Jun-16,23.46,23.60,23.46,23.58,220500
1-Jun-16,22.94,23.64,22.94,23.54,391300
31-May-16,23.20,23.70,23.20,23.44,4952300
30-May-16,23.40,23.70,23.40,23.64,542200
27-May-16,23.52,23.76,23.52,23.70,443100
26-May-16,23.54,23.70,23.54,23.64,470800
25-May-16,23.22,23.58,23.22,23.52,580100
24-May-16,23.66,23.66,23.28,23.52,1005600
23-May-16,22.84,23.66,22.82,23.64,466800
20-May-16,23.32,23.60,23.32,23.40,352000
19-May-16,23.66,23.66,22.86,23.32,671500
18-May-16,23.20,23.70,22.78,23.32,714100
17-May-16,22.84,23.30,22.68,23.28,591600
16-May-16,22.84,22.84,22.60,22.72,752200
13-May-16,22.72,22.74,22.54,22.70,976900
12-May-16,22.68,22.82,22.50,22.72,782400
11-May-16,22.64,22.84,22.64,22.70,1721000
10-May-16,22.50,23.04,22.16,22.86,1393300
9-May-16,23.42,23.50,22.32,23.00,1960400
6-May-16,23.50,23.50,23.30,23.40,592200
5-May-16,23.62,23.70,23.32,23.56,918400
4-May-16,23.56,23.88,23.56,23.74,318600
3-May-16,23.80,23.86,23.80,23.84,245800
29-Apr-16,23.90,23.90,23.74,23.84,547500
28-Apr-16,23.70,23.90,23.70,23.84,1709000
27-Apr-16,23.70,23.90,23.70,23.80,163300
26-Apr-16,23.80,23.98,23.74,23.84,507200
25-Apr-16,23.80,24.08,23.80,24.08,403400
22-Apr-16,23.82,23.86,23.78,23.80,254300
21-Apr-16,23.64,24.04,23.64,23.82,164700
20-Apr-16,23.70,23.80,23.70,23.76,350300
19-Apr-16,23.70,24.08,23.70,23.76,442200
18-Apr-16,23.64,23.92,23.64,23.86,251500
15-Apr-16,23.62,23.96,23.62,23.96,834600
14-Apr-16,23.86,24.00,23.78,23.86,710000
13-Apr-16,23.86,23.98,23.84,23.86,1462600
12-Apr-16,23.86,23.86,23.76,23.84,898000
11-Apr-16,23.72,23.86,23.72,23.84,686700
8-Apr-16,23.66,23.90,23.66,23.86,830600
7-Apr-16,23.64,23.96,23.64,23.86,678800
6-Apr-16,22.96,23.90,22.96,23.86,860600
5-Apr-16,23.78,23.92,23.74,23.90,240100
4-Apr-16,23.82,24.06,23.74,23.94,386000
1-Apr-16,23.90,24.26,23.76,24.10,955600
31-Mar-16,23.92,24.10,23.80,24.10,775200
30-Mar-16,24.08,24.12,23.76,24.10,375600
29-Mar-16,23.82,24.38,23.78,24.00,316700
28-Mar-16,23.20,24.22,23.20,24.20,95600
25-Mar-16,24.20,24.30,24.18,24.20,326100
24-Mar-16,23.96,24.18,23.96,24.18,366600
23-Mar-16,24.02,24.28,23.96,24.12,1023900
22-Mar-16,24.02,24.30,24.00,24.20,1124000
21-Mar-16,24.30,24.38,24.26,24.30,400500
18-Mar-16,24.40,24.40,24.20,24.30,620800
17-Mar-16,24.38,24.40,24.14,24.24,864700
16-Mar-16,24.46,24.46,23.90,24.16,205300
15-Mar-16,24.10,24.38,24.06,24.20,1352100
14-Mar-16,24.88,25.00,23.90,24.10,487600
11-Mar-16,24.60,24.60,24.44,24.50,1279200
10-Mar-16,24.50,24.72,24.50,24.58,1134300
9-Mar-16,24.50,24.78,24.50,24.64,935900
8-Mar-16,24.44,25.16,24.44,24.76,1053200
7-Mar-16,24.46,25.12,24.46,24.74,918400
4-Mar-16,25.18,25.18,24.42,24.44,710700
3-Mar-16,24.74,25.12,24.72,24.98,845800
2-Mar-16,25.20,25.40,24.90,25.00,789100
1-Mar-16,24.70,25.00,24.60,24.98,953500
29-Feb-16,25.42,25.42,24.42,24.70,1176900
26-Feb-16,24.96,25.32,24.96,25.14,1695100
25-Feb-16,25.38,25.40,24.84,24.94,326800
24-Feb-16,25.10,25.30,24.98,25.10,282100
