Date,Open,High,Low,Close,Volume
7-Oct-16,-,-,-,5.68,0
6-Oct-16,5.60,5.68,5.55,5.68,10300
5-Oct-16,5.59,5.69,5.55,5.69,1600
4-Oct-16,5.56,5.59,5.56,5.56,1700
30-Sep-16,-,-,-,5.58,0
29-Sep-16,-,-,-,5.58,0
28-Sep-16,5.55,5.58,5.55,5.58,1600
27-Sep-16,5.65,5.65,5.55,5.55,1500
26-Sep-16,5.60,5.60,5.60,5.60,3200
23-Sep-16,5.60,5.65,5.50,5.65,6700
22-Sep-16,5.60,5.61,5.60,5.60,121000
21-Sep-16,5.58,5.60,5.58,5.60,65200
20-Sep-16,5.65,5.67,5.60,5.60,10600
19-Sep-16,5.60,5.60,5.59,5.60,245100
15-Sep-16,5.61,5.61,5.60,5.61,107600
14-Sep-16,5.62,5.62,5.62,5.62,2000
13-Sep-16,-,-,-,5.60,0
9-Sep-16,5.50,5.66,5.50,5.60,66800
8-Sep-16,5.64,5.65,5.64,5.65,2200
7-Sep-16,5.60,5.60,5.59,5.60,68400
6-Sep-16,5.69,5.69,5.69,5.69,1000
5-Sep-16,5.60,5.61,5.60,5.60,100400
2-Sep-16,5.60,5.60,5.60,5.60,699200
1-Sep-16,5.60,5.61,5.60,5.60,153900
30-Aug-16,5.61,5.69,5.61,5.69,2100
29-Aug-16,5.69,5.69,5.69,5.69,1100
26-Aug-16,5.60,5.60,5.60,5.60,137900
25-Aug-16,5.60,5.61,5.60,5.60,30100
24-Aug-16,5.60,5.61,5.60,5.61,55800
23-Aug-16,5.60,5.60,5.60,5.60,1000
22-Aug-16,5.61,5.61,5.60,5.60,28000
19-Aug-16,5.62,5.62,5.62,5.62,100
18-Aug-16,5.73,5.73,5.72,5.72,14300
17-Aug-16,5.61,5.65,5.60,5.64,144700
16-Aug-16,5.64,5.64,5.64,5.64,100
15-Aug-16,-,-,-,5.75,0
12-Aug-16,5.75,5.75,5.75,5.75,7400
11-Aug-16,5.73,5.75,5.73,5.75,5200
10-Aug-16,5.73,5.73,5.70,5.70,5000
9-Aug-16,5.73,5.73,5.73,5.73,100
8-Aug-16,-,-,-,5.60,0
5-Aug-16,5.61,5.61,5.59,5.60,435300
4-Aug-16,5.60,5.61,5.60,5.61,8000
3-Aug-16,5.60,5.62,5.60,5.62,43300
2-Aug-16,5.63,5.63,5.61,5.62,3200
1-Aug-16,5.60,5.63,5.60,5.63,50400
29-Jul-16,5.64,5.64,5.63,5.63,22300
